date,time,timezone,latitude,longitude
2019-07-09,11:14:58,UTC,46.32429988,-64.32663878
2019-07-09,11:15:08,UTC,46.32448588,-64.32611022
2019-07-09,11:15:18,UTC,46.3246401,-64.32550815
2019-07-09,11:15:28,UTC,46.32480699,-64.32497464
2019-07-09,11:15:38,UTC,46.32497597,-64.32443367
2019-07-09,11:15:48,UTC,46.32516506,-64.32389245
2019-07-09,11:15:58,UTC,46.32536975,-64.32336029
2019-07-09,11:16:08,UTC,46.3255777,-64.32282468
2019-07-09,11:16:18,UTC,46.3257098,-64.32223544
2019-07-09,11:16:28,UTC,46.3258849,-64.32168365
2019-07-09,11:16:38,UTC,46.32604508,-64.32111863
2019-07-09,11:16:48,UTC,46.32622956,-64.3205816
2019-07-09,11:16:58,UTC,46.3264221,-64.3200605
2019-07-09,11:17:08,UTC,46.32662485,-64.3195399
2019-07-09,11:17:18,UTC,46.32683105,-64.31902148
2019-07-09,11:17:28,UTC,46.32701268,-64.31848269
2019-07-09,11:17:38,UTC,46.32720865,-64.31795673
2019-07-09,11:17:48,UTC,46.32739632,-64.31742229
2019-07-09,11:17:58,UTC,46.32756581,-64.31687286
2019-07-09,11:18:08,UTC,46.32772431,-64.31632544
2019-07-09,11:18:18,UTC,46.32793008,-64.315804
2019-07-09,11:18:28,UTC,46.32805523,-64.31520813
2019-07-09,11:18:38,UTC,46.32822697,-64.31466926
2019-07-09,11:18:48,UTC,46.32839344,-64.31412041
2019-07-09,11:18:58,UTC,46.32860139,-64.31361306
2019-07-09,11:19:08,UTC,46.32877221,-64.31308106
2019-07-09,11:19:18,UTC,46.3289505,-64.31255082
2019-07-09,11:19:28,UTC,46.32911704,-64.31201194
2019-07-09,11:19:38,UTC,46.32928879,-64.3114584
2019-07-09,11:19:48,UTC,46.32945006,-64.31090126
2019-07-09,11:19:58,UTC,46.32964016,-64.31034914
2019-07-09,11:20:08,UTC,46.32983034,-64.30981597
2019-07-09,11:20:18,UTC,46.33002707,-64.30929646
2019-07-09,11:20:28,UTC,46.3302113,-64.30875717
2019-07-09,11:20:38,UTC,46.33039562,-64.30822358
2019-07-09,11:20:48,UTC,46.33058547,-64.30769484
2019-07-09,11:20:58,UTC,46.33083651,-64.30719193
2019-07-09,11:21:08,UTC,46.33116298,-64.30682179
2019-07-09,11:21:18,UTC,46.3315794,-64.30661249
2019-07-09,11:21:28,UTC,46.33196773,-64.30652716
2019-07-09,11:21:38,UTC,46.33234777,-64.3066513
2019-07-09,11:21:48,UTC,46.33270039,-64.30702739
2019-07-09,11:21:58,UTC,46.33294908,-64.30753232
2019-07-09,11:22:08,UTC,46.33320825,-64.30806683
2019-07-09,11:22:18,UTC,46.33345644,-64.30860965
2019-07-09,11:22:28,UTC,46.33371167,-64.30913243
2019-07-09,11:22:38,UTC,46.33396447,-64.30966434
2019-07-09,11:22:48,UTC,46.33419832,-64.31019659
2019-07-09,11:22:58,UTC,46.33441072,-64.31073161
2019-07-09,11:23:08,UTC,46.33463711,-64.31125774
2019-07-09,11:23:18,UTC,46.3348615,-64.3117884
2019-07-09,11:23:28,UTC,46.33509276,-64.31231512
2019-07-09,11:23:38,UTC,46.33531018,-64.31284879
2019-07-09,11:23:48,UTC,46.33553741,-64.31338708
2019-07-09,11:23:58,UTC,46.33576498,-64.31393098
2019-07-09,11:24:08,UTC,46.33599943,-64.31446935
2019-07-09,11:24:18,UTC,46.33622649,-64.31500487
2019-07-09,11:24:28,UTC,46.33645741,-64.31553586
2019-07-09,11:24:38,UTC,46.33669898,-64.31606091
2019-07-09,11:24:48,UTC,46.33698648,-64.31653943
2019-07-09,11:24:58,UTC,46.33729904,-64.31699188
2019-07-09,11:25:08,UTC,46.33760221,-64.31745046
2019-07-09,11:25:18,UTC,46.33787245,-64.31793611
2019-07-09,11:25:28,UTC,46.33813874,-64.31842871
2019-07-09,11:25:38,UTC,46.33845197,-64.31886348
2019-07-09,11:25:48,UTC,46.33878876,-64.31924829
2019-07-09,11:25:58,UTC,46.33913677,-64.31961274
2019-07-09,11:26:08,UTC,46.33948848,-64.31999906
2019-07-09,11:26:18,UTC,46.33982208,-64.32040676
2019-07-09,11:26:28,UTC,46.34015584,-64.32084421
2019-07-09,11:26:38,UTC,46.34048223,-64.32129004
2019-07-09,11:26:48,UTC,46.34079044,-64.32173621
2019-07-09,11:26:58,UTC,46.34111222,-64.32217567
2019-07-09,11:27:08,UTC,46.34142654,-64.32256233
2019-07-09,11:27:18,UTC,46.34176961,-64.32297237
2019-07-09,11:27:28,UTC,46.34210346,-64.32338007
2019-07-09,11:27:38,UTC,46.34242449,-64.32378483
2019-07-09,11:27:48,UTC,46.34275608,-64.32422882
2019-07-09,11:27:58,UTC,46.34307367,-64.3246801
2019-07-09,11:28:08,UTC,46.34337366,-64.32507615
2019-07-09,11:28:18,UTC,46.34369602,-64.32543573
2019-07-09,11:28:28,UTC,46.34402535,-64.32581577
2019-07-09,11:28:38,UTC,46.34428913,-64.32614408
2019-07-09,11:28:48,UTC,46.34447537,-64.32648456
2019-07-09,11:28:58,UTC,46.34458828,-64.32681279
2019-07-09,11:29:08,UTC,46.34468216,-64.32713273
2019-07-09,11:29:18,UTC,46.34477402,-64.32743381
2019-07-09,11:29:28,UTC,46.34486203,-64.32772592
2019-07-09,11:29:38,UTC,46.34495926,-64.32799925
2019-07-09,11:29:48,UTC,46.34506655,-64.32825917
2019-07-09,11:29:58,UTC,46.34518071,-64.32852153
2019-07-09,11:30:08,UTC,46.34529403,-64.32878103
2019-07-09,11:30:18,UTC,46.34541079,-64.32903651
2019-07-09,11:30:28,UTC,46.34557114,-64.32931781
2019-07-09,11:30:38,UTC,46.34569469,-64.32957756
2019-07-09,11:30:48,UTC,46.34579661,-64.32981653
2019-07-09,11:30:58,UTC,46.34589963,-64.33005676
2019-07-09,11:31:08,UTC,46.34599895,-64.33031014
2019-07-09,11:31:18,UTC,46.3460909,-64.33057543
2019-07-09,11:31:28,UTC,46.34616869,-64.33083351
2019-07-09,11:31:38,UTC,46.34625049,-64.33109259
2019-07-09,11:31:48,UTC,46.34635753,-64.33135863
2019-07-09,11:31:58,UTC,46.34646767,-64.33160188
2019-07-09,11:32:08,UTC,46.34659021,-64.33184252
2019-07-09,11:32:18,UTC,46.3467063,-64.33208534
2019-07-09,11:32:28,UTC,46.34685961,-64.33232557
2019-07-09,11:32:38,UTC,46.34698072,-64.33256663
2019-07-09,11:32:48,UTC,46.3471114,-64.33280711
2019-07-09,11:32:58,UTC,46.34721919,-64.33309696
2019-07-09,11:33:08,UTC,46.34726638,-64.33340591
2019-07-09,11:33:18,UTC,46.34727325,-64.33373247
2019-07-09,11:33:28,UTC,46.34735649,-64.33402567
