FileName: C:\TRAWLS~2\GP048F.TXT
Local Time: Mon Aug 15 07:01:29 2011

Ship: Aug 15, 2011 Trip: GP048F Tow: 02
Comments: zone 12 ouest banc des orphelins
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110815  100238  48  16.9719 N  63  47.9863 W   5.6        2.2       13.5      121.7       18.0 
110815  100239  48  16.9702 N  63  47.9852 W   5.8        2.2       13.5      121.7       18.0 
110815  100240  48  16.9685 N  63  47.9842 W   5.9        2.2       13.5      121.7       18.0 
110815  100241  48  16.9668 N  63  47.9831 W   6.0        2.2       13.5      121.7       18.0 
110815  100242  48  16.9650 N  63  47.9820 W   6.2        2.2       13.5      121.7       18.0 
110815  100243  48  16.9632 N  63  47.9809 W   6.3        2.2       13.5      121.7       18.0 
110815  100244  48  16.9614 N  63  47.9798 W   6.4        2.2       13.5      121.7       18.0 
110815  100245  48  16.9596 N  63  47.9786 W   6.5        2.2       13.5      121.7       18.0 
110815  100246  48  16.9577 N  63  47.9775 W   6.6        2.2       13.5      121.7       18.0 
110815  100247  48  16.9558 N  63  47.9764 W   6.7        2.2       13.5      121.7       18.0 
110815  100248  48  16.9539 N  63  47.9752 W   6.8        2.2       13.5      121.7       18.0 
110815  100249  48  16.9520 N  63  47.9740 W   6.9        2.2       13.5      121.7       18.0 
110815  100250  48  16.9501 N  63  47.9728 W   7.0        2.2       13.5      121.7       18.0 
110815  100251  48  16.9482 N  63  47.9716 W   7.1        2.2       13.5      121.7       18.0 
110815  100252  48  16.9463 N  63  47.9705 W   7.1        2.2       13.5       92.6*      18.0 
110815  100253  48  16.9444 N  63  47.9692 W   7.2        2.2       13.5       92.6       18.0 
110815  100254  48  16.9424 N  63  47.9680 W   7.2        2.2       13.5       92.6       18.0 
110815  100255  48  16.9405 N  63  47.9668 W   7.3        2.2       13.5       92.6       18.0 
110815  100256  48  16.9385 N  63  47.9656 W   7.3        2.2       13.5       92.6       18.0 
110815  100257  48  16.9365 N  63  47.9643 W   7.4        2.2       13.5       92.6       18.0 
110815  100258  48  16.9346 N  63  47.9630 W   7.4        2.2       13.5       92.6       18.0 
110815  100259  48  16.9326 N  63  47.9617 W   7.4        2.2       13.5       92.6       18.0 
110815  100300  48  16.9306 N  63  47.9604 W   7.4        2.2       13.5       92.6       18.0 
110815  100301  48  16.9287 N  63  47.9591 W   7.5        2.2       13.5       92.6       18.0 
110815  100302  48  16.9268 N  63  47.9578 W   7.5        2.2       13.5       92.6       18.0 
110815  100303  48  16.9248 N  63  47.9565 W   7.5        2.2       13.5       92.6       18.0 
110815  100304  48  16.9229 N  63  47.9551 W   7.5        2.2       13.5       92.6       18.0 
110815  100305  48  16.9210 N  63  47.9537 W   7.5        2.2       13.5       92.6       18.0 
110815  100306  48  16.9192 N  63  47.9522 W   7.5        2.2       13.5       92.6       18.0 
110815  100307  48  16.9173 N  63  47.9508 W   7.5        2.2       13.5       92.6       18.0 
110815  100308  48  16.9154 N  63  47.9493 W   7.5        2.2       13.5       92.6       18.0 
110815  100309  48  16.9136 N  63  47.9478 W   7.5        2.2       13.5       92.6       18.0 
110815  100310  48  16.9118 N  63  47.9463 W   7.5        2.2       13.5       92.6       18.0 
110815  100311  48  16.9099 N  63  47.9449 W   7.5        2.2       13.5       92.6       18.0 
110815  100312  48  16.9081 N  63  47.9434 W   7.5        2.2       13.5       92.6       18.0 
110815  100313  48  16.9063 N  63  47.9419 W   7.5        2.2       13.5       92.6       18.0 
110815  100314  48  16.9045 N  63  47.9404 W   7.5        2.2       13.5       92.6       18.0 
110815  100315  48  16.9026 N  63  47.9388 W   7.5        2.2       13.5       92.6       18.0 
110815  100316  48  16.9008 N  63  47.9372 W   7.5        2.2       13.5       92.6       18.0 
110815  100317  48  16.8990 N  63  47.9356 W   7.5        2.2       13.5       92.6       18.0 
