[NOTUS TEXTFILE V3.1]
File Created: 13-Jul-2019 13:38:00
Tow Date: 13-Jul-2019 8:27:04


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,10:09:49,---,---,---,---,---,
C24S,10:10:30,2088.9,---,---,---,---,
C24S,10:11:14,---,---,---,---,---,
C24S,10:11:58,---,---,---,---,---,
C24S,10:12:44,---,---,---,---,---,
C24S,10:13:28,---,---,---,---,---,
C24S,10:14:11,---,---,---,---,---,
C24S,10:14:55,---,---,---,---,---,
C24S,10:15:38,---,---,---,---,---,
C24S,10:16:22,---,---,---,---,---,
C24S,10:17:06,---,---,---,---,---,
C24S,10:17:50,---,---,---,---,---,
C24S,10:18:34,---,---,---,---,---,
C24S,10:19:18,---,---,---,---,---,
C24S,10:20:03,---,---,---,---,---,
C24S,10:20:47,---,---,---,---,---,
C24S,10:21:31,---,---,---,---,---,
C24S,10:22:15,---,---,---,---,---,
C24S,10:22:59,---,---,---,---,---,
C24S,10:23:43,---,---,---,---,---,
C24S,10:24:27,---,---,---,---,---,
C24S,10:25:11,---,---,---,---,---,
C24S,10:25:55,---,---,---,---,---,
C24S,10:26:39,---,---,---,---,---,
C24S,10:27:23,---,---,---,---,---,
C24S,10:28:07,---,---,---,---,---,
C24S,10:28:51,---,---,---,---,---,
C24S,10:29:29,54.5,28.9,---,---,---,
C24S,10:30:04,54.7,25.5,---,---,---,
C24S,10:30:41,55.1,23.8,---,---,---,
C24S,10:31:17,55.2,21.6,---,---,---,
C24S,10:31:52,55.6,26.3,---,---,---,
C24S,10:32:28,56.1,25.6,---,---,---,
C24S,10:33:03,55.6,26.1,---,---,---,
C24S,10:33:38,56.2,25.0,---,---,---,
C24S,10:34:14,55.5,26.6,---,---,---,
C24S,10:34:49,55.5,26.6,---,---,---,
C24S,10:35:25,55.5,26.6,---,---,---,
C24S,10:36:00,55.4,27.0,---,---,---,
C24S,10:36:36,55.4,27.9,---,---,---,
C24S,10:37:11,55.6,26.3,---,---,---,
C24S,10:37:48,55.3,26.6,---,---,---,
C24S,10:38:25,54.7,26.9,---,---,---,
C24S,10:39:00,55.0,26.9,---,---,---,
C24S,10:39:36,47.6,28.3,---,---,---,
C24S,10:40:12,---,---,---,---,---,
C24S,10:40:57,---,---,---,---,---,
C24S,10:41:41,---,---,---,---,---,
C24S,10:42:25,---,---,---,---,---,
C24S,10:43:09,---,---,---,---,---,
C24S,10:43:53,---,---,---,---,---,
C24S,10:44:37,---,---,---,---,---,
C24S,10:45:21,---,---,---,---,---,
C24S,10:46:05,---,---,---,---,---,
C24S,10:46:50,---,---,---,---,---,
C24S,10:47:34,---,---,---,---,---,
C24S,10:48:18,---,---,---,---,---,
C24S,10:49:02,---,---,---,---,---,
C24S,10:49:46,---,---,---,---,---,
C24S,10:50:30,---,---,---,---,---,
C24S,10:51:14,---,---,---,---,---,
C24S,10:51:58,---,---,---,---,---,
C24S,10:52:42,---,---,---,---,---,
C24S,10:53:26,---,---,---,---,---,
C24S,10:54:10,---,---,---,---,---,
C24S,10:54:54,---,---,---,---,---,
C24S,10:55:38,---,---,---,---,---,
C24S,10:56:22,---,---,---,---,---,
C24S,10:57:07,---,---,---,---,---,
C24S,10:57:51,---,---,---,---,---,
C24S,10:58:35,---,---,---,---,---,
C24S,10:59:19,---,---,---,---,---,
C24S,11:00:03,---,---,---,---,---,
C24S,11:00:47,---,---,---,---,---,
C24S,11:01:31,---,---,---,---,---,
C24S,11:02:15,---,---,---,---,---,
C24S,11:02:59,---,---,---,---,---,
C24S,11:03:43,---,---,---,---,---,
C24S,11:04:27,---,---,---,---,---,
C24S,11:05:11,---,---,---,---,---,
C24S,11:05:55,---,---,---,---,---,
C24S,11:06:39,---,---,---,---,---,
C24S,11:07:24,---,---,---,---,---,
C24S,11:08:08,---,---,---,---,---,
C24S,11:08:52,---,---,---,---,---,
C24S,11:09:36,---,---,---,---,---,
C24S,11:10:20,---,---,---,---,---,
C24S,11:11:04,---,---,---,---,---,
C24S,11:11:48,---,---,---,---,---,
C24S,11:12:32,---,---,---,---,---,
C24S,11:13:16,---,---,---,---,---,
C24S,11:14:00,---,---,---,---,---,
C24S,11:14:44,---,---,---,---,---,
C24S,11:15:28,---,---,---,---,---,
C24S,11:16:12,---,---,---,---,---,
C24S,11:16:56,---,---,---,---,---,
C24S,11:17:41,---,---,---,---,---,
C24S,11:18:25,---,---,---,---,---,
C24S,11:19:09,---,---,---,---,---,
C24S,11:19:53,---,---,---,---,---,
C24S,11:20:37,---,---,---,---,---,
C24S,11:21:21,---,---,---,---,---,
C24S,11:22:05,---,---,---,---,---,
C24S,11:22:49,---,---,---,---,---,
C24S,11:23:33,---,---,---,---,---,
C24S,11:24:17,---,---,---,---,---,
C24S,11:25:01,---,---,---,---,---,
