[NOTUS TEXTFILE V3.1]
File Created: 15-Jul-2019 11:33:50
Tow Date: 15-Jul-2019 7:15:49


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,07:15:56,---,---,---,---,---,
C24S,07:16:41,---,---,---,---,---,
C24S,07:17:25,---,---,---,---,---,
C24S,07:18:01,61.7,27.2,---,---,---,
C24S,07:18:37,91.5,35.8,---,---,---,
C24S,07:19:18,---,---,---,---,---,
C24S,07:19:52,92.8,36.4,---,---,---,
C24S,07:20:29,93.1,36.0,---,---,---,
C24S,07:21:06,93.7,35.1,---,---,---,
C24S,07:21:43,93.9,35.8,---,---,---,
C24S,07:22:20,95.1,37.1,---,---,---,
C24S,07:22:57,94.3,37.5,---,---,---,
C24S,07:23:34,94.3,36.2,---,---,---,
C24S,07:24:11,94.3,35.6,---,---,---,
C24S,07:24:48,94.4,36.3,---,---,---,
C24S,07:25:26,94.0,36.5,---,---,---,
C24S,07:26:03,94.5,37.5,---,---,---,
C24S,07:26:41,94.7,37.0,---,---,---,
C24S,07:27:18,94.4,37.8,---,---,---,
C24S,07:27:54,94.4,37.2,---,---,---,
C24S,07:28:36,---,---,---,---,---,
C24S,07:29:10,63.2,32.0,---,---,---,
C24S,07:29:53,---,---,---,---,---,
C24S,07:30:37,---,---,---,---,---,
C24S,07:31:21,---,---,---,---,---,
C24S,07:32:05,---,---,---,---,---,
C24S,07:32:49,---,---,---,---,---,
C24S,07:33:33,---,---,---,---,---,
C24S,07:34:17,---,---,---,---,---,
C24S,07:35:02,---,---,---,---,---,
C24S,07:35:46,---,---,---,---,---,
C24S,07:36:30,---,---,---,---,---,
C24S,07:37:14,---,---,---,---,---,
C24S,07:37:58,---,---,---,---,---,
C24S,07:38:42,---,---,---,---,---,
C24S,07:39:26,---,---,---,---,---,
C24S,09:06:28,---,---,---,---,---,
C24S,09:07:12,---,---,---,---,---,
C24S,09:07:53,---,---,---,---,---,
C24S,09:08:27,65.6,30.2,---,---,---,
C24S,09:09:04,88.4,35.2,---,---,---,
C24S,09:09:41,89.4,37.4,---,---,---,
C24S,09:10:18,90.2,38.1,---,---,---,
C24S,09:10:54,89.9,37.7,---,---,---,
C24S,09:11:31,91.3,36.6,---,---,---,
C24S,09:12:11,---,---,---,---,---,
C24S,09:12:45,90.8,35.5,---,---,---,
C24S,09:13:21,91.4,35.8,---,---,---,
C24S,09:13:58,90.9,34.9,---,---,---,
C24S,09:14:33,91.2,36.1,---,---,---,
C24S,09:15:13,90.9,37.3,---,---,---,
C24S,09:15:51,91.2,---,---,---,---,
C24S,09:16:27,91.3,35.1,---,---,---,
C24S,09:17:05,91.2,---,---,---,---,
C24S,09:17:43,91.3,34.2,---,---,---,
C24S,09:18:24,---,---,---,---,---,
C24S,09:18:58,90.4,36.7,---,---,---,
