[NOTUS TEXTFILE V3.1]
File Created: 06-Aug-2019 16:11:22
Tow Date: 06-Aug-2019 9:26:03


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,11:13:03,---,---,---,---,---,
C24S,11:13:47,---,---,---,---,---,
C24S,11:14:31,---,---,---,---,---,
C24S,11:15:15,---,---,---,---,---,
C24S,11:15:59,---,---,---,---,---,
C24S,11:16:43,---,---,---,---,---,
C24S,11:17:27,---,---,---,---,---,
C24S,11:18:12,---,---,---,---,---,
C24S,11:18:56,---,---,---,---,---,
C24S,11:19:40,---,---,---,---,---,
C24S,11:20:24,---,---,---,---,---,
C24S,11:21:08,---,---,---,---,---,
C24S,11:21:52,---,---,---,---,---,
C24S,11:22:36,---,---,---,---,---,
C24S,11:23:20,---,---,---,---,---,
C24S,11:24:04,---,---,---,---,---,
C24S,11:24:48,---,---,---,---,---,
C24S,11:25:32,---,---,---,---,---,
C24S,11:26:16,---,---,---,---,---,
C24S,11:27:00,---,---,---,---,---,
C24S,11:27:44,---,---,---,---,---,
C24S,11:28:29,---,---,---,---,---,
C24S,11:29:13,---,---,---,---,---,
C24S,11:29:57,---,---,---,---,---,
C24S,11:30:41,---,---,---,---,---,
C24S,11:31:25,---,---,---,---,---,
C24S,11:32:09,---,---,---,---,---,
C24S,11:32:53,---,---,---,---,---,
C24S,11:33:37,---,---,---,---,---,
C24S,11:34:21,---,---,---,---,---,
C24S,11:35:05,---,---,---,---,---,
C24S,11:35:49,---,---,---,---,---,
C24S,11:36:33,---,---,---,---,---,
C24S,11:37:17,---,---,---,---,---,
C24S,11:38:02,---,---,---,---,---,
C24S,11:38:46,---,---,---,---,---,
C24S,11:39:30,---,---,---,---,---,
C24S,11:40:14,---,---,---,---,---,
C24S,11:40:58,---,---,---,---,---,
C24S,11:41:42,---,---,---,---,---,
C24S,11:42:26,---,---,---,---,---,
C24S,11:43:10,---,---,---,---,---,
C24S,11:43:54,---,---,---,---,---,
C24S,11:44:38,---,---,---,---,---,
C24S,11:45:22,---,---,---,---,---,
C24S,11:46:06,---,---,---,---,---,
C24S,11:46:50,---,---,---,---,---,
C24S,11:47:34,---,---,---,---,---,
C24S,11:48:19,---,---,---,---,---,
C24S,11:49:03,---,---,---,---,---,
C24S,11:49:47,---,---,---,---,---,
C24S,11:50:31,---,---,---,---,---,
C24S,11:51:15,---,---,---,---,---,
C24S,11:51:59,---,---,---,---,---,
C24S,11:52:43,---,---,---,---,---,
C24S,11:53:27,---,---,---,---,---,
C24S,11:54:11,---,---,---,---,---,
C24S,11:54:55,---,---,---,---,---,
C24S,11:55:39,---,---,---,---,---,
C24S,11:56:23,---,---,---,---,---,
C24S,11:57:07,---,---,---,---,---,
C24S,11:57:51,---,---,---,---,---,
C24S,11:58:30,86.8,35.7,---,---,---,
C24S,11:59:05,84.0,34.1,---,---,---,
C24S,11:59:41,84.2,34.5,---,---,---,
C24S,12:00:16,84.7,34.4,---,---,---,
C24S,12:00:52,85.0,34.7,---,---,---,
C24S,12:01:27,84.9,34.4,---,---,---,
C24S,12:02:03,85.6,35.3,---,---,---,
C24S,12:02:38,85.6,35.0,---,---,---,
C24S,12:03:14,85.6,34.6,---,---,---,
C24S,12:03:51,85.7,34.2,---,---,---,
C24S,12:04:26,85.5,34.3,---,---,---,
C24S,12:05:02,85.2,34.5,---,---,---,
C24S,12:05:37,85.4,34.4,---,---,---,
C24S,12:06:13,85.3,34.6,---,---,---,
C24S,12:06:48,3.9,115.1,---,---,---,
C24S,12:07:24,85.1,33.9,---,---,---,
C24S,12:07:59,84.7,34.6,---,---,---,
C24S,12:08:35,77.2,34.5,---,---,---,
C24S,12:09:10,32.8,19.1,---,---,---,
C24S,12:09:57,---,---,---,---,---,
C24S,12:10:42,---,---,---,---,---,
C24S,12:11:26,---,---,---,---,---,
C24S,12:12:10,---,---,---,---,---,
C24S,12:12:54,---,---,---,---,---,
