Source File: C:\Users\Temp\Desktop\MINILOG 2017\Minilog-TD_6190_20170914_1.vld
Source Device: Minilog-TD-6190
Study Description: GP161A1
Minilog Initialized: 2017-09-14 12:18:03 (UTC-3)
Study Start Time: 2017-09-14 12:18:03
Study Stop Time: 2017-09-14 12:56:52
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2017-09-14,12:20:25,25.05,-1.62
2017-09-14,12:20:26,25.05,0.00
2017-09-14,12:20:27,24.89,0.00
2017-09-14,12:20:28,24.89,-1.62
2017-09-14,12:20:29,24.72,0.00
2017-09-14,12:20:30,24.72,0.00
2017-09-14,12:20:31,24.72,0.00
2017-09-14,12:20:32,24.72,0.00
2017-09-14,12:20:33,24.72,0.00
2017-09-14,12:20:34,24.72,-1.62
2017-09-14,12:20:35,24.55,0.00
2017-09-14,12:20:36,24.55,0.00
2017-09-14,12:20:37,24.55,0.00
2017-09-14,12:20:38,24.38,0.00
2017-09-14,12:20:39,24.38,0.00
2017-09-14,12:20:40,24.38,0.00
2017-09-14,12:20:41,24.38,0.00
2017-09-14,12:20:42,24.21,0.00
2017-09-14,12:20:43,24.21,0.00
2017-09-14,12:20:44,24.21,0.00
2017-09-14,12:20:45,24.21,0.00
2017-09-14,12:20:46,24.21,0.00
2017-09-14,12:20:47,24.21,-1.62
2017-09-14,12:20:48,24.05,0.00
2017-09-14,12:20:49,24.05,-1.62
2017-09-14,12:20:50,24.05,0.00
2017-09-14,12:20:51,23.88,0.00
2017-09-14,12:20:52,23.88,0.00
2017-09-14,12:20:53,23.88,0.00
2017-09-14,12:20:54,23.88,0.00
2017-09-14,12:20:55,23.72,0.00
2017-09-14,12:20:56,23.72,0.00
2017-09-14,12:20:57,23.72,-1.62
2017-09-14,12:20:58,23.72,-1.62
2017-09-14,12:20:59,23.72,-1.62
2017-09-14,12:21:00,23.55,-1.62
2017-09-14,12:21:01,23.55,-1.62
2017-09-14,12:21:02,23.55,0.00
2017-09-14,12:21:03,23.55,0.00
2017-09-14,12:21:04,23.39,0.00
2017-09-14,12:21:05,23.39,0.00
2017-09-14,12:21:06,23.39,0.00
2017-09-14,12:21:07,23.39,-1.62
2017-09-14,12:21:08,23.39,-1.62
