Source File: C:\Users\Temp\Desktop\MINILOG 2017\Minilog-TD_4409_20170725_117_GP136F.vld
Source Device: Minilog-TD-4409
Study Description: GP136F
Minilog Initialized: 2017-07-25 16:32:22 (UTC-3)
Study Start Time: 2017-07-25 16:32:22
Study Stop Time: 2017-07-25 17:08:51
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2017-07-25,16:32:22,20.62,17.01
2017-07-25,16:32:23,20.62,17.01
2017-07-25,16:32:24,20.62,17.01
2017-07-25,16:32:25,20.62,15.12
2017-07-25,16:32:26,20.62,15.12
2017-07-25,16:32:27,20.62,15.12
2017-07-25,16:32:28,20.62,15.12
2017-07-25,16:32:29,20.62,15.12
2017-07-25,16:32:30,20.62,15.12
2017-07-25,16:32:31,20.62,15.12
2017-07-25,16:32:32,20.62,15.12
2017-07-25,16:32:33,20.62,15.12
2017-07-25,16:32:34,20.62,17.01
2017-07-25,16:32:35,20.62,17.01
2017-07-25,16:32:36,20.62,15.12
2017-07-25,16:32:37,20.62,15.12
2017-07-25,16:32:38,20.62,15.12
2017-07-25,16:32:39,20.62,15.12
2017-07-25,16:32:40,20.62,17.01
2017-07-25,16:32:41,20.62,15.12
2017-07-25,16:32:42,20.62,15.12
2017-07-25,16:32:43,20.62,15.12
2017-07-25,16:32:44,20.62,15.12
2017-07-25,16:32:45,20.62,15.12
2017-07-25,16:32:46,20.62,15.12
2017-07-25,16:32:47,20.62,15.12
2017-07-25,16:32:48,20.62,15.12
2017-07-25,16:32:49,20.62,17.01
2017-07-25,16:32:50,20.62,17.01
2017-07-25,16:32:51,20.62,17.01
2017-07-25,16:32:52,20.62,17.01
2017-07-25,16:32:53,20.62,17.01
2017-07-25,16:32:54,20.62,15.12
2017-07-25,16:32:55,20.62,15.12
2017-07-25,16:32:56,20.62,17.01
2017-07-25,16:32:57,20.62,15.12
2017-07-25,16:32:58,20.62,17.01
2017-07-25,16:32:59,20.62,17.01
2017-07-25,16:33:00,20.62,15.12
2017-07-25,16:33:01,20.62,15.12
2017-07-25,16:33:02,20.62,17.01
2017-07-25,16:33:03,20.62,15.12
2017-07-25,16:33:04,20.62,15.12
2017-07-25,16:33:05,20.62,17.01
2017-07-25,16:33:06,20.62,17.01
2017-07-25,16:33:07,20.62,17.01
2017-07-25,16:33:08,20.62,17.01
2017-07-25,16:33:09,20.62,15.12
2017-07-25,16:33:10,20.62,15.12
2017-07-25,16:33:11,20.62,17.01
2017-07-25,16:33:12,20.62,17.01
2017-07-25,16:33:13,20.62,15.12
2017-07-25,16:33:14,20.62,15.12
2017-07-25,16:33:15,20.62,15.12
2017-07-25,16:33:16,20.62,15.12
2017-07-25,16:33:17,20.62,15.12
2017-07-25,16:33:18,20.62,15.12
2017-07-25,16:33:19,20.62,17.01
2017-07-25,16:33:20,20.62,17.01
2017-07-25,16:33:21,20.62,17.01
2017-07-25,16:33:22,20.62,17.01
2017-07-25,16:33:23,20.62,17.01
2017-07-25,16:33:24,20.62,17.01
2017-07-25,16:33:25,20.62,15.12
2017-07-25,16:33:26,20.62,15.12
2017-07-25,16:33:27,20.62,15.12
2017-07-25,16:33:28,20.62,17.01
2017-07-25,16:33:29,20.62,17.01
2017-07-25,16:33:30,20.62,15.12
2017-07-25,16:33:31,20.62,17.01
2017-07-25,16:33:32,20.62,15.12
2017-07-25,16:33:33,20.62,15.12
2017-07-25,16:33:34,20.62,15.12
2017-07-25,16:33:35,20.62,15.12
2017-07-25,16:33:36,20.62,15.12
2017-07-25,16:33:37,20.62,15.12
2017-07-25,16:33:38,20.62,15.12
2017-07-25,16:33:39,20.62,15.12
2017-07-25,16:33:40,20.62,15.12
2017-07-25,16:33:41,20.62,15.12
2017-07-25,16:33:42,20.62,15.12
2017-07-25,16:33:43,20.62,17.01
2017-07-25,16:33:44,20.62,15.12
2017-07-25,16:33:45,20.62,15.12
2017-07-25,16:33:46,20.62,15.12
2017-07-25,16:33:47,20.62,15.12
2017-07-25,16:33:48,20.62,15.12
2017-07-25,16:33:49,20.62,15.12
2017-07-25,16:33:50,20.62,15.12
2017-07-25,16:33:51,20.62,15.12
2017-07-25,16:33:52,20.62,15.12
2017-07-25,16:33:53,20.62,15.12
2017-07-25,16:33:54,20.62,15.12
2017-07-25,16:33:55,20.62,15.12
2017-07-25,16:33:56,20.62,15.12
2017-07-25,16:33:57,20.62,15.12
2017-07-25,16:33:58,20.62,15.12
2017-07-25,16:33:59,20.62,15.12
2017-07-25,16:34:00,20.62,15.12
2017-07-25,16:34:01,20.62,17.01
2017-07-25,16:34:02,20.62,15.12
2017-07-25,16:34:03,20.62,15.12
2017-07-25,16:34:04,20.62,15.12
2017-07-25,16:34:05,20.62,17.01
2017-07-25,16:34:06,20.62,15.12
2017-07-25,16:34:07,20.62,15.12
2017-07-25,16:34:08,20.62,17.01
2017-07-25,16:34:09,20.62,17.01
2017-07-25,16:34:10,20.62,15.12
2017-07-25,16:34:11,20.62,15.12
2017-07-25,16:34:12,20.62,15.12
2017-07-25,16:34:13,20.62,15.12
2017-07-25,16:34:14,20.62,17.01
2017-07-25,16:34:15,20.62,15.12
2017-07-25,16:34:16,20.62,15.12
2017-07-25,16:34:17,20.62,15.12
2017-07-25,16:34:18,20.62,17.01
2017-07-25,16:34:19,20.62,15.12
2017-07-25,16:34:20,20.62,15.12
2017-07-25,16:34:21,20.62,15.12
2017-07-25,16:34:22,20.62,15.12
2017-07-25,16:34:23,20.62,15.12
2017-07-25,16:34:24,20.62,15.12
2017-07-25,16:34:25,20.62,15.12
2017-07-25,16:34:26,20.62,17.01
2017-07-25,16:34:27,20.62,17.01
2017-07-25,16:34:28,20.62,15.12
2017-07-25,16:34:29,20.62,17.01
2017-07-25,16:34:30,20.62,15.12
2017-07-25,16:34:31,20.62,15.12
2017-07-25,16:34:32,20.62,15.12
2017-07-25,16:34:33,20.62,17.01
2017-07-25,16:34:34,20.62,15.12
2017-07-25,16:34:35,20.62,17.01
2017-07-25,16:34:36,20.62,15.12
2017-07-25,16:34:37,20.62,15.12
2017-07-25,16:34:38,20.62,15.12
2017-07-25,16:34:39,20.62,15.12
2017-07-25,16:34:40,20.62,15.12
2017-07-25,16:34:41,20.62,15.12
2017-07-25,16:34:42,20.62,15.12
2017-07-25,16:34:43,20.62,15.12
2017-07-25,16:34:44,20.62,17.01
2017-07-25,16:34:45,20.62,15.12
2017-07-25,16:34:46,20.62,15.12
2017-07-25,16:34:47,20.62,15.12
2017-07-25,16:34:48,20.62,17.01
2017-07-25,16:34:49,20.62,17.01
2017-07-25,16:34:50,20.62,15.12
2017-07-25,16:34:51,20.62,15.12
2017-07-25,16:34:52,20.62,17.01
2017-07-25,16:34:53,20.62,17.01
2017-07-25,16:34:54,20.62,17.01
2017-07-25,16:34:55,20.62,15.12
2017-07-25,16:34:56,20.62,15.12
2017-07-25,16:34:57,20.62,15.12
2017-07-25,16:34:58,20.62,15.12
2017-07-25,16:34:59,20.62,15.12
2017-07-25,16:35:00,20.62,15.12
2017-07-25,16:35:01,20.62,15.12
2017-07-25,16:35:02,20.62,15.12
2017-07-25,16:35:03,20.62,15.12
2017-07-25,16:35:04,20.62,15.12
2017-07-25,16:35:05,20.62,15.12
2017-07-25,16:35:06,20.62,15.12
2017-07-25,16:35:07,20.62,13.23
2017-07-25,16:35:08,20.62,13.23
2017-07-25,16:35:09,20.62,15.12
2017-07-25,16:35:10,20.62,13.23
2017-07-25,16:35:11,20.62,15.12
2017-07-25,16:35:12,20.62,15.12
2017-07-25,16:35:13,20.62,15.12
2017-07-25,16:35:14,20.62,15.12
2017-07-25,16:35:15,20.62,15.12
2017-07-25,16:35:16,20.62,15.12
2017-07-25,16:35:17,20.62,15.12
2017-07-25,16:35:18,20.62,15.12
2017-07-25,16:35:19,20.62,15.12
2017-07-25,16:35:20,20.62,15.12
2017-07-25,16:35:21,20.62,15.12
2017-07-25,16:35:22,20.62,13.23
2017-07-25,16:35:23,20.62,15.12
2017-07-25,16:35:24,20.62,15.12
2017-07-25,16:35:25,20.62,15.12
2017-07-25,16:35:26,20.62,15.12
2017-07-25,16:35:27,20.62,15.12
2017-07-25,16:35:28,20.62,15.12
2017-07-25,16:35:29,20.62,13.23
2017-07-25,16:35:30,20.62,13.23
2017-07-25,16:35:31,20.62,15.12
2017-07-25,16:35:32,20.62,13.23
2017-07-25,16:35:33,20.62,13.23
2017-07-25,16:35:34,20.62,13.23
2017-07-25,16:35:35,20.62,13.23
2017-07-25,16:35:36,20.62,15.12
2017-07-25,16:35:37,20.62,15.12
2017-07-25,16:35:38,20.62,13.23
2017-07-25,16:35:39,20.62,15.12
2017-07-25,16:35:40,20.62,13.23
2017-07-25,16:35:41,20.62,15.12
2017-07-25,16:35:42,20.62,13.23
2017-07-25,16:35:43,20.62,15.12
2017-07-25,16:35:44,20.62,15.12
2017-07-25,16:35:45,20.62,15.12
2017-07-25,16:35:46,20.62,15.12
2017-07-25,16:35:47,20.62,15.12
2017-07-25,16:35:48,20.62,15.12
2017-07-25,16:35:49,20.62,15.12
2017-07-25,16:35:50,20.62,15.12
2017-07-25,16:35:51,20.62,15.12
2017-07-25,16:35:52,20.62,15.12
2017-07-25,16:35:53,20.62,15.12
2017-07-25,16:35:54,20.62,15.12
2017-07-25,16:35:55,20.62,15.12
2017-07-25,16:35:56,20.62,15.12
2017-07-25,16:35:57,20.62,15.12
2017-07-25,16:35:58,20.62,15.12
2017-07-25,16:35:59,20.62,15.12
2017-07-25,16:36:00,20.62,17.01
2017-07-25,16:36:01,20.62,17.01
2017-07-25,16:36:02,20.42,11.34
2017-07-25,16:36:03,19.91,11.34
2017-07-25,16:36:04,19.51,9.45
2017-07-25,16:36:05,19.41,11.34
2017-07-25,16:36:06,19.41,11.34
2017-07-25,16:36:07,19.21,13.23
2017-07-25,16:36:08,19.21,11.34
2017-07-25,16:36:09,19.21,11.34
2017-07-25,16:36:10,19.11,11.34
2017-07-25,16:36:11,19.11,13.23
2017-07-25,16:36:12,19.11,13.23
2017-07-25,16:36:13,19.11,13.23
2017-07-25,16:36:14,19.11,13.23
2017-07-25,16:36:15,19.11,13.23
2017-07-25,16:36:16,19.11,15.12
2017-07-25,16:36:17,19.11,13.23
2017-07-25,16:36:18,19.11,13.23
2017-07-25,16:36:19,19.11,13.23
