FileName: C:\PROGRA~1\NETMIND\AREA19~1\GP302.TXT
Local Time: Sat Jun 21 08:06:27 2008

Ship: 21 juin 2008 Trip: GP302 Tow: 4
Comments: Area F
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080621  110735  47  22.2254 N  60  24.7437 W   7.4        2.8        8.9        5.2       41.8 
080621  110736  47  22.2274 N  60  24.7435 W   7.4        2.8        8.9        5.2       41.8 
080621  110737  47  22.2295 N  60  24.7434 W   7.4        2.8        8.9        5.2       41.8 
080621  110738  47  22.2316 N  60  24.7434 W   7.4        2.8        8.9        5.2       41.8 
080621  110739  47  22.2336 N  60  24.7432 W   7.4        2.8        8.9        5.2       41.8 
080621  110740  47  22.2357 N  60  24.7430 W   7.4        2.8        8.9        5.2       41.8 
080621  110741  47  22.2378 N  60  24.7427 W   7.5        2.8        8.9        5.2       41.8 
080621  110742  47  22.2400 N  60  24.7426 W   7.5        2.2*       8.9        5.2       41.8 
080621  110743  47  22.2421 N  60  24.7423 W   7.5        2.2        8.9        5.2       41.8 
080621  110744  47  22.2442 N  60  24.7422 W   7.5        2.2        8.9        5.2       41.8 
080621  110745  47  22.2463 N  60  24.7420 W   7.6        2.2        8.9        5.2       41.8 
080621  110746  47  22.2484 N  60  24.7418 W   7.6        2.2        8.9        5.2       41.8 
080621  110747  47  22.2505 N  60  24.7415 W   7.6        2.2        8.9        5.2       41.8 
080621  110748  47  22.2526 N  60  24.7413 W   7.6        2.2        8.9        5.2       41.8 
080621  110749  47  22.2547 N  60  24.7411 W   7.6        2.2        8.9        5.2       41.8 
080621  110750  47  22.2569 N  60  24.7408 W   7.6        2.2        8.9        5.2       41.8 
080621  110751  47  22.2590 N  60  24.7406 W   7.6        2.2        8.9        5.2       41.8 
080621  110752  47  22.2612 N  60  24.7404 W   7.6        2.2        8.9        5.2       41.8 
080621  110753  47  22.2633 N  60  24.7401 W   7.6        2.2        8.9        5.2       41.8 
080621  110754  47  22.2654 N  60  24.7397 W   7.6        2.2        8.9        5.2       41.8 
080621  110755  47  22.2675 N  60  24.7392 W   7.7        2.2        8.9        5.2       41.8 
080621  110756  47  22.2697 N  60  24.7387 W   7.7        2.2        8.9        5.2       41.8 
080621  110757  47  22.2718 N  60  24.7382 W   7.7        2.2        8.9        5.2       41.8 
080621  110758  47  22.2740 N  60  24.7378 W   7.7        2.2        8.9        5.2       41.8 
080621  110759  47  22.2761 N  60  24.7373 W   7.7        2.2        8.9        5.2       41.8 
080621  110800  47  22.2782 N  60  24.7369 W   7.7        2.2        8.9        5.2       41.8 
080621  110801  47  22.2803 N  60  24.7364 W   7.7        2.2        8.9        5.2       41.8 
080621  110802  47  22.2825 N  60  24.7359 W   7.7        2.2        8.9        5.2       41.8 
080621  110803  47  22.2847 N  60  24.7352 W   7.7        2.2        8.9        5.2       41.8 
080621  110804  47  22.2868 N  60  24.7346 W   7.8        2.2        8.9        5.2       41.8 
080621  110805  47  22.2890 N  60  24.7341 W   7.8        2.2        8.9        5.2       41.8 
080621  110806  47  22.2912 N  60  24.7335 W   7.8        2.2        8.9        5.2       54.5*
080621  110807  47  22.2933 N  60  24.7330 W   7.8        2.2        8.9        5.2       54.5 
080621  110808  47  22.2955 N  60  24.7325 W   7.8        2.2        8.9        5.2       54.5 
080621  110809  47  22.2976 N  60  24.7318 W   7.8        2.2        8.9        5.2       54.5 
080621  110810  47  22.2997 N  60  24.7310 W   7.8        2.2        8.9        5.2       54.5 
080621  110811  47  22.3018 N  60  24.7302 W   7.8        2.2        8.9        5.2       54.5 
080621  110812  47  22.3039 N  60  24.7294 W   7.8        2.2        8.9        5.2       54.5 
080621  110813  47  22.3061 N  60  24.7288 W   7.8        2.2        8.9        5.2       54.5 
080621  110814  47  22.3082 N  60  24.7281 W   7.8        2.2        8.9        5.2       54.5 
080621  110815  47  22.3104 N  60  24.7275 W   7.8        2.2        8.9        5.2       54.5 
080621  110816  47  22.3125 N  60  24.7268 W   7.9        2.2        8.9        5.2       54.5 
080621  110817  47  22.3147 N  60  24.7261 W   7.9        2.2        8.9        5.2       54.5 
080621  110818  47  22.3167 N  60  24.7253 W   7.9        2.2        8.1*       5.2       54.5 
080621  110819  47  22.3189 N  60  24.7244 W   7.9        2.2        8.1        5.2       54.5 
080621  110820  47  22.3209 N  60  24.7236 W   7.9        2.2        8.1        5.2       54.5 
080621  110821  47  22.3230 N  60  24.7228 W   7.8        2.2        8.1        5.2       54.5 
080621  110822  47  22.3251 N  60  24.7220 W   7.8        2.2        8.1        5.2       54.5 
080621  110823  47  22.3273 N  60  24.7213 W   7.8        2.2        8.1        5.2       54.5 
080621  110824  47  22.3294 N  60  24.7207 W   7.8        2.2        8.1        5.2       54.5 
080621  110825  47  22.3317 N  60  24.7199 W   7.9        2.2        8.1        5.2       54.5 
080621  110826  47  22.3338 N  60  24.7191 W   7.9        2.2        8.1        5.2       54.5 
080621  110827  47  22.3359 N  60  24.7183 W   7.9        2.2        8.1        5.2       54.5 
080621  110828  47  22.3381 N  60  24.7174 W   7.9        2.2        8.1        5.2       54.5 
080621  110829  47  22.3401 N  60  24.7164 W   7.9        2.2        8.1        5.2       54.5 
080621  110830  47  22.3422 N  60  24.7155 W   7.8        2.2        8.1        5.2       54.5 
080621  110831  47  22.3442 N  60  24.7146 W   7.8        2.2        8.1        5.2       54.5 
080621  110832  47  22.3463 N  60  24.7136 W   7.8        2.2        8.1        5.2       54.5 
080621  110833  47  22.3484 N  60  24.7128 W   7.8        2.2        8.1        5.2       54.5 
080621  110834  47  22.3506 N  60  24.7118 W   7.8        2.2        8.1        5.2       54.5 
080621  110835  47  22.3527 N  60  24.7109 W   7.8        2.2        8.1        5.2       54.5 
080621  110836  47  22.3548 N  60  24.7098 W   7.9        2.2        8.1        5.2       54.5 
080621  110837  47  22.3569 N  60  24.7087 W   7.8        2.2        8.1        5.2       54.5 
080621  110838  47  22.3589 N  60  24.7076 W   7.8        2.2        8.1        5.2       54.5 
080621  110839  47  22.3609 N  60  24.7066 W   7.8        2.2        8.1        5.2       54.5 
080621  110840  47  22.3629 N  60  24.7056 W   7.8        2.2        8.1        5.2       54.5 
080621  110841  47  22.3650 N  60  24.7045 W   7.8        2.2        8.1        5.2       54.5 
080621  110842  47  22.3671 N  60  24.7034 W   7.8        2.2        8.1        5.2       54.5 
080621  110843  47  22.3692 N  60  24.7024 W   7.9        2.2        8.1        5.2       54.5 
080621  110844  47  22.3713 N  60  24.7012 W   7.9        2.2        8.1        5.2       54.5 
080621  110845  47  22.3734 N  60  24.7001 W   7.9        2.2        8.1        5.2       54.5 
080621  110846  47  22.3755 N  60  24.6990 W   7.9        2.2        8.1        5.2       54.5 
080621  110847  47  22.3775 N  60  24.6978 W   7.9        2.2        8.1        5.2       54.5 
080621  110848  47  22.3795 N  60  24.6966 W   7.9        2.2        8.1        5.2       54.5 
080621  110849  47  22.3815 N  60  24.6953 W   7.8        2.2        8.1        5.2       54.5 
080621  110850  47  22.3834 N  60  24.6941 W   7.8        2.2        8.1        5.2       54.5 
080621  110851  47  22.3852 N  60  24.6930 W   7.7        2.2        8.1        5.2       54.5 
080621  110852  47  22.3871 N  60  24.6919 W   7.6        2.2        8.1        5.2       54.5 
080621  110853  47  22.3889 N  60  24.6909 W   7.5        2.2        8.1        5.2       54.5 
080621  110854  47  22.3906 N  60  24.6899 W   7.4        2.2        8.1        5.2       54.5 
080621  110855  47  22.3924 N  60  24.6888 W   7.3        2.2        8.1        5.2       54.5 
080621  110856  47  22.3940 N  60  24.6877 W   7.1        2.2        8.1        5.2       54.5 
080621  110857  47  22.3956 N  60  24.6867 W   7.0        2.2        8.1        5.2       54.5 
080621  110858  47  22.3972 N  60  24.6858 W   6.9        2.2        8.1        5.2       54.5 
080621  110859  47  22.3987 N  60  24.6850 W   6.7        2.2        8.1        5.2       64.7*
080621  110900  47  22.4002 N  60  24.6843 W   6.6        2.2        8.1        7.1*      64.7 
080621  110901  47  22.4018 N  60  24.6835 W   6.6        2.2        8.1        7.1       64.7 
080621  110902  47  22.4033 N  60  24.6826 W   6.5        2.2        8.1        7.1       64.7 
080621  110903  47  22.4049 N  60  24.6817 W   6.4        2.2        8.1        7.1       64.7 
080621  110904  47  22.4065 N  60  24.6809 W   6.3        2.2        8.1        7.1       22.0*
080621  110905  47  22.4080 N  60  24.6802 W   6.3        2.2        8.1        8.0*      22.0 
080621  110906  47  22.4095 N  60  24.6795 W   6.2        2.2        8.1        8.0       22.0 
080621  110907  47  22.4109 N  60  24.6787 W   6.1        2.2        8.1        8.0       22.0 
080621  110908  47  22.4124 N  60  24.6780 W   6.1        2.2        8.1        8.0       22.0 
080621  110909  47  22.4139 N  60  24.6773 W   6.0        2.2        8.1        8.0       29.9*
080621  110910  47  22.4154 N  60  24.6766 W   6.0        2.2        8.1        8.9*      29.9 
080621  110911  47  22.4169 N  60  24.6760 W   5.9        2.2        8.1        8.9       29.9 
080621  110912  47  22.4185 N  60  24.6754 W   5.9        2.2        8.1        8.9       29.9 
080621  110913  47  22.4199 N  60  24.6748 W   5.9        2.2        8.1        8.9       29.9 
080621  110914  47  22.4214 N  60  24.6741 W   5.8        2.2        8.1        8.9       29.9 
080621  110915  47  22.4230 N  60  24.6734 W   5.8        2.2        8.1        8.9       34.8*
080621  110916  47  22.4245 N  60  24.6728 W   5.8        2.2        8.1        8.9       34.8 
080621  110917  47  22.4260 N  60  24.6722 W   5.8        7.3*       8.1        8.9       34.8 
080621  110918  47  22.4275 N  60  24.6717 W   5.7        7.3        8.1        8.9       34.8 
080621  110919  47  22.4290 N  60  24.6712 W   5.7        7.3        8.1        8.9       34.8 
080621  110920  47  22.4305 N  60  24.6706 W   5.7        7.3        8.1        8.9       34.3*
080621  110921  47  22.4319 N  60  24.6701 W   5.6        7.3        8.1        8.9       34.3 
080621  110922  47  22.4332 N  60  24.6695 W   5.5        7.3        8.1        8.9       34.3 
080621  110923  47  22.4344 N  60  24.6690 W   5.3        7.3        8.1        8.9       34.3 
080621  110924  47  22.4355 N  60  24.6686 W   5.1        7.3        8.1        8.9       34.3 
080621  110925  47  22.4365 N  60  24.6682 W   5.0        7.3        8.1        8.9       33.4*
080621  110926  47  22.4376 N  60  24.6678 W   4.8        7.3        8.1        3.0*      33.4 
080621  110927  47  22.4385 N  60  24.6673 W   4.6        7.3        8.1        3.0       33.4 
080621  110928  47  22.4394 N  60  24.6669 W   4.4        7.3        8.1        3.0       33.4 
080621  110929  47  22.4402 N  60  24.6665 W   4.2        7.3       11.3*       3.0       33.4 
080621  110930  47  22.4409 N  60  24.6661 W   4.0        7.3       11.3        3.0       33.4 
080621  110931  47  22.4417 N  60  24.6657 W   3.8        7.3       11.3        3.0       25.1*
080621  110932  47  22.4423 N  60  24.6653 W   3.6        7.3       11.3        3.0       25.1 
080621  110933  47  22.4430 N  60  24.6650 W   3.5        7.3       11.3        3.0       25.1 
080621  110934  47  22.4437 N  60  24.6646 W   3.3        7.3       11.3        3.0       25.1 
080621  110935  47  22.4443 N  60  24.6642 W   3.2        7.3       11.3        3.0       25.1 
080621  110936  47  22.4449 N  60  24.6639 W   3.1        7.3       11.3        3.0       40.5*
080621  110937  47  22.4455 N  60  24.6636 W   3.0        7.3       11.3        3.0       40.5 
080621  110938  47  22.4461 N  60  24.6632 W   2.9        7.3       11.3        3.0       40.5 
080621  110939  47  22.4466 N  60  24.6629 W   2.7        7.3       11.3        3.0       40.5 
080621  110940  47  22.4471 N  60  24.6625 W   2.6        7.3       11.3        3.0       40.5 
080621  110941  47  22.4477 N  60  24.6622 W   2.6        7.3       11.9*       3.0       25.1*
080621  110942  47  22.4481 N  60  24.6619 W   2.5        7.3       11.9        3.0       25.1 
080621  110943  47  22.4486 N  60  24.6616 W   2.4        7.3       11.9        3.0       25.1 
080621  110944  47  22.4491 N  60  24.6612 W   2.3        7.3       11.9        3.0       25.1 
080621  110945  47  22.4496 N  60  24.6609 W   2.3        7.3       11.9        3.0       25.1 
080621  110946  47  22.4501 N  60  24.6606 W   2.2        7.3       11.9        3.0       42.2*
080621  110947  47  22.4505 N  60  24.6603 W   2.1        7.3       11.9        3.0       42.2 
080621  110948  47  22.4509 N  60  24.6600 W   2.1        7.3       11.9        3.0       42.2 
080621  110949  47  22.4514 N  60  24.6595 W   2.1        7.3       11.9        3.0       42.2 
080621  110950  47  22.4518 N  60  24.6592 W   2.0        7.3       11.9        3.0       42.2 
080621  110951  47  22.4523 N  60  24.6589 W   2.0        7.3       11.9        3.0       42.2 
080621  110952  47  22.4527 N  60  24.6587 W   1.9        7.3       11.9        3.0       34.3*
080621  110953  47  22.4531 N  60  24.6584 W   1.9        7.3       11.9        3.0       34.3 
080621  110954  47  22.4535 N  60  24.6581 W   1.9        7.3       11.9        3.0       34.3 
080621  110955  47  22.4539 N  60  24.6577 W   1.9        7.3       11.9        3.0       34.3 
080621  110956  47  22.4543 N  60  24.6573 W   1.9        7.3       11.9        3.0       34.3 
080621  110957  47  22.4547 N  60  24.6569 W   1.8        7.3       11.9        3.0       92.4*
080621  110958  47  22.4551 N  60  24.6567 W   1.8        7.3       11.9        3.0       92.4 
080621  110959  47  22.4555 N  60  24.6564 W   1.8        7.3       11.9        3.0       92.4 
080621  111000  47  22.4559 N  60  24.6561 W   1.7        7.3       11.9        3.0       92.4 
080621  111001  47  22.4563 N  60  24.6558 W   1.8        7.3       11.9        3.0       92.4 
080621  111002  47  22.4567 N  60  24.6554 W   1.7        7.3       11.9        3.0       92.4 
080621  111003  47  22.4570 N  60  24.6552 W   1.7        7.3       11.9        3.0       92.4 
080621  111004  47  22.4574 N  60  24.6549 W   1.7        7.3       11.9        3.0       92.4 
080621  111005  47  22.4578 N  60  24.6546 W   1.7        7.3       11.9*       3.0       92.4 
080621  111006  47  22.4581 N  60  24.6544 W   1.7        7.3       11.9        3.0       92.4 
080621  111007  47  22.4585 N  60  24.6541 W   1.7        7.3       11.9        3.0       92.4 
080621  111008  47  22.4589 N  60  24.6538 W   1.7        7.3       11.9        3.0       38.3*
080621  111009  47  22.4593 N  60  24.6534 W   1.7        7.3       11.9        3.0       38.3 
080621  111010  47  22.4596 N  60  24.6531 W   1.6        7.3       11.9        3.0       38.3 
080621  111011  47  22.4600 N  60  24.6529 W   1.7        7.3       11.9        3.0       38.3 
080621  111012  47  22.4604 N  60  24.6526 W   1.7        7.3       11.9        3.0       38.3 
080621  111013  47  22.4608 N  60  24.6522 W   1.7        7.3       11.9        3.0       47.1*
080621  111014  47  22.4612 N  60  24.6518 W   1.7        7.3       11.9        3.0       47.1 
080621  111015  47  22.4616 N  60  24.6515 W   1.7        7.3       11.9        3.0       47.1 
080621  111016  47  22.4621 N  60  24.6513 W   1.7        7.3       11.9        3.0       47.1 
080621  111017  47  22.4626 N  60  24.6510 W   1.7        7.3       10.4*       3.0       47.1 
080621  111018  47  22.4630 N  60  24.6507 W   1.7        7.3       10.4        3.0       86.2*
080621  111019  47  22.4635 N  60  24.6503 W   1.8        7.3       10.4        3.0       86.2 
080621  111020  47  22.4640 N  60  24.6499 W   1.8        7.3       10.4        3.0       86.2 
080621  111021  47  22.4645 N  60  24.6496 W   1.8        7.3       10.4        3.0       86.2 
080621  111022  47  22.4649 N  60  24.6493 W   1.8        7.3       10.4        5.3*      86.2 
080621  111023  47  22.4653 N  60  24.6490 W   1.8        7.3       10.4        5.3       86.2 
080621  111024  47  22.4658 N  60  24.6486 W   1.8        7.3       10.4        5.3       15.0*
080621  111025  47  22.4663 N  60  24.6483 W   1.8        7.3       10.4        5.3       15.0 
080621  111026  47  22.4668 N  60  24.6480 W   1.9        7.3       10.4        5.3       15.0 
080621  111027  47  22.4673 N  60  24.6477 W   1.9        7.3       10.4        6.5*      15.0 
080621  111028  47  22.4678 N  60  24.6474 W   1.9        7.3       10.4        6.5       15.0 
080621  111029  47  22.4683 N  60  24.6472 W   1.9        7.3       10.8*       6.5       58.9*
080621  111030  47  22.4689 N  60  24.6469 W   1.9        7.3       10.8        6.5       58.9 
080621  111031  47  22.4694 N  60  24.6465 W   1.9        7.3       10.8        6.5       58.9 
