FileName: C:\PROGRA~1\NETMIND\AREA19~1\GP253.TXT
Local Time: Sun Jun 22 12:27:17 2008

Ship: 22 juin 2008 Trip: GP253 Tow: 8
Comments: Area 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
080622  152718  47   4.5907 N  60  52.1430 W   7.0        4.6*       2.4*      42.1      101.2*
080622  152719  47   4.5907 N  60  52.1406 W   6.8        4.6        2.4       42.1      101.2 
080622  152720  47   4.5907 N  60  52.1384 W   6.6        4.6        2.4       42.1      101.2 
080622  152721  47   4.5906 N  60  52.1362 W   6.4        4.6        2.4       42.1      101.2 
080622  152722  47   4.5906 N  60  52.1341 W   6.2        4.6        2.4       42.1      101.2 
080622  152723  47   4.5906 N  60  52.1321 W   6.0        4.6        2.4       42.1      101.2 
080622  152724  47   4.5907 N  60  52.1302 W   5.8        4.6        2.4       42.1      101.2 
080622  152725  47   4.5907 N  60  52.1283 W   5.6        4.6        2.4       42.1      101.2 
080622  152726  47   4.5906 N  60  52.1263 W   5.5        4.6        2.4       42.1      101.2 
080622  152727  47   4.5907 N  60  52.1245 W   5.3        4.6        2.4       42.1      101.2 
080622  152728  47   4.5908 N  60  52.1228 W   5.1        4.6        2.4       42.1      101.2 
080622  152729  47   4.5908 N  60  52.1210 W   5.0        4.6        2.4       42.1      101.2 
080622  152730  47   4.5908 N  60  52.1192 W   4.9        4.6        2.4       42.1      101.2 
080622  152731  47   4.5907 N  60  52.1175 W   4.8        4.6        2.4       42.1      101.2 
080622  152732  47   4.5908 N  60  52.1158 W   4.7        4.6        2.4       42.1      101.2 
080622  152733  47   4.5908 N  60  52.1142 W   4.6        4.6        2.4       42.1      101.2 
080622  152734  47   4.5908 N  60  52.1126 W   4.5        4.6        2.4       42.1      101.2 
080622  152735  47   4.5908 N  60  52.1110 W   4.4        4.6        2.4        2.3*     101.2 
080622  152736  47   4.5908 N  60  52.1095 W   4.3        4.6        2.4        2.3      101.2 
080622  152737  47   4.5908 N  60  52.1080 W   4.2        4.6        2.4        2.3      101.2 
080622  152738  47   4.5908 N  60  52.1065 W   4.1        4.6        2.4        2.3      101.2 
080622  152739  47   4.5908 N  60  52.1050 W   4.0        4.6        2.4        2.3      101.2 
080622  152740  47   4.5908 N  60  52.1035 W   4.0        4.6        2.4        3.5*     101.2 
080622  152741  47   4.5908 N  60  52.1021 W   3.9        4.6        2.4        3.5      101.2 
080622  152742  47   4.5908 N  60  52.1007 W   3.8        4.6        2.4        3.5      101.2 
080622  152743  47   4.5907 N  60  52.0993 W   3.8        4.6        2.4        3.5      101.2 
080622  152744  47   4.5907 N  60  52.0979 W   3.7        4.6        2.4        3.5      101.2 
080622  152745  47   4.5908 N  60  52.0965 W   3.7        4.6        2.4        3.5      101.2 
080622  152746  47   4.5907 N  60  52.0951 W   3.6        4.6        2.4        2.4*     101.2 
080622  152747  47   4.5907 N  60  52.0938 W   3.6        4.6        2.4        2.4      101.2 
