"","date","time","hydrophone","value","signalpower"
"9913","2023-07-31","14:55:24:00",0,3.428571,101
"9914","2023-07-31","14:55:29:00",0,1.918367,104
"9915","2023-07-31","14:55:34:00",0,1.979592,99
"9916","2023-07-31","14:55:39:00",0,2.102041,98
"9917","2023-07-31","14:55:44:00",1,1.020408,72
"9918","2023-07-31","14:55:44:00",0,0,106
"9919","2023-07-31","14:55:49:00",0,2,99
"9920","2023-07-31","14:55:54:00",0,2.122449,99
"9921","2023-07-31","14:55:59:00",0,1.081633,107
"9922","2023-07-31","14:56:04:00",0,1.408163,109
"9923","2023-07-31","14:56:09:00",1,0.591837,55
"9924","2023-07-31","14:56:09:00",0,1.122449,111
"9925","2023-07-31","14:56:14:00",1,1.816327,56
"9926","2023-07-31","14:56:14:00",0,1.306122,106
"9927","2023-07-31","14:56:19:00",1,1.326531,58
"9928","2023-07-31","14:56:19:00",0,1.387755,109
"9929","2023-07-31","14:56:24:00",1,0,71
"9930","2023-07-31","14:56:24:00",0,0.918367,113
"9931","2023-07-31","14:56:29:00",0,1.326531,110
"9932","2023-07-31","14:56:34:00",0,1.387755,105
"9933","2023-07-31","14:56:39:00",0,1.979592,106
"9934","2023-07-31","14:56:44:00",0,3.22449,101
"9935","2023-07-31","14:56:49:00",0,0.836735,108
"9936","2023-07-31","14:56:54:00",0,2.346939,106
"9937","2023-07-31","14:56:59:00",0,2.77551,100
"9938","2023-07-31","14:57:04:00",0,2.938776,103
"9939","2023-07-31","14:57:09:00",0,2.306122,98
"9940","2023-07-31","14:57:14:00",0,2.857143,103
"9941","2023-07-31","14:57:19:00",0,3.510204,102
"9942","2023-07-31","14:57:24:00",0,3.571429,107
"9943","2023-07-31","14:57:29:00",0,2.081633,107
"9944","2023-07-31","14:57:34:00",0,2.122449,107
"9945","2023-07-31","14:57:39:00",0,2.55102,108
"9946","2023-07-31","14:57:45:00",0,32.795918,103
"9947","2023-07-31","14:57:50:00",0,2.571429,106
"9948","2023-07-31","14:57:55:00",0,3.693878,105
