09 20 2019 08 05 00 00000000 10110000   -0.839    0.914    0.081    22    22    22  13.5 1494.4 312.0 -20.3  21.7   0.084  11.33     0     0    1.241   317.45
09 20 2019 08 05 01 00000000 10110000   -0.609   -0.417   -1.573    22    22    22  13.5 1494.4 312.3 -20.2  21.6   0.099  11.33     0     0    0.738   235.60
09 20 2019 08 05 02 00000000 10110000   -0.448    0.843    0.247    22    22    22  13.5 1494.4 312.5 -20.3  21.5   0.085  11.33     0     0    0.955   332.01
09 20 2019 08 05 03 00000000 10110000    0.230    0.285   -1.600    22    22    22  13.5 1494.4 313.1 -20.3  21.6   0.080  11.33     0     0    0.366    38.90
09 20 2019 08 05 04 00000000 10110000    1.126    0.013    1.100    22    22    22  13.5 1494.4 313.6 -20.2  21.7   0.078  11.33     0     0    1.126    89.34
09 20 2019 08 05 05 00000000 10110000   -0.765    1.133   -0.439    22    22    22  13.5 1494.4 313.4 -20.2  21.6   0.088  11.33     0     0    1.367   325.97
09 20 2019 08 05 06 00000000 10110000   -1.076   -0.102   -0.690    22    22    22  13.5 1494.4 313.2 -20.1  21.5   0.100  11.33     0     0    1.081   264.58
09 20 2019 08 05 07 00000000 10110000    0.052    1.122   -0.970    22    22    22  13.5 1494.4 312.4 -20.2  21.6   0.080  11.33     0     0    1.123     2.65
09 20 2019 08 05 08 00000000 10110000    0.132    0.068    0.318    22    22    22  13.5 1494.4 312.3 -20.3  21.6   0.071  11.33     0     0    0.148    62.74
09 20 2019 08 05 09 00000000 10110000   -0.711   -0.056    0.267    22    22    22  13.4 1494.4 312.1 -20.2  21.6   0.084  11.33     0     0    0.713   265.50
09 20 2019 08 05 10 00000000 10110000    0.424    1.848    0.414    22    22    22  13.5 1494.4 312.4 -20.3  21.7   0.080  11.33     0     0    1.896    12.92
09 20 2019 08 05 11 00000000 10110000   -0.895    0.255    1.265    22    22    22  13.5 1494.4 313.0 -20.2  21.6   0.065  11.33     0     0    0.931   285.90
09 20 2019 08 05 12 00000000 10110000    0.514    1.645    0.862    22    22    22  13.5 1494.4 313.6 -20.2  21.6   0.053  11.33     0     0    1.723    17.35
09 20 2019 08 05 13 00000000 10110000    0.185    0.288   -0.491    22    22    22  13.5 1494.4 314.3 -20.2  21.6   0.083  11.33     0     0    0.342    32.72
09 20 2019 08 05 14 00000000 10110000   -0.608    0.244    0.116    22    22    22  13.5 1494.4 314.5 -20.2  21.5   0.074  11.33     0     0    0.655   291.87
09 20 2019 08 05 15 00000000 10110000   -0.267    0.274   -1.606    22    22    22  13.5 1494.4 313.8 -20.1  21.6   0.076  11.33     0     0    0.383   315.74
09 20 2019 08 05 16 00000000 10110000   -0.862    0.032   -0.473    22    22    22  13.5 1494.4 313.4 -20.2  21.6   0.079  11.33     0     0    0.863   272.13
09 20 2019 08 05 17 00000000 10110000   -1.082    0.154   -1.197    22    22    22  13.5 1494.4 312.8 -20.2  21.6   0.091  11.33     0     0    1.093   278.10
09 20 2019 08 05 18 00000000 10110000    0.037    0.413   -0.690    22    22    22  13.5 1494.4 312.2 -20.2  21.6   0.074  11.33     0     0    0.415     5.12
09 20 2019 08 05 19 00000000 10110000   -0.479   -0.099   -1.163    22    22    22  13.4 1494.4 310.6 -20.3  21.7   0.079  11.33     0     0    0.489   258.32
09 20 2019 08 05 20 00000000 10110000   -0.723   -0.086   -0.421    22    22    22  13.5 1494.5 309.5 -20.3  21.6   0.073  11.34     0     0    0.728   263.22
09 20 2019 08 05 21 00000000 10110000    0.660    1.324    2.629    22    22    22  13.5 1494.5 307.5 -20.4  21.6   0.097  11.34     0     0    1.479    26.50
09 20 2019 08 05 22 00000000 10110000    0.013    0.322    0.628    22    22    22  13.5 1494.5 307.7 -20.4  21.6   0.094  11.34     0     0    0.322     2.31
09 20 2019 08 05 23 00000000 10110000   -0.737    0.731    2.110    22    22    22  13.5 1494.5 308.0 -20.4  21.7   0.103  11.34     0     0    1.038   314.77
09 20 2019 08 05 24 00000000 10110000   -0.845    0.350    1.185    22    22    22  13.5 1494.5 308.0 -20.4  21.7   0.083  11.34     0     0    0.915   292.50
09 20 2019 08 05 25 00000000 10110000   -0.019    0.834    0.377    22    22    22  13.5 1494.5 308.0 -20.4  21.7   0.094  11.34     0     0    0.834   358.69
09 20 2019 08 05 26 00000000 10110000   -0.953    0.189    0.654    22    22    22  13.5 1494.5 307.9 -20.4  21.6   0.073  11.34     0     0    0.972   281.22
09 20 2019 08 05 27 00000000 10110000   -0.696   -0.204   -0.111    22    22    22  13.5 1494.5 307.8 -20.4  21.6   0.088  11.34     0     0    0.725   253.66
09 20 2019 08 05 28 00000000 10110000   -0.274   -0.829    0.696    22    22    22  13.5 1494.5 307.7 -20.4  21.7   0.084  11.34     0     0    0.873   198.29
09 20 2019 08 05 29 00000000 10110000   -1.738   -1.475   -2.825    22    22    22  13.5 1494.5 307.9 -20.4  21.7   0.100  11.34     0     0    2.280   229.68
09 20 2019 08 05 30 00000000 10110000   -0.606    0.856   -1.790    22    22    22  13.5 1494.5 308.2 -20.4  21.7   0.079  11.34     0     0    1.049   324.70
09 20 2019 08 05 31 00000000 10110000   -0.902    1.588    0.296    22    22    22  13.5 1494.5 309.1 -20.4  21.7   0.086  11.34     0     0    1.826   330.40
09 20 2019 08 05 32 00000000 10110000   -0.066    0.971    1.548    22    22    22  13.5 1494.5 309.7 -20.3  21.6   0.088  11.34     0     0    0.973   356.11
09 20 2019 08 05 33 00000000 10110000   -0.721    0.779    0.875    22    22    22  13.5 1494.5 311.2 -20.3  21.6   0.100  11.34     0     0    1.061   317.21
09 20 2019 08 05 34 00000000 10110000   -0.444    0.618   -2.362    22    22    22  13.5 1494.5 312.1 -20.3  21.6   0.080  11.34     0     0    0.761   324.30
