FileName: C:\2006NE~1\GP006.TXT
Local Time: Tue Sep 05 08:12:44 2006

Ship: Marco Michel Trip: 03 Tow: GP 006
Comments: trawl    Zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary WingSpread      Depth 
060905  111245  48  47.4120 N  63  58.9550 W   4.8        4.9*       2.4*       0.0       62.0*
060905  111247  48  47.4090 N  63  58.9530 W   5.3        4.9        2.4        0.0       62.0 
060905  111249  48  47.4070 N  63  58.9520 W   5.4        4.9        2.4        0.0       62.0 
060905  111251  48  47.4040 N  63  58.9500 W   6.1        4.9        2.4        0.0       62.0 
060905  111253  48  47.4000 N  63  58.9490 W   6.1        4.9        2.4        0.0       62.0 
060905  111255  48  47.3970 N  63  58.9470 W   6.8        4.9        2.4        0.0       62.0 
060905  111257  48  47.3940 N  63  58.9450 W   6.3        4.9        2.4        0.0       62.0 
060905  111259  48  47.3900 N  63  58.9430 W   7.2        4.9        2.4        0.0       62.0 
060905  111301  48  47.3870 N  63  58.9410 W   6.8        4.9        2.4        0.0       62.0 
060905  111303  48  47.3830 N  63  58.9390 W   7.3        4.9        2.4        0.0       62.0 
060905  111305  48  47.3800 N  63  58.9370 W   7.0        4.9        2.4        0.0       62.0 
060905  111307  48  47.3760 N  63  58.9340 W   7.5        4.9        2.4        0.0       62.0 
060905  111309  48  47.3720 N  63  58.9320 W   7.2        4.9        2.4        0.0       62.0 
060905  111311  48  47.3680 N  63  58.9300 W   7.8        4.9        2.4        0.0        8.4*
060905  111313  48  47.3640 N  63  58.9280 W   7.3        4.9        2.4        0.0        8.4 
060905  111315  48  47.3600 N  63  58.9250 W   7.8        4.9        2.4        0.0        8.4 
060905  111317  48  47.3570 N  63  58.9230 W   7.4        4.9        2.4        0.0       10.6*
060905  111319  48  47.3530 N  63  58.9210 W   7.7        4.9        2.4        0.0       10.6 
060905  111321  48  47.3490 N  63  58.9180 W   7.8        4.9        2.4        0.0       10.6 
060905  111323  48  47.3450 N  63  58.9160 W   7.6        4.9        2.4        0.0       30.4*
060905  111325  48  47.3410 N  63  58.9140 W   7.5        4.9        2.4        0.0       30.4 
060905  111327  48  47.3370 N  63  58.9120 W   7.9        4.9        2.4        0.0       30.4 
060905  111329  48  47.3330 N  63  58.9090 W   7.2        4.9        2.4        0.0       30.4 
060905  111331  48  47.3290 N  63  58.9070 W   8.3        4.9        2.4        0.0       30.4 
060905  111333  48  47.3250 N  63  58.9050 W   7.1        4.9        2.4        0.0       30.4 
060905  111335  48  47.3210 N  63  58.9030 W   7.9        4.9        2.4        0.0       30.4 
060905  111337  48  47.3170 N  63  58.9010 W   7.4        4.9        2.4        0.0       30.4 
060905  111339  48  47.3130 N  63  58.8990 W   7.7        4.9        2.4        0.0       30.4 
060905  111341  48  47.3090 N  63  58.8970 W   7.3        4.9        2.4        0.0       30.4 
060905  111343  48  47.3050 N  63  58.8950 W   7.8        4.9        2.4        0.0       30.4 
060905  111345  48  47.3010 N  63  58.8930 W   7.3        4.9        2.4        0.0       30.4 
060905  111347  48  47.2970 N  63  58.8910 W   7.9        4.9        2.4        0.0       30.4 
060905  111349  48  47.2940 N  63  58.8890 W   7.1        4.9        2.4        0.0       30.4 
060905  111351  48  47.2900 N  63  58.8870 W   7.9        4.9        2.4        0.0       30.4 
060905  111353  48  47.2860 N  63  58.8850 W   7.2        4.9        2.4        0.0       30.4 
060905  111355  48  47.2820 N  63  58.8840 W   7.7        4.9        2.4        0.0       30.4 
060905  111357  48  47.2780 N  63  58.8820 W   7.2        4.9        2.4        0.0       30.4 
060905  111359  48  47.2740 N  63  58.8800 W   7.7        4.9        2.4        0.0       30.4 
060905  111401  48  47.2700 N  63  58.8780 W   7.4        4.9        2.4        0.0       30.4 
060905  111403  48  47.2660 N  63  58.8760 W   7.5        4.9        2.4        0.0       30.4 
060905  111405  48  47.2620 N  63  58.8750 W   7.6        4.9        2.4        0.0       30.4 
060905  111407  48  47.2580 N  63  58.8730 W   7.5        4.9        2.4        0.0       30.4 
060905  111409  48  47.2540 N  63  58.8710 W   7.7        4.9        2.4        0.0       30.4 
060905  111411  48  47.2500 N  63  58.8700 W   7.2        4.9        2.4        0.0       30.4 
060905  111413  48  47.2460 N  63  58.8680 W   7.9        4.9        2.4        0.0       30.4 
060905  111415  48  47.2420 N  63  58.8670 W   7.4        4.9        2.4        0.0       30.4 
060905  111417  48  47.2380 N  63  58.8650 W   7.7        4.9        2.4        0.0       30.4 
060905  111419  48  47.2340 N  63  58.8630 W   7.4        4.9        2.4        0.0       30.4 
060905  111421  48  47.2300 N  63  58.8610 W   7.9        4.9        2.4        0.0       30.4 
060905  111424  48  47.2240 N  63  58.8590 W   7.7        4.9        2.4        0.0       30.4 
060905  111425  48  47.2220 N  63  58.8590 W   7.8        4.9        2.4        0.0      129.3*
