Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,1
Comments
"ZONE 12 OUEST DU BANC ORPHELIN 
A1 CAR F SUR DES CABLE INTERNET ET PAS LE DROIT DE CHALUTER LA"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,18-Aug-2018,090730,48 11.622900 N,063 30.825300 W,4.5,26.5,A,,,,,,
,18-Aug-2018,090731,48 11.623800 N,063 30.824600 W,4.4,26.5,A,,,,,,
,18-Aug-2018,090732,48 11.624800 N,063 30.823800 W,4.4,26.3,A,,,,,,
,18-Aug-2018,090733,48 11.625800 N,063 30.823100 W,4.3,26.2,A,,,,,,
,18-Aug-2018,090734,48 11.626800 N,063 30.822500 W,4.2,26.1,A,,,,,,
,18-Aug-2018,090735,48 11.627700 N,063 30.821800 W,4.1,26.4,A,,,,,,
,18-Aug-2018,090736,48 11.628600 N,063 30.821000 W,4.1,26.8,A,,,,,,
,18-Aug-2018,090737,48 11.629500 N,063 30.820200 W,4.1,27.0,A,,,,,,
,18-Aug-2018,090738,48 11.630400 N,063 30.819500 W,4.0,27.3,A,,,,,,
,18-Aug-2018,090739,48 11.631200 N,063 30.818900 W,3.9,27.3,A,,,,,,
,18-Aug-2018,090740,48 11.632100 N,063 30.818300 W,3.9,26.4,A,,,,,,
,18-Aug-2018,090741,48 11.633100 N,063 30.817900 W,3.8,25.0,A,,,,,,
,18-Aug-2018,090742,48 11.633900 N,063 30.817200 W,3.8,25.0,A,,,,,,
,18-Aug-2018,090743,48 11.634600 N,063 30.816400 W,3.7,26.5,A,,,,,,
,18-Aug-2018,090744,48 11.635500 N,063 30.815600 W,3.7,27.6,A,,,,,,
,18-Aug-2018,090745,48 11.636300 N,063 30.815000 W,3.7,26.9,A,,,,,,
,18-Aug-2018,090746,48 11.637200 N,063 30.814600 W,3.6,25.3,A,,,,,,
,18-Aug-2018,090747,48 11.637900 N,063 30.814200 W,3.5,24.7,A,,,,,,
,18-Aug-2018,090748,48 11.638700 N,063 30.813500 W,3.5,25.3,A,,,,,,
,18-Aug-2018,090749,48 11.639400 N,063 30.812700 W,3.4,26.5,A,,,,,,
,18-Aug-2018,090750,48 11.640100 N,063 30.812100 W,3.4,27.0,A,,,,,,
,18-Aug-2018,090751,48 11.641000 N,063 30.811600 W,3.4,26.4,A,,,,,,
,18-Aug-2018,090752,48 11.641800 N,063 30.811300 W,3.3,25.2,A,,,,,,
,18-Aug-2018,090753,48 11.642600 N,063 30.810900 W,3.3,24.3,A,,,,,,
,18-Aug-2018,090754,48 11.643300 N,063 30.810400 W,3.3,24.8,A,,,,,,
,18-Aug-2018,090755,48 11.644000 N,063 30.809700 W,3.2,26.0,A,,,,,,
,18-Aug-2018,090756,48 11.644700 N,063 30.809100 W,3.2,26.5,A,,,,,,
,18-Aug-2018,090757,48 11.645500 N,063 30.808600 W,3.2,25.9,A,,,,,,
,18-Aug-2018,090758,48 11.646200 N,063 30.808200 W,3.2,25.0,A,,,,,,
,18-Aug-2018,090759,48 11.646800 N,063 30.807800 W,3.1,24.9,A,,,,,,
,18-Aug-2018,090800,48 11.647500 N,063 30.807100 W,3.1,25.8,A,,,,,,
,18-Aug-2018,090801,48 11.648200 N,063 30.806400 W,3.1,27.0,A,,,,,,
,18-Aug-2018,090802,48 11.648800 N,063 30.805800 W,3.1,27.2,A,,,,,,
,18-Aug-2018,090803,48 11.649500 N,063 30.805300 W,3.1,26.9,A,,,,,,
,18-Aug-2018,090804,48 11.650100 N,063 30.804800 W,3.0,26.9,A,,,,,,
,18-Aug-2018,090805,48 11.650800 N,063 30.804100 W,3.0,27.0,A,,,,,,
,18-Aug-2018,090806,48 11.651500 N,063 30.803500 W,3.0,27.3,A,,,,,,
,18-Aug-2018,090807,48 11.652200 N,063 30.802900 W,3.0,27.5,A,,,,,,
,18-Aug-2018,090808,48 11.652700 N,063 30.802200 W,3.0,27.9,A,,,,,,
,18-Aug-2018,090809,48 11.653400 N,063 30.801600 W,3.0,28.7,A,,,,,,
,18-Aug-2018,090810,48 11.654200 N,063 30.800900 W,3.0,28.2,A,,,,,,
,18-Aug-2018,090811,48 11.654900 N,063 30.800500 W,3.0,27.1,A,,,,,,
,18-Aug-2018,090812,48 11.655500 N,063 30.800000 W,2.9,26.7,A,,,,,,
,18-Aug-2018,090813,48 11.656100 N,063 30.799300 W,2.9,27.3,A,,,,,,
,18-Aug-2018,090814,48 11.656800 N,063 30.798600 W,3.0,28.3,A,,,,,,
,18-Aug-2018,090815,48 11.657400 N,063 30.797900 W,3.0,28.8,A,,,,,,
,18-Aug-2018,090816,48 11.658200 N,063 30.797400 W,2.9,28.1,A,,,,,,
,18-Aug-2018,090817,48 11.658800 N,063 30.797000 W,2.9,26.9,A,,,,,,
,18-Aug-2018,090818,48 11.659500 N,063 30.796600 W,2.9,26.5,A,,,,,,
,18-Aug-2018,090819,48 11.660200 N,063 30.796000 W,2.9,27.5,A,,,,,,
,18-Aug-2018,090820,48 11.660900 N,063 30.795200 W,2.9,28.8,A,,,,,,
,18-Aug-2018,090821,48 11.661500 N,063 30.794600 W,2.9,29.3,A,,,,,,
,18-Aug-2018,090822,48 11.662200 N,063 30.794200 W,2.9,28.3,A,,,,,,
,18-Aug-2018,090823,48 11.663000 N,063 30.793900 W,2.9,26.0,A,,,,,,
,18-Aug-2018,090824,48 11.663600 N,063 30.793500 W,2.8,24.7,A,,,,,,
,18-Aug-2018,090825,48 11.664200 N,063 30.793000 W,2.8,25.9,A,,,,,,
Sat Aug 18 06:08:25 2018,18-Aug-2018,090826,48 11.664700 N,063 30.792200 W,2.8,28.2,A,DoorSpread,DoorMaster,0.000000,E,S,34034.000000
Sat Aug 18 06:08:25 2018,18-Aug-2018,090827,48 11.665400 N,063 30.791500 W,2.8,28.9,A,DoorSpread,DoorMaster,0.000000,E,S,34034.000000
Sat Aug 18 06:08:25 2018,18-Aug-2018,090828,48 11.666200 N,063 30.791100 W,2.8,27.1,A,DoorSpread,DoorMaster,0.000000,E,S,34034.000000
Sat Aug 18 06:08:25 2018,18-Aug-2018,090829,48 11.666900 N,063 30.791000 W,2.8,24.1,A,DoorSpread,DoorMaster,0.000000,E,S,34034.000000
