FileName: C:\2005NE~1\GP231.TXT
Local Time: Tue Sep 20 06:19:32 2005

Ship: Marco Michel Trip: 09 Tow: gp231
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050920  091934  46   7.1180 N  61  42.6620 W   3.5        2.8*       2.5*       0.0        2.5*      56.7*
050920  091936  46   7.1190 N  61  42.6610 W   2.3        2.8        2.5        0.0        2.5       56.7 
050920  091938  46   7.1210 N  61  42.6610 W   3.3        2.8        2.5        0.0        4.9*      56.7 
050920  091940  46   7.1230 N  61  42.6610 W   2.1        2.8        2.5        0.0        4.9       56.7 
050920  091942  46   7.1240 N  61  42.6610 W   2.8        2.8        2.5        0.0        4.9       56.7 
050920  091944  46   7.1250 N  61  42.6600 W   2.3        2.8        2.5        0.0        4.9       56.7 
050920  091946  46   7.1270 N  61  42.6600 W   2.5        2.8        9.5*       0.0        4.9        2.6*
050920  091948  46   7.1280 N  61  42.6600 W   2.5        2.8        9.5        0.0        4.9        2.6 
050920  091950  46   7.1290 N  61  42.6590 W   3.4        2.8        9.5        0.0        4.9        2.6 
050920  091952  46   7.1310 N  61  42.6590 W   3.9        2.8        9.5        0.0        4.9        2.6 
050920  091954  46   7.1340 N  61  42.6590 W   4.8        2.8        9.5        0.0       80.3*       2.6 
050920  091956  46   7.1370 N  61  42.6580 W   5.1        2.8        9.5        0.0       80.3        2.6 
050920  091958  46   7.1390 N  61  42.6580 W   5.7        2.8        9.5        0.0       80.3        2.6 
050920  092000  46   7.1430 N  61  42.6570 W   6.0        2.8        9.5        0.0       80.3        2.6 
050920  092002  46   7.1460 N  61  42.6560 W   6.2        2.8        9.5        0.0       80.3        2.6 
050920  092004  46   7.1500 N  61  42.6550 W   6.5        2.8        9.5        0.0       80.3        2.6 
050920  092006  46   7.1540 N  61  42.6540 W   6.7        2.8        9.5        0.0       80.3        2.6 
050920  092008  46   7.1570 N  61  42.6540 W   7.0        2.8        9.5        0.0       80.3        2.6 
050920  092010  46   7.1610 N  61  42.6520 W   7.2        2.8        9.5        0.0       80.3        2.6 
050920  092012  46   7.1650 N  61  42.6510 W   7.1        2.8        9.5        0.0       80.3        2.6 
050920  092014  46   7.1690 N  61  42.6500 W   7.2        2.8        9.5        0.0       80.3        2.6 
050920  092016  46   7.1730 N  61  42.6480 W   7.5        2.8        9.5        0.0       80.3        2.6 
050920  092018  46   7.1770 N  61  42.6460 W   7.5        2.8        9.5        0.0       80.3        2.6 
050920  092020  46   7.1810 N  61  42.6450 W   7.4        2.8        9.5        0.0       80.3        2.6 
050920  092022  46   7.1850 N  61  42.6420 W   7.7        2.8        9.5        0.0       80.3        2.6 
050920  092024  46   7.1890 N  61  42.6400 W   7.4        2.8        9.5        0.0       80.3        2.6 
050920  092026  46   7.1930 N  61  42.6380 W   7.5        2.8        9.5        0.0       80.3        2.6 
050920  092028  46   7.1960 N  61  42.6360 W   7.7        2.8        9.5        0.0       80.3      428.9*
050920  092030  46   7.2000 N  61  42.6340 W   7.4        2.8        9.5        0.0       80.3      428.9 
050920  092032  46   7.2040 N  61  42.6310 W   7.7        2.8        9.5        0.0       80.3      428.9 
050920  092034  46   7.2080 N  61  42.6290 W   7.7        2.8        9.5        0.0       80.3      428.9 
050920  092036  46   7.2120 N  61  42.6270 W   7.6        2.8        9.5        0.0       80.3      428.9 
050920  092038  46   7.2160 N  61  42.6240 W   7.5        2.8        9.5        0.0       80.3      428.9 
050920  092040  46   7.2190 N  61  42.6210 W   7.8        2.8        9.5        0.0       80.3      428.9 
050920  092042  46   7.2230 N  61  42.6180 W   7.4        2.8        9.5        0.0       80.3      428.9 
050920  092044  46   7.2270 N  61  42.6150 W   8.0        2.8        9.5        0.0       80.3      197.9*
050920  092046  46   7.2310 N  61  42.6130 W   7.3        2.8        9.5        0.0       80.3      197.9 
