FileName: C:\2005NE~1\GP331.TXT
Local Time: Mon Sep 19 09:31:36 2005

Ship: Marco Michel Trip: 09 Tow: gp331
Comments: zone 18
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050919  123139  46  32.4730 N  61  27.6440 W   4.0        4.6        2.5*       0.0        2.7*      12.8*
050919  123142  46  32.4710 N  61  27.6410 W   3.9        4.6        2.5        0.0        2.7        1.8*
050919  123143  46  32.4710 N  61  27.6390 W   3.7        4.6        2.5        0.0        2.7        1.8 
050919  123145  46  32.4700 N  61  27.6370 W   3.4        4.6        2.5        0.0        2.0*       4.0*
050919  123147  46  32.4690 N  61  27.6350 W   3.6        4.6        2.5        0.0        2.0        4.0 
050919  123149  46  32.4680 N  61  27.6320 W   3.5        4.6        2.5        0.0        2.0        4.0 
050919  123151  46  32.4670 N  61  27.6300 W   3.7        4.6        2.5        0.0        4.1*       4.0 
050919  123154  46  32.4650 N  61  27.6260 W   4.3        4.6        2.5        0.0        4.1        4.0 
050919  123155  46  32.4640 N  61  27.6240 W   4.7        4.6        2.5        0.0        4.1        4.0 
050919  123157  46  32.4630 N  61  27.6210 W   5.7        4.6        2.5        0.0        4.1        4.0 
050919  123200  46  32.4610 N  61  27.6150 W   6.5        4.6        2.5        0.0        4.1        4.0 
050919  123201  46  32.4600 N  61  27.6120 W   6.7        4.6        2.5        0.0        4.1        4.0 
050919  123203  46  32.4580 N  61  27.6080 W   7.0        4.6        2.5        0.0        4.1        4.0 
050919  123206  46  32.4550 N  61  27.6000 W   7.3        4.6        2.5        0.0        4.1        4.0 
050919  123207  46  32.4540 N  61  27.5970 W   7.4        4.6        2.5        0.0        4.1        4.0 
050919  123209  46  32.4520 N  61  27.5920 W   8.1        4.6        2.5        0.0        4.1        4.0 
050919  123212  46  32.4490 N  61  27.5830 W   7.7        4.6        2.5        0.0        4.1        4.0 
050919  123213  46  32.4480 N  61  27.5810 W   8.2        4.6        2.5        0.0        4.1        4.0 
050919  123215  46  32.4460 N  61  27.5750 W   8.0        4.6        2.5        0.0        4.1        4.0 
050919  123218  46  32.4420 N  61  27.5670 W   8.1        4.6        2.5        0.0        4.1        4.0 
050919  123219  46  32.4410 N  61  27.5640 W   8.4        4.6        2.5        0.0        4.1        4.0 
050919  123221  46  32.4380 N  61  27.5580 W   8.1        4.6        2.5        0.0        4.1        4.0 
050919  123224  46  32.4350 N  61  27.5500 W   8.2        4.6        2.5        0.0        4.1        4.0 
050919  123225  46  32.4340 N  61  27.5470 W   8.3        4.6        2.5        0.0        4.1        4.0 
050919  123227  46  32.4320 N  61  27.5410 W   8.2        4.6        2.5        0.0        4.1        4.0 
050919  123230  46  32.4280 N  61  27.5320 W   8.1        4.6        2.5        0.0        4.1        4.0 
050919  123231  46  32.4270 N  61  27.5300 W   8.2        4.6        2.5        0.0        4.1        4.0 
050919  123233  46  32.4250 N  61  27.5240 W   8.4        4.6        2.5        0.0        4.1        4.0 
