FileName: C:\2005NE~1\GP355.TXT
Local Time: Sat Aug 13 05:54:04 2005

Ship: Marco Michel Trip: 07 Tow: gp355
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050813  085406  47  52.1580 N  65  27.5640 W   0.9        0.0       13.4*       4.0*       0.0        3.1*
050813  085407  47  52.1580 N  65  27.5630 W   0.9        0.0       13.4        4.0        0.0        3.1 
050813  085409  47  52.1580 N  65  27.5620 W   0.8        0.0       13.4        4.0        0.0        8.8*
050813  085412  47  52.1570 N  65  27.5600 W   0.7        0.0       10.6*       3.2*       0.0        8.8 
050813  085414  47  52.1570 N  65  27.5590 W   0.6        0.0       10.6        3.2        0.0        9.7*
050813  085415  47  52.1570 N  65  27.5580 W   0.6        0.0       10.6        2.6*       0.0        9.7 
050813  085418  47  52.1570 N  65  27.5560 W   0.5        0.0       10.6        2.6        0.0        9.7 
050813  085419  47  52.1570 N  65  27.5560 W   0.5        0.0       10.6        2.6        0.0        9.2*
050813  085421  47  52.1590 N  65  27.5460 W   0.4        0.0       10.6        2.8*       0.0        9.2 
050813  085424  47  52.1590 N  65  27.5450 W   0.6        0.0       10.6        2.8        0.0        9.2 
050813  085425  47  52.1590 N  65  27.5440 W   0.6        0.0       10.6        2.8        0.0       10.6*
050813  085427  47  52.1580 N  65  27.5430 W   0.5        0.0       10.6        2.6*       0.0       10.6 
050813  085430  47  52.1580 N  65  27.5420 W   0.5        0.0       10.6        2.6        0.0       11.9*
050813  085431  47  52.1580 N  65  27.5410 W   0.4        0.0       10.6        3.1*       0.0       11.9 
050813  085434  47  52.1580 N  65  27.5390 W   0.4        0.0       10.6        3.1        0.0       11.9 
050813  085436  47  52.1580 N  65  27.5380 W   0.3        0.0       11.3*       3.1        0.0       18.0*
050813  085437  47  52.1580 N  65  27.5370 W   0.3        0.0       11.3        3.2*       0.0       18.0 
050813  085439  47  52.1590 N  65  27.5310 W   1.8        0.0       11.3        3.2        0.0       15.0*
050813  085442  47  52.1600 N  65  27.5220 W   1.5        0.0       11.3        3.1*       0.0       15.0 
050813  085444  47  52.1590 N  65  27.5200 W   2.1        0.0       11.3        3.1        0.0       15.0 
050813  085445  47  52.1600 N  65  27.5160 W   2.0        0.0       11.3        3.1        0.0       11.4*
050813  085448  47  52.1600 N  65  27.5080 W   3.5        0.0       11.3        3.1        0.0       11.4 
050813  085449  47  52.1590 N  65  27.5070 W   3.3        0.0       11.3        3.1        0.0       11.4 
050813  085452  47  52.1580 N  65  27.5020 W   2.8        0.0       11.3        3.1        0.0       34.8*
050813  085454  47  52.1570 N  65  27.4990 W   2.6        0.0       11.3        3.1        0.0       34.8 
050813  085455  47  52.1570 N  65  27.4970 W   2.4        0.0       11.3        3.1        0.0       24.2*
050813  085458  47  52.1570 N  65  27.4890 W   3.6        0.0       11.3        3.1        0.0       24.2 
050813  085500  47  52.1580 N  65  27.4780 W   4.7        0.0       11.3        3.1        0.0       24.2 
050813  085502  47  52.1580 N  65  27.4700 W   5.3        0.0       11.3        3.1        0.0       24.2 
050813  085504  47  52.1570 N  65  27.4630 W   6.2        0.0       11.3        3.1        0.0       24.2 
050813  085506  47  52.1560 N  65  27.4580 W   5.1        0.0       11.3        3.1        0.0       24.2 
050813  085508  47  52.1550 N  65  27.4520 W   4.6        0.0       11.3        3.1        0.0       24.2 
050813  085510  47  52.1540 N  65  27.4470 W   5.6        0.0       11.3        3.1        0.0       24.2 
050813  085512  47  52.1530 N  65  27.4420 W   6.1        0.0       11.3        3.1        0.0       24.2 
050813  085514  47  52.1520 N  65  27.4360 W   5.5        0.0       11.3        3.1        0.0       24.2 
050813  085516  47  52.1510 N  65  27.4300 W   6.0        0.0       11.3        3.1        0.0       24.2 
050813  085518  47  52.1500 N  65  27.4240 W   5.4        0.0       11.3        3.1        0.0       24.2 
050813  085520  47  52.1490 N  65  27.4180 W   5.6        0.0       11.3        3.1        0.0       24.2 
050813  085522  47  52.1480 N  65  27.4130 W   6.1        0.0       11.3        3.1        0.0       24.2 
050813  085524  47  52.1470 N  65  27.4080 W   5.1        0.0       11.3        3.1        0.0       24.2 
050813  085526  47  52.1460 N  65  27.4020 W   5.8        0.0       11.3        3.1        0.0       24.2 
050813  085528  47  52.1450 N  65  27.3960 W   5.6        0.0       11.3        3.1        0.0       24.2 
050813  085530  47  52.1440 N  65  27.3910 W   6.1        0.0       11.3        3.1        0.0       24.2 
050813  085532  47  52.1430 N  65  27.3850 W   5.8        0.0       11.3        3.1        0.0       24.2 
050813  085534  47  52.1420 N  65  27.3790 W   5.2        0.0       11.3        3.1        0.0       24.2 
050813  085536  47  52.1410 N  65  27.3730 W   5.3        0.0       11.3        3.1        0.0       24.2 
050813  085538  47  52.1400 N  65  27.3690 W   4.8        0.0       11.3        3.1        0.0       24.2 
050813  085540  47  52.1390 N  65  27.3640 W   5.2        0.0       11.3        3.1        0.0       24.2 
050813  085542  47  52.1390 N  65  27.3580 W   5.6        0.0       11.3        3.1        0.0       24.2 
050813  085544  47  52.1370 N  65  27.3530 W   5.1        0.0       11.3        3.1        0.0       24.2 
050813  085546  47  52.1360 N  65  27.3480 W   4.6        0.0       11.3        3.1        0.0       24.2 
050813  085548  47  52.1350 N  65  27.3440 W   4.7        0.0       11.3        3.1        0.0       24.2 
050813  085550  47  52.1340 N  65  27.3390 W   4.9        0.0       11.3        3.1        0.0       24.2 
050813  085552  47  52.1330 N  65  27.3350 W   5.0        0.0       11.3        3.1        0.0       24.2 
050813  085554  47  52.1310 N  65  27.3300 W   4.5        0.0       11.3        3.1        0.0       24.2 
