FileName: C:\2005NE~1\GP259.TXT
Local Time: Sun Sep 18 17:38:06 2005

Ship: Marco Michel Trip: 09 Tow: gp259
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050918  203809  46  49.5870 N  61  13.8460 W   1.9        2.1*       2.2*       0.0       10.2*       3.1*
050918  203811  46  49.5850 N  61  13.8460 W   3.6        2.1        2.2        0.0       10.2        3.1 
050918  203813  46  49.5830 N  61  13.8480 W   4.8        2.1        2.2        0.0       10.2        3.1 
050918  203815  46  49.5810 N  61  13.8510 W   4.5        2.1        2.2        0.0       10.2        3.1 
050918  203817  46  49.5800 N  61  13.8530 W   4.0        2.1        2.2        0.0       10.2        3.1 
050918  203819  46  49.5780 N  61  13.8540 W   4.9        2.1        2.2        0.0       10.2        3.1 
050918  203821  46  49.5750 N  61  13.8570 W   6.9        2.1        2.2        0.0       10.2        3.1 
050918  203823  46  49.5710 N  61  13.8600 W   6.9        2.1        2.2        0.0       10.2        3.1 
050918  203825  46  49.5680 N  61  13.8640 W   6.2        2.1        2.2        0.0       10.2        3.1 
050918  203827  46  49.5660 N  61  13.8670 W   5.5        2.1        2.2        0.0       10.2        3.1 
050918  203829  46  49.5630 N  61  13.8700 W   6.4        2.1        2.2        0.0       10.2        3.1 
050918  203831  46  49.5610 N  61  13.8730 W   7.9        2.1        2.2        0.0       10.2        3.1 
050918  203833  46  49.5570 N  61  13.8780 W   8.1        2.1        2.2        0.0       10.2        3.1 
050918  203835  46  49.5540 N  61  13.8830 W   7.3        2.1        2.2        0.0       10.2        3.1 
050918  203837  46  49.5520 N  61  13.8880 W   6.3        2.1        2.2        0.0       10.2        3.1 
050918  203839  46  49.5490 N  61  13.8910 W   6.6        2.1        2.2        0.0       10.2        3.1 
050918  203841  46  49.5460 N  61  13.8940 W   7.3        2.1        2.2        0.0       10.2        3.1 
050918  203843  46  49.5430 N  61  13.8980 W   7.6        2.1        2.2        0.0       10.2        3.1 
050918  203845  46  49.5410 N  61  13.9030 W   7.5        2.1        2.2        0.0       10.2        3.1 
050918  203847  46  49.5380 N  61  13.9080 W   6.9        2.1        2.2        0.0       10.2        3.1 
050918  203849  46  49.5350 N  61  13.9120 W   6.6        2.1        2.2        0.0       10.2        3.1 
050918  203851  46  49.5330 N  61  13.9160 W   7.0        2.1        2.2        0.0        4.2*       3.1 
050918  203853  46  49.5300 N  61  13.9190 W   7.2        2.1        2.2        0.0        4.2        3.1 
050918  203855  46  49.5270 N  61  13.9240 W   7.4        2.1        2.2        0.0        4.2        3.1 
050918  203857  46  49.5240 N  61  13.9290 W   7.4        2.1        2.2        0.0        4.2        3.1 
050918  203859  46  49.5220 N  61  13.9340 W   7.1        2.1        2.2        0.0        4.2        3.1 
050918  203901  46  49.5190 N  61  13.9380 W   7.1        2.1        2.2        0.0        4.2        3.1 
050918  203903  46  49.5170 N  61  13.9420 W   7.3        2.1        2.2        0.0        4.2        3.1 
050918  203905  46  49.5140 N  61  13.9460 W   7.1        2.1        2.2        0.0        4.2        3.1 
050918  203907  46  49.5120 N  61  13.9510 W   7.2        2.1        2.2        0.0        4.2        3.1 
050918  203909  46  49.5090 N  61  13.9550 W   7.5        2.1        2.2        0.0        4.2        3.1 
