FileName: C:\2005NE~1\GP291.TXT
Local Time: Sat Sep 17 07:15:45 2005

Ship: Marco Michel Trip: 09 Tow: gp291
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  101545  47  18.6160 N  61   5.0370 W   3.0        2.1*      12.2*       0.0        3.4*      15.8*
050917  101547  47  18.6150 N  61   5.0390 W   3.1        2.1       12.2        0.0        3.4       15.8 
050917  101549  47  18.6140 N  61   5.0410 W   3.1        2.1       12.2        0.0        3.4       21.1*
050917  101551  47  18.6130 N  61   5.0430 W   2.5        2.1       12.2        0.0        7.9*      21.1 
050917  101553  47  18.6120 N  61   5.0440 W   2.7        2.1       12.2        0.0        7.9       12.3*
050917  101555  47  18.6100 N  61   5.0460 W   3.0        2.1       12.2        0.0        0.5*      12.3 
050917  101557  47  18.6090 N  61   5.0470 W   3.7        2.1       12.2        0.0        0.5       12.3 
050917  101559  47  18.6070 N  61   5.0500 W   4.3        2.1       12.2        0.0        0.5        1.3*
050917  101601  47  18.6050 N  61   5.0530 W   5.0        2.1       12.2        0.0        0.5        1.3 
050917  101603  47  18.6030 N  61   5.0560 W   5.6        2.1       12.2        0.0        0.5        6.2*
050917  101605  47  18.6010 N  61   5.0600 W   6.1        2.1       12.2        0.0        0.5        6.2 
050917  101607  47  18.5990 N  61   5.0640 W   6.7        2.1       12.2        0.0        0.5        6.2 
050917  101609  47  18.5960 N  61   5.0680 W   7.1        2.1       12.2        0.0        0.5        6.2 
050917  101611  47  18.5930 N  61   5.0720 W   7.0        2.1       12.2        0.0        0.5        6.2 
050917  101613  47  18.5900 N  61   5.0760 W   7.1        2.1       12.2        0.0        0.5        6.2 
050917  101615  47  18.5880 N  61   5.0810 W   7.1        2.1       12.2        0.0        0.5        6.2 
050917  101617  47  18.5850 N  61   5.0850 W   7.7        2.1       12.2        0.0        0.5        6.2 
050917  101619  47  18.5810 N  61   5.0890 W   7.8        2.1       12.2        0.0        0.5        6.2 
050917  101621  47  18.5790 N  61   5.0940 W   7.4        2.1       12.2        0.0        0.5        6.2 
050917  101623  47  18.5760 N  61   5.0990 W   7.1        2.1       12.2        0.0        0.5        6.2 
050917  101625  47  18.5740 N  61   5.1030 W   7.5        2.1       12.2        0.0        0.5        6.2 
050917  101627  47  18.5710 N  61   5.1080 W   8.1        2.1       12.2        0.0        0.5        6.2 
050917  101629  47  18.5670 N  61   5.1130 W   7.7        2.1       12.2        0.0        0.5        6.2 
050917  101631  47  18.5650 N  61   5.1180 W   7.3        2.1       12.2        0.0        0.5        6.2 
050917  101633  47  18.5620 N  61   5.1230 W   7.3        2.1       12.2        0.0        0.5        6.2 
050917  101635  47  18.5590 N  61   5.1270 W   7.8        2.1       12.2        0.0        0.5        6.2 
050917  101637  47  18.5560 N  61   5.1320 W   7.7        2.1       12.2        0.0        0.5        6.2 
050917  101639  47  18.5540 N  61   5.1360 W   7.1        2.1       12.2        0.0        0.5        6.2 
050917  101641  47  18.5520 N  61   5.1410 W   7.2        2.1       12.2        0.0        0.5        6.2 
050917  101643  47  18.5490 N  61   5.1470 W   7.8        2.1       12.2        0.0        0.5        6.2 
050917  101645  47  18.5460 N  61   5.1510 W   7.9        2.1       12.2        0.0        0.5        6.2 
050917  101647  47  18.5440 N  61   5.1570 W   7.5        2.1       12.2        0.0        0.5        6.2 
050917  101649  47  18.5410 N  61   5.1620 W   6.8        2.1       12.2        0.0        0.5        6.2 
050917  101651  47  18.5400 N  61   5.1660 W   6.9        2.1       12.2        0.0        0.5        6.2 
050917  101653  47  18.5370 N  61   5.1710 W   7.7        2.1       12.2        0.0        0.5        6.2 
050917  101655  47  18.5340 N  61   5.1760 W   7.9        2.1       12.2        0.0        0.5        6.2 
