FileName: C:\2005NE~1\GP252.TXT
Local Time: Fri Sep 16 18:14:43 2005

Ship: Marco Michel Trip: 09 Tow: gp252
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050916  211523  47  12.4270 N  60  41.8400 W   7.8        2.1       10.5        8.1      132.9       36.5 
050916  211525  47  12.4240 N  60  41.8450 W   7.7        2.1       10.5        8.1      132.9       36.5 
050916  211527  47  12.4220 N  60  41.8500 W   8.4        2.1       10.5        8.1      132.9       36.5 
050916  211529  47  12.4190 N  60  41.8560 W   8.0        2.1       10.5        8.1      132.9       36.5 
050916  211531  47  12.4160 N  60  41.8610 W   7.9        2.1       10.5        8.1      132.9       36.5 
050916  211533  47  12.4130 N  60  41.8660 W   8.1        2.1       10.5        8.1      132.9       36.5 
050916  211535  47  12.4100 N  60  41.8710 W   8.3        2.1       10.5        8.1      132.9       36.5 
050916  211537  47  12.4080 N  60  41.8770 W   7.9        2.1       10.5        8.1      132.9       36.5 
050916  211539  47  12.4050 N  60  41.8820 W   8.2        2.1       10.5        8.1      132.9       36.5 
050916  211541  47  12.4030 N  60  41.8880 W   8.3        2.1       10.5        8.1      132.9       36.5 
050916  211543  47  12.3990 N  60  41.8930 W   7.9        2.1       10.5        8.1      132.9       36.5 
050916  211545  47  12.3970 N  60  41.8980 W   7.7        2.1       10.5        8.1      132.9       36.5 
050916  211547  47  12.3940 N  60  41.9030 W   8.2        2.1       10.5        8.1      132.9       36.5 
050916  211549  47  12.3920 N  60  41.9090 W   8.0        2.1       10.5        8.1      132.9       36.5 
050916  211551  47  12.3890 N  60  41.9140 W   8.1        2.1       10.5        8.1      132.9       36.5 
050916  211553  47  12.3860 N  60  41.9190 W   7.8        2.1       10.5        8.1      132.9       36.5 
050916  211555  47  12.3830 N  60  41.9240 W   8.1        2.1       10.5        8.1      132.9       36.5 
050916  211557  47  12.3810 N  60  41.9290 W   7.9        2.1       10.5        8.1      132.9       36.5 
050916  211559  47  12.3780 N  60  41.9340 W   7.7        2.1       10.5        8.1      132.9       36.5 
050916  211601  47  12.3750 N  60  41.9400 W   8.0        2.1       10.5        8.1      132.9       36.5 
050916  211603  47  12.3730 N  60  41.9450 W   8.3        2.1       10.5        8.1      132.9       36.5 
050916  211605  47  12.3700 N  60  41.9500 W   7.9        2.1       10.5        8.1      132.9       36.5 
050916  211607  47  12.3670 N  60  41.9550 W   7.6        2.1       10.5        8.1      132.9       36.5 
050916  211609  47  12.3650 N  60  41.9610 W   8.3        2.1       10.5        8.1      132.9       36.5 
050916  211611  47  12.3620 N  60  41.9650 W   8.2        2.1       10.5        8.1      132.9       36.5 
050916  211613  47  12.3590 N  60  41.9710 W   7.4        2.1       10.5        8.1      132.9       36.5 
050916  211615  47  12.3570 N  60  41.9760 W   8.0        2.1       10.5        8.1      132.9       36.5 
050916  211617  47  12.3540 N  60  41.9810 W   7.9        2.1       10.5        8.1      132.9       36.5 
050916  211619  47  12.3520 N  60  41.9860 W   7.9        2.1       10.5        8.1      132.9       36.5 
