FileName: C:\2005NE~1\GP258.TXT
Local Time: Sat Sep 17 17:19:31 2005

Ship: Marco Michel Trip: 09 Tow: gp258
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  202136  46  54.2950 N  61  14.5600 W   3.5       11.4       11.5        0.0        3.4       36.5 
050917  202138  46  54.2930 N  61  14.5600 W   3.0       11.4       11.5        0.0        3.4       34.8*
050917  202140  46  54.2920 N  61  14.5590 W   3.0       11.4       11.5        0.0        3.4       34.8 
050917  202142  46  54.2900 N  61  14.5580 W   2.5       11.4       11.5        0.0        3.4       34.8 
050917  202144  46  54.2890 N  61  14.5580 W   2.5       11.4       12.5*       0.0       20.7*      34.3*
050917  202146  46  54.2870 N  61  14.5580 W   2.4       11.4       12.5        0.0       20.7       34.3 
050917  202148  46  54.2860 N  61  14.5580 W   1.9       11.4       12.5        0.0       20.7       36.5*
050917  202150  46  54.2850 N  61  14.5570 W   2.2       11.4       12.5        0.0       20.7       36.5 
050917  202152  46  54.2840 N  61  14.5560 W   1.9       11.4       12.5        0.0       20.7       36.5 
050917  202154  46  54.2830 N  61  14.5560 W   1.8       11.4       12.5        0.0       20.7       39.1*
050917  202156  46  54.2820 N  61  14.5560 W   1.8       11.4       11.8*       0.0       20.7       39.1 
050917  202158  46  54.2820 N  61  14.5550 W   1.7       11.4       11.8        0.0       20.7       39.1 
050917  202200  46  54.2810 N  61  14.5550 W   1.9       11.4       11.8        0.0        5.7*      38.7*
050917  202202  46  54.2800 N  61  14.5540 W   1.3       11.4       11.8        0.0        5.7       38.7 
050917  202204  46  54.2780 N  61  14.5540 W   2.1       11.4       11.8        0.0        5.1*      42.2*
050917  202206  46  54.2780 N  61  14.5540 W   1.3       11.4       11.8        0.0        5.1       42.2 
050917  202208  46  54.2770 N  61  14.5540 W   1.6       11.4       11.8        0.0        5.1       42.2 
050917  202210  46  54.2760 N  61  14.5540 W   1.4       11.4       11.8        0.0        5.3*      44.0*
050917  202212  46  54.2750 N  61  14.5530 W   1.8       11.4       11.8        0.0        5.3       44.0 
050917  202214  46  54.2740 N  61  14.5530 W   1.5       11.4       11.8        0.0        5.3       44.0 
050917  202216  46  54.2730 N  61  14.5520 W   1.4       11.4       11.8        0.0        5.7*      46.6*
050917  202218  46  54.2730 N  61  14.5520 W   2.0       11.4       11.8        0.0        5.7       46.6 
050917  202220  46  54.2720 N  61  14.5520 W   1.7       11.4       11.8        0.0        5.0*      46.6 
050917  202222  46  54.2710 N  61  14.5510 W   1.9       11.4       11.8        0.0        5.0       46.6 
050917  202224  46  54.2700 N  61  14.5510 W   1.9       11.4       11.8        0.0        5.0       46.6 
050917  202226  46  54.2690 N  61  14.5510 W   2.1       11.4       11.8        0.0        5.0*      46.6 
050917  202228  46  54.2680 N  61  14.5500 W   2.2       11.4       11.8        0.0        5.0       46.6 
050917  202230  46  54.2670 N  61  14.5490 W   1.7       11.4       11.8        0.0        5.4*      46.6 
050917  202232  46  54.2660 N  61  14.5490 W   2.3       11.4       11.8        0.0        5.4       57.2*
050917  202234  46  54.2640 N  61  14.5490 W   2.1       11.4       11.8        0.0        5.4       57.2 
050917  202236  46  54.2630 N  61  14.5490 W   2.2       11.4       11.8        0.0        4.7*      55.9*
