FileName: C:\2005NE~1\GP250.TXT
Local Time: Fri Sep 16 10:04:20 2005

Ship: Marco Michel Trip: 09 Tow: gp250
Comments: zone 20
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050916  130422  47  15.1530 N  60  16.7570 W   4.6        5.6*      11.1        3.1*       0.0      106.9*
050916  130424  47  15.1510 N  60  16.7560 W   4.6        5.6       11.1        3.1        0.0      106.9 
050916  130426  47  15.1480 N  60  16.7550 W   6.0        5.6       11.1        3.1        0.0      106.9 
050916  130428  47  15.1440 N  60  16.7540 W   5.9        5.6       11.1        3.1        0.0      106.9 
050916  130431  47  15.1390 N  60  16.7530 W   6.7        5.6       11.1        3.1        0.0      106.9 
050916  130432  47  15.1370 N  60  16.7530 W   7.1        5.6       11.1        3.1        0.0      106.9 
050916  130434  47  15.1330 N  60  16.7520 W   7.1        5.6       11.1        3.1        0.0      106.9 
050916  130436  47  15.1290 N  60  16.7510 W   7.5        5.6       11.1        3.1        0.0      106.9 
050916  130438  47  15.1240 N  60  16.7510 W   7.5        5.6       11.1        3.1        0.0      106.9 
050916  130440  47  15.1200 N  60  16.7500 W   7.9        5.6       11.1        3.1        0.0      106.9 
050916  130442  47  15.1150 N  60  16.7500 W   7.7        5.6       11.1        3.1        0.0      106.9 
050916  130444  47  15.1110 N  60  16.7500 W   7.9        5.6       11.1        3.1        0.0      106.9 
050916  130446  47  15.1070 N  60  16.7500 W   8.1        5.6       11.1        3.1        0.0      106.9 
050916  130448  47  15.1020 N  60  16.7500 W   7.9        5.6       11.1        3.1        0.0      106.9 
050916  130450  47  15.0970 N  60  16.7500 W   8.1        5.6       11.1        3.1        0.0      106.9 
050916  130452  47  15.0920 N  60  16.7490 W   8.4        5.6       11.1        3.1        0.0      106.9 
050916  130454  47  15.0880 N  60  16.7490 W   8.0        5.6       11.1        3.1        0.0      106.9 
050916  130456  47  15.0830 N  60  16.7500 W   8.1        5.6       11.1        3.1        0.0      106.9 
050916  130458  47  15.0790 N  60  16.7490 W   8.1        5.6       11.1        3.1        0.0      106.9 
050916  130500  47  15.0750 N  60  16.7490 W   8.1        5.6       11.1        3.1        0.0      106.9 
050916  130502  47  15.0700 N  60  16.7490 W   8.1        5.6       11.1        3.1        0.0      106.9 
050916  130504  47  15.0660 N  60  16.7490 W   7.9        5.6       11.1        3.1        0.0      106.9 
050916  130506  47  15.0610 N  60  16.7500 W   8.2        5.6       11.1        3.1        0.0      106.9 
050916  130508  47  15.0570 N  60  16.7500 W   8.0        5.6       11.1        3.1        0.0      106.9 
050916  130510  47  15.0520 N  60  16.7490 W   7.8        5.6       11.1        3.1        0.0      106.9 
050916  130512  47  15.0480 N  60  16.7500 W   8.0        5.6       11.1        3.1        0.0      106.9 
