FileName: C:\2005NE~1\GP113.TXT
Local Time: Tue Aug 30 06:50:54 2005

Ship: Marco Michel Trip: 08 Tow: gp113
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050830  095056  47  29.7320 N  63  17.8720 W   4.9        2.5       11.8*     111.5*       0.0      338.7*
050830  095058  47  29.7290 N  63  17.8740 W   4.7        2.5       11.8      111.5        0.0      338.7 
050830  095100  47  29.7270 N  63  17.8750 W   4.5        2.5       11.8      111.5        0.0      338.7 
050830  095102  47  29.7250 N  63  17.8760 W   4.0        2.5       11.8      111.5        0.0      338.7 
050830  095104  47  29.7230 N  63  17.8780 W   4.0        2.5       11.8      111.5        0.0      338.7 
050830  095106  47  29.7210 N  63  17.8800 W   4.1        2.5       11.8      111.5        0.0      338.7 
050830  095108  47  29.7190 N  63  17.8810 W   3.9        2.5       11.8      111.5        0.0      338.7 
050830  095110  47  29.7170 N  63  17.8820 W   3.4        2.5       11.8        3.9*       0.0      338.7 
050830  095112  47  29.7150 N  63  17.8830 W   3.4        2.5       11.8        3.9        0.0      338.7 
050830  095114  47  29.7140 N  63  17.8850 W   3.5        2.5       11.8        3.9        0.0      338.7 
050830  095116  47  29.7120 N  63  17.8860 W   3.5        2.5       11.8        7.5*       0.0      338.7 
050830  095118  47  29.7110 N  63  17.8870 W   3.3        2.5       11.8        7.5        0.0      338.7 
050830  095120  47  29.7090 N  63  17.8880 W   3.1        2.5       11.8        7.5        0.0      338.7 
050830  095122  47  29.7080 N  63  17.8890 W   3.4        2.5       11.8        7.5        0.0      338.7 
050830  095124  47  29.7060 N  63  17.8910 W   3.4        2.5       11.8        7.5        0.0      338.7 
050830  095126  47  29.7040 N  63  17.8920 W   3.2        2.5       11.8       11.1*       0.0      338.7 
050830  095128  47  29.7030 N  63  17.8930 W   3.3        2.5       11.8       11.1        0.0      338.7 
050830  095130  47  29.7010 N  63  17.8950 W   4.0        2.5       11.8       11.1        0.0      338.7 
050830  095132  47  29.6990 N  63  17.8970 W   4.6        2.5       11.8       11.1        0.0      338.7 
050830  095134  47  29.6960 N  63  17.8980 W   4.8        2.5       11.8       11.1        0.0      338.7 
050830  095136  47  29.6940 N  63  17.8990 W   5.0        2.5       11.8       11.1        0.0      338.7 
050830  095138  47  29.6910 N  63  17.9010 W   5.7        2.5       11.8       11.1        0.0      338.7 
050830  095140  47  29.6880 N  63  17.9030 W   6.1        2.5       11.8       11.1        0.0      338.7 
050830  095142  47  29.6850 N  63  17.9050 W   6.1        2.5       11.8       11.1        0.0      338.7 
050830  095144  47  29.6810 N  63  17.9080 W   6.4        2.5       11.8       11.1        0.0      338.7 
050830  095146  47  29.6780 N  63  17.9100 W   6.6        2.5       11.8       11.1        0.0      338.7 
050830  095148  47  29.6740 N  63  17.9110 W   6.8        2.5       11.8       11.1        0.0      338.7 
050830  095150  47  29.6710 N  63  17.9130 W   6.8        2.5       11.8       11.1        0.0      338.7 
050830  095152  47  29.6670 N  63  17.9160 W   6.8        2.5       11.8       11.1        0.0      338.7 
050830  095154  47  29.6640 N  63  17.9170 W   6.7        2.5       11.8       11.1        0.0      338.7 
050830  095156  47  29.6600 N  63  17.9190 W   7.0        2.5       11.8       11.1        0.0      338.7 
050830  095158  47  29.6570 N  63  17.9220 W   7.0        2.5       11.8       11.1        0.0        2.6*
050830  095200  47  29.6530 N  63  17.9240 W   6.8        2.5       11.8       11.1        0.0        2.6 
050830  095202  47  29.6490 N  63  17.9260 W   6.7        2.5       11.8       11.1        0.0       18.5*
050830  095204  47  29.6460 N  63  17.9280 W   6.8        2.5       11.8       11.1        0.0       18.5 
050830  095206  47  29.6420 N  63  17.9300 W   6.9        2.5       11.8       11.1        0.0       18.5 
050830  095208  47  29.6390 N  63  17.9320 W   7.1        2.5       11.8       11.1        0.0       18.5 
050830  095210  47  29.6350 N  63  17.9340 W   6.8        2.5       11.8       11.1        0.0       18.5 
050830  095212  47  29.6320 N  63  17.9360 W   6.7        2.5       11.8       11.1        0.0       18.5 
050830  095214  47  29.6280 N  63  17.9380 W   6.9        2.5       11.8       11.1        0.0       18.5 
050830  095216  47  29.6240 N  63  17.9400 W   6.9        2.5       11.8       11.1        0.0       18.5 
050830  095218  47  29.6210 N  63  17.9420 W   6.7        2.5       11.8       11.1        0.0       18.5 
050830  095220  47  29.6170 N  63  17.9440 W   6.7        2.5       11.8       11.1        0.0       18.5 
050830  095222  47  29.6130 N  63  17.9450 W   6.8        2.5       11.8       11.1        0.0       18.5 
050830  095224  47  29.6100 N  63  17.9470 W   6.8        2.5       11.8       11.1        0.0       18.5 
050830  095226  47  29.6060 N  63  17.9490 W   6.9        2.5       11.8       11.1        0.0       18.5 
050830  095228  47  29.6030 N  63  17.9510 W   6.7        2.5       11.8       11.1        0.0       18.5 
050830  095230  47  29.5990 N  63  17.9520 W   6.6        2.5       11.8       11.1        0.0       18.5 
050830  095232  47  29.5960 N  63  17.9540 W   6.8        2.5       11.8       11.1        0.0       18.5 
050830  095234  47  29.5920 N  63  17.9550 W   6.8        2.5       11.8       11.1        0.0       18.5 
050830  095236  47  29.5890 N  63  17.9560 W   6.8        2.5       11.8       11.1        0.0       18.5 
050830  095238  47  29.5850 N  63  17.9580 W   6.7        2.5       11.8       11.1        0.0       18.5 
050830  095240  47  29.5810 N  63  17.9590 W   6.6        2.5       11.8       11.1        0.0       18.5 
050830  095242  47  29.5780 N  63  17.9600 W   6.6        2.5       11.8       11.1        0.0       18.5 
050830  095244  47  29.5740 N  63  17.9610 W   6.9        2.5       11.8       11.1        0.0       18.5 
050830  095246  47  29.5700 N  63  17.9630 W   6.9        2.5       11.8       11.1        0.0       18.5 
050830  095248  47  29.5670 N  63  17.9640 W   6.7        2.5       11.8       11.1        0.0       18.5 
050830  095250  47  29.5630 N  63  17.9650 W   6.5        2.5       11.8       54.2*       0.0       18.5 
050830  095252  47  29.5590 N  63  17.9660 W   6.6        2.5       11.8       54.2        0.0       18.5 
050830  095254  47  29.5560 N  63  17.9680 W   6.8        2.5       11.8       54.2        0.0       18.5 
050830  095256  47  29.5520 N  63  17.9700 W   7.0        2.5       11.8       54.2        0.0       18.5 
050830  095258  47  29.5480 N  63  17.9710 W   6.7        2.5       11.8       54.2        0.0       18.5 
050830  095300  47  29.5450 N  63  17.9720 W   6.6        2.5       11.8       54.2        0.0       18.5 
050830  095302  47  29.5420 N  63  17.9730 W   6.6        2.5       11.8       54.2        0.0       18.5 
050830  095304  47  29.5380 N  63  17.9750 W   6.8        2.5       11.8       54.2        0.0       18.5 
050830  095306  47  29.5340 N  63  17.9760 W   6.7        2.5       11.8       54.2        0.0       18.5 
050830  095308  47  29.5300 N  63  17.9770 W   6.7        2.5       11.8       54.2        0.0       18.5 
050830  095310  47  29.5260 N  63  17.9780 W   6.6        2.5       11.8       54.2        0.0       18.5 
050830  095312  47  29.5230 N  63  17.9790 W   6.8        2.5       11.8       54.2        0.0       18.5 
050830  095314  47  29.5190 N  63  17.9800 W   6.8        2.5       11.8       54.2        0.0       18.5 
050830  095316  47  29.5150 N  63  17.9810 W   6.7        2.5       11.8       54.2        0.0       18.5 
050830  095318  47  29.5120 N  63  17.9830 W   6.5        2.5       11.8       54.2        0.0       18.5 
050830  095320  47  29.5080 N  63  17.9840 W   6.8        2.5       11.8       54.2        0.0       18.5 
050830  095322  47  29.5050 N  63  17.9850 W   6.7        2.5       11.8       54.2        0.0       18.5 
050830  095324  47  29.5010 N  63  17.9860 W   6.7        2.5       11.8       54.2        0.0       18.5 
050830  095326  47  29.4970 N  63  17.9870 W   6.6        2.5       11.8       54.2        0.0       18.5 
050830  095328  47  29.4940 N  63  17.9880 W   6.6        2.5       11.8       54.2        0.0       18.5 
