FileName: C:\2005NE~1\GP135.TXT
Local Time: Fri Jul 22 05:08:49 2005

Ship: Marco Michel Trip: 05 Tow: gp135
Comments: zone  12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050722  080849  48  22.7270 N  62  47.8280 W   7.6       10.8*       0.0      145.1*       0.0      149.1*
050722  080851  48  22.7250 N  62  47.8230 W   7.5       10.8        0.0      145.1        0.0      149.1 
050722  080854  48  22.7210 N  62  47.8170 W   6.7       10.8        0.0      145.1        0.0      149.1 
050722  080855  48  22.7200 N  62  47.8140 W   6.5       10.8        0.0      145.1        0.0      149.1 
050722  080857  48  22.7180 N  62  47.8100 W   5.9       10.8        0.0      145.1        0.0      149.1 
050722  080900  48  22.7150 N  62  47.8050 W   5.4       10.8        0.0      145.1        0.0      149.1 
050722  080901  48  22.7140 N  62  47.8030 W   5.3       10.8        0.0      145.1        0.0      149.1 
050722  080903  48  22.7120 N  62  47.8000 W   5.1       10.8        0.0      145.1        0.0      149.1 
050722  080906  48  22.7100 N  62  47.7950 W   4.4       10.8        0.0      145.1        0.0      149.1 
050722  080907  48  22.7090 N  62  47.7940 W   4.3       10.8        0.0        3.7*       0.0      149.1 
050722  080909  48  22.7070 N  62  47.7920 W   3.8       10.8        0.0        3.7        0.0      149.1 
050722  080912  48  22.7050 N  62  47.7890 W   3.6       10.8        0.0        7.2*       0.0      149.1 
050722  080913  48  22.7050 N  62  47.7880 W   3.6       10.8        0.0        7.2        0.0      149.1 
050722  080915  48  22.7030 N  62  47.7860 W   3.6       10.8        0.0        7.2        0.0      149.1 
050722  080918  48  22.7010 N  62  47.7820 W   3.3       10.8        0.0        7.2        0.0      149.1 
050722  080919  48  22.7010 N  62  47.7810 W   3.1       10.8        0.0        7.2        0.0      149.1 
050722  080921  48  22.6990 N  62  47.7790 W   3.0       10.8        0.0        7.2        0.0      149.1 
050722  080924  48  22.6980 N  62  47.7760 W   2.8       10.8        0.0       10.6*       0.0      149.1 
050722  080925  48  22.6970 N  62  47.7760 W   2.8       10.8        0.0       10.6        0.0      149.1 
050722  080927  48  22.6960 N  62  47.7740 W   2.6       10.8        0.0       10.6        0.0      149.1 
050722  080930  48  22.6950 N  62  47.7730 W   2.7       10.8        0.0       10.6        0.0      149.1 
050722  080931  48  22.6940 N  62  47.7720 W   2.5       10.8        0.0       10.6        0.0      149.1 
050722  080933  48  22.6930 N  62  47.7710 W   2.5       10.8        0.0        2.9*       0.0      149.1 
050722  080936  48  22.6920 N  62  47.7690 W   2.6       10.8        0.0        2.9        0.0      149.1 
050722  080937  48  22.6910 N  62  47.7680 W   2.6       10.8        0.0       12.4*       0.0      149.1 
050722  080939  48  22.6900 N  62  47.7660 W   3.3       10.8        0.0       12.4        0.0      149.1 
050722  080942  48  22.6880 N  62  47.7620 W   4.2       10.8        0.0       12.4        0.0      149.1 
050722  080943  48  22.6880 N  62  47.7600 W   4.4       10.8        0.0       12.4        0.0      149.1 
050722  080945  48  22.6860 N  62  47.7570 W   5.1       10.8        0.0       81.0*       0.0      149.1 
