FileName: C:\2005NE~1\GP213.TXT
Local Time: Sat Jul 30 19:10:09 2005

Ship: Marco Michel Trip: 06 Tow: gp213
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050730  221215  47  42.9280 N  62  31.4900 W   6.7        3.0        2.5        6.0        0.0      136.8 
050730  221218  47  42.9240 N  62  31.4860 W   5.8        3.0        2.5        5.8*       0.0       31.2*
050730  221219  47  42.9230 N  62  31.4850 W   5.7        3.0       13.5*       5.8        0.0       31.2 
050730  221221  47  42.9200 N  62  31.4830 W   5.6        3.0       13.5        5.8        0.0       31.2 
050730  221224  47  42.9160 N  62  31.4780 W   5.5        3.0       13.5        8.3*       0.0       37.4*
050730  221225  47  42.9150 N  62  31.4770 W   5.7        3.0       13.5        8.3        0.0       37.4 
050730  221227  47  42.9120 N  62  31.4750 W   5.0        3.0       13.5        8.3        0.0       36.9*
050730  221230  47  42.9090 N  62  31.4710 W   5.4        3.0       13.5        7.3*       0.0       36.9 
050730  221231  47  42.9070 N  62  31.4690 W   5.5        3.0       13.5        7.3        0.0       36.9 
050730  221233  47  42.9050 N  62  31.4670 W   5.5        3.0       13.5        6.5*       0.0       36.5*
050730  221236  47  42.9010 N  62  31.4630 W   4.2        3.0       13.5        6.5        0.0       36.5 
050730  221237  47  42.9000 N  62  31.4630 W   4.1        3.0       13.5        6.5        0.0       36.5 
050730  221239  47  42.8990 N  62  31.4610 W   3.8        3.0       13.5        6.1*       0.0       39.6*
050730  221242  47  42.8960 N  62  31.4590 W   3.0        3.0       13.5        6.1        0.0       39.6 
050730  221243  47  42.8950 N  62  31.4580 W   3.3        3.0       13.5        6.8*       0.0       38.3*
050730  221245  47  42.8940 N  62  31.4570 W   2.3        3.0       13.5        6.8        0.0       38.3 
050730  221248  47  42.8920 N  62  31.4550 W   2.4        3.0       13.5        6.8        0.0       38.3 
050730  221250  47  42.8910 N  62  31.4540 W   2.3        3.0       13.5        7.4*       0.0       39.1*
050730  221251  47  42.8910 N  62  31.4530 W   2.5        3.0       13.5        7.4        0.0       39.1 
050730  221254  47  42.8890 N  62  31.4520 W   2.5        3.0       13.5        7.4        0.0       39.1 
050730  221255  47  42.8890 N  62  31.4510 W   2.2        3.0       11.6*       6.8*       0.0       40.0*
050730  221257  47  42.8880 N  62  31.4500 W   1.9        3.0       11.6        6.8        0.0       40.0 
050730  221300  47  42.8860 N  62  31.4490 W   1.9        3.0       11.6        5.7*       0.0       33.9*
050730  221301  47  42.8860 N  62  31.4490 W   1.9        3.0       11.6        5.7        0.0       33.9 
050730  221303  47  42.8850 N  62  31.4480 W   1.9        3.0       11.6        5.7        0.0       33.9 
050730  221306  47  42.8840 N  62  31.4460 W   2.3        3.0       11.6        5.9*       0.0       48.8*
050730  221307  47  42.8830 N  62  31.4460 W   1.7        3.0       11.6*       5.9        0.0       48.8 
050730  221310  47  42.8820 N  62  31.4440 W   2.2        3.0       11.6        5.9*       0.0       41.3*
050730  221312  47  42.8810 N  62  31.4430 W   1.7        3.0       11.6        5.9        0.0       41.3 
050730  221313  47  42.8810 N  62  31.4430 W   1.9        3.0       11.6        5.9        0.0       41.3 
050730  221315  47  42.8800 N  62  31.4420 W   1.9        3.0       11.6        7.2*       0.0       43.5*
050730  221318  47  42.8790 N  62  31.4410 W   2.3        3.0       11.6        7.2        0.0       43.5 
050730  221319  47  42.8780 N  62  31.4400 W   2.1        3.0       11.6        7.2        0.0       43.5 
050730  221321  47  42.8770 N  62  31.4400 W   2.0        3.0       11.6        3.0*       0.0       55.0*
050730  221324  47  42.8760 N  62  31.4380 W   1.5        3.0       11.6        3.0        0.0       55.0 
050730  221325  47  42.8760 N  62  31.4370 W   2.0        3.0       11.6        5.9*       0.0       47.1*
050730  221327  47  42.8740 N  62  31.4360 W   2.3        3.0       11.6        5.9        0.0       47.1 
050730  221330  47  42.8730 N  62  31.4360 W   1.7        3.0       11.6        5.9        0.0       47.1 
050730  221331  47  42.8730 N  62  31.4350 W   2.3        3.0       11.6        5.8*       0.0       55.9*
050730  221333  47  42.8720 N  62  31.4340 W   2.3        3.0       11.6        5.8        0.0       55.9 
050730  221336  47  42.8700 N  62  31.4320 W   1.8        3.0       11.6        5.8        0.0       55.9 
050730  221337  47  42.8700 N  62  31.4320 W   2.0        3.0       11.6        4.5*       0.0       52.3*
050730  221339  47  42.8690 N  62  31.4310 W   2.2        3.0       11.6        4.5        0.0       52.3 
050730  221342  47  42.8670 N  62  31.4300 W   1.9        3.0       11.6        5.9*       0.0       60.3*
050730  221343  47  42.8670 N  62  31.4290 W   1.5        3.0       11.6        5.9        0.0       60.3 
050730  221345  47  42.8660 N  62  31.4280 W   2.6        3.0       11.6        5.9        0.0       60.3 
050730  221348  47  42.8640 N  62  31.4270 W   2.2        3.0       11.6        4.8*       0.0       59.4*
050730  221349  47  42.8640 N  62  31.4260 W   2.4        3.0       11.6        4.8        0.0       59.4 
050730  221352  47  42.8620 N  62  31.4260 W   2.0        3.0       11.6        4.8*       0.0       59.4 
050730  221354  47  42.8610 N  62  31.4240 W   2.2        3.0       11.6        4.8        0.0       65.5*
050730  221355  47  42.8610 N  62  31.4240 W   1.8        3.0       11.6        4.8        0.0       65.5 
050730  221357  47  42.8600 N  62  31.4230 W   2.5        3.0       11.6        6.1*       0.0       68.2*
050730  221400  47  42.8590 N  62  31.4210 W   2.2        3.0       11.6        6.1        0.0       68.2 
050730  221402  47  42.8580 N  62  31.4200 W   2.3        3.0       11.6        6.1        0.0       68.2 
050730  221403  47  42.8570 N  62  31.4200 W   1.9        3.0       11.6        5.3*       0.0       58.1*
050730  221406  47  42.8560 N  62  31.4180 W   1.8        3.0       11.6        5.3        0.0       58.1 
050730  221407  47  42.8560 N  62  31.4170 W   2.3        3.0       11.6        5.1*       0.0       58.1 
050730  221410  47  42.8540 N  62  31.4160 W   1.7        3.0       11.6        5.1        0.0       65.5*
050730  221412  47  42.8530 N  62  31.4150 W   1.7        3.0       11.6        5.1        0.0       65.5 
050730  221414  47  42.8520 N  62  31.4140 W   2.4        3.0        2.4*       5.0*       0.0      104.7*
050730  221416  47  42.8510 N  62  31.4130 W   2.4        3.0        2.4        5.0        0.0      104.7 
050730  221418  47  42.8500 N  62  31.4120 W   2.0        3.0        2.4        5.0        0.0      104.7 
050730  221420  47  42.8490 N  62  31.4110 W   2.2        3.0        2.4       12.2*       0.0      104.7 
050730  221422  47  42.8480 N  62  31.4100 W   1.6       11.3*       2.4       12.2        0.0      104.7 
050730  221424  47  42.8470 N  62  31.4090 W   3.0       11.3        2.4       12.2        0.0      104.7 
050730  221426  47  42.8460 N  62  31.4070 W   1.3       11.3        2.4       12.2        0.0      104.7 
050730  221428  47  42.8450 N  62  31.4070 W   2.5       11.3        2.7*      12.2        0.0      104.7 
050730  221430  47  42.8440 N  62  31.4050 W   1.3       11.3        2.7        5.5*       0.0       76.1*
050730  221432  47  42.8430 N  62  31.4050 W   2.8       11.3        2.7        5.5        0.0       76.1 
050730  221434  47  42.8420 N  62  31.4030 W   2.0       11.3        2.7        5.6*       0.0       76.1 
050730  221436  47  42.8410 N  62  31.4020 W   2.3        6.4*       2.7        5.6        0.0       76.1*
050730  221438  47  42.8400 N  62  31.4020 W   1.8        6.4        2.7        5.6        0.0       76.1 
050730  221440  47  42.8390 N  62  31.4000 W   2.1        6.4        2.7        5.9*       0.0       76.1 
050730  221442  47  42.8390 N  62  31.3990 W   2.6        6.4        2.7        5.9        0.0       81.4*
050730  221444  47  42.8370 N  62  31.3980 W   2.1        6.4        2.7        5.9        0.0       81.4 
050730  221446  47  42.8360 N  62  31.3970 W   1.8        6.4        2.7        5.7*       0.0       81.4 
050730  221448  47  42.8350 N  62  31.3960 W   2.4        6.4       12.0*       5.7        0.0       75.2*
050730  221450  47  42.8340 N  62  31.3950 W   1.6        6.4       12.0        6.5*       0.0       75.2 
050730  221452  47  42.8340 N  62  31.3940 W   1.9        6.4       12.0        6.5        0.0       79.2*
050730  221454  47  42.8330 N  62  31.3930 W   2.0        6.4       12.0        6.5        0.0       79.2 
050730  221456  47  42.8320 N  62  31.3910 W   2.2        6.4       12.0        6.6*       0.0       79.2 
050730  221458  47  42.8310 N  62  31.3900 W   1.7        6.4       12.0        6.6        0.0       80.9*
050730  221500  47  42.8300 N  62  31.3890 W   2.1        6.4       12.0        6.6        0.0       80.9 
050730  221502  47  42.8290 N  62  31.3890 W   2.0        6.4       12.0        7.4*       0.0       80.9 
050730  221504  47  42.8290 N  62  31.3870 W   2.0        6.4       12.0        7.4        0.0       79.6*
050730  221506  47  42.8280 N  62  31.3860 W   1.9        6.4       12.0        7.3*       0.0       79.6 
050730  221508  47  42.8270 N  62  31.3860 W   1.8        6.4       12.0        7.3        0.0       79.2*
050730  221510  47  42.8260 N  62  31.3850 W   2.1        6.4       12.0        7.3        0.0       79.2 
050730  221512  47  42.8250 N  62  31.3830 W   2.3        6.4       11.2*       7.7*       0.0       79.2 
050730  221514  47  42.8240 N  62  31.3830 W   1.4        6.4       11.2        7.7        0.0       79.2*
050730  221516  47  42.8230 N  62  31.3820 W   2.0        6.4       11.2        7.6*       0.0       79.2 
050730  221518  47  42.8220 N  62  31.3810 W   2.0        6.4       11.2        7.6        0.0       79.2 
050730  221520  47  42.8210 N  62  31.3800 W   2.0        6.4       11.2        7.6        0.0       80.5*
050730  221522  47  42.8200 N  62  31.3790 W   1.9        6.4       11.2        7.8*       0.0       80.5 
