FileName: C:\2005NE~1\GP316.TXT
Local Time: Mon Aug 01 10:35:44 2005

Ship: Marco Michel Trip: 06 Tow: gp316
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050801  133749  47  27.9350 N  63  48.3540 W   5.8        4.3       13.2        6.3        0.0       26.0*
050801  133751  47  27.9380 N  63  48.3510 W   5.7        4.3       13.2        6.3        0.0       26.0 
050801  133753  47  27.9410 N  63  48.3490 W   4.8        4.3       13.2        6.3        0.0       26.0 
050801  133755  47  27.9420 N  63  48.3470 W   4.3        4.3       13.2        6.3        0.0       30.4*
050801  133757  47  27.9440 N  63  48.3450 W   3.7        4.3       13.2        6.3        0.0       30.4 
050801  133759  47  27.9460 N  63  48.3440 W   3.8        4.3       13.2        6.3        0.0       30.4 
050801  133801  47  27.9480 N  63  48.3430 W   3.1        4.3       13.2        6.3        0.0       32.6*
050801  133803  47  27.9490 N  63  48.3420 W   3.3        2.6*      13.2        6.6*       0.0       32.6 
050801  133805  47  27.9510 N  63  48.3410 W   2.4        2.6       13.2        6.6        0.0       36.1*
050801  133807  47  27.9520 N  63  48.3400 W   2.8        2.6       13.2        6.6        0.0       36.1 
050801  133809  47  27.9530 N  63  48.3390 W   2.2        2.6       13.2        8.8*       0.0       36.1 
050801  133811  47  27.9540 N  63  48.3380 W   2.5        2.6       13.2        8.8        0.0       39.1*
050801  133813  47  27.9550 N  63  48.3370 W   2.2        2.6       13.2        4.2*       0.0       39.1 
050801  133815  47  27.9570 N  63  48.3360 W   2.3        2.6       13.2        4.2        0.0       39.1 
050801  133817  47  27.9580 N  63  48.3350 W   2.1        2.6       13.2        4.2        0.0       46.2*
050801  133819  47  27.9580 N  63  48.3350 W   2.1        2.6       13.2        6.7*       0.0       46.2 
050801  133821  47  27.9600 N  63  48.3340 W   2.2        2.6       13.2        6.7        0.0       31.7*
050801  133823  47  27.9610 N  63  48.3340 W   1.9        2.6       13.2        5.5*       0.0       31.7 
050801  133825  47  27.9620 N  63  48.3330 W   2.2        2.6       13.2        5.5        0.0       31.7 
050801  133827  47  27.9630 N  63  48.3330 W   1.7        2.6       13.2        5.5        0.0       50.1*
050801  133829  47  27.9640 N  63  48.3320 W   2.1        2.6       13.2        6.5*       0.0       50.1 
050801  133831  47  27.9650 N  63  48.3310 W   1.7        2.6       13.2        6.5        0.0       50.1 
050801  133833  47  27.9660 N  63  48.3300 W   2.2        2.6        2.8*       6.5        0.0       45.7*
050801  133835  47  27.9670 N  63  48.3290 W   1.8        2.6        2.8       10.1*       0.0       45.7 
050801  133837  47  27.9680 N  63  48.3290 W   2.2        2.6        2.8       10.1        0.0       40.9*
050801  133839  47  27.9690 N  63  48.3280 W   2.0        2.6        2.8       10.1        0.0       40.9 
050801  133841  47  27.9700 N  63  48.3280 W   1.9        3.4*       2.8       10.1        0.0       40.9 
050801  133843  47  27.9710 N  63  48.3270 W   2.0        3.4        2.8       10.1        0.0       48.8*
050801  133845  47  27.9720 N  63  48.3270 W   1.6        3.4        2.8        4.8*       0.0       48.8 
050801  133847  47  27.9730 N  63  48.3260 W   2.2        3.4        2.7*       4.8        0.0       52.3*
050801  133849  47  27.9740 N  63  48.3250 W   1.7        3.4        2.7        4.8        0.0       52.3 
050801  133851  47  27.9750 N  63  48.3240 W   2.1        3.4        2.7        4.8*       0.0       52.3 
050801  133853  47  27.9760 N  63  48.3230 W   1.9        3.5*       2.7        4.8        0.0       55.4*
050801  133855  47  27.9770 N  63  48.3230 W   1.8        3.5        2.7        5.6*       0.0       55.4 
050801  133857  47  27.9780 N  63  48.3220 W   2.1        3.5        2.7        5.6        0.0       55.4 
050801  133859  47  27.9790 N  63  48.3220 W   1.8        3.5        2.6*       5.6        0.0       53.7*
050801  133901  47  27.9800 N  63  48.3210 W   2.2        3.5        2.6        5.0*       0.0       53.7 
050801  133903  47  27.9810 N  63  48.3210 W   2.0        3.5        2.6        5.0        0.0       53.7 
050801  133905  47  27.9820 N  63  48.3200 W   1.8        3.5        2.6        6.8*       0.0       62.9*
050801  133907  47  27.9820 N  63  48.3190 W   1.8        3.4*       2.6        6.8        0.0       62.9 
050801  133909  47  27.9830 N  63  48.3190 W   1.9        3.4        2.6        6.8        0.0       60.3*
050801  133911  47  27.9840 N  63  48.3180 W   2.0        3.4        2.6        2.9*       0.0       60.3 
050801  133913  47  27.9860 N  63  48.3180 W   2.1        3.4        2.5*       2.9        0.0       60.3 
050801  133915  47  27.9860 N  63  48.3170 W   1.9        3.4        2.5        2.9        0.0       62.5*
050801  133917  47  27.9870 N  63  48.3160 W   2.0        3.4        2.5        5.4*       0.0       62.5 
050801  133919  47  27.9890 N  63  48.3160 W   1.9        3.4        2.5        5.4        0.0       62.5 
050801  133921  47  27.9900 N  63  48.3150 W   2.1        3.8*       2.5        5.1*       0.0       66.9*
050801  133923  47  27.9910 N  63  48.3140 W   2.0        3.8        2.5        5.1        0.0       66.9 
050801  133925  47  27.9920 N  63  48.3130 W   2.3        3.8        2.5        5.1        0.0       67.3*
050801  133927  47  27.9930 N  63  48.3130 W   2.0        3.8        2.2*       4.8*       0.0       67.3 
050801  133929  47  27.9940 N  63  48.3120 W   2.1        3.8        2.2        4.8        0.0       67.3 
050801  133931  47  27.9950 N  63  48.3110 W   2.0        3.8        2.2        4.8        0.0       70.8*
050801  133933  47  27.9960 N  63  48.3100 W   2.0        4.0*       2.2        6.3*       0.0       70.8 
050801  133935  47  27.9970 N  63  48.3100 W   2.2        4.0        2.2        6.3        0.0       71.3*
050801  133937  47  27.9980 N  63  48.3090 W   1.7        4.0        2.2        5.4*       0.0       71.3 
050801  133939  47  27.9990 N  63  48.3080 W   2.5        4.0        2.2        5.4        0.0       71.3 
050801  133941  47  28.0000 N  63  48.3070 W   1.7        4.0        2.2        5.4        0.0       71.7*
050801  133943  47  28.0010 N  63  48.3070 W   2.2        4.0        2.2        5.8*       0.0       71.7 
050801  133945  47  28.0020 N  63  48.3060 W   2.1        4.0        2.2        5.8        0.0       71.7 
050801  133947  47  28.0030 N  63  48.3050 W   1.7        4.0        2.2        6.6*       0.0       69.5*
050801  133949  47  28.0040 N  63  48.3050 W   2.5        4.0        2.2        6.6        0.0       69.5 
050801  133951  47  28.0050 N  63  48.3040 W   1.6        4.0        2.2        6.6        0.0       69.5 
050801  133953  47  28.0060 N  63  48.3030 W   2.5        4.0        2.2        6.2*       0.0       76.5*
050801  133955  47  28.0080 N  63  48.3020 W   1.8        4.0        2.2        6.2        0.0       76.5 
050801  133957  47  28.0080 N  63  48.3010 W   2.2        4.0       10.8*       6.2        0.0       69.5*
050801  133959  47  28.0100 N  63  48.3000 W   2.0        4.0       10.8       23.5*       0.0       69.5 
050801  134001  47  28.0110 N  63  48.3000 W   1.8        4.0       10.8       23.5        0.0       69.5 
050801  134003  47  28.0120 N  63  48.2990 W   2.5        4.0       10.8       23.5        0.0       76.1*
050801  134005  47  28.0130 N  63  48.2980 W   1.6        4.0       10.8       23.5        0.0       76.1 
050801  134007  47  28.0140 N  63  48.2970 W   2.6        4.0       10.8       23.5        0.0       76.1 
050801  134009  47  28.0150 N  63  48.2970 W   1.5        4.0       10.8        7.7*       0.0       71.7*
050801  134011  47  28.0160 N  63  48.2960 W   2.5        4.0       10.8        7.7        0.0       71.7 
050801  134013  47  28.0170 N  63  48.2950 W   1.8        4.0       10.8        7.7        0.0       74.8*
050801  134015  47  28.0180 N  63  48.2950 W   2.2        4.0       10.8        8.3*       0.0       74.8 
050801  134017  47  28.0190 N  63  48.2940 W   2.2        4.0       10.8        8.3        0.0       74.8 
050801  134019  47  28.0200 N  63  48.2940 W   1.9        4.0       10.8        7.2*       0.0       72.6*
050801  134021  47  28.0210 N  63  48.2930 W   2.2        4.0       10.8        7.2        0.0       72.6 
050801  134023  47  28.0230 N  63  48.2920 W   1.8        4.0       10.8        7.2        0.0       72.6 
050801  134025  47  28.0240 N  63  48.2910 W   2.2        4.0       10.8        8.1*       0.0       74.3*
050801  134027  47  28.0250 N  63  48.2910 W   1.9        4.0       10.8        8.1        0.0       74.3 
050801  134029  47  28.0260 N  63  48.2900 W   2.3        4.0       10.8       10.4*       0.0       73.0*
050801  134031  47  28.0270 N  63  48.2890 W   1.9        4.0       10.8       10.4        0.0       73.0 
050801  134033  47  28.0280 N  63  48.2890 W   2.2        4.0       10.5*      10.4        0.0       73.0 
050801  134035  47  28.0290 N  63  48.2880 W   1.9        4.0       10.5        8.0*       0.0       72.6*
050801  134037  47  28.0300 N  63  48.2880 W   2.2        4.0       10.5        8.0        0.0       72.6 
050801  134039  47  28.0310 N  63  48.2870 W   1.9        4.0       10.5        8.0        0.0       72.6 
050801  134041  47  28.0320 N  63  48.2860 W   2.2        4.0       10.5        8.6*       0.0       73.5*
050801  134043  47  28.0330 N  63  48.2850 W   2.1        4.0       10.5        8.6        0.0       73.5 
050801  134045  47  28.0350 N  63  48.2850 W   2.0        4.0       10.5        9.3*       0.0       74.3*
050801  134047  47  28.0350 N  63  48.2840 W   2.0        4.0       10.5        9.3        0.0       74.3 
050801  134049  47  28.0360 N  63  48.2830 W   2.4        4.0       10.5        9.3        0.0       74.3 
050801  134051  47  28.0370 N  63  48.2820 W   1.7        4.0       10.5       14.4*       0.0       73.5*
050801  134053  47  28.0380 N  63  48.2820 W   2.3        4.0       10.5       14.4        0.0       73.5 
050801  134055  47  28.0400 N  63  48.2810 W   1.9        4.0       10.5       14.4        0.0       73.5 
050801  134057  47  28.0410 N  63  48.2800 W   2.1        4.0       10.5        3.7*       0.0       74.8*
050801  134059  47  28.0420 N  63  48.2790 W   2.2        4.0       10.5        3.7        0.0       74.8 
050801  134101  47  28.0430 N  63  48.2780 W   2.0        4.0       10.5        9.4*       0.0       70.8*
050801  134103  47  28.0430 N  63  48.2780 W   2.2        4.0       10.5        9.4        0.0       70.8 
050801  134105  47  28.0450 N  63  48.2770 W   2.3        4.0       10.5        9.4        0.0       70.8 
050801  134107  47  28.0460 N  63  48.2760 W   2.1        4.0       10.5        9.4*       0.0       73.5*
050801  134109  47  28.0470 N  63  48.2750 W   2.5        4.0       10.7*       9.4        0.0       73.5 
050801  134111  47  28.0480 N  63  48.2750 W   1.6        4.0       10.7        9.4*       0.0       73.5 
050801  134113  47  28.0490 N  63  48.2740 W   2.5        4.0       10.7        9.4        0.0       72.6*
050801  134115  47  28.0500 N  63  48.2730 W   1.6        4.0       10.7        9.4        0.0       72.6 
050801  134117  47  28.0510 N  63  48.2730 W   2.3        4.0       10.7        9.3*       0.0       73.0*
050801  134119  47  28.0520 N  63  48.2730 W   1.8        4.0       10.7        9.3        0.0       73.0 
050801  134121  47  28.0540 N  63  48.2720 W   2.3        4.0       10.7        9.3        0.0       73.0 
050801  134123  47  28.0550 N  63  48.2710 W   1.9        4.0       10.7        9.4*       0.0       73.9*
050801  134125  47  28.0560 N  63  48.2700 W   2.2        4.0       10.7        9.4        0.0       73.9 
050801  134127  47  28.0570 N  63  48.2690 W   2.1        4.0       10.7        9.4        0.0       73.9 
050801  134129  47  28.0580 N  63  48.2690 W   2.0        4.0       10.7        9.0*       0.0       73.5*
050801  134131  47  28.0590 N  63  48.2680 W   2.2        4.0       10.7        9.0        0.0       73.5 
050801  134133  47  28.0600 N  63  48.2670 W   1.9        4.0       10.7        9.8*       0.0       72.6*
050801  134135  47  28.0610 N  63  48.2670 W   2.3        4.0       10.7        9.8        0.0       72.6 
050801  134137  47  28.0620 N  63  48.2660 W   1.8        4.0       10.7        9.8        0.0       72.6 
050801  134139  47  28.0630 N  63  48.2650 W   2.2        4.0       10.7        9.3*       0.0       73.0*
