FileName: C:\2005NE~1\GP321R2.TXT
Local Time: Thu Jul 21 13:36:28 2005

Ship: Marco Michel Trip: 05 Tow: gp321r2
Comments: zone  E
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050721  163630  48  12.4770 N  61  54.1580 W   6.8       12.3        9.6*      41.6*       0.0       18.9*
050721  163631  48  12.4760 N  61  54.1550 W   6.5       12.3        9.6       41.6        0.0       18.9 
050721  163633  48  12.4750 N  61  54.1500 W   6.4       12.3        9.6       41.6        0.0       18.9 
050721  163636  48  12.4740 N  61  54.1410 W   7.4       12.3        9.6       41.6        0.0       18.9 
050721  163637  48  12.4730 N  61  54.1380 W   7.4       12.3        9.6       41.6        0.0       18.9 
050721  163639  48  12.4720 N  61  54.1320 W   7.1       12.3        9.6       41.6        0.0       18.9 
050721  163642  48  12.4710 N  61  54.1250 W   6.0       12.3        9.6       41.6        0.0       18.9 
050721  163643  48  12.4710 N  61  54.1230 W   5.9       12.3        9.6       41.6        0.0       18.9 
050721  163645  48  12.4690 N  61  54.1180 W   6.1       12.3        9.6       41.6        0.0       18.9 
050721  163648  48  12.4680 N  61  54.1120 W   4.6       12.3        9.6       41.6        0.0       18.9 
050721  163649  48  12.4680 N  61  54.1100 W   4.5       12.3        9.6       41.6        0.0       18.9 
050721  163651  48  12.4670 N  61  54.1070 W   4.5       12.3        9.6       12.3*       0.0       18.9 
050721  163654  48  12.4660 N  61  54.1020 W   4.3       12.3        9.6       12.3        0.0       18.9 
050721  163655  48  12.4650 N  61  54.1000 W   3.9       12.3        9.6       12.3        0.0       18.9 
050721  163657  48  12.4650 N  61  54.0970 W   4.1       12.3       11.5*      12.3        0.0       18.9 
050721  163700  48  12.4630 N  61  54.0930 W   3.6       12.3       11.5       12.3        0.0       18.9 
050721  163701  48  12.4630 N  61  54.0910 W   3.4       12.3       11.5       11.6*       0.0        1.3*
050721  163703  48  12.4620 N  61  54.0890 W   3.6       12.3       11.5       11.6        0.0        1.3 
050721  163706  48  12.4610 N  61  54.0850 W   3.2       12.3       11.5       11.6        0.0       25.1*
050721  163707  48  12.4610 N  61  54.0840 W   3.4       12.3       11.5       11.6        0.0       25.1 
050721  163709  48  12.4600 N  61  54.0820 W   2.7       12.3        8.9*      11.6        0.0       25.1 
050721  163712  48  12.4600 N  61  54.0780 W   2.9       12.3        8.9        3.2*       0.0       15.0*
050721  163713  48  12.4590 N  61  54.0770 W   3.2       12.3        8.9        3.2        0.0       15.0 
