FileName: C:\2005NE~1\GP352.TXT
Local Time: Sun Jul 24 08:19:33 2005

Ship: Marco Michel Trip: 05 Tow: gp352
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050724  111935  48  20.7740 N  64  32.8170 W   5.4        2.3*      11.2*      79.2*       0.0      392.4*
050724  111937  48  20.7770 N  64  32.8140 W   4.9        2.3       11.2       79.2        0.0      392.4 
050724  111939  48  20.7780 N  64  32.8120 W   4.7        2.3       11.2       79.2        0.0      392.4 
050724  111941  48  20.7800 N  64  32.8090 W   4.5        2.3       11.2       79.2        0.0      392.4 
050724  111943  48  20.7820 N  64  32.8060 W   4.3        2.3       11.2       79.2        0.0      392.4 
050724  111945  48  20.7830 N  64  32.8040 W   4.0        2.3       11.2       79.2        0.0      392.4 
050724  111947  48  20.7850 N  64  32.8020 W   3.8        2.3       11.2        3.2*       0.0      392.4 
050724  111949  48  20.7870 N  64  32.7990 W   3.7        2.3       11.2        3.2        0.0      392.4 
050724  111951  48  20.7880 N  64  32.7970 W   3.6        2.3       11.2        3.2        0.0      392.4 
050724  111953  48  20.7890 N  64  32.7960 W   3.2        2.3       11.2       29.8*       0.0      392.4 
050724  111955  48  20.7910 N  64  32.7940 W   3.2        2.3       11.2       29.8        0.0      392.4 
050724  111957  48  20.7920 N  64  32.7920 W   3.1        2.3       11.2       29.8        0.0      392.4 
050724  111959  48  20.7930 N  64  32.7900 W   3.4        2.3       11.2       29.8        0.0      392.4 
050724  112001  48  20.7940 N  64  32.7880 W   3.9        2.3       11.2       29.8        0.0      392.4 
050724  112003  48  20.7960 N  64  32.7850 W   4.4        2.3       11.2        8.3*       0.0      392.4 
050724  112005  48  20.7980 N  64  32.7830 W   5.0        2.3       11.2        8.3        0.0      392.4 
050724  112007  48  20.8000 N  64  32.7800 W   5.6        2.3       11.2        3.8*       0.0      392.4 
050724  112009  48  20.8030 N  64  32.7770 W   6.2        2.3       11.2        3.8        0.0      392.4 
050724  112011  48  20.8060 N  64  32.7740 W   6.5        2.3       11.2        3.8        0.0      392.4 
050724  112013  48  20.8090 N  64  32.7700 W   6.9        2.3       11.2        3.8        0.0      392.4 
050724  112015  48  20.8120 N  64  32.7660 W   7.1        2.3       11.2        3.8        0.0      392.4 
050724  112017  48  20.8150 N  64  32.7620 W   7.3        2.3       11.2        3.8        0.0      392.4 
050724  112019  48  20.8180 N  64  32.7580 W   7.5        2.3       11.2        3.8        0.0      392.4 
050724  112021  48  20.8210 N  64  32.7530 W   7.6        2.3       11.2        3.8        0.0      392.4 
050724  112023  48  20.8240 N  64  32.7490 W   7.9        2.3       11.2        3.8        0.0      392.4 
050724  112025  48  20.8270 N  64  32.7450 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112027  48  20.8310 N  64  32.7400 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112029  48  20.8340 N  64  32.7350 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112031  48  20.8380 N  64  32.7310 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112033  48  20.8410 N  64  32.7260 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112035  48  20.8440 N  64  32.7210 W   8.1        2.3       11.2        3.8        0.0      392.4 
050724  112037  48  20.8470 N  64  32.7160 W   8.1        2.3       11.2        3.8        0.0      392.4 
050724  112039  48  20.8490 N  64  32.7100 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112041  48  20.8520 N  64  32.7050 W   7.9        2.3       11.2        3.8        0.0      392.4 
050724  112043  48  20.8550 N  64  32.7000 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112045  48  20.8580 N  64  32.6950 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112047  48  20.8610 N  64  32.6890 W   8.1        2.3       11.2        3.8        0.0      392.4 
050724  112049  48  20.8630 N  64  32.6840 W   8.1        2.3       11.2        3.8        0.0      392.4 
050724  112051  48  20.8660 N  64  32.6790 W   8.1        2.3       11.2        3.8        0.0      392.4 
050724  112053  48  20.8690 N  64  32.6740 W   7.9        2.3       11.2        3.8        0.0      392.4 
050724  112055  48  20.8720 N  64  32.6690 W   8.0        2.3       11.2        3.8        0.0      392.4 
050724  112057  48  20.8750 N  64  32.6640 W   7.9        2.3       11.2        3.8        0.0      392.4 
050724  112059  48  20.8770 N  64  32.6580 W   8.2        2.3       11.2        3.8        0.0      392.4 
