FileName: C:\2005NE~1\GP332.TXT
Local Time: Wed Sep 14 15:16:29 2005

Ship: Marco Michel Trip: 09 Tow: gp332
Comments: zone 18
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050914  181630  46  32.6110 N  61  23.2150 W   2.2        2.2*       3.5        2.6*       0.0      275.8*
050914  181631  46  32.6110 N  61  23.2150 W   2.2        2.2        3.5        2.6        0.0      275.8 
050914  181633  46  32.6090 N  61  23.2150 W   1.9        2.2        3.5        2.6        0.0      275.8 
050914  181636  46  32.6080 N  61  23.2140 W   1.9        2.2        3.5        2.6        0.0      275.8 
050914  181637  46  32.6070 N  61  23.2140 W   1.9        2.2        3.5        2.6        0.0      275.8 
050914  181639  46  32.6050 N  61  23.2140 W   2.1        2.2        3.5        2.6        0.0      275.8 
050914  181642  46  32.6030 N  61  23.2130 W   2.6        2.2        3.5        2.6        0.0      275.8 
050914  181643  46  32.6020 N  61  23.2130 W   3.3        2.2        3.5        2.6        0.0      275.8 
050914  181645  46  32.6000 N  61  23.2130 W   4.0        2.2        3.5        2.6        0.0      275.8 
050914  181648  46  32.5960 N  61  23.2130 W   5.1        2.2        3.5        2.6        0.0      275.8 
050914  181649  46  32.5940 N  61  23.2130 W   5.2        2.2        3.5        2.6        0.0      275.8 
050914  181651  46  32.5910 N  61  23.2120 W   5.9        2.2        3.5        2.6        0.0      275.8 
050914  181654  46  32.5860 N  61  23.2130 W   6.7        2.2        3.5        2.6        0.0      275.8 
050914  181655  46  32.5840 N  61  23.2130 W   5.8        2.2        3.5        2.6        0.0      275.8 
050914  181658  46  32.5780 N  61  23.2130 W   6.0        2.2        3.5        2.6        0.0      275.8 
050914  181700  46  32.5750 N  61  23.2130 W   7.5        2.2        3.5        2.6        0.0      275.8 
050914  181701  46  32.5720 N  61  23.2140 W   6.5        2.2        3.5        2.6        0.0      275.8 
050914  181703  46  32.5690 N  61  23.2140 W   7.4        2.2        3.5        2.6        0.0      275.8 
050914  181706  46  32.5640 N  61  23.2140 W   7.6        2.2        3.5        2.6        0.0      275.8 
050914  181708  46  32.5600 N  61  23.2150 W   6.4        2.2        3.5        2.6        0.0      275.8 
050914  181709  46  32.5580 N  61  23.2150 W   7.5        2.2        3.5        2.6        0.0      275.8 
050914  181712  46  32.5520 N  61  23.2170 W   7.2        2.2        3.5        2.6        0.0      275.8 
050914  181713  46  32.5500 N  61  23.2170 W   7.5        2.2        3.5        2.6        0.0      275.8 
050914  181715  46  32.5460 N  61  23.2180 W   7.0        2.2        3.5        2.6        0.0      275.8 
050914  181718  46  32.5400 N  61  23.2200 W   7.0        2.2        3.5        2.6        0.0      275.8 
050914  181719  46  32.5380 N  61  23.2200 W   7.3        2.2        3.5        2.6        0.0      275.8 
050914  181721  46  32.5340 N  61  23.2210 W   7.6        2.2        3.5        2.6        0.0      275.8 
050914  181724  46  32.5280 N  61  23.2230 W   7.8        2.2        3.5        2.6        0.0      275.8 
050914  181725  46  32.5260 N  61  23.2240 W   6.4        2.2        3.5      134.0*       0.0      275.8 
050914  181727  46  32.5220 N  61  23.2250 W   7.1        2.2        3.5      134.0        0.0      275.8 
050914  181730  46  32.5160 N  61  23.2270 W   6.6        2.2        3.5      134.0        0.0      275.8 
050914  181731  46  32.5150 N  61  23.2280 W   6.8        2.2        3.5       72.2*       0.0      275.8 
050914  181733  46  32.5110 N  61  23.2290 W   6.1        2.2        3.5       72.2        0.0      275.8 
050914  181736  46  32.5050 N  61  23.2310 W   6.4        2.2        3.5       72.2        0.0      275.8 
050914  181737  46  32.5040 N  61  23.2310 W   7.5        2.2        3.5       72.2        0.0      275.8 
050914  181739  46  32.5000 N  61  23.2320 W   6.6        2.2        3.5       72.2        0.0      275.8 
050914  181742  46  32.4940 N  61  23.2340 W   6.9        2.2        3.5       72.2        0.0      275.8 
050914  181743  46  32.4920 N  61  23.2340 W   7.3        2.2        3.5       72.2        0.0      275.8 
050914  181745  46  32.4880 N  61  23.2360 W   7.2        2.2        3.5       72.2        0.0      275.8 
050914  181748  46  32.4820 N  61  23.2380 W   7.7        2.2        3.5       72.2        0.0      275.8 
050914  181750  46  32.4780 N  61  23.2400 W   6.0        2.2        3.5       72.2        0.0      275.8 
050914  181751  46  32.4760 N  61  23.2400 W   7.9        2.2        3.5        2.0*       0.0      275.8 
050914  181754  46  32.4710 N  61  23.2420 W   7.5        2.2        3.5        2.0        0.0      275.8 
050914  181755  46  32.4690 N  61  23.2420 W   7.4        2.2        3.5        2.0        0.0      275.8 
050914  181757  46  32.4650 N  61  23.2440 W   7.4        2.2        3.5        3.5*       0.0      275.8 
050914  181800  46  32.4590 N  61  23.2460 W   7.6        2.2        3.5        3.5        0.0      275.8 
050914  181801  46  32.4580 N  61  23.2470 W   6.1        2.2        3.5        3.5        0.0      275.8 
050914  181803  46  32.4540 N  61  23.2490 W   7.1        2.2        3.5        3.5        0.0      275.8 
050914  181806  46  32.4490 N  61  23.2510 W   7.1        2.2        3.5        3.5        0.0      275.8 
050914  181807  46  32.4470 N  61  23.2520 W   7.2        2.2        3.5        3.5        0.0      275.8 
050914  181810  46  32.4410 N  61  23.2540 W   7.7        2.2        3.5        3.5        0.0      275.8 
050914  181812  46  32.4370 N  61  23.2560 W   6.6        2.2        3.5        3.5        0.0      275.8 
050914  181813  46  32.4350 N  61  23.2570 W   7.5        2.2        3.5        9.2*       0.0      275.8 
050914  181815  46  32.4310 N  61  23.2580 W   6.3        2.2        3.5        9.2        0.0      275.8 
050914  181818  46  32.4250 N  61  23.2610 W   6.2        2.2        3.5        4.6*       0.0      275.8 
050914  181819  46  32.4230 N  61  23.2610 W   7.3        2.2        3.5        4.6        0.0      275.8 
050914  181822  46  32.4180 N  61  23.2630 W   6.3        2.2        3.5        4.6        0.0      275.8 
050914  181824  46  32.4140 N  61  23.2650 W   6.9        2.2        3.5        4.4*       0.0      275.8 
050914  181825  46  32.4130 N  61  23.2650 W   6.1        2.2        3.5        4.4        0.0      275.8 
050914  181827  46  32.4090 N  61  23.2670 W   6.2        2.2        3.5        4.4        0.0       33.0*
050914  181830  46  32.4040 N  61  23.2680 W   5.4        2.2        3.5        6.9*       0.0       33.0 
050914  181832  46  32.4010 N  61  23.2690 W   5.5        2.2        3.5        6.9        0.0       33.0 
050914  181834  46  32.3980 N  61  23.2700 W   5.9        2.2        3.5        7.1*       0.0       37.8*
050914  181836  46  32.3950 N  61  23.2700 W   6.3        2.2        3.5        7.1        0.0       37.8 
050914  181838  46  32.3920 N  61  23.2720 W   5.3        2.2        3.5        7.1        0.0       69.1*
050914  181840  46  32.3890 N  61  23.2730 W   5.1        2.2        3.5       10.8*       0.0       69.1 
050914  181842  46  32.3860 N  61  23.2730 W   6.2        2.2        3.5       10.8        0.0       69.1 
050914  181843  46  32.3840 N  61  23.2740 W   4.9        2.2        3.5       10.8        0.0        3.5*
050914  181846  46  32.3800 N  61  23.2750 W   5.4        2.2        3.5        3.7*       0.0        3.5 
050914  181848  46  32.3770 N  61  23.2760 W   5.5        2.2        3.5        3.7        0.0        3.5 
050914  181850  46  32.3740 N  61  23.2770 W   6.0        2.2*       3.5        6.0*       0.0       21.1*
050914  181852  46  32.3710 N  61  23.2780 W   5.5        2.2        3.5        6.0        0.0       21.1 
050914  181854  46  32.3680 N  61  23.2790 W   5.0        2.2        3.5        6.0        0.0       39.6*
050914  181856  46  32.3650 N  61  23.2790 W   6.0        2.2        3.5        6.0        0.0       39.6 
050914  181858  46  32.3610 N  61  23.2800 W   5.3        2.2        3.5        6.0        0.0       39.6 
050914  181900  46  32.3580 N  61  23.2810 W   5.6        2.2        3.5        6.0        0.0       53.7*
050914  181902  46  32.3550 N  61  23.2820 W   5.7        2.2        3.5        6.0        0.0       53.7 
050914  181904  46  32.3520 N  61  23.2830 W   5.6        2.2        3.5        6.0        0.0       53.7 
050914  181906  46  32.3490 N  61  23.2840 W   5.4        2.2        3.5        6.3*       0.0       53.7 
050914  181908  46  32.3460 N  61  23.2850 W   5.8        2.2        3.5        6.3        0.0       53.7 
050914  181910  46  32.3430 N  61  23.2850 W   4.0        2.2        3.5        6.3        0.0       53.7 
050914  181912  46  32.3410 N  61  23.2860 W   4.0        2.2        3.5        7.1*       0.0       53.7 
050914  181914  46  32.3390 N  61  23.2860 W   4.0        2.2        3.5        7.1        0.0       53.7 
050914  181916  46  32.3370 N  61  23.2860 W   3.1        2.2        3.5        7.1        0.0       35.2*
050914  181918  46  32.3360 N  61  23.2870 W   2.7        2.2        3.5        7.1        0.0       35.2 
050914  181920  46  32.3340 N  61  23.2870 W   3.2        2.2        3.5        7.1        0.0       33.0*
050914  181922  46  32.3330 N  61  23.2880 W   2.1        2.2        3.5        7.1*       0.0       33.0 
050914  181924  46  32.3310 N  61  23.2880 W   2.2        2.2        3.5        7.1        0.0       33.0 
050914  181926  46  32.3300 N  61  23.2880 W   1.7        2.2        3.5        8.3*       0.0       36.1*
050914  181928  46  32.3290 N  61  23.2880 W   2.9        3.1*       3.5        8.3        0.0       36.1 
050914  181930  46  32.3280 N  61  23.2880 W   1.3        3.1        3.5        8.3        0.0       36.1 
050914  181932  46  32.3270 N  61  23.2880 W   3.0        3.1        3.5       13.9*       0.0       36.9*
050914  181934  46  32.3260 N  61  23.2880 W   1.6        3.1        3.5       13.9        0.0       36.9 
050914  181936  46  32.3250 N  61  23.2870 W   2.1        3.1        4.0*      13.9        0.0       39.1*
050914  181938  46  32.3240 N  61  23.2870 W   1.6        3.1        4.0       13.9        0.0       39.1 
050914  181940  46  32.3230 N  61  23.2860 W   1.8        3.1        4.0       13.9        0.0       39.1 
050914  181942  46  32.3230 N  61  23.2860 W   1.7        3.1        4.0        6.8*       0.0       38.7*
050914  181944  46  32.3220 N  61  23.2860 W   1.6        3.1        4.0        6.8        0.0       38.7 
050914  181946  46  32.3210 N  61  23.2860 W   1.5        3.1        4.0        6.8        0.0       38.7 
050914  181948  46  32.3200 N  61  23.2850 W   2.2        3.1        4.0        5.5*       0.0       46.6*
050914  181950  46  32.3190 N  61  23.2850 W   1.2        3.1        4.0        5.5        0.0       46.6 
050914  181952  46  32.3180 N  61  23.2840 W   2.3        3.1        4.0        5.5        0.0       41.8*
050914  181954  46  32.3170 N  61  23.2840 W   1.5        3.8*       4.0        4.4*       0.0       41.8 
050914  181956  46  32.3160 N  61  23.2830 W   1.9        3.8        4.0        4.4        0.0       41.8 
050914  181958  46  32.3150 N  61  23.2830 W   1.9        3.8        4.0        5.8*       0.0       47.5*
050914  182000  46  32.3140 N  61  23.2830 W   1.6        3.8        2.7*       5.8        0.0       47.5 
050914  182002  46  32.3130 N  61  23.2830 W   2.2        3.8        2.7        5.8        0.0       47.5 
050914  182004  46  32.3120 N  61  23.2820 W   1.9        3.8        2.7        5.9*       0.0       49.7*
050914  182006  46  32.3110 N  61  23.2820 W   1.5        3.8*       2.7        5.9        0.0       49.7 
050914  182008  46  32.3100 N  61  23.2820 W   2.4        3.8        2.7        7.5*       0.0       44.4*
050914  182010  46  32.3090 N  61  23.2810 W   0.9        3.8        2.7        7.5        0.0       44.4 
050914  182012  46  32.3080 N  61  23.2800 W   2.6        3.8        2.9*       7.5        0.0       44.4 
050914  182014  46  32.3070 N  61  23.2800 W   1.0        3.8        2.9        1.8*       0.0       52.8*
050914  182016  46  32.3060 N  61  23.2800 W   2.2        3.8        2.9        1.8        0.0       52.8 
050914  182018  46  32.3050 N  61  23.2790 W   1.7        3.8        2.9        1.8        0.0       52.8*
050914  182020  46  32.3040 N  61  23.2790 W   1.6        3.8*       2.9        4.9*       0.0       52.8 
050914  182022  46  32.3030 N  61  23.2780 W   2.5        3.8        2.9        4.9        0.0       52.8 
050914  182024  46  32.3020 N  61  23.2780 W   1.3        3.8        2.9        5.7*       0.0       69.5*
050914  182026  46  32.3010 N  61  23.2770 W   2.5        3.8        2.5*       5.7        0.0       69.5 
050914  182028  46  32.3000 N  61  23.2770 W   1.8        3.8        2.5        5.7        0.0       69.5 
050914  182030  46  32.2990 N  61  23.2770 W   2.6        3.8        2.5        5.7*       0.0       51.9*
050914  182032  46  32.2980 N  61  23.2750 W   1.9        3.8        2.5        5.7        0.0       51.9 
050914  182034  46  32.2970 N  61  23.2750 W   2.6       13.4*       2.5        5.7        0.0       51.9 
050914  182036  46  32.2950 N  61  23.2750 W   1.8       13.4        2.5       12.8*       0.0       51.9 
050914  182038  46  32.2940 N  61  23.2740 W   2.6       13.4        2.5       12.8        0.0       51.9 
050914  182040  46  32.2920 N  61  23.2740 W   2.0       13.4        2.2*      12.8        0.0       51.9 
050914  182042  46  32.2910 N  61  23.2730 W   2.7       13.4        2.2       12.8        0.0       51.9 
050914  182044  46  32.2900 N  61  23.2720 W   1.6       13.4        2.2       12.8        0.0       51.9 
050914  182046  46  32.2890 N  61  23.2720 W   3.1       13.4        2.2        5.9*       0.0       67.7*
050914  182048  46  32.2880 N  61  23.2720 W   0.5        7.6*       2.2        5.9        0.0       67.7 
050914  182050  46  32.2870 N  61  23.2720 W   2.9        7.6        2.2        7.4*       0.0       69.1*
050914  182052  46  32.2860 N  61  23.2710 W   0.9        7.6        2.2        7.4        0.0       69.1 
050914  182054  46  32.2850 N  61  23.2710 W   2.1        7.6        2.7*       7.4        0.0       69.1 
050914  182056  46  32.2840 N  61  23.2700 W   1.7        7.6        2.7        5.8*       0.0       69.1*
050914  182058  46  32.2830 N  61  23.2700 W   1.4        7.6        2.7        5.8        0.0       69.1 
050914  182100  46  32.2820 N  61  23.2700 W   2.1        3.9*       2.7        5.8        0.0       69.1 
050914  182102  46  32.2810 N  61  23.2690 W   1.7        3.9        2.7        7.4*       0.0       67.3*
050914  182104  46  32.2790 N  61  23.2690 W   2.2        3.9        2.7        7.4        0.0       67.3 
050914  182106  46  32.2790 N  61  23.2690 W   2.2        3.9        2.7        7.6*       0.0       67.3 
050914  182108  46  32.2770 N  61  23.2690 W   2.0        3.9        2.7        7.6        0.0       71.7*
050914  182110  46  32.2760 N  61  23.2690 W   2.2        3.9        2.7        7.6        0.0       71.7 
050914  182112  46  32.2750 N  61  23.2680 W   2.4        3.9        2.7        8.3*       0.0       69.5*
050914  182114  46  32.2730 N  61  23.2680 W   2.5        3.9        2.7        8.3        0.0       69.5 
050914  182116  46  32.2720 N  61  23.2680 W   2.3        3.9        2.7        8.3        0.0       69.5 
050914  182118  46  32.2700 N  61  23.2680 W   2.5        3.9        2.7        9.1*       0.0       69.9*
050914  182120  46  32.2690 N  61  23.2680 W   2.4        3.9        2.7        9.1        0.0       69.9 
050914  182122  46  32.2670 N  61  23.2680 W   2.4        3.9        2.7        8.1*       0.0       69.9 
050914  182124  46  32.2660 N  61  23.2680 W   2.9        3.9        2.7        8.1        0.0       72.1*
050914  182126  46  32.2640 N  61  23.2680 W   1.9        3.9        2.7        8.1        0.0       72.1 
050914  182128  46  32.2630 N  61  23.2680 W   2.7        3.9        2.7        8.5*       0.0       69.9*
050914  182130  46  32.2620 N  61  23.2670 W   2.3        3.9        2.7        8.5        0.0       69.9 
050914  182132  46  32.2610 N  61  23.2670 W   1.9        3.9        2.7        8.6*       0.0       69.9 
050914  182134  46  32.2590 N  61  23.2670 W   2.2        3.9        2.7        8.6        0.0       71.3*
050914  182136  46  32.2580 N  61  23.2670 W   1.9        3.9       11.0*       8.6        0.0       71.3 
050914  182138  46  32.2570 N  61  23.2670 W   1.8        3.9       11.0        8.9*       0.0       71.3 
050914  182140  46  32.2570 N  61  23.2670 W   1.9        3.9       11.0        8.9        0.0      130.6*
050914  182142  46  32.2550 N  61  23.2670 W   1.6        3.9       11.0        8.9        0.0      130.6 
050914  182144  46  32.2550 N  61  23.2660 W   2.2        3.9       11.0        9.6*       0.0       13.2*
050914  182146  46  32.2540 N  61  23.2660 W   1.0        3.9       11.0        9.6        0.0       13.2 
050914  182148  46  32.2530 N  61  23.2660 W   2.7        3.9       11.0        9.6        0.0       13.2 
050914  182150  46  32.2520 N  61  23.2650 W   0.8        3.9       11.0        9.6        0.0       68.2*
050914  182152  46  32.2510 N  61  23.2650 W   2.7        3.9       11.0        9.6        0.0       68.2 
050914  182154  46  32.2500 N  61  23.2640 W   1.3        3.9       11.0        9.6        0.0       68.2 
050914  182156  46  32.2490 N  61  23.2640 W   2.5        3.9       11.0        9.6        0.0       71.3*
050914  182158  46  32.2480 N  61  23.2630 W   1.5        3.9       11.0        9.6        0.0       71.3 
050914  182200  46  32.2470 N  61  23.2630 W   2.4        2.1*      11.0        9.4*       0.0       71.7*
050914  182202  46  32.2460 N  61  23.2630 W   1.9        2.1       11.0        9.4        0.0       71.7 
050914  182204  46  32.2450 N  61  23.2620 W   2.5        2.1       11.0       10.3*       0.0       71.7 
050914  182206  46  32.2440 N  61  23.2620 W   1.7        2.1       11.0       10.3        0.0       71.3*
050914  182208  46  32.2420 N  61  23.2610 W   2.9        2.1       11.0       10.3        0.0       71.3 
050914  182210  46  32.2410 N  61  23.2610 W   1.6        2.1       11.0       10.4*       0.0       71.3 
050914  182212  46  32.2400 N  61  23.2600 W   2.9        2.1       11.0       10.4        0.0       70.4*
050914  182214  46  32.2390 N  61  23.2600 W   1.4        2.1       11.0       10.4        0.0       70.4 
050914  182216  46  32.2370 N  61  23.2600 W   2.4        2.1       11.0        8.9*       0.0       72.1*
050914  182218  46  32.2360 N  61  23.2600 W   1.8        2.1       11.0        8.9        0.0       72.1 
050914  182220  46  32.2350 N  61  23.2600 W   1.7        2.1       11.0        9.3*       0.0       72.1 
050914  182222  46  32.2340 N  61  23.2590 W   1.8        2.1       11.0        9.3        0.0       69.5*
050914  182224  46  32.2330 N  61  23.2590 W   2.2        2.1       11.9*       9.3        0.0       69.5 
