FileName: C:\2005NE~1\GP155.TXT
Local Time: Sat Aug 27 13:35:30 2005

Ship: Marco Michel Trip: 08 Tow: gp155
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050827  163708  47  55.4710 N  64   2.1520 W   6.9        2.2*      10.9        3.4        0.0        8.4 
050827  163710  47  55.4690 N  64   2.1550 W   6.9        2.2       10.9        3.4        0.0        8.4 
050827  163712  47  55.4650 N  64   2.1590 W   6.9        2.2       10.9        3.4        0.0        8.4 
050827  163714  47  55.4620 N  64   2.1630 W   6.9        2.2       10.9        3.4        0.0        8.4 
050827  163716  47  55.4600 N  64   2.1670 W   6.9        2.2       10.9        3.4        0.0        8.4 
050827  163718  47  55.4570 N  64   2.1700 W   6.9        2.2       10.9        3.4        0.0        8.4 
050827  163720  47  55.4540 N  64   2.1740 W   6.8        2.2       10.9        3.4        0.0        8.4 
050827  163722  47  55.4510 N  64   2.1770 W   6.8        2.2       10.9       14.2*       0.0        8.4 
050827  163724  47  55.4480 N  64   2.1810 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163726  47  55.4450 N  64   2.1840 W   6.8        2.2       10.9       14.2        0.0        8.4 
050827  163728  47  55.4420 N  64   2.1880 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163730  47  55.4380 N  64   2.1920 W   7.0        2.2       10.9       14.2        0.0        8.4 
050827  163732  47  55.4350 N  64   2.1950 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163734  47  55.4320 N  64   2.1990 W   6.8        2.2       10.9       14.2        0.0        8.4 
050827  163736  47  55.4290 N  64   2.2030 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163738  47  55.4250 N  64   2.2060 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163740  47  55.4230 N  64   2.2100 W   7.0        2.2       10.9       14.2        0.0        8.4 
050827  163742  47  55.4200 N  64   2.2140 W   7.0        2.2       10.9       14.2        0.0        8.4 
050827  163744  47  55.4170 N  64   2.2170 W   7.0        2.2       10.9       14.2        0.0        8.4 
050827  163746  47  55.4140 N  64   2.2210 W   7.0        2.2       10.9       14.2        0.0        8.4 
050827  163748  47  55.4110 N  64   2.2250 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163750  47  55.4080 N  64   2.2290 W   7.0        2.2       10.9       14.2        0.0        8.4 
050827  163752  47  55.4060 N  64   2.2320 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163754  47  55.4020 N  64   2.2360 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163756  47  55.3990 N  64   2.2400 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163758  47  55.3970 N  64   2.2440 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163801  47  55.3920 N  64   2.2490 W   6.9        2.2       10.9       14.2        0.0        8.4 
050827  163802  47  55.3900 N  64   2.2510 W   6.8        2.2       10.9       14.2        0.0        8.4 
050827  163804  47  55.3870 N  64   2.2550 W   6.8        2.2       10.9       14.2        0.0        8.4 
050827  163806  47  55.3840 N  64   2.2590 W   6.8        2.2       10.9       14.2        0.0        8.4 
050827  163808  47  55.3820 N  64   2.2620 W   6.8        2.2       10.9       14.2        0.0        8.4 
050827  163810  47  55.3790 N  64   2.2660 W   6.7        2.2       10.9       14.2        0.0        8.4 
050827  163812  47  55.3750 N  64   2.2690 W   6.6        2.2       10.9       14.2        0.0        8.4 
050827  163814  47  55.3730 N  64   2.2730 W   6.4        2.2       10.9       14.2        0.0        8.4 
050827  163816  47  55.3700 N  64   2.2760 W   6.0        2.2       10.9       14.2        0.0        8.4 
050827  163818  47  55.3680 N  64   2.2800 W   5.9        2.2       10.9       14.2        0.0        8.4 
050827  163820  47  55.3660 N  64   2.2830 W   5.7        2.2       10.9        6.5*       0.0       38.3*
050827  163822  47  55.3630 N  64   2.2860 W   5.6        2.2       10.9        6.5        0.0       38.3 
050827  163824  47  55.3610 N  64   2.2890 W   5.5        2.2       10.9        7.1*       0.0       38.3 
050827  163826  47  55.3580 N  64   2.2920 W   5.4        2.2       10.9        7.1        0.0       38.3 
050827  163828  47  55.3560 N  64   2.2940 W   5.4        2.2       10.9        7.1        0.0       38.3 
050827  163831  47  55.3530 N  64   2.2980 W   5.2        2.2       10.9       10.1*       0.0      173.3*
050827  163832  47  55.3520 N  64   2.2990 W   4.9        2.2       10.9       10.1        0.0      173.3 
050827  163835  47  55.3480 N  64   2.3030 W   4.9        2.2       10.9       10.1        0.0      173.3 
050827  163836  47  55.3470 N  64   2.3050 W   4.9        2.2       10.9       10.1        0.0       45.3*
050827  163838  47  55.3450 N  64   2.3070 W   5.0        2.2       10.9       10.1        0.0       45.3 
050827  163840  47  55.3420 N  64   2.3100 W   5.0        2.2       10.9       10.1        0.0       47.5*
050827  163842  47  55.3400 N  64   2.3120 W   5.1        2.2       10.9       10.1        0.0       47.5 
050827  163845  47  55.3370 N  64   2.3160 W   5.1        2.2       10.9       10.1        0.0       47.5 
050827  163846  47  55.3360 N  64   2.3170 W   5.0        2.2       10.9        8.7*       0.0       47.5 
