FileName: C:\2005NE~1\GP230.TXT
Local Time: Tue Sep 20 07:11:26 2005

Ship: Marco Michel Trip: 09 Tow: gp230
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050920  101127  46   7.1070 N  61  35.3370 W   3.2        2.7*      13.5*       0.0        6.0*     418.3*
050920  101129  46   7.1090 N  61  35.3380 W   2.5        2.7       13.5        0.0        6.0      418.3 
050920  101131  46   7.1100 N  61  35.3370 W   2.7        2.7       13.5        0.0        3.4*     418.3 
050920  101133  46   7.1120 N  61  35.3370 W   2.6        2.7       13.5        0.0        3.4      418.3 
050920  101135  46   7.1130 N  61  35.3370 W   2.3        2.7       13.5        0.0        0.2*     418.3 
050920  101137  46   7.1140 N  61  35.3370 W   2.1        2.7       13.5        0.0        0.2      418.3 
050920  101139  46   7.1160 N  61  35.3370 W   2.5        2.7       13.5        0.0        0.2      418.3 
050920  101141  46   7.1170 N  61  35.3370 W   1.8        2.7       13.5        0.0        6.3*     418.3 
050920  101143  46   7.1180 N  61  35.3360 W   2.5        2.7       13.5        0.0        6.3      418.3 
050920  101145  46   7.1190 N  61  35.3360 W   2.2        2.7       13.5        0.0        6.3      418.3 
050920  101147  46   7.1210 N  61  35.3360 W   3.8        2.7       13.5        0.0       80.2*     418.3 
050920  101149  46   7.1230 N  61  35.3360 W   3.6        2.7       13.5        0.0       80.2      418.3 
050920  101151  46   7.1250 N  61  35.3360 W   4.5        2.7       13.5        0.0       80.2      418.3 
050920  101153  46   7.1280 N  61  35.3360 W   4.7        2.7       13.5        0.0       80.2      418.3 
050920  101155  46   7.1310 N  61  35.3360 W   5.2        2.7       13.5        0.0       80.2      418.3 
050920  101157  46   7.1340 N  61  35.3360 W   5.7        2.7       13.5        0.0       80.2      418.3 
050920  101159  46   7.1370 N  61  35.3360 W   6.1        2.7       13.5        0.0       80.2      418.3 
050920  101201  46   7.1410 N  61  35.3350 W   5.6        2.7       13.5        0.0       80.2      418.3 
050920  101203  46   7.1440 N  61  35.3350 W   6.2        2.7       13.5        0.0       80.2      418.3 
050920  101205  46   7.1470 N  61  35.3340 W   6.2        2.7       13.5        0.0       80.2      418.3 
050920  101207  46   7.1510 N  61  35.3340 W   6.7        2.7       13.5        0.0       80.2      657.6*
050920  101209  46   7.1550 N  61  35.3340 W   6.2        2.7       13.5        0.0       80.2      657.6 
050920  101211  46   7.1590 N  61  35.3330 W   6.7        2.7       13.5        0.0       80.2      657.6 
050920  101213  46   7.1620 N  61  35.3320 W   6.4        2.7       13.5        0.0       80.2      657.6 
050920  101215  46   7.1660 N  61  35.3320 W   6.9        2.7       13.5        0.0       80.2      657.6 
050920  101217  46   7.1700 N  61  35.3300 W   7.0        2.7       13.5        0.0       80.2      657.6 
050920  101219  46   7.1730 N  61  35.3290 W   6.5        2.7       13.5        0.0       80.2      657.6 
050920  101221  46   7.1770 N  61  35.3290 W   7.0        2.7       13.5        0.0       80.2      657.6 
050920  101223  46   7.1810 N  61  35.3270 W   6.8        2.7       13.5        0.0       80.2      657.6 
050920  101225  46   7.1850 N  61  35.3270 W   6.6        2.7       13.5        0.0       80.2      657.6 
050920  101227  46   7.1890 N  61  35.3250 W   7.3        2.7       13.5        0.0       80.2      657.6 
050920  101230  46   7.1940 N  61  35.3240 W   7.4        2.7       13.5        0.0       80.2      657.6 
050920  101231  46   7.1960 N  61  35.3230 W   6.8        2.7       13.5        0.0       80.2      657.6 
050920  101233  46   7.2000 N  61  35.3220 W   7.1        2.7       13.5        0.0       80.2      657.6 
050920  101236  46   7.2050 N  61  35.3200 W   7.2        2.7       13.5        0.0       80.2      657.6 
050920  101237  46   7.2070 N  61  35.3190 W   7.0        2.7       13.5        0.0       80.2      657.6 
050920  101239  46   7.2110 N  61  35.3180 W   6.8        2.7       13.5        0.0       80.2      657.6 
050920  101242  46   7.2170 N  61  35.3160 W   6.9        2.7       13.5        0.0       80.2      657.6 
050920  101243  46   7.2180 N  61  35.3150 W   6.8        2.7       13.5        0.0       80.2      657.6 
050920  101245  46   7.2220 N  61  35.3130 W   7.1        2.7       13.5        0.0       80.2      657.6 
050920  101248  46   7.2280 N  61  35.3110 W   7.2        2.7       13.5        0.0       80.2      657.6 
050920  101249  46   7.2300 N  61  35.3100 W   7.2        2.7       13.5        0.0       80.2      657.6 
050920  101251  46   7.2340 N  61  35.3090 W   7.0        2.7       13.5        0.0       80.2      657.6 
050920  101254  46   7.2400 N  61  35.3060 W   7.1        2.7       13.5        0.0       80.2      657.6 
050920  101255  46   7.2410 N  61  35.3050 W   6.9        2.7       13.5        0.0       80.2      657.6 
050920  101257  46   7.2450 N  61  35.3030 W   7.0        2.7       13.5        0.0       80.2      657.6 
050920  101300  46   7.2510 N  61  35.3000 W   6.6        2.7       13.5        0.0       80.2      657.6 
050920  101301  46   7.2530 N  61  35.2990 W   7.0        2.7       13.5        0.0       80.2      657.6 
050920  101303  46   7.2560 N  61  35.2970 W   6.1        2.7       13.5        0.0       80.2      657.6 
050920  101306  46   7.2610 N  61  35.2940 W   6.4        2.7       13.5        0.0       80.2      657.6 
050920  101307  46   7.2620 N  61  35.2930 W   6.0        2.7       13.5        0.0       80.2      657.6 
050920  101309  46   7.2650 N  61  35.2910 W   6.1        2.7       13.5        0.0       80.2       24.6*
050920  101312  46   7.2700 N  61  35.2890 W   5.7        2.7       13.5        0.0       80.2       24.6 
050920  101313  46   7.2710 N  61  35.2880 W   6.0        2.7       13.5        0.0       80.2       24.6 
050920  101315  46   7.2740 N  61  35.2860 W   5.4        2.7       13.5        0.0        6.8*      25.1*
050920  101318  46   7.2780 N  61  35.2840 W   4.2        2.7       13.5        0.0        6.8       25.1 
050920  101319  46   7.2790 N  61  35.2830 W   3.9        2.7       13.5        0.0        6.8       25.1*
050920  101321  46   7.2810 N  61  35.2820 W   4.1        2.7       13.5        0.0        6.9*      25.1 
050920  101324  46   7.2840 N  61  35.2810 W   3.5        2.7       13.5        0.0        6.9       25.1 
050920  101325  46   7.2850 N  61  35.2800 W   3.3        2.7       13.5        0.0        6.4*      22.4*
050920  101327  46   7.2860 N  61  35.2790 W   2.5        2.7       13.5        0.0        6.4       22.4 
050920  101330  46   7.2880 N  61  35.2770 W   2.3        2.7       13.5        0.0        6.4       29.5*
050920  101331  46   7.2880 N  61  35.2770 W   2.5        2.7       13.5        0.0        6.3*      29.5 
050920  101333  46   7.2900 N  61  35.2760 W   2.2        2.7       13.5        0.0        6.3       29.5 
050920  101336  46   7.2910 N  61  35.2750 W   2.0        2.7       13.5        0.0        6.3       24.6*
050920  101337  46   7.2920 N  61  35.2750 W   1.9        2.7       13.5        0.0        5.8*      24.6 
050920  101339  46   7.2930 N  61  35.2740 W   2.0        2.7       13.5        0.0        5.8       24.6 
050920  101342  46   7.2940 N  61  35.2730 W   2.0        2.7       13.5        0.0        4.9*      31.2*
050920  101343  46   7.2940 N  61  35.2720 W   1.7        2.7       13.5        0.0        4.9       31.2 
050920  101345  46   7.2950 N  61  35.2710 W   1.9        2.7       13.5        0.0        4.9       29.5*
050920  101348  46   7.2960 N  61  35.2710 W   1.8        2.7       13.5        0.0        4.9*      29.5 
050920  101349  46   7.2970 N  61  35.2700 W   1.8        2.7       13.5        0.0        4.9       29.5 
050920  101351  46   7.2980 N  61  35.2700 W   1.6        2.7       13.5        0.0        4.9       30.8*
050920  101354  46   7.2990 N  61  35.2680 W   1.9        2.7       13.5        0.0        5.7*      30.8 
