FileName: C:\2005NE~1\GP251.TXT
Local Time: Thu Sep 15 19:25:03 2005

Ship: Marco Michel Trip: 09 Tow: gp251
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050915  222505  47  13.0610 N  60  30.9590 W   1.6        2.2       10.5*       2.4*       0.0       29.0*
050915  222507  47  13.0600 N  60  30.9610 W   2.4        2.2       10.5        2.4        0.0      184.7*
050915  222509  47  13.0600 N  60  30.9620 W   1.6        2.2       10.5        2.4        0.0      184.7 
050915  222511  47  13.0590 N  60  30.9640 W   1.8        2.2       10.5        2.9*       0.0      184.7 
050915  222513  47  13.0590 N  60  30.9650 W   2.1        2.2       10.5        2.9        0.0      184.7 
050915  222515  47  13.0590 N  60  30.9670 W   2.7        2.2       10.5        2.9        0.0      184.7 
050915  222517  47  13.0580 N  60  30.9700 W   4.1        2.2       10.5        2.9*       0.0      184.7 
050915  222519  47  13.0570 N  60  30.9730 W   3.9        2.2       10.5        2.9        0.0      184.7 
050915  222521  47  13.0560 N  60  30.9760 W   5.2        2.2       10.5        2.9        0.0      184.7 
050915  222523  47  13.0550 N  60  30.9800 W   4.8        2.2       10.5        2.9        0.0      184.7 
050915  222525  47  13.0540 N  60  30.9840 W   6.0        2.2       10.5        2.9        0.0      184.7 
050915  222527  47  13.0530 N  60  30.9890 W   6.1        2.2       10.5        2.9        0.0      184.7 
050915  222529  47  13.0520 N  60  30.9940 W   6.4        2.2       10.5        2.9        0.0      184.7 
050915  222531  47  13.0500 N  60  30.9990 W   6.1        2.2       10.5        2.9        0.0      184.7 
050915  222533  47  13.0490 N  60  31.0040 W   7.5        2.2       10.5        2.9        0.0      184.7 
050915  222535  47  13.0480 N  60  31.0100 W   5.8        2.2       10.5        2.9        0.0      184.7 
050915  222537  47  13.0470 N  60  31.0150 W   7.1        2.2       10.5        5.6*       0.0      184.7 
050915  222539  47  13.0460 N  60  31.0200 W   6.7        2.2       10.5        5.6        0.0      184.7 
