FileName: C:\2005NE~1\GP020.TXT
Local Time: Sun Jul 24 10:45:12 2005

Ship: Marco Michel Trip: 05 Tow: gp020
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050724  134515  48  14.8840 N  64  34.0960 W   3.9        2.7       12.3*       2.0*       0.0       56.3*
050724  134517  48  14.8850 N  64  34.0940 W   4.4        2.7       12.3        2.0        0.0       56.3 
050724  134519  48  14.8860 N  64  34.0900 W   4.9        2.7       12.3        2.0        0.0       56.3 
050724  134521  48  14.8870 N  64  34.0860 W   5.7        2.7       12.3        2.0        0.0       56.3 
050724  134523  48  14.8890 N  64  34.0820 W   6.3        2.7       12.3        2.0        0.0       56.3 
050724  134525  48  14.8910 N  64  34.0770 W   6.5        2.7       12.3        2.0        0.0       56.3 
050724  134527  48  14.8930 N  64  34.0720 W   7.1        2.7       12.3        2.0        0.0       56.3 
050724  134529  48  14.8950 N  64  34.0670 W   7.0        2.7       12.3        2.0        0.0       56.3 
050724  134531  48  14.8980 N  64  34.0620 W   7.5        2.7       12.3        2.0        0.0       56.3 
050724  134533  48  14.9000 N  64  34.0570 W   7.6        2.7       12.3        2.0        0.0       56.3 
050724  134535  48  14.9020 N  64  34.0510 W   7.7        2.7       12.3        2.0        0.0       56.3 
050724  134537  48  14.9050 N  64  34.0460 W   8.0        2.7       12.3        2.0        0.0       56.3 
050724  134539  48  14.9070 N  64  34.0400 W   8.2        2.7       12.3        2.0        0.0       56.3 
050724  134541  48  14.9090 N  64  34.0340 W   8.0        2.7       12.3        2.0        0.0       56.3 
050724  134543  48  14.9110 N  64  34.0270 W   8.1        2.7       12.3        2.0        0.0       56.3 
050724  134545  48  14.9130 N  64  34.0210 W   8.3        2.7       12.3        2.0        0.0       56.3 
050724  134547  48  14.9150 N  64  34.0150 W   7.9        2.7       12.3        2.0        0.0       56.3 
050724  134549  48  14.9170 N  64  34.0090 W   8.2        2.7       12.3        2.0        0.0       56.3 
050724  134551  48  14.9190 N  64  34.0040 W   8.3        2.7       12.3        2.0        0.0       56.3 
050724  134553  48  14.9210 N  64  33.9980 W   7.9        2.7       12.3        2.0        0.0       56.3 
050724  134555  48  14.9230 N  64  33.9920 W   8.3        2.7       12.3        2.0        0.0       56.3 
050724  134557  48  14.9250 N  64  33.9860 W   8.2        2.7       12.3        2.0        0.0       56.3 
050724  134559  48  14.9270 N  64  33.9800 W   8.0        2.7       12.3        2.0        0.0       56.3 
050724  134601  48  14.9290 N  64  33.9740 W   8.4        2.7       12.3        2.0        0.0       56.3 
050724  134603  48  14.9310 N  64  33.9680 W   8.0        2.7       12.3      141.5*       0.0       56.3 
050724  134605  48  14.9330 N  64  33.9620 W   8.1        2.7       12.3      141.5        0.0       56.3 
050724  134607  48  14.9340 N  64  33.9560 W   8.1        2.7       12.3      141.5        0.0       56.3 
