FileName: C:\2005NE~1\GP272.TXT
Local Time: Mon Sep 19 07:16:21 2005

Ship: Marco Michel Trip: 09 Tow: gp272
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050919  101623  46  37.6890 N  61  30.4030 W   3.1        2.8*      13.4*       0.0        5.4*       2.2*
050919  101625  46  37.6880 N  61  30.4010 W   2.9        2.8       13.4        0.0        2.0*       2.2 
050919  101627  46  37.6870 N  61  30.4000 W   3.2        2.8       13.4        0.0        2.0        2.2 
050919  101629  46  37.6850 N  61  30.3980 W   3.1        2.8       13.0*       0.0        2.0       23.8*
050919  101631  46  37.6840 N  61  30.3960 W   3.2        2.8       13.0        0.0        7.3*      23.8 
050919  101633  46  37.6830 N  61  30.3950 W   3.5        2.8       13.0        0.0        7.3        2.6*
050919  101635  46  37.6810 N  61  30.3930 W   4.1        2.8       13.0        0.0        7.3        2.6 
050919  101637  46  37.6790 N  61  30.3900 W   4.6        2.8       13.0        0.0        7.3        2.6 
050919  101639  46  37.6770 N  61  30.3880 W   5.3        2.8       13.0        0.0        7.3       18.9*
050919  101641  46  37.6740 N  61  30.3860 W   6.0        2.8       13.0        0.0        7.3       18.9 
050919  101643  46  37.6710 N  61  30.3830 W   6.4        2.8       13.0        0.0        7.3       18.9 
050919  101645  46  37.6680 N  61  30.3800 W   6.6        2.8       13.0        0.0        7.3       18.9 
050919  101647  46  37.6640 N  61  30.3780 W   7.0        2.8       13.0        0.0        7.3       18.9 
050919  101649  46  37.6610 N  61  30.3750 W   7.1        2.8       13.0        0.0        7.3       18.9 
050919  101651  46  37.6570 N  61  30.3720 W   7.0        2.8       13.0        0.0        7.3       18.9 
050919  101653  46  37.6540 N  61  30.3690 W   7.3        2.8       13.0        0.0        7.3       18.9 
050919  101655  46  37.6500 N  61  30.3670 W   7.3        2.8       13.0        0.0        7.3       18.9 
050919  101657  46  37.6460 N  61  30.3640 W   7.7        2.8       13.0        0.0        7.3       18.9 
050919  101659  46  37.6420 N  61  30.3620 W   7.6        2.8       13.0        0.0        7.3       18.9 
050919  101701  46  37.6390 N  61  30.3590 W   7.4        2.8       13.0        0.0        7.3       18.9 
050919  101703  46  37.6350 N  61  30.3560 W   7.6        2.8       13.0        0.0        7.3       18.9 
050919  101705  46  37.6310 N  61  30.3540 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101707  46  37.6270 N  61  30.3520 W   7.9        2.8       13.0        0.0        7.3       18.9 
050919  101709  46  37.6230 N  61  30.3490 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101711  46  37.6180 N  61  30.3470 W   7.7        2.8       13.0        0.0        7.3       18.9 
050919  101713  46  37.6150 N  61  30.3450 W   7.6        2.8       13.0        0.0        7.3       18.9 
050919  101715  46  37.6110 N  61  30.3420 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101717  46  37.6070 N  61  30.3400 W   8.0        2.8       13.0        0.0        7.3       18.9 
050919  101719  46  37.6020 N  61  30.3380 W   8.0        2.8       13.0        0.0        7.3       18.9 
050919  101721  46  37.5980 N  61  30.3360 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101723  46  37.5940 N  61  30.3340 W   7.7        2.8       13.0        0.0        7.3       18.9 
050919  101725  46  37.5900 N  61  30.3320 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101727  46  37.5860 N  61  30.3300 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101729  46  37.5820 N  61  30.3270 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101731  46  37.5780 N  61  30.3250 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101733  46  37.5730 N  61  30.3240 W   7.9        2.8       13.0        0.0        7.3       18.9 
050919  101735  46  37.5690 N  61  30.3230 W   7.7        2.8       13.0        0.0        7.3       18.9 
050919  101737  46  37.5650 N  61  30.3210 W   7.9        2.8       13.0        0.0        7.3       18.9 
050919  101739  46  37.5600 N  61  30.3200 W   7.9        2.8       13.0        0.0        7.3       18.9 
050919  101741  46  37.5560 N  61  30.3180 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101743  46  37.5520 N  61  30.3170 W   7.5        2.8       13.0        0.0        7.3       18.9 
050919  101745  46  37.5480 N  61  30.3150 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101747  46  37.5430 N  61  30.3140 W   8.0        2.8       13.0        0.0        7.3       18.9 
050919  101749  46  37.5390 N  61  30.3130 W   7.7        2.8       13.0        0.0        7.3       18.9 
050919  101751  46  37.5350 N  61  30.3120 W   7.6        2.8       13.0        0.0        7.3       18.9 
050919  101754  46  37.5290 N  61  30.3090 W   7.8        2.8       13.0        0.0        7.3       18.9 
050919  101755  46  37.5260 N  61  30.3090 W   8.0        2.8       13.0        0.0        7.3       18.9 
050919  101757  46  37.5220 N  61  30.3080 W   8.0        2.8       13.0        0.0        7.3       18.9 
050919  101800  46  37.5150 N  61  30.3060 W   7.6        2.8       13.0        0.0        7.3       18.9 
050919  101801  46  37.5130 N  61  30.3060 W   7.7        2.8       13.0        0.0        7.3       18.9 
050919  101803  46  37.5090 N  61  30.3050 W   7.4        2.8       13.0        0.0        7.3       18.9 
050919  101806  46  37.5040 N  61  30.3040 W   6.0        2.8       13.0        0.0        7.3       18.9 
050919  101807  46  37.5020 N  61  30.3030 W   5.9        2.8       13.0        0.0        7.3      282.4*
050919  101809  46  37.4990 N  61  30.3020 W   5.2        2.8       13.0        0.0        6.0*     282.4 
050919  101812  46  37.4950 N  61  30.3000 W   4.4        2.8       13.0        0.0        6.0      282.4 
050919  101813  46  37.4940 N  61  30.3000 W   4.0        2.8       13.0        0.0        6.0       37.4*
050919  101815  46  37.4930 N  61  30.2990 W   3.5        2.8       13.0        0.0        7.1*      37.4 
050919  101818  46  37.4900 N  61  30.2980 W   3.5        2.8       13.0        0.0        7.1       23.3*
050919  101819  46  37.4890 N  61  30.2970 W   3.1        2.8       13.0        0.0        7.1       23.3 
050919  101821  46  37.4870 N  61  30.2960 W   3.1        2.8       13.0        0.0        7.1*      23.3 
050919  101824  46  37.4850 N  61  30.2950 W   2.7        2.8       13.0        0.0        7.1       32.1*
050919  101825  46  37.4850 N  61  30.2950 W   2.9        2.8       13.0        0.0        7.1*      32.1 
050919  101827  46  37.4830 N  61  30.2940 W   2.8        2.8       13.0        0.0        7.1       32.1 
050919  101830  46  37.4810 N  61  30.2930 W   2.4        2.8       13.0        0.0        7.1       33.9*
050919  101831  46  37.4810 N  61  30.2920 W   2.4        2.8       13.0        0.0        6.8*      33.9 
050919  101833  46  37.4790 N  61  30.2910 W   2.5        2.8       13.0        0.0        6.8       33.9 
050919  101836  46  37.4770 N  61  30.2900 W   2.4        2.8       13.0        0.0        5.6*      35.6*
050919  101837  46  37.4770 N  61  30.2890 W   2.3        2.8       13.0        0.0        5.6       35.6 
050919  101839  46  37.4760 N  61  30.2890 W   2.1        2.8       13.0        0.0        5.6       37.8*
050919  101842  46  37.4740 N  61  30.2880 W   1.8        2.8       13.0        0.0        7.2*      37.8 
050919  101843  46  37.4740 N  61  30.2870 W   1.8        2.8       13.0        0.0        7.2       37.8 
050919  101845  46  37.4730 N  61  30.2860 W   2.2        2.8       13.0        0.0        7.2       37.8*
050919  101848  46  37.4710 N  61  30.2850 W   2.1        2.8       13.0        0.0        5.5*      37.8 
050919  101849  46  37.4700 N  61  30.2850 W   2.1        2.8       13.0        0.0        5.5       41.8*
050919  101851  46  37.4690 N  61  30.2840 W   2.1        2.8       13.0        0.0        5.2*      41.8 
050919  101854  46  37.4680 N  61  30.2820 W   2.1        2.8       13.0        0.0        5.2       41.8 
050919  101855  46  37.4680 N  61  30.2820 W   2.3        2.8       11.9*       0.0        5.2       43.5*
050919  101857  46  37.4670 N  61  30.2810 W   1.6        2.8       11.9        0.0        5.9*      43.5 
050919  101900  46  37.4650 N  61  30.2810 W   1.8        2.8       11.9        0.0        5.9       43.5 
050919  101901  46  37.4650 N  61  30.2800 W   1.8        2.8       11.9        0.0        5.9       45.7*
050919  101903  46  37.4640 N  61  30.2790 W   2.2        2.8       11.9        0.0        4.8*      45.7 
050919  101906  46  37.4620 N  61  30.2780 W   2.2        2.8       11.9        0.0        4.8       64.2*
050919  101907  46  37.4620 N  61  30.2770 W   1.9        2.8       11.9        0.0        5.2*      64.2 
050919  101909  46  37.4610 N  61  30.2770 W   2.0        2.8       11.9        0.0        5.2       64.2 
050919  101912  46  37.4600 N  61  30.2760 W   1.6        2.8       11.9        0.0        5.2       38.7*
050919  101913  46  37.4590 N  61  30.2750 W   1.9        2.8       11.9        0.0        4.4*      38.7 
050919  101915  46  37.4580 N  61  30.2740 W   2.0        2.8       11.9        0.0        4.4       38.7 
050919  101918  46  37.4570 N  61  30.2730 W   2.1        2.8       11.9        0.0        5.2*      51.0*
050919  101919  46  37.4560 N  61  30.2730 W   2.0        2.8       11.9        0.0        5.2       51.0 
050919  101921  46  37.4560 N  61  30.2730 W   2.0        2.8       11.9        0.0        5.2       58.9*
050919  101924  46  37.4540 N  61  30.2710 W   2.0        2.8       11.9        0.0        5.0*      58.9 
050919  101925  46  37.4540 N  61  30.2710 W   2.2        2.8       11.9        0.0        5.0       58.9 
050919  101927  46  37.4530 N  61  30.2690 W   2.0        2.8       11.9        0.0        5.0       55.9*
050919  101930  46  37.4520 N  61  30.2680 W   1.9        2.8       11.9        0.0        5.1*      55.9 
050919  101931  46  37.4510 N  61  30.2680 W   2.2        2.8       11.9        0.0        5.1       55.9 
050919  101933  46  37.4500 N  61  30.2670 W   2.0        2.8       11.9        0.0        5.2*      61.1*
050919  101936  46  37.4480 N  61  30.2650 W   1.9        2.8       11.9        0.0        5.2       61.1 
050919  101937  46  37.4480 N  61  30.2650 W   2.0        2.8       11.9        0.0        5.2       62.9*
050919  101939  46  37.4470 N  61  30.2640 W   2.2        2.8        3.2*       0.0        5.6*      62.9 
050919  101942  46  37.4450 N  61  30.2620 W   2.0        2.8        3.2        0.0        5.6       62.9 
050919  101943  46  37.4450 N  61  30.2620 W   2.2        2.8        3.2        0.0        6.5*      66.9*
050919  101945  46  37.4440 N  61  30.2610 W   2.1        2.8        3.2        0.0        6.5       66.9 
050919  101948  46  37.4420 N  61  30.2600 W   2.1        8.3*       3.2        0.0        6.5       66.9 
050919  101949  46  37.4420 N  61  30.2590 W   2.2        8.3        3.2        0.0        6.3*      65.1*
050919  101951  46  37.4410 N  61  30.2590 W   1.8        8.3        3.2        0.0        6.3       65.1 
050919  101954  46  37.4400 N  61  30.2570 W   2.1        8.3        3.2        0.0        6.3       67.7*
050919  101955  46  37.4390 N  61  30.2570 W   1.9        8.3        3.2        0.0        7.4*      67.7 
050919  101957  46  37.4380 N  61  30.2560 W   2.1        8.3        3.2        0.0        7.4       67.7 
050919  102000  46  37.4370 N  61  30.2550 W   2.2        8.3        3.2        0.0        7.6*      68.2*
050919  102001  46  37.4360 N  61  30.2540 W   2.0        8.3        3.2        0.0        7.6       68.2 
050919  102003  46  37.4350 N  61  30.2530 W   2.0        8.3        3.2        0.0        7.6       68.2 
050919  102006  46  37.4340 N  61  30.2520 W   2.0        8.3        3.2        0.0        8.1*      69.9*
050919  102007  46  37.4330 N  61  30.2520 W   2.2        8.3        3.2        0.0        8.1       69.9 
050919  102009  46  37.4320 N  61  30.2510 W   1.9        8.3        3.2        0.0        8.1       70.4*
050919  102012  46  37.4310 N  61  30.2490 W   1.9        8.3        3.2        0.0        8.1*      70.4 
050919  102013  46  37.4300 N  61  30.2490 W   1.8        8.3        3.2        0.0        8.1       70.4 
