FileName: C:\2005NE~1\GP256.TXT
Local Time: Sat Sep 17 14:47:11 2005

Ship: Marco Michel Trip: 09 Tow: gp256
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  174713  46  59.2440 N  60  58.1330 W   3.8        3.2       10.2*       0.0       84.8*       8.4*
050917  174715  46  59.2440 N  60  58.1300 W   3.5        3.2       10.2        0.0       84.8        8.4 
050917  174717  46  59.2430 N  60  58.1270 W   3.1        3.2       10.2        0.0       84.8        8.4 
050917  174719  46  59.2430 N  60  58.1240 W   3.4        3.2       10.2        0.0       84.8        8.4 
050917  174721  46  59.2430 N  60  58.1220 W   3.0        3.2       10.2        0.0       84.8        8.4 
050917  174723  46  59.2420 N  60  58.1190 W   3.2        3.2       10.2        0.0       84.8        8.4 
050917  174725  46  59.2420 N  60  58.1170 W   4.1        3.2       10.2        0.0       84.8        8.4 
050917  174727  46  59.2410 N  60  58.1140 W   3.7        3.2       10.2        0.0       84.8        8.4 
050917  174729  46  59.2410 N  60  58.1100 W   5.9        3.2       10.2        0.0       84.8        8.4 
050917  174731  46  59.2410 N  60  58.1050 W   5.2        3.2       10.2        0.0       84.8        8.4 
050917  174733  46  59.2390 N  60  58.1010 W   6.3        3.2       10.2        0.0       84.8        8.4 
050917  174735  46  59.2390 N  60  58.0960 W   6.5        3.2       10.2        0.0       84.8        8.4 
050917  174737  46  59.2380 N  60  58.0900 W   6.6        3.2       10.2        0.0       84.8        8.4 
050917  174739  46  59.2370 N  60  58.0850 W   7.4        3.2       10.2        0.0       84.8        8.4 
050917  174741  46  59.2360 N  60  58.0790 W   6.3        3.2       10.2        0.0       84.8        8.4 
050917  174743  46  59.2360 N  60  58.0740 W   7.8        3.2       10.2        0.0       84.8        8.4 
050917  174745  46  59.2350 N  60  58.0680 W   7.0        3.2       10.2        0.0       84.8        8.4 
050917  174747  46  59.2340 N  60  58.0620 W   7.7        3.2       10.2        0.0       84.8        8.4 
050917  174749  46  59.2330 N  60  58.0560 W   7.8        3.2       10.2        0.0       84.8        8.4 
050917  174751  46  59.2320 N  60  58.0490 W   7.6        3.2       10.2        0.0       84.8        8.4 
050917  174753  46  59.2310 N  60  58.0430 W   7.7        3.2       10.2        0.0       84.8       24.2*
050917  174755  46  59.2300 N  60  58.0370 W   7.9        3.2       10.2        0.0       84.8       24.2 
050917  174757  46  59.2290 N  60  58.0310 W   8.0        3.2       10.2        0.0       84.8       24.2 
050917  174759  46  59.2280 N  60  58.0240 W   7.6        3.2       10.2        0.0       84.8       24.2 
050917  174801  46  59.2270 N  60  58.0180 W   8.0        3.2       10.2        0.0       84.8       24.2 
050917  174803  46  59.2270 N  60  58.0120 W   7.8        3.2       10.2        0.0       84.8       24.2 
050917  174805  46  59.2250 N  60  58.0060 W   7.8        3.2       10.2        0.0       84.8       24.2 
050917  174807  46  59.2250 N  60  58.0000 W   7.9        3.2       10.2        0.0       84.8       24.2 
050917  174809  46  59.2240 N  60  57.9930 W   7.6        3.2       10.2        0.0       84.8       24.2 
050917  174811  46  59.2230 N  60  57.9870 W   8.1        3.2       10.2        0.0       84.8       24.2 
050917  174813  46  59.2220 N  60  57.9810 W   7.7        3.2       10.2        0.0       84.8       24.2 
050917  174815  46  59.2210 N  60  57.9750 W   8.1        3.2       10.2        0.0       84.8       24.2 
050917  174817  46  59.2200 N  60  57.9690 W   8.0        3.2       10.2        0.0       84.8       24.2 
050917  174819  46  59.2200 N  60  57.9620 W   7.8        3.2       10.2        0.0       84.8       24.2 
050917  174821  46  59.2180 N  60  57.9560 W   7.9        3.2       10.2        0.0       84.8       24.2 
050917  174823  46  59.2180 N  60  57.9500 W   7.6        3.2       10.2        0.0       84.8       24.2 
050917  174825  46  59.2170 N  60  57.9430 W   8.1        3.2       10.2        0.0       84.8       24.2 
050917  174827  46  59.2150 N  60  57.9370 W   7.7        3.2       10.2        0.0       84.8       24.2 
050917  174829  46  59.2150 N  60  57.9310 W   8.1        3.2       10.2        0.0       84.8       24.2 
050917  174831  46  59.2140 N  60  57.9250 W   7.8        3.2       10.2        0.0       84.8       24.2 
050917  174833  46  59.2130 N  60  57.9180 W   7.8        3.2       10.2        0.0       84.8       24.2 
050917  174835  46  59.2120 N  60  57.9130 W   7.9        3.2       10.2        0.0       84.8       24.2 
050917  174837  46  59.2110 N  60  57.9060 W   7.4        3.2       10.2        0.0       84.8       24.2 
050917  174839  46  59.2100 N  60  57.9000 W   7.9        3.2       10.2        0.0       84.8       24.2 
050917  174841  46  59.2090 N  60  57.8940 W   8.0        3.2       10.2        0.0       84.8       24.2 
