FileName: C:\2005NE~1\GP014.TXT
Local Time: Sun Aug 14 14:51:32 2005

Ship: Marco Michel Trip: 07 Tow: gp014
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050814  175134  48   1.5560 N  64  51.9220 W   3.8        2.2       10.7*     102.6*       0.0       11.4*
050814  175136  48   1.5560 N  64  51.9180 W   3.6        2.2       10.7      102.6        0.0       11.4 
050814  175138  48   1.5550 N  64  51.9150 W   3.7        2.2       12.9*      11.0*       0.0       11.4 
050814  175140  48   1.5540 N  64  51.9120 W   3.2        2.2       12.9       11.0        0.0       11.4 
050814  175142  48   1.5530 N  64  51.9100 W   3.5        2.2       12.9       11.0        0.0       11.4 
050814  175144  48   1.5530 N  64  51.9070 W   3.0        2.4*      12.9       11.0        0.0       11.4 
050814  175146  48   1.5530 N  64  51.9050 W   3.3        2.4       12.9       11.0        0.0       11.4 
050814  175148  48   1.5520 N  64  51.9020 W   3.0        2.4       12.9       11.0        0.0       11.4 
050814  175150  48   1.5510 N  64  51.9000 W   3.3        2.4       12.9        0.9*       0.0       11.4 
050814  175152  48   1.5510 N  64  51.8980 W   2.9        2.4       12.9        0.9        0.0        7.0*
050814  175154  48   1.5500 N  64  51.8960 W   3.1        2.4       12.9        4.1*       0.0        7.0 
050814  175156  48   1.5490 N  64  51.8930 W   3.1        2.4       12.9        4.1        0.0        7.0 
050814  175158  48   1.5490 N  64  51.8910 W   3.7        2.4       12.9        4.1        0.0       10.6*
050814  175200  48   1.5480 N  64  51.8880 W   4.6        2.4       12.9        4.1        0.0       10.6 
050814  175202  48   1.5470 N  64  51.8840 W   4.8        2.4       12.9        4.1        0.0       10.6 
050814  175204  48   1.5470 N  64  51.8800 W   5.8        2.4       12.9        4.1        0.0       10.6 
050814  175206  48   1.5460 N  64  51.8750 W   5.8        2.4       12.9        4.1        0.0       10.6 
050814  175208  48   1.5450 N  64  51.8700 W   6.5        2.4       12.9        4.1        0.0       10.6 
050814  175210  48   1.5440 N  64  51.8650 W   6.4        2.4       12.9        4.1        0.0       10.6 
050814  175212  48   1.5430 N  64  51.8600 W   7.1        2.4       12.9        4.1        0.0       10.6 
050814  175214  48   1.5430 N  64  51.8530 W   7.1        2.4       12.9        4.1        0.0       10.6 
050814  175216  48   1.5420 N  64  51.8470 W   7.1        2.4       12.9        4.1        0.0       10.6 
050814  175218  48   1.5410 N  64  51.8420 W   7.2        2.4       12.9        4.1        0.0       10.6 
050814  175220  48   1.5400 N  64  51.8360 W   7.5        2.4       12.9        4.1        0.0       10.6 
050814  175222  48   1.5390 N  64  51.8300 W   7.3        2.4       12.9        4.1        0.0       10.6 
050814  175224  48   1.5380 N  64  51.8240 W   7.6        2.4       12.9        4.1        0.0       10.6 
050814  175226  48   1.5380 N  64  51.8180 W   7.6        2.4       12.9        4.1        0.0       10.6 
050814  175228  48   1.5370 N  64  51.8120 W   7.7        2.4       12.9        4.1        0.0       10.6 
050814  175230  48   1.5370 N  64  51.8060 W   7.4        2.4       12.9        4.1        0.0       10.6 
050814  175232  48   1.5360 N  64  51.7990 W   7.5        2.4       12.9        4.1        0.0       10.6 
050814  175234  48   1.5350 N  64  51.7930 W   7.8        2.4       12.9        4.1        0.0       10.6 
050814  175236  48   1.5340 N  64  51.7870 W   7.4        2.4       12.9        4.1        0.0       10.6 
050814  175238  48   1.5320 N  64  51.7800 W   7.8        2.4       12.9        4.1        0.0       10.6 
050814  175240  48   1.5320 N  64  51.7750 W   7.7        2.4       12.9        4.1        0.0       10.6 
050814  175242  48   1.5310 N  64  51.7680 W   7.7        2.4       12.9        4.1        0.0       10.6 
050814  175244  48   1.5300 N  64  51.7620 W   7.6        2.4       12.9        4.1        0.0       10.6 
050814  175246  48   1.5290 N  64  51.7560 W   7.8        2.4       12.9        4.1        0.0       10.6 
050814  175248  48   1.5280 N  64  51.7490 W   7.8        2.4       12.9        4.1        0.0       10.6 
050814  175250  48   1.5270 N  64  51.7430 W   7.7        2.4       12.9        4.1        0.0       10.6 
050814  175252  48   1.5260 N  64  51.7370 W   7.6        2.4       12.9        4.1        0.0       10.6 
050814  175254  48   1.5250 N  64  51.7310 W   7.8        2.4       12.9        4.1        0.0       10.6 
050814  175256  48   1.5240 N  64  51.7240 W   7.8        2.4       12.9        4.1        0.0       10.6 
050814  175258  48   1.5230 N  64  51.7180 W   7.6        2.3*      12.9        4.1        0.0       10.6 
050814  175300  48   1.5210 N  64  51.7120 W   7.9        2.3       12.9        4.1        0.0       10.6 
050814  175302  48   1.5210 N  64  51.7060 W   7.8        2.3       12.9        4.1        0.0       10.6 
050814  175304  48   1.5200 N  64  51.6990 W   7.9        2.3       12.9        4.1        0.0       10.6 
050814  175306  48   1.5190 N  64  51.6930 W   7.8        2.3       12.9        4.1        0.0       10.6 
050814  175308  48   1.5180 N  64  51.6870 W   7.6        2.3       12.9        4.1        0.0       10.6 
050814  175310  48   1.5160 N  64  51.6810 W   7.9        2.3       12.9        4.1        0.0       10.6 
050814  175312  48   1.5150 N  64  51.6740 W   7.9        2.3       12.9        4.1        0.0       10.6 
