FileName: C:\2005NE~1\GP284.TXT
Local Time: Sat Sep 17 18:21:10 2005

Ship: Marco Michel Trip: 09 Tow: gp284
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  212110  46  52.6740 N  61  22.5360 W   2.4        3.1*      10.9        0.0       48.6*     681.4*
050917  212112  46  52.6720 N  61  22.5360 W   2.7        3.1       10.9        0.0        2.4*     681.4 
050917  212114  46  52.6710 N  61  22.5370 W   2.8        3.1       10.9        0.0        2.4        5.3*
050917  212116  46  52.6690 N  61  22.5380 W   2.4        2.5*      10.9        0.0        2.4        5.3 
050917  212118  46  52.6680 N  61  22.5380 W   2.4        2.5       10.9        0.0        2.4        5.3 
050917  212120  46  52.6670 N  61  22.5390 W   3.4        2.5       10.9        0.0        2.4        5.3 
050917  212122  46  52.6650 N  61  22.5390 W   4.0        2.5       10.9        0.0        2.4        5.3 
050917  212124  46  52.6620 N  61  22.5410 W   4.2        2.5       10.9        0.0        2.4        5.3 
050917  212126  46  52.6600 N  61  22.5410 W   4.8        2.5       10.9        0.0        2.4        5.3 
050917  212128  46  52.6570 N  61  22.5420 W   5.9        2.5       10.9        0.0        2.4        5.3 
050917  212131  46  52.6520 N  61  22.5450 W   6.0        2.5       10.9        0.0        2.4        5.3 
050917  212132  46  52.6500 N  61  22.5450 W   5.8        2.5       10.9        0.0        2.4        5.3 
050917  212134  46  52.6470 N  61  22.5460 W   6.0        2.5       10.9        0.0        2.4        5.3 
050917  212137  46  52.6420 N  61  22.5480 W   6.8        2.5       10.9        0.0        2.4        5.3 
050917  212138  46  52.6400 N  61  22.5490 W   6.9        2.5       10.9        0.0        2.4        5.3 
050917  212140  46  52.6360 N  61  22.5510 W   6.8        2.5       10.9        0.0        2.4        5.3 
050917  212142  46  52.6320 N  61  22.5520 W   6.7        2.5       10.9        0.0        2.4        5.3 
050917  212144  46  52.6290 N  61  22.5540 W   6.7        2.5       10.9        0.0        2.4        5.3 
050917  212147  46  52.6240 N  61  22.5560 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212148  46  52.6220 N  61  22.5580 W   7.3        2.5       10.9        0.0        2.4        5.3 
050917  212150  46  52.6180 N  61  22.5590 W   7.1        2.5       10.9        0.0        2.4        5.3 
050917  212152  46  52.6130 N  61  22.5600 W   7.1        2.5       10.9        0.0        2.4        5.3 
050917  212154  46  52.6100 N  61  22.5620 W   7.2        2.5       10.9        0.0        2.4        5.3 
050917  212157  46  52.6040 N  61  22.5650 W   7.3        2.5       10.9        0.0        2.4        5.3 
050917  212158  46  52.6020 N  61  22.5660 W   7.1        2.5       10.9        0.0        2.4        5.3 
050917  212201  46  52.5960 N  61  22.5680 W   7.3        2.5       10.9        0.0        2.4        5.3 
050917  212202  46  52.5940 N  61  22.5680 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212204  46  52.5900 N  61  22.5700 W   7.5        2.5       10.9        0.0        2.4        5.3 
050917  212206  46  52.5860 N  61  22.5720 W   7.2        2.5       10.9        0.0        2.4        5.3 
050917  212209  46  52.5800 N  61  22.5750 W   7.5        2.5       10.9        0.0        2.4        5.3 
050917  212210  46  52.5780 N  61  22.5760 W   7.3        2.5       10.9        0.0        2.4        5.3 
050917  212212  46  52.5750 N  61  22.5780 W   7.5        2.5       10.9        0.0        2.4        5.3 
050917  212214  46  52.5710 N  61  22.5790 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212216  46  52.5660 N  61  22.5810 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212219  46  52.5600 N  61  22.5830 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212220  46  52.5580 N  61  22.5830 W   7.2        2.5       10.9        0.0        2.4        5.3 
050917  212222  46  52.5540 N  61  22.5840 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212224  46  52.5490 N  61  22.5840 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212226  46  52.5460 N  61  22.5850 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212229  46  52.5400 N  61  22.5860 W   7.1        2.5       10.9        0.0        2.4        5.3 
050917  212231  46  52.5360 N  61  22.5860 W   7.4        2.5       10.9        0.0        2.4        5.3 
050917  212232  46  52.5340 N  61  22.5860 W   7.4        2.5       10.9        0.0        2.4        5.3 
