FileName: C:\2005NE~1\GP147.TXT
Local Time: Sun Aug 28 07:50:08 2005

Ship: Marco Michel Trip: 8 Tow: gp147
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050828  105009  47  33.7930 N  64  24.5880 W   2.8        5.7*       7.1*                  0.0      563.0*
050828  105011  47  33.7920 N  64  24.5850 W   4.3        5.7        7.1                   0.0        4.4*
050828  105013  47  33.7910 N  64  24.5830 W   2.8        5.7        7.1                   1.4*       4.4 
050828  105015  47  33.7900 N  64  24.5800 W   3.9        5.7        7.1                   1.4        4.4 
050828  105017  47  33.7890 N  64  24.5780 W   2.8        5.7        7.1                   0.6*       3.1*
050828  105019  47  33.7890 N  64  24.5760 W   3.4        5.7        7.1                   0.6        3.1 
050828  105021  47  33.7870 N  64  24.5740 W   2.8        5.7        7.1                   0.6        3.1 
050828  105023  47  33.7860 N  64  24.5710 W   3.3        5.7        7.1                   2.4*       4.0*
050828  105025  47  33.7850 N  64  24.5700 W   2.9        5.7        7.1                   2.4        4.0 
050828  105027  47  33.7840 N  64  24.5680 W   2.9        5.7        7.1                   2.4        4.8*
050828  105029  47  33.7830 N  64  24.5660 W   3.0        5.7        7.1                   5.4*       4.8 
050828  105031  47  33.7830 N  64  24.5640 W   3.0        5.7        7.1                   5.4        4.8 
050828  105033  47  33.7820 N  64  24.5620 W   3.0        5.7        7.1                   1.7*      14.5*
050828  105035  47  33.7810 N  64  24.5600 W   2.9        5.7        7.1                   1.7       14.5 
050828  105037  47  33.7800 N  64  24.5580 W   2.9        5.7        7.1                   1.7       14.1*
050828  105039  47  33.7790 N  64  24.5550 W   2.9        5.7        7.1                   2.9*      14.1 
050828  105041  47  33.7780 N  64  24.5540 W   3.2        5.7        7.1                   2.9       14.1 
050828  105043  47  33.7780 N  64  24.5510 W   3.3        5.7        7.1                   3.5*      12.8*
050828  105045  47  33.7770 N  64  24.5490 W   3.2        5.7        7.1                   3.5       12.8 
050828  105047  47  33.7760 N  64  24.5470 W   3.5        5.7        7.1                   3.5       12.8 
050828  105049  47  33.7750 N  64  24.5440 W   3.4        5.7        7.1                   3.2*      12.3*
050828  105051  47  33.7740 N  64  24.5420 W   3.3        5.7        7.1                   3.2       12.3 
050828  105053  47  33.7730 N  64  24.5390 W   3.8        5.7        7.1                   3.2*      14.5*
050828  105055  47  33.7720 N  64  24.5370 W   3.2        5.7        7.1                   3.2       14.5 
050828  105057  47  33.7710 N  64  24.5340 W   3.6        5.7        7.1                   3.2       14.5 
050828  105059  47  33.7690 N  64  24.5320 W   3.4        5.7        7.1                   3.4*      13.2*
050828  105101  47  33.7680 N  64  24.5300 W   3.5        5.7        7.1                   3.4       13.2 
050828  105103  47  33.7670 N  64  24.5270 W   3.5        5.7        7.1                   3.4       13.2 
050828  105105  47  33.7650 N  64  24.5250 W   3.2        5.7        7.1                   3.0*      14.1*
050828  105107  47  33.7640 N  64  24.5230 W   3.7        5.7        7.1                   3.0       14.1 
050828  105109  47  33.7630 N  64  24.5200 W   2.8        5.7        7.1                   3.5*      10.6*
050828  105111  47  33.7620 N  64  24.5180 W   4.4        5.7        7.1                   3.5       10.6 
050828  105113  47  33.7600 N  64  24.5160 W   3.6        5.7        7.1                   3.5       10.6 
050828  105115  47  33.7580 N  64  24.5140 W   4.8        5.7        7.1                   3.6*      10.6 
050828  105117  47  33.7560 N  64  24.5120 W   4.6        5.7        7.1                   3.6       10.6 
050828  105119  47  33.7540 N  64  24.5090 W   4.6        5.7        7.1                   3.6       10.6 
050828  105121  47  33.7520 N  64  24.5080 W   5.9        5.7        7.1                   5.0*      10.6 
050828  105123  47  33.7490 N  64  24.5060 W   5.1        5.7        7.1                   5.0       10.6 
050828  105125  47  33.7460 N  64  24.5030 W   6.1        5.7        7.1                   5.0       10.6 
050828  105127  47  33.7430 N  64  24.5010 W   6.8        5.7        7.1                   5.0       10.6 
050828  105129  47  33.7390 N  64  24.4990 W   6.6        5.7        7.1                   5.0       10.6 
050828  105131  47  33.7360 N  64  24.4960 W   6.6        5.7        7.1                   5.0       10.6 
050828  105133  47  33.7320 N  64  24.4950 W   6.3        5.7        7.1                   5.0       10.6 
050828  105135  47  33.7290 N  64  24.4930 W   7.2        5.7        7.1                   5.0       10.6 
050828  105137  47  33.7250 N  64  24.4910 W   7.4        5.7        7.1                   5.0       10.6 
050828  105139  47  33.7210 N  64  24.4900 W   6.4        5.7        7.1                   5.0       10.6 
050828  105141  47  33.7170 N  64  24.4880 W   7.3        5.7        7.1                   5.0       10.6 
050828  105143  47  33.7130 N  64  24.4870 W   7.1        5.7        7.1                   5.0       10.6 
050828  105145  47  33.7090 N  64  24.4860 W   7.1        5.7        7.1                   5.0       10.6 
050828  105147  47  33.7060 N  64  24.4850 W   6.7        5.7        7.1                   5.0       10.6 
050828  105149  47  33.7020 N  64  24.4840 W   7.4        2.3*       7.1                   5.0       10.6 
050828  105151  47  33.6980 N  64  24.4830 W   7.3        2.3        7.1                   5.0       10.6 
050828  105153  47  33.6940 N  64  24.4820 W   7.3        2.3        7.1                   5.0       10.6 
050828  105155  47  33.6900 N  64  24.4810 W   7.4        2.3        7.1                   5.0       10.6 
050828  105157  47  33.6860 N  64  24.4810 W   6.2        2.3        7.1                   5.0       47.1*
050828  105159  47  33.6820 N  64  24.4810 W   7.7        2.3        7.1                   5.0       47.1 
050828  105201  47  33.6790 N  64  24.4800 W   7.1        2.3        7.1                   6.6*      30.8*
050828  105203  47  33.6750 N  64  24.4790 W   6.3        2.3        7.1                   6.6       30.8 
050828  105205  47  33.6710 N  64  24.4780 W   7.8        2.3        7.1                   6.6       30.8 
050828  105207  47  33.6680 N  64  24.4770 W   6.6        2.3        7.1                   6.6       30.8 
050828  105209  47  33.6640 N  64  24.4760 W   6.1        2.3        7.1                   6.6       30.8 
050828  105211  47  33.6600 N  64  24.4760 W   7.3        2.3        7.1                   6.6       30.8 
050828  105213  47  33.6560 N  64  24.4750 W   6.0        2.3        7.1                   6.6       30.8 
050828  105215  47  33.6520 N  64  24.4750 W   6.9        2.3        7.1                   6.6       30.8 
050828  105217  47  33.6480 N  64  24.4740 W   7.6        2.3        7.1                   6.6       30.8 
050828  105219  47  33.6440 N  64  24.4730 W   6.4        2.3        7.1                   6.6       30.8 
050828  105221  47  33.6400 N  64  24.4730 W   6.1        2.3        7.1                   6.6       30.8 
050828  105223  47  33.6360 N  64  24.4730 W   7.0        2.3        7.1                   6.6       30.8 
050828  105225  47  33.6330 N  64  24.4730 W   7.5        2.3        7.1                   6.6       30.8 
050828  105227  47  33.6290 N  64  24.4730 W   7.3        2.3        7.1                   6.6       30.8 
