FileName: C:\2005NE~1\GP220.TXT
Local Time: Thu Aug 25 07:52:13 2005

Ship: Marco Michel Trip: 08 Tow: gp220
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050825  105216  47  25.5570 N  62  29.0850 W   2.7        7.3*       0.0      130.6*       0.0       35.2*
050825  105218  47  25.5560 N  62  29.0850 W   2.7        7.3        0.0      130.6        0.0       35.2 
050825  105220  47  25.5540 N  62  29.0860 W   2.6        7.3        0.0      130.6        0.0       35.2 
050825  105222  47  25.5520 N  62  29.0860 W   2.8        7.3        0.0      130.6        0.0       35.2 
050825  105224  47  25.5500 N  62  29.0860 W   2.6        7.3        0.0      130.6        0.0       35.2 
050825  105226  47  25.5490 N  62  29.0860 W   2.1        7.3        0.0      130.6        0.0       11.4*
050825  105228  47  25.5470 N  62  29.0870 W   2.3        7.3       11.6*     130.6        0.0       11.4 
050825  105230  47  25.5460 N  62  29.0870 W   2.8        7.3       11.6      130.6        0.0       14.5*
050825  105232  47  25.5440 N  62  29.0870 W   2.6        7.3       11.6      130.6        0.0       14.5 
050825  105234  47  25.5420 N  62  29.0880 W   2.0        7.3       11.6      130.6        0.0       14.5 
050825  105236  47  25.5410 N  62  29.0880 W   2.8        7.3       11.6      130.6        0.0        8.4*
050825  105238  47  25.5400 N  62  29.0880 W   2.0        7.3       11.6      130.6        0.0        8.4 
050825  105240  47  25.5380 N  62  29.0890 W   2.7        7.3       10.4*     130.6        0.0       14.1*
050825  105242  47  25.5370 N  62  29.0890 W   1.9        7.3       10.4      130.6        0.0       14.1 
050825  105244  47  25.5350 N  62  29.0900 W   2.6        7.3       10.4      130.6        0.0       14.1 
050825  105246  47  25.5340 N  62  29.0900 W   2.4        7.3       10.4      130.6        0.0       14.5*
050825  105248  47  25.5320 N  62  29.0900 W   1.8        7.3       10.4      130.6        0.0       14.5 
050825  105250  47  25.5320 N  62  29.0910 W   2.4        7.3       10.4      130.6        0.0       14.5 
050825  105252  47  25.5300 N  62  29.0910 W   2.4        7.3       12.1*     130.6        0.0       10.6*
050825  105254  47  25.5280 N  62  29.0920 W   2.0        7.3       12.1      130.6        0.0       10.6 
050825  105256  47  25.5270 N  62  29.0920 W   2.7        7.3       12.1      130.6        0.0       13.2*
050825  105258  47  25.5250 N  62  29.0930 W   2.1        7.3       12.1      130.6        0.0       13.2 
050825  105300  47  25.5240 N  62  29.0930 W   2.2        7.3       12.1      130.6        0.0       13.2 
050825  105302  47  25.5220 N  62  29.0940 W   1.8        7.3       12.1      130.6        0.0       11.9*
050825  105304  47  25.5210 N  62  29.0940 W   2.5        7.3       12.1      130.6        0.0       11.9 
050825  105306  47  25.5200 N  62  29.0950 W   2.2        7.3       12.1      130.6        0.0       17.2*
050825  105308  47  25.5180 N  62  29.0940 W   2.5        7.3       12.1      130.6        0.0       17.2 
050825  105310  47  25.5160 N  62  29.0950 W   1.8        7.3        2.6*     130.6        0.0       17.2 
050825  105312  47  25.5150 N  62  29.0960 W   2.8        7.3        2.6      130.6        0.0       41.3*
050825  105314  47  25.5130 N  62  29.0960 W   2.5        7.3        2.6      130.6        0.0       41.3 
050825  105316  47  25.5120 N  62  29.0970 W   3.6        3.6*       2.6      130.6        0.0       41.3 
050825  105318  47  25.5090 N  62  29.0970 W   3.3        3.6        2.6      130.6        0.0       41.3 
050825  105320  47  25.5070 N  62  29.0980 W   4.7        3.6        2.6      130.6        0.0       41.3 
050825  105322  47  25.5040 N  62  29.0980 W   4.9        3.6        2.6      130.6        0.0       41.3 
050825  105324  47  25.5010 N  62  29.0990 W   4.5        3.6        2.6      130.6        0.0       41.3 
050825  105326  47  25.4990 N  62  29.1000 W   4.2        3.6        2.6      130.6        0.0       41.3 
050825  105328  47  25.4960 N  62  29.1010 W   5.1        3.6        2.6      130.6        0.0       16.3*
050825  105330  47  25.4920 N  62  29.1020 W   5.9        3.6        2.6      130.6        0.0       16.3 
050825  105332  47  25.4890 N  62  29.1030 W   5.3        3.6        2.6      130.6        0.0       16.3 
050825  105334  47  25.4860 N  62  29.1040 W   4.7        3.6        2.6      130.6        0.0       16.3 
050825  105336  47  25.4830 N  62  29.1040 W   5.3        3.6        2.6      130.6        0.0       16.3 
050825  105338  47  25.4800 N  62  29.1050 W   5.7        3.6        2.6      130.6        0.0       16.3 
050825  105340  47  25.4770 N  62  29.1060 W   5.7        2.6*       2.6      130.6        0.0       16.3 
050825  105342  47  25.4730 N  62  29.1080 W   5.2        2.6        2.6      130.6        0.0       16.3 
050825  105344  47  25.4700 N  62  29.1090 W   5.5        2.6        2.6      130.6        0.0       16.3 
050825  105346  47  25.4670 N  62  29.1100 W   6.0        2.6        2.6      130.6        0.0       16.3 
050825  105348  47  25.4640 N  62  29.1110 W   6.5        2.6        2.6      130.6        0.0       13.2*
050825  105350  47  25.4600 N  62  29.1140 W   5.9        2.6        2.6      130.6        0.0       13.2 
050825  105352  47  25.4570 N  62  29.1150 W   5.5        2.6        2.6      130.6        0.0       13.2 
050825  105354  47  25.4540 N  62  29.1160 W   5.7        2.6        2.6      130.6        0.0       18.5*
050825  105356  47  25.4500 N  62  29.1170 W   6.5        2.6        2.6      130.6        0.0       18.5 
050825  105358  47  25.4460 N  62  29.1190 W   7.0        2.6        2.6      130.6        0.0       18.5 
050825  105400  47  25.4430 N  62  29.1210 W   6.2        2.6        2.6      130.6        0.0       18.5 
050825  105402  47  25.4400 N  62  29.1220 W   5.4        2.6        2.6      130.6        0.0       18.5 
050825  105404  47  25.4360 N  62  29.1230 W   5.7        2.6        2.6      130.6        0.0       18.5 
050825  105406  47  25.4330 N  62  29.1250 W   6.7        2.6        2.6       94.8*       0.0       18.5 
050825  105408  47  25.4280 N  62  29.1270 W   7.3        2.6        2.6       94.8        0.0       18.5 
050825  105410  47  25.4240 N  62  29.1290 W   6.1        2.6        2.6       94.8        0.0       18.5 
050825  105412  47  25.4210 N  62  29.1310 W   5.0        2.6        2.6       94.8        0.0       18.5 
050825  105414  47  25.4180 N  62  29.1320 W   6.2        2.6        2.6       94.8        0.0       18.5 
050825  105416  47  25.4150 N  62  29.1340 W   7.3        2.6        2.6       94.8        0.0       18.5 
050825  105418  47  25.4110 N  62  29.1360 W   7.4        2.6        2.6       94.8        0.0       18.5 
050825  105420  47  25.4070 N  62  29.1380 W   5.7        2.6        2.6       94.8        0.0       18.5 
