FileName: C:\2005NE~1\GP229.TXT
Local Time: Tue Sep 20 08:17:51 2005

Ship: Marco Michel Trip: 09 Tow: gp229
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050920  111753  46  12.8900 N  61  28.4660 W   2.9        2.6*       2.2        0.0       31.9*     639.1*
050920  111755  46  12.8910 N  61  28.4650 W   3.0        2.6        2.2        0.0        2.3*     639.1 
050920  111757  46  12.8930 N  61  28.4640 W   2.4        2.6        2.2        0.0        2.3      639.1 
050920  111759  46  12.8940 N  61  28.4630 W   2.8        2.6        2.2        0.0        2.3      639.1 
050920  111801  46  12.8950 N  61  28.4610 W   2.3        2.6        2.2        0.0        2.4*     639.1 
050920  111803  46  12.8960 N  61  28.4600 W   2.6        2.6        2.2        0.0        2.4      639.1 
050920  111805  46  12.8980 N  61  28.4590 W   2.1        2.6        2.2        0.0        2.9*     639.1 
050920  111807  46  12.8990 N  61  28.4590 W   2.7        2.6        2.2        0.0        2.9      639.1 
050920  111809  46  12.9000 N  61  28.4570 W   3.0        2.6        2.2        0.0        2.9      639.1 
050920  111811  46  12.9020 N  61  28.4560 W   4.2        2.6        2.2        0.0        5.7*     639.1 
050920  111813  46  12.9040 N  61  28.4540 W   3.7        2.6        2.2        0.0        5.7      639.1 
050920  111815  46  12.9060 N  61  28.4520 W   5.3        2.6        2.2        0.0        5.7      639.1 
050920  111818  46  12.9100 N  61  28.4490 W   5.5        2.6        2.2        0.0        5.7        7.9*
050920  111819  46  12.9110 N  61  28.4480 W   5.7        2.6        2.2        0.0        5.7        7.9 
050920  111821  46  12.9140 N  61  28.4450 W   5.8        2.6        2.2        0.0        5.7        7.9 
050920  111823  46  12.9170 N  61  28.4430 W   5.8        2.6        2.2        0.0        5.7        7.9 
050920  111825  46  12.9200 N  61  28.4410 W   6.7        2.6        2.2        0.0        5.7        7.9 
050920  111827  46  12.9230 N  61  28.4390 W   5.5        2.6        2.2        0.0        5.7        7.9 
050920  111829  46  12.9270 N  61  28.4360 W   6.9        2.6        2.2        0.0        5.7        7.9 
050920  111831  46  12.9300 N  61  28.4340 W   6.1        2.6        2.2        0.0        5.7        7.9 
050920  111833  46  12.9330 N  61  28.4320 W   6.9        2.6        2.2        0.0        5.7        6.2*
050920  111835  46  12.9370 N  61  28.4300 W   6.2        2.6        2.2        0.0        5.7        6.2 
050920  111837  46  12.9400 N  61  28.4270 W   6.9        2.6        2.2        0.0        5.7        6.2 
050920  111839  46  12.9440 N  61  28.4250 W   7.0        2.6        2.2        0.0        5.7        6.2 
050920  111841  46  12.9470 N  61  28.4230 W   7.0        2.6        2.2        0.0        5.7        6.2 
050920  111843  46  12.9510 N  61  28.4210 W   6.8        2.6        2.2        0.0        5.7        6.2 
050920  111845  46  12.9550 N  61  28.4190 W   6.4        2.6        2.2        0.0        5.7        6.2 
050920  111847  46  12.9580 N  61  28.4170 W   7.3        2.6        2.2        0.0        5.7        6.2 
050920  111849  46  12.9620 N  61  28.4150 W   7.0        2.6        2.2        0.0        5.7        6.2 
050920  111851  46  12.9650 N  61  28.4130 W   6.8        2.6        2.2        0.0        5.7        6.2 
050920  111853  46  12.9690 N  61  28.4110 W   7.0        2.6        2.2        0.0        5.7        6.2 
050920  111855  46  12.9730 N  61  28.4090 W   6.8        2.6        2.2        0.0        5.7        6.2 
050920  111857  46  12.9760 N  61  28.4070 W   7.1        2.6        2.2        0.0        5.7        6.2 
050920  111859  46  12.9800 N  61  28.4050 W   6.8        2.6        2.2        0.0        5.7        6.2 
050920  111901  46  12.9840 N  61  28.4030 W   7.3        2.6        2.2        0.0        5.7        6.2 
050920  111903  46  12.9880 N  61  28.4020 W   7.4        2.6        2.2        0.0        5.7        6.2 
050920  111905  46  12.9910 N  61  28.4000 W   7.2        2.6        2.2        0.0        5.7        6.2 
050920  111907  46  12.9950 N  61  28.3970 W   7.1        2.6        2.2        0.0        5.7        6.2 
050920  111909  46  12.9990 N  61  28.3960 W   7.4        2.6        2.2        0.0        5.7        6.2 
050920  111911  46  13.0030 N  61  28.3930 W   7.6        2.6        2.2        0.0        5.7        6.2 
050920  111913  46  13.0070 N  61  28.3910 W   7.4        2.6        2.2        0.0        5.7        6.2 
050920  111915  46  13.0110 N  61  28.3890 W   7.5        2.6        2.2        0.0        5.7        6.2 
050920  111917  46  13.0150 N  61  28.3880 W   7.2        2.6        2.2        0.0        5.7        6.2 
050920  111919  46  13.0190 N  61  28.3860 W   6.4        2.6        2.2        0.0        5.7        6.2 
050920  111921  46  13.0220 N  61  28.3840 W   6.8        2.6        2.2        0.0        5.7        6.2 
050920  111923  46  13.0260 N  61  28.3820 W   5.6        2.6        2.2        0.0        5.7        6.2 
050920  111925  46  13.0290 N  61  28.3810 W   6.5        2.6        2.2        0.0        5.7        6.2 
050920  111927  46  13.0320 N  61  28.3790 W   6.0        2.6        2.2        0.0        5.7        6.2 
