FileName: C:\2005NE~1\GP195.TXT
Local Time: Sun Jul 31 12:39:25 2005

Ship: Marco Michel Trip: 06 Tow: gp195
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050731  154132  47  52.0590 N  63  22.2990 W   6.5        2.4        6.9        3.8        0.0      504.5 
050731  154134  47  52.0630 N  63  22.3010 W   6.0        2.4        6.9        5.5*       0.0      504.5 
050731  154136  47  52.0660 N  63  22.3030 W   5.9        2.4        6.9        5.5        0.0       40.0*
050731  154138  47  52.0690 N  63  22.3050 W   6.0        2.4        6.9        5.5        0.0       40.0 
050731  154140  47  52.0710 N  63  22.3070 W   6.0        2.4        6.9        8.6*       0.0       40.0 
050731  154142  47  52.0740 N  63  22.3090 W   5.0        2.7*       6.9        8.6        0.0       40.0 
050731  154144  47  52.0770 N  63  22.3110 W   5.8        2.7        6.9        4.4*       0.0       40.0 
050731  154146  47  52.0790 N  63  22.3130 W   5.6        2.7        6.9        4.4        0.0       40.0 
050731  154148  47  52.0820 N  63  22.3150 W   5.4        2.7        6.9        4.4        0.0       40.0 
050731  154150  47  52.0850 N  63  22.3160 W   5.4        2.7        6.9        4.4        0.0       40.0 
050731  154152  47  52.0870 N  63  22.3180 W   5.4        2.7        6.9        4.4        0.0       40.0 
050731  154154  47  52.0900 N  63  22.3200 W   5.2        2.7        6.9        4.4        0.0       40.0 
050731  154156  47  52.0930 N  63  22.3210 W   5.4        2.7        6.9        4.4        0.0       40.0 
050731  154158  47  52.0960 N  63  22.3230 W   5.9        2.7        6.9        4.4        0.0       40.0 
050731  154200  47  52.0990 N  63  22.3240 W   5.3        2.7        6.9        4.4        0.0       40.0 
050731  154202  47  52.1010 N  63  22.3260 W   5.5        2.7        6.9        4.4        0.0       71.7*
050731  154204  47  52.1040 N  63  22.3280 W   5.3        2.7        6.9        4.4        0.0       71.7 
050731  154206  47  52.1070 N  63  22.3300 W   5.2        2.7        6.9        4.4        0.0       71.7 
050731  154208  47  52.1100 N  63  22.3320 W   5.9        2.7        6.9        4.4        0.0       22.0*
050731  154210  47  52.1130 N  63  22.3330 W   5.4        2.7        6.9        4.4        0.0       22.0 
050731  154212  47  52.1160 N  63  22.3350 W   5.2        2.7        6.9        6.3*       0.0       51.5*
050731  154214  47  52.1180 N  63  22.3370 W   5.3        2.7        6.9        6.3        0.0       51.5 
050731  154216  47  52.1210 N  63  22.3390 W   5.7        2.7        6.9        6.7*       0.0       51.5 
050731  154218  47  52.1230 N  63  22.3410 W   5.5        2.7        6.9        6.7        0.0       40.9*
050731  154220  47  52.1260 N  63  22.3430 W   5.0        2.7        6.9        6.7        0.0       40.9 
050731  154222  47  52.1290 N  63  22.3440 W   6.0        2.7        6.9        6.7        0.0       40.9 
050731  154224  47  52.1320 N  63  22.3460 W   4.7        2.7        6.9        6.7        0.0       40.9 
050731  154226  47  52.1350 N  63  22.3480 W   5.8        2.7        6.9        6.7        0.0       40.9 
050731  154228  47  52.1370 N  63  22.3500 W   4.9        2.7        6.9        6.7        0.0       40.9 
050731  154230  47  52.1400 N  63  22.3520 W   5.2        2.7        6.9        6.7        0.0       40.9 
050731  154232  47  52.1420 N  63  22.3530 W   5.6        2.7        6.9        6.7        0.0       40.9 
050731  154234  47  52.1450 N  63  22.3550 W   5.4        2.7        6.9        6.7        0.0       47.9*
050731  154236  47  52.1480 N  63  22.3570 W   4.4        2.7        6.9        6.7        0.0       47.9 
050731  154238  47  52.1500 N  63  22.3580 W   4.0        2.7        6.9        6.7        0.0       47.9 
050731  154240  47  52.1520 N  63  22.3600 W   3.2        2.7        6.9        6.7        0.0       49.3*
050731  154242  47  52.1530 N  63  22.3610 W   3.2        2.7        6.9        6.7        0.0       49.3 
050731  154244  47  52.1550 N  63  22.3610 W   2.9        2.7        6.9        6.7        0.0       34.3*
050731  154246  47  52.1560 N  63  22.3630 W   2.6        2.7        6.9        6.7        0.0       34.3 
050731  154248  47  52.1570 N  63  22.3630 W   2.1        2.7        6.9        8.9*       0.0       34.3 
050731  154250  47  52.1580 N  63  22.3640 W   2.9        2.7        6.9        8.9        0.0       61.6*
050731  154252  47  52.1600 N  63  22.3650 W   1.1        2.7        6.9        8.9        0.0       61.6 
050731  154254  47  52.1600 N  63  22.3660 W   2.6        2.7        6.9        6.7*       0.0       61.6 
050731  154256  47  52.1610 N  63  22.3670 W   1.2        2.7        6.9        6.7        0.0       33.4*
050731  154258  47  52.1620 N  63  22.3670 W   2.1        2.7        6.9        6.8*       0.0       33.4 
050731  154300  47  52.1620 N  63  22.3680 W   1.2        2.7        6.9        6.8        0.0       60.7*
050731  154302  47  52.1630 N  63  22.3690 W   2.1        2.7        6.9        6.8        0.0       60.7 
050731  154304  47  52.1640 N  63  22.3700 W   1.2        2.7        6.9        5.2*       0.0       60.7 
050731  154306  47  52.1650 N  63  22.3710 W   1.9        2.7        6.9        5.2        0.0       43.5*
050731  154308  47  52.1660 N  63  22.3710 W   1.7        2.7        6.9        5.1*       0.0       43.5 
050731  154310  47  52.1670 N  63  22.3720 W   1.8        2.7        6.9        5.1        0.0       43.5 
050731  154312  47  52.1680 N  63  22.3720 W   1.9        2.7        6.9        5.1        0.0       58.1*
050731  154314  47  52.1690 N  63  22.3730 W   1.4        2.7        2.8*       6.8*       0.0       58.1 
050731  154316  47  52.1690 N  63  22.3730 W   1.9        2.7        2.8        6.8        0.0       46.2*
050731  154318  47  52.1700 N  63  22.3740 W   1.4        2.7        2.8        6.8        0.0       46.2 
050731  154320  47  52.1710 N  63  22.3750 W   2.1        2.7        2.8        4.5*       0.0       46.2 
050731  154322  47  52.1720 N  63  22.3750 W   1.3        3.5*       2.8        4.5        0.0       75.7*
050731  154324  47  52.1730 N  63  22.3760 W   2.0        3.5        2.8        7.6*       0.0       75.7 
050731  154326  47  52.1730 N  63  22.3760 W   1.5        3.5        2.8        7.6        0.0       75.7 
050731  154328  47  52.1740 N  63  22.3770 W   1.4        3.5        2.9*       7.6        0.0       40.9*
050731  154330  47  52.1750 N  63  22.3770 W   1.9        3.5        2.9        3.2*       0.0       40.9 
050731  154332  47  52.1760 N  63  22.3780 W   1.6        3.5        2.9        3.2        0.0       64.2*
050731  154334  47  52.1770 N  63  22.3790 W   2.0        3.4*       2.9        3.2        0.0       64.2 
050731  154336  47  52.1780 N  63  22.3790 W   1.7        3.4        2.9        5.3*       0.0       64.2 
050731  154338  47  52.1790 N  63  22.3800 W   1.9        3.4        2.9        5.3        0.0       63.3*
050731  154340  47  52.1800 N  63  22.3800 W   2.2        3.4        3.1*       6.1*       0.0       63.3 
050731  154342  47  52.1810 N  63  22.3810 W   1.6        3.4        3.1        6.1        0.0       64.7*
050731  154344  47  52.1820 N  63  22.3820 W   2.3        3.4        3.1        6.1        0.0       64.7 
050731  154346  47  52.1830 N  63  22.3820 W   1.5        3.4        3.1        4.6*       0.0       64.7 
050731  154348  47  52.1840 N  63  22.3830 W   2.1        3.4*       3.1        4.6        0.0       69.9*
050731  154350  47  52.1850 N  63  22.3830 W   1.5        3.4        3.1        5.0*       0.0       69.9 
050731  154352  47  52.1860 N  63  22.3840 W   2.0        3.4        3.1        5.0        0.0       69.9 
050731  154354  47  52.1860 N  63  22.3840 W   1.6        3.4        2.8*       5.0        0.0       73.5*
050731  154356  47  52.1870 N  63  22.3850 W   1.8        3.4        2.8        5.6*       0.0       73.5 
050731  154358  47  52.1880 N  63  22.3850 W   2.2        3.4        2.8        5.6        0.0       73.5 
050731  154400  47  52.1890 N  63  22.3860 W   1.4        3.4*       2.8        5.6        0.0       72.6*
050731  154402  47  52.1900 N  63  22.3860 W   2.3        3.4        2.8        5.6*       0.0       72.6 
050731  154404  47  52.1910 N  63  22.3870 W   1.3        3.4        2.8        5.6        0.0       76.5*
050731  154406  47  52.1920 N  63  22.3870 W   2.3        3.4        2.8        5.5*       0.0       76.5 
050731  154408  47  52.1930 N  63  22.3880 W   1.5        3.4        2.8        5.5        0.0       76.5 
050731  154410  47  52.1940 N  63  22.3880 W   2.1        3.4        2.8        5.5        0.0       78.7*
050731  154412  47  52.1960 N  63  22.3890 W   1.8        3.4        2.8        6.1*       0.0       78.7 
050731  154414  47  52.1970 N  63  22.3900 W   2.0        3.4        2.8        6.1        0.0       78.7 
050731  154416  47  52.1980 N  63  22.3900 W   2.4        3.4        2.8        6.1        0.0       80.5*
050731  154418  47  52.1990 N  63  22.3910 W   1.6        3.4        3.5*       7.7*       0.0       80.5 
050731  154420  47  52.2000 N  63  22.3920 W   2.1        3.4        3.5        7.7        0.0       84.9*
050731  154422  47  52.2000 N  63  22.3920 W   1.9        3.4        3.5        6.7*       0.0       84.9 
050731  154424  47  52.2020 N  63  22.3930 W   1.3        3.4        3.5        6.7        0.0       84.9 
050731  154426  47  52.2020 N  63  22.3930 W   2.5        5.0*       3.5        6.7        0.0       83.1*
050731  154428  47  52.2030 N  63  22.3940 W   1.3        5.0        3.5        7.5*       0.0       83.1 
050731  154430  47  52.2040 N  63  22.3940 W   1.9        5.0        3.5        7.5        0.0       83.1 
050731  154432  47  52.2050 N  63  22.3940 W   1.5        5.0        3.5        7.7*       0.0       82.3*
050731  154434  47  52.2060 N  63  22.3950 W   1.9        5.0        3.5        7.7        0.0       82.3 
050731  154436  47  52.2070 N  63  22.3960 W   1.6        5.0        3.5        7.7        0.0       84.9*
050731  154438  47  52.2080 N  63  22.3970 W   2.0        5.0        3.5        7.7        0.0       84.9 
050731  154440  47  52.2090 N  63  22.3980 W   2.1        5.0        3.5        7.7        0.0       84.9 
050731  154442  47  52.2110 N  63  22.3980 W   1.9        5.0        3.5        9.4*       0.0       84.9*
050731  154444  47  52.2110 N  63  22.3980 W   2.3        5.0        3.5        9.4        0.0       84.9 
050731  154446  47  52.2120 N  63  22.3990 W   1.8        5.0        3.5        9.4        0.0       84.9 
050731  154448  47  52.2130 N  63  22.3990 W   2.1        5.0        3.5        9.4        0.0       85.8*
050731  154450  47  52.2150 N  63  22.4010 W   2.1        5.0        3.5        9.4        0.0       85.8 
050731  154452  47  52.2150 N  63  22.4010 W   2.4        5.0        3.5        9.4        0.0       88.0*
050731  154454  47  52.2160 N  63  22.4020 W   1.7        5.0        3.5        9.9*       0.0       88.0 
050731  154456  47  52.2170 N  63  22.4020 W   2.5        5.0        3.5        9.9        0.0       88.0 
050731  154458  47  52.2190 N  63  22.4030 W   1.7        5.0        3.5        9.9        0.0       85.8*
050731  154500  47  52.2200 N  63  22.4030 W   2.3        5.0        3.5       10.0*       0.0       85.8 
050731  154502  47  52.2210 N  63  22.4040 W   2.2        2.1*       3.5       10.0        0.0       85.8 
050731  154504  47  52.2220 N  63  22.4050 W   2.2        2.1        3.5       10.7*       0.0       82.7*
050731  154506  47  52.2230 N  63  22.4060 W   2.2        2.1        3.5       10.7        0.0       82.7 
050731  154508  47  52.2240 N  63  22.4070 W   1.8        2.1        3.5       10.7        0.0       82.7 
050731  154510  47  52.2250 N  63  22.4070 W   2.2        2.1        3.5       10.2*       0.0       86.7*
050731  154512  47  52.2260 N  63  22.4080 W   2.0        2.1        3.5       10.2        0.0       86.7 
050731  154514  47  52.2270 N  63  22.4090 W   2.4        2.1        3.5       10.2        0.0       86.7*
050731  154516  47  52.2280 N  63  22.4100 W   1.5        2.1        3.5       10.2*       0.0       86.7 
050731  154518  47  52.2300 N  63  22.4100 W   2.0        2.1        3.5       10.2        0.0       86.7 
050731  154520  47  52.2300 N  63  22.4100 W   1.9        2.1        3.5       10.2*       0.0       84.9*
050731  154522  47  52.2310 N  63  22.4110 W   2.4        2.1        3.5       10.2        0.0       84.9 
050731  154524  47  52.2320 N  63  22.4120 W   1.5        2.1        3.5       10.2        0.0       84.9 
050731  154526  47  52.2340 N  63  22.4130 W   2.6        2.1        3.5        9.9*       0.0       85.8*
050731  154528  47  52.2340 N  63  22.4130 W   1.6        2.1        3.5        9.9        0.0       85.8 
050731  154530  47  52.2360 N  63  22.4140 W   2.1        2.1        3.5       10.5*       0.0       86.7*
050731  154532  47  52.2360 N  63  22.4140 W   2.0        2.1        3.5       10.5        0.0       86.7 
050731  154534  47  52.2380 N  63  22.4150 W   1.7        2.1        3.5       10.5        0.0       86.7 
050731  154536  47  52.2390 N  63  22.4150 W   2.4        2.1        3.5       10.1*       0.0       85.3*
050731  154538  47  52.2400 N  63  22.4160 W   1.7        2.1        3.5       10.1        0.0       85.3 
050731  154540  47  52.2410 N  63  22.4160 W   2.2        2.1        3.5       10.1        0.0       85.3 
050731  154542  47  52.2420 N  63  22.4170 W   2.0        2.1        3.5       10.4*       0.0       85.8*
050731  154544  47  52.2430 N  63  22.4170 W   2.0        2.1        3.5       10.4        0.0       85.8 
050731  154546  47  52.2440 N  63  22.4170 W   2.1        2.1        3.5       10.1*       0.0       84.9*
050731  154548  47  52.2450 N  63  22.4190 W   1.9        2.1        3.5       10.1        0.0       84.9 
050731  154550  47  52.2460 N  63  22.4190 W   1.9        2.1        3.5       10.1        0.0       84.9 
050731  154552  47  52.2470 N  63  22.4190 W   2.4        2.1        3.5       10.8*       0.0       85.8*
050731  154554  47  52.2480 N  63  22.4200 W   1.2        2.1        3.5       10.8        0.0       85.8 
050731  154556  47  52.2490 N  63  22.4200 W   2.2        2.1        3.5       10.8        0.0       85.8 
050731  154558  47  52.2500 N  63  22.4210 W   1.4        2.1        3.5       15.4*       0.0       85.8*
050731  154600  47  52.2510 N  63  22.4210 W   2.1        2.1        3.5       15.4        0.0       85.8 
050731  154602  47  52.2520 N  63  22.4220 W   1.8        2.1        3.5        6.2*       0.0       88.0*
050731  154604  47  52.2530 N  63  22.4220 W   2.2        2.1        3.5        6.2        0.0       88.0 
050731  154606  47  52.2540 N  63  22.4230 W   2.0        2.1        3.5        6.2        0.0       88.0 
050731  154608  47  52.2550 N  63  22.4240 W   2.1        2.1        3.5       10.6*       0.0       84.5*
050731  154610  47  52.2560 N  63  22.4250 W   2.0        2.1        3.5       10.6        0.0       84.5 
050731  154612  47  52.2570 N  63  22.4260 W   1.7        2.1        3.5       10.6        0.0       84.5 
050731  154614  47  52.2580 N  63  22.4260 W   2.5        2.1        3.5       11.9*       0.0       89.3*
050731  154616  47  52.2590 N  63  22.4270 W   1.8        2.1        3.5       11.9        0.0       89.3 
050731  154618  47  52.2600 N  63  22.4270 W   2.4        2.1        3.5       11.3*       0.0       89.3 
050731  154620  47  52.2610 N  63  22.4280 W   1.7        2.1        3.5       11.3        0.0       82.7*
050731  154622  47  52.2620 N  63  22.4280 W   2.5        2.1        3.5       11.3        0.0       82.7 
050731  154624  47  52.2630 N  63  22.4290 W   1.7        2.1        3.5       10.2*       0.0       83.6*
050731  154626  47  52.2650 N  63  22.4290 W   2.2        2.1        3.5       10.2        0.0       83.6 
050731  154628  47  52.2660 N  63  22.4310 W   2.1        2.1        3.5       10.2        0.0       83.6 
050731  154630  47  52.2670 N  63  22.4310 W   2.1        2.1        3.5       11.0*       0.0       87.5*
050731  154632  47  52.2680 N  63  22.4320 W   1.8        2.1        3.5       11.0        0.0       87.5 
050731  154634  47  52.2690 N  63  22.4320 W   2.1        2.1        3.5       11.3*       0.0       87.5 
050731  154636  47  52.2700 N  63  22.4320 W   2.3        2.1        3.5       11.3        0.0       84.5*
050731  154638  47  52.2710 N  63  22.4330 W   2.3        2.1        3.5       11.3        0.0       84.5 
050731  154640  47  52.2730 N  63  22.4330 W   2.0        2.1        3.5       10.5*       0.0       87.5*
050731  154642  47  52.2740 N  63  22.4340 W   2.5        2.1        3.5       10.5        0.0       87.5 
050731  154644  47  52.2750 N  63  22.4350 W   1.8        2.1        3.5       10.5        0.0       87.5 
050731  154646  47  52.2760 N  63  22.4350 W   2.1        2.1        3.5        9.9*       0.0       84.9*
050731  154648  47  52.2770 N  63  22.4360 W   1.6        2.1        3.5        9.9        0.0       84.9 
050731  154650  47  52.2780 N  63  22.4360 W   2.5        2.1        3.5        9.6*       0.0       84.9 
050731  154652  47  52.2790 N  63  22.4370 W   1.9        2.1        3.5        9.6        0.0       84.5*
050731  154654  47  52.2800 N  63  22.4370 W   2.0        2.1        3.5        9.6        0.0       84.5 
050731  154656  47  52.2810 N  63  22.4380 W   2.1        2.1        3.5       10.1*       0.0       86.2*
050731  154658  47  52.2820 N  63  22.4390 W   1.8        2.1        3.5       10.1        0.0       86.2 
050731  154700  47  52.2830 N  63  22.4390 W   1.8        2.1        3.5       10.1        0.0       86.2 
050731  154702  47  52.2840 N  63  22.4400 W   2.1        2.1        3.5       10.9*       0.0       84.5*
050731  154704  47  52.2850 N  63  22.4410 W   2.1        2.1        3.5       10.9        0.0       84.5 
050731  154706  47  52.2870 N  63  22.4420 W   2.1        2.1        3.5       10.4*       0.0       84.5 
050731  154708  47  52.2880 N  63  22.4420 W   1.7        2.1        3.5       10.4        0.0       88.9*
050731  154710  47  52.2890 N  63  22.4420 W   2.1        2.1        3.5       10.4        0.0       88.9 
050731  154712  47  52.2900 N  63  22.4430 W   1.6        2.1        3.5       10.9*       0.0       88.9 
050731  154714  47  52.2910 N  63  22.4430 W   2.4        2.1*       3.5       10.9        0.0      160.1*
050731  154716  47  52.2920 N  63  22.4440 W   2.0        2.1        3.5       10.9        0.0      160.1 
050731  154718  47  52.2930 N  63  22.4450 W   2.0        2.1        3.5       10.8*       0.0        8.8*
050731  154720  47  52.2930 N  63  22.4450 W   2.0        2.1        3.5       10.8        0.0        8.8 
050731  154722  47  52.2950 N  63  22.4460 W   1.8        2.1        3.5       10.4*       0.0        8.8 
050731  154724  47  52.2950 N  63  22.4470 W   2.3        2.1        3.5       10.4        0.0       87.5*
050731  154726  47  52.2970 N  63  22.4480 W   1.3        2.1        3.5       10.4        0.0       87.5 
050731  154728  47  52.2980 N  63  22.4480 W   2.6        2.1        3.5       10.3*       0.0       87.5 
050731  154730  47  52.2990 N  63  22.4490 W   1.2        2.1        3.5       10.3        0.0       84.9*
050731  154732  47  52.3000 N  63  22.4490 W   1.9        2.1        3.5       10.3        0.0       84.9 
050731  154734  47  52.3000 N  63  22.4490 W   1.4        2.1        3.5        9.8*       0.0       88.0*
050731  154736  47  52.3010 N  63  22.4500 W   1.8        2.1        3.5        9.8        0.0       88.0 
050731  154738  47  52.3020 N  63  22.4510 W   1.5        2.1        3.5       10.3*       0.0       88.0 
050731  154740  47  52.3030 N  63  22.4510 W   1.9        2.1        3.5       10.3        0.0       84.0*
050731  154742  47  52.3040 N  63  22.4520 W   1.9        2.1        3.5       10.3        0.0       84.0 
050731  154744  47  52.3050 N  63  22.4520 W   1.7        2.1        3.5       10.8*       0.0       84.0 
050731  154746  47  52.3060 N  63  22.4520 W   1.7        2.1        3.5       10.8        0.0       85.3*
050731  154748  47  52.3070 N  63  22.4530 W   2.2        2.1        3.5       10.8        0.0       85.3 
050731  154750  47  52.3080 N  63  22.4540 W   1.7        2.1        3.5       10.7*       0.0       88.0*
050731  154752  47  52.3090 N  63  22.4540 W   2.3        2.1        3.5       10.7        0.0       88.0 
050731  154754  47  52.3100 N  63  22.4550 W   1.9        2.1        3.5       10.5*       0.0       88.0 
050731  154756  47  52.3110 N  63  22.4550 W   2.4        2.1        3.5       10.5        0.0       83.1*
050731  154758  47  52.3120 N  63  22.4560 W   1.8        2.1        3.5       10.5        0.0       83.1 
050731  154800  47  52.3130 N  63  22.4560 W   2.5        2.1        3.5       10.3*       0.0       83.1 
050731  154802  47  52.3140 N  63  22.4570 W   2.0        2.1        3.5       10.3        0.0       87.5*
050731  154804  47  52.3160 N  63  22.4580 W   2.0        2.1        3.5       11.2*       0.0       87.5 
050731  154806  47  52.3160 N  63  22.4580 W   2.6        2.1        3.5       11.2        0.0       84.0*
050731  154808  47  52.3180 N  63  22.4590 W   1.8        2.1        3.5       11.2        0.0       84.0 
