FileName: C:\2005NE~1\GP260.TXT
Local Time: Sat Sep 17 19:09:10 2005

Ship: Marco Michel Trip: 09 Tow: gp260
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  220912  46  48.6120 N  61  18.2070 W   3.2        2.6*       2.2*       0.0        3.0*      46.6*
050917  220913  46  48.6110 N  61  18.2070 W   3.0        2.6        2.2        0.0        3.0       46.6 
050917  220915  46  48.6100 N  61  18.2070 W   2.7        2.6        2.2        0.0        2.8*      46.6 
050917  220918  46  48.6070 N  61  18.2070 W   3.0        2.6        2.2        0.0        2.8        6.6*
050917  220919  46  48.6060 N  61  18.2070 W   2.3        2.6        2.2        0.0        2.8        6.6 
050917  220921  46  48.6050 N  61  18.2080 W   3.0        2.6        2.2        0.0        2.8        6.6 
050917  220924  46  48.6020 N  61  18.2090 W   3.9        2.6        2.2        0.0        2.8        6.6 
050917  220925  46  48.6010 N  61  18.2090 W   4.5        2.6        2.2        0.0        2.8        6.6 
050917  220927  46  48.5990 N  61  18.2090 W   4.9        2.6        2.2        0.0        2.8        6.6 
050917  220930  46  48.5940 N  61  18.2100 W   5.8        2.6        2.2        0.0        2.8        6.6 
050917  220931  46  48.5930 N  61  18.2110 W   6.1        2.6        2.2        0.0        2.8        6.6 
050917  220933  46  48.5890 N  61  18.2110 W   6.6        2.6        2.2        0.0        2.8        6.6 
050917  220936  46  48.5830 N  61  18.2130 W   6.8        2.6        2.2        0.0        2.8        6.6 
050917  220937  46  48.5810 N  61  18.2140 W   6.8        2.6        2.2        0.0        2.8        6.6 
050917  220939  46  48.5770 N  61  18.2150 W   7.1        2.6        2.2        0.0        2.8        6.6 
050917  220942  46  48.5710 N  61  18.2180 W   7.5        2.6        2.2        0.0        2.8        6.6 
050917  220943  46  48.5690 N  61  18.2190 W   7.5        2.6        2.2        0.0        2.8        6.6 
050917  220945  46  48.5650 N  61  18.2210 W   7.3        2.6        2.2        0.0        2.8        6.6 
050917  220948  46  48.5590 N  61  18.2240 W   7.6        2.6        2.2        0.0        2.8        6.6 
050917  220949  46  48.5570 N  61  18.2260 W   7.5        2.6        2.2        0.0        2.8        6.6 
050917  220951  46  48.5530 N  61  18.2280 W   7.5        2.6        2.2        0.0        2.8        6.6 
050917  220954  46  48.5480 N  61  18.2320 W   7.5        2.6        2.2        0.0        2.8        6.6 
050917  220955  46  48.5460 N  61  18.2330 W   7.7        2.6        2.2        0.0        2.8        6.6 
050917  220957  46  48.5430 N  61  18.2360 W   7.9        2.6        2.2        0.0        2.8       28.2*
050917  221000  46  48.5360 N  61  18.2410 W   7.6        2.6        2.2        0.0        2.8       28.2 
050917  221001  46  48.5340 N  61  18.2420 W   7.4        2.6        2.2        0.0        2.8       28.2 
050917  221003  46  48.5310 N  61  18.2450 W   7.5        2.3*       2.2        0.0        2.8       28.2 
050917  221006  46  48.5260 N  61  18.2500 W   8.0        2.3        2.2        0.0        2.8       28.2 
050917  221007  46  48.5240 N  61  18.2520 W   8.0        2.3        2.2        0.0        2.8       28.2 
050917  221009  46  48.5210 N  61  18.2560 W   7.7        2.3        2.2        0.0        2.8       28.2 
050917  221012  46  48.5150 N  61  18.2610 W   7.5        2.3        2.2        0.0        2.8       28.2 
050917  221014  46  48.5120 N  61  18.2650 W   7.7        2.3        2.2        0.0        2.8       28.2 
050917  221015  46  48.5100 N  61  18.2660 W   7.8        2.3        2.2        0.0        2.8       28.2 
050917  221018  46  48.5050 N  61  18.2730 W   7.8        2.3        2.2        0.0        2.8       28.2 
050917  221019  46  48.5030 N  61  18.2750 W   7.7        2.3        2.2        0.0        2.8       28.2 
050917  221021  46  48.5000 N  61  18.2790 W   7.6        2.3        2.2        0.0        2.8       28.2 
050917  221024  46  48.4950 N  61  18.2850 W   7.6        2.3        2.2        0.0        2.8       28.2 
050917  221025  46  48.4930 N  61  18.2870 W   7.7        2.3        2.2        0.0        2.8       28.2 
050917  221027  46  48.4900 N  61  18.2920 W   7.9        2.3        2.2        0.0        2.8       28.2 
050917  221030  46  48.4860 N  61  18.2990 W   7.8        2.3        2.2        0.0        2.8       28.2 
050917  221031  46  48.4850 N  61  18.3010 W   7.7        2.3        2.2        0.0        2.8       28.2 
050917  221033  46  48.4820 N  61  18.3060 W   7.6        2.3        2.2        0.0        2.8       28.2 
050917  221036  46  48.4770 N  61  18.3130 W   7.7        2.3        2.2        0.0        2.8       28.2 
050917  221037  46  48.4760 N  61  18.3160 W   7.7        2.3        2.2        0.0        2.8       28.2 
050917  221039  46  48.4730 N  61  18.3200 W   7.7        2.3        2.2        0.0        2.8       28.2 
050917  221042  46  48.4690 N  61  18.3270 W   7.6        2.3        2.2        0.0        2.8       28.2 
050917  221043  46  48.4680 N  61  18.3300 W   7.5        2.3        2.2        0.0        2.8       28.2 
050917  221045  46  48.4650 N  61  18.3350 W   7.2        2.3        2.2        0.0        2.8       28.2 
050917  221048  46  48.4620 N  61  18.3420 W   6.9        2.3        2.2        0.0        2.8       28.2 
050917  221049  46  48.4600 N  61  18.3440 W   6.9        2.3        2.2        0.0        2.8       28.2 
050917  221051  46  48.4580 N  61  18.3480 W   6.8        2.5*       2.2        0.0        2.8       19.8*
050917  221054  46  48.4540 N  61  18.3540 W   6.4        2.5        2.2        0.0        2.8       19.8 
050917  221055  46  48.4530 N  61  18.3560 W   6.3        2.5        2.2        0.0      103.0*      30.8*
050917  221057  46  48.4510 N  61  18.3600 W   6.3        2.5        2.2        0.0      103.0       30.8 
050917  221100  46  48.4470 N  61  18.3650 W   6.4        2.5        2.2        0.0        8.0*      30.8 
050917  221101  46  48.4460 N  61  18.3670 W   6.2        2.5        2.2        0.0        8.0       30.8 
050917  221103  46  48.4430 N  61  18.3710 W   5.9        2.5        2.2        0.0        8.0       30.8 
050917  221106  46  48.4400 N  61  18.3760 W   5.1        2.5        2.2        0.0        8.2*      30.8 
050917  221107  46  48.4390 N  61  18.3770 W   4.9        2.5        2.2        0.0        8.2       30.8 
