FileName: C:\TRAWLS~1\FALL\GP027F.TXT
Local Time: Tue Aug 25 05:37:09 2009

Ship: August 25, 2009 Trip: GP027F Tow: 1
Comments: zone 12 pres de l ile bonaventure
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090825  083701  48  26.4843 N  63  59.4315 W   6.9        5.2*       3.3*      17.3*       0.0 
090825  083702  48  26.4839 N  63  59.4285 W   7.0        5.2        3.3       17.3        0.0 
090825  083703  48  26.4834 N  63  59.4255 W   7.0        5.2        3.3       17.3        0.0 
090825  083704  48  26.4830 N  63  59.4225 W   7.1        5.2        3.3       17.3        0.0 
090825  083705  48  26.4825 N  63  59.4195 W   7.1        5.2        3.3       17.3        0.0 
090825  083706  48  26.4821 N  63  59.4165 W   7.2        5.2        3.3       17.3        0.0 
090825  083707  48  26.4816 N  63  59.4135 W   7.2        5.2        3.3       17.3        0.0 
090825  083708  48  26.4811 N  63  59.4105 W   7.2        5.2        3.3       17.3        0.0 
090825  083709  48  26.4806 N  63  59.4076 W   7.2        5.2        3.3       17.3        0.0 
090825  083710  48  26.4801 N  63  59.4048 W   7.2        5.2        3.3       17.3        0.0 
090825  083711  48  26.4797 N  63  59.4020 W   7.1        5.2        3.3       17.3        0.0 
090825  083712  48  26.4792 N  63  59.3992 W   7.1        5.2        3.3       17.3        0.0 
090825  083713  48  26.4788 N  63  59.3964 W   7.1        5.2        3.3       17.3        0.0 
090825  083714  48  26.4784 N  63  59.3937 W   7.0        5.2        3.3       17.3        0.0 
090825  083715  48  26.4780 N  63  59.3913 W   6.9        5.2        3.3       17.3        0.0 
090825  083716  48  26.4777 N  63  59.3887 W   6.8        5.2        3.3       17.3        0.0 
090825  083717  48  26.4774 N  63  59.3862 W   6.7        5.2        3.3       17.3        0.0 
090825  083718  48  26.4772 N  63  59.3839 W   6.5        5.2        3.3       17.3        0.0 
090825  083719  48  26.4769 N  63  59.3818 W   6.3        5.2        3.3       17.3        0.0 
090825  083720  48  26.4767 N  63  59.3797 W   6.1        5.2        3.3       17.3        0.0 
090825  083721  48  26.4765 N  63  59.3776 W   5.9        5.2        3.3       17.3        0.0 
090825  083722  48  26.4763 N  63  59.3757 W   5.8        5.2        3.3       17.3        0.0 
090825  083723  48  26.4761 N  63  59.3738 W   5.6        5.2        3.3       17.3        0.0 
090825  083724  48  26.4759 N  63  59.3720 W   5.4        5.2        3.3       17.3        0.0 
090825  083725  48  26.4757 N  63  59.3701 W   5.2        5.2        3.3       17.3        0.0 
090825  083726  48  26.4755 N  63  59.3684 W   5.1        5.2        3.3       17.3        0.0 
090825  083727  48  26.4754 N  63  59.3668 W   4.9        5.2        3.3       17.3        0.0 
090825  083728  48  26.4753 N  63  59.3652 W   4.7        5.2        3.3       17.3        0.0 
090825  083729  48  26.4751 N  63  59.3635 W   4.6        5.2        3.3       17.3        0.0 
090825  083730  48  26.4750 N  63  59.3620 W   4.5        5.2        3.3       17.3        0.0 
090825  083731  48  26.4749 N  63  59.3604 W   4.3        5.2        3.3       17.3        0.0 
090825  083732  48  26.4748 N  63  59.3589 W   4.2        5.2        3.3       17.3        0.0 
090825  083733  48  26.4747 N  63  59.3574 W   4.1        5.2        3.3       17.3        0.0 
090825  083734  48  26.4746 N  63  59.3559 W   4.1        5.2        3.3       17.3        0.0 
090825  083735  48  26.4745 N  63  59.3544 W   4.0        5.2        3.3       17.3        0.0 
090825  083736  48  26.4745 N  63  59.3529 W   3.9        5.2        3.3       17.3        0.0 
090825  083737  48  26.4744 N  63  59.3515 W   3.8        5.2        3.3       17.3        0.0 
090825  083738  48  26.4743 N  63  59.3501 W   3.7        5.2        3.3       17.3        0.0 
090825  083739  48  26.4742 N  63  59.3487 W   3.7        5.2        3.3       17.3        0.0 
090825  083740  48  26.4741 N  63  59.3474 W   3.6        5.2        3.3       17.3        0.0 
090825  083741  48  26.4741 N  63  59.3461 W   3.5        5.2        3.3       17.3        0.0 
090825  083742  48  26.4740 N  63  59.3448 W   3.5        5.2        3.3        1.5*       0.0 
090825  083743  48  26.4740 N  63  59.3434 W   3.4        5.2        3.3        1.5        0.0 
090825  083744  48  26.4739 N  63  59.3422 W   3.4        5.2        3.3        1.5        0.0 
090825  083745  48  26.4739 N  63  59.3409 W   3.3        5.2        3.3        1.5        0.0 
090825  083746  48  26.4738 N  63  59.3395 W   3.3        5.2        3.3        1.5        0.0 
