FileName: C:\TRAWLS~1\FALL\GP280F.TXT
Local Time: Sat Aug 08 09:07:13 2009

Ship: August 8, 2009 Trip: GP280F Tow: 4
Comments: zone 12 canal des iles
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090808  120749  46  48.3771 N  61  47.3883 W   4.1        2.1        2.3        2.0       18.9*
090808  120750  46  48.3758 N  61  47.3873 W   4.3        2.1        2.3        2.0       18.9 
090808  120751  46  48.3744 N  61  47.3864 W   4.5        2.1        2.3        2.0       18.9 
090808  120752  46  48.3730 N  61  47.3855 W   4.7        2.1        2.3        2.0       18.9 
090808  120753  46  48.3716 N  61  47.3847 W   4.8        2.1        2.3        2.0       18.9 
090808  120754  46  48.3702 N  61  47.3837 W   4.9        2.1        2.3        2.0       18.9 
090808  120755  46  48.3687 N  61  47.3827 W   5.1        2.1        2.3        2.0        2.2*
090808  120756  46  48.3671 N  61  47.3815 W   5.3        2.1        2.3        2.0        2.2 
090808  120757  46  48.3654 N  61  47.3803 W   5.5        2.1        2.3        2.0        2.2 
090808  120758  46  48.3636 N  61  47.3791 W   5.8        2.1        2.3        2.0        2.2 
090808  120759  46  48.3618 N  61  47.3779 W   6.0        2.1        2.3        2.0        2.2 
090808  120800  46  48.3599 N  61  47.3769 W   6.2        2.1        2.3        2.0       10.1*
090808  120801  46  48.3581 N  61  47.3758 W   6.3        2.1        2.3        2.0       10.1 
090808  120802  46  48.3563 N  61  47.3746 W   6.4        2.1        2.3        2.0       10.1 
090808  120803  46  48.3546 N  61  47.3735 W   6.5        2.1        2.3        2.0       10.1 
090808  120804  46  48.3528 N  61  47.3723 W   6.6        2.1        2.3        2.0       10.1 
090808  120805  46  48.3509 N  61  47.3710 W   6.7        2.1        2.3        2.0       11.9*
090808  120806  46  48.3489 N  61  47.3698 W   6.9        2.1        2.3        2.0       11.9 
090808  120807  46  48.3469 N  61  47.3687 W   7.0        2.1        2.3        2.0       11.9 
090808  120808  46  48.3450 N  61  47.3675 W   7.1        2.1        2.3        2.0       11.9 
090808  120809  46  48.3431 N  61  47.3663 W   7.2        2.1        2.3        2.0       11.9 
090808  120810  46  48.3412 N  61  47.3652 W   7.2        2.1        2.3        2.0       11.9 
090808  120811  46  48.3392 N  61  47.3641 W   7.2        2.1        2.3        2.0       11.9 
090808  120812  46  48.3374 N  61  47.3629 W   7.3        2.1        2.3        2.0       11.9 
090808  120813  46  48.3355 N  61  47.3617 W   7.3        2.1        2.3        2.0       11.9 
090808  120814  46  48.3336 N  61  47.3606 W   7.3        2.1        2.3        2.0       11.9 
090808  120815  46  48.3317 N  61  47.3594 W   7.3        2.1        2.3        2.0      300.4*
090808  120816  46  48.3297 N  61  47.3583 W   7.4        2.1        2.3        2.0      300.4 
090808  120817  46  48.3277 N  61  47.3572 W   7.5        2.1        2.3        2.0      300.4 
090808  120818  46  48.3256 N  61  47.3561 W   7.5        2.1        2.3        2.0      300.4 
090808  120819  46  48.3236 N  61  47.3550 W   7.6        2.1        2.3        2.0      300.4 
090808  120820  46  48.3216 N  61  47.3538 W   7.6        2.1        2.3        2.0      300.4 
090808  120821  46  48.3197 N  61  47.3525 W   7.6        2.1        2.3        2.0      300.4 
090808  120822  46  48.3178 N  61  47.3512 W   7.6        2.1        2.3        2.0      300.4 
090808  120823  46  48.3158 N  61  47.3500 W   7.6        2.1        2.3        2.0      300.4 
090808  120824  46  48.3138 N  61  47.3489 W   7.6        2.1        2.3        2.0      300.4 
090808  120825  46  48.3118 N  61  47.3478 W   7.6        2.1        2.3        2.0      300.4 
090808  120826  46  48.3097 N  61  47.3466 W   7.7        2.1        2.3        2.0      300.4 
090808  120827  46  48.3077 N  61  47.3453 W   7.7        2.1        2.3        2.0      300.4 
090808  120828  46  48.3057 N  61  47.3440 W   7.8        2.1        2.3        2.0      300.4 
090808  120829  46  48.3037 N  61  47.3427 W   7.8        2.1        2.3        2.0      300.4 
090808  120830  46  48.3017 N  61  47.3414 W   7.8        2.1        2.3        2.0      300.4 
090808  120831  46  48.2997 N  61  47.3402 W   7.7        2.1        2.3        2.0      300.4 
090808  120832  46  48.2978 N  61  47.3390 W   7.7        2.1        2.3        2.0      300.4 
090808  120833  46  48.2958 N  61  47.3377 W   7.7        2.1        2.3        2.0      300.4 
090808  120834  46  48.2938 N  61  47.3364 W   7.7        2.1        2.3        2.0      300.4 
090808  120835  46  48.2918 N  61  47.3350 W   7.8        2.1        2.3        2.0      300.4 
090808  120836  46  48.2898 N  61  47.3336 W   7.8        2.1        2.3        2.0       24.2*
090808  120837  46  48.2878 N  61  47.3322 W   7.8        2.1        2.3        2.0       24.2 
090808  120838  46  48.2858 N  61  47.3307 W   7.8        2.1        2.3        2.0       24.2 
090808  120839  46  48.2839 N  61  47.3292 W   7.8        2.1        2.3        2.0       24.2 
090808  120840  46  48.2820 N  61  47.3278 W   7.8        2.1        2.3        2.0       24.2 
090808  120841  46  48.2802 N  61  47.3265 W   7.7        2.1        2.3        2.0       24.2 
090808  120842  46  48.2783 N  61  47.3251 W   7.7        2.1        2.3        2.0       28.6*
090808  120843  46  48.2764 N  61  47.3236 W   7.7        2.1        2.3        2.0       28.6 
090808  120844  46  48.2744 N  61  47.3221 W   7.7        2.1        2.3        2.0       28.6 
090808  120845  46  48.2725 N  61  47.3205 W   7.7        2.1        2.3        2.0       28.6 
090808  120846  46  48.2707 N  61  47.3190 W   7.7        2.1        2.3        2.0       28.6 
090808  120847  46  48.2688 N  61  47.3175 W   7.7        2.1        2.3        2.0       15.8*
090808  120848  46  48.2669 N  61  47.3162 W   7.6        2.1        2.3        2.0       15.8 
090808  120849  46  48.2651 N  61  47.3150 W   7.6        2.1        2.3        2.0       15.8 
090808  120850  46  48.2633 N  61  47.3135 W   7.6        2.1        2.3        2.0       15.8 
090808  120851  46  48.2614 N  61  47.3120 W   7.6        2.1        2.3        2.0       15.8 
090808  120852  46  48.2596 N  61  47.3104 W   7.6        2.1        2.3        2.0       15.8 
090808  120853  46  48.2576 N  61  47.3088 W   7.7        2.1        2.3        2.0       15.8 
090808  120854  46  48.2557 N  61  47.3072 W   7.7        2.1        2.3        2.0       15.8 
090808  120855  46  48.2538 N  61  47.3057 W   7.7        2.1        2.3        2.0       15.8 
090808  120856  46  48.2520 N  61  47.3044 W   7.6        2.1        2.3        2.0       15.8 
090808  120857  46  48.2503 N  61  47.3030 W   7.6        2.1        2.3        2.0       15.8 
090808  120858  46  48.2485 N  61  47.3015 W   7.6        2.1        2.3        2.0       15.8 
090808  120859  46  48.2466 N  61  47.2998 W   7.6        2.1        2.3        2.0       15.8 
090808  120900  46  48.2446 N  61  47.2982 W   7.6        2.1        2.3        2.0       15.8 
090808  120901  46  48.2427 N  61  47.2964 W   7.7        2.1        2.3        2.0       15.8 
090808  120902  46  48.2408 N  61  47.2946 W   7.7        2.1        2.3        2.0       15.8 
090808  120903  46  48.2392 N  61  47.2930 W   7.7        2.1        2.3        2.0       15.8 
090808  120904  46  48.2375 N  61  47.2915 W   7.7        2.1        2.3        2.0       15.8 
090808  120905  46  48.2357 N  61  47.2901 W   7.6        2.1        2.3        2.0       15.8 
090808  120906  46  48.2340 N  61  47.2886 W   7.6        2.1        2.3        2.0       15.8 
090808  120907  46  48.2322 N  61  47.2870 W   7.6        2.1        2.3        2.0       15.8 
090808  120908  46  48.2305 N  61  47.2852 W   7.6        2.1        2.3        2.0       15.8 
090808  120909  46  48.2286 N  61  47.2833 W   7.7        2.1        2.3        2.0       15.8 
090808  120910  46  48.2267 N  61  47.2815 W   7.7        2.1        2.3        2.0       15.8 
090808  120911  46  48.2248 N  61  47.2797 W   7.8        2.1        2.3        2.0       15.8 
090808  120912  46  48.2230 N  61  47.2780 W   7.7        2.1        2.3        2.0       15.8 
090808  120913  46  48.2212 N  61  47.2764 W   7.7        2.1        2.3        2.0       15.8 
090808  120914  46  48.2196 N  61  47.2748 W   7.6        2.1        2.3        2.0       15.8 
090808  120915  46  48.2178 N  61  47.2732 W   7.6        2.1        2.3        2.0       15.8 
090808  120916  46  48.2161 N  61  47.2714 W   7.6        2.1        2.3        2.0       15.8 
090808  120917  46  48.2144 N  61  47.2696 W   7.6        2.1        2.3        2.0       15.8 
090808  120918  46  48.2126 N  61  47.2677 W   7.7        2.1        2.3        2.0       15.8 
090808  120919  46  48.2108 N  61  47.2658 W   7.7        2.1        2.3        2.0       15.8 
090808  120920  46  48.2089 N  61  47.2641 W   7.7        2.1        2.3        2.0       15.8 
090808  120921  46  48.2072 N  61  47.2625 W   7.7        2.1        2.3        2.0       15.8 
090808  120922  46  48.2056 N  61  47.2608 W   7.6        2.1        2.3        2.0       15.8 
090808  120923  46  48.2039 N  61  47.2591 W   7.6        2.1        2.3        2.0       15.8 
090808  120924  46  48.2023 N  61  47.2573 W   7.5        2.1        2.3        2.0       15.8 
090808  120925  46  48.2006 N  61  47.2555 W   7.5        2.1        2.3        2.0       15.8 
090808  120926  46  48.1990 N  61  47.2537 W   7.5        2.1        2.3        2.0       15.8 
090808  120927  46  48.1972 N  61  47.2519 W   7.5        2.1        2.3        2.0       15.8 
