FileName: C:\TRAWLS~1\FALL\GP196F.TXT
Local Time: Thu Sep 03 16:26:56 2009

Ship: september 03, 2009 Trip: GP196F Tow: 5
Comments: zone 12 nord ouest du banc bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
090903  192805  47  48.4488 N  63  22.7690 W   7.1        8.0        2.3        8.6      154.0 
090903  192806  47  48.4508 N  63  22.7685 W   7.2        8.0        2.3        8.6      154.0 
090903  192807  47  48.4528 N  63  22.7680 W   7.2        8.0        2.3        8.6      154.0 
090903  192808  47  48.4549 N  63  22.7676 W   7.2        8.0        2.3        8.6      154.0 
090903  192809  47  48.4569 N  63  22.7672 W   7.2        8.0        2.3        8.6      154.0 
090903  192810  47  48.4589 N  63  22.7669 W   7.2        8.0        2.3        8.6      154.0 
090903  192811  47  48.4610 N  63  22.7664 W   7.3        8.0        2.3        8.6      154.0 
090903  192812  47  48.4631 N  63  22.7658 W   7.3        8.0        2.3        8.6      154.0 
090903  192813  47  48.4652 N  63  22.7653 W   7.4        8.0        2.3        8.6      154.0 
090903  192814  47  48.4673 N  63  22.7648 W   7.4        8.0        2.3        8.6      154.0 
090903  192815  47  48.4694 N  63  22.7642 W   7.5        8.0        2.3        8.6      154.0 
090903  192816  47  48.4716 N  63  22.7637 W   7.5        8.0        2.3        8.6      154.0 
090903  192817  47  48.4738 N  63  22.7633 W   7.6        8.0        2.3        8.6      154.0 
090903  192818  47  48.4759 N  63  22.7630 W   7.6        8.0        2.3        8.6      154.0 
090903  192819  47  48.4779 N  63  22.7628 W   7.5        8.0        2.3        8.6      154.0 
090903  192820  47  48.4800 N  63  22.7626 W   7.5        8.0        2.3        8.6      154.0 
090903  192821  47  48.4821 N  63  22.7624 W   7.5        8.0        2.3        8.6      154.0 
090903  192822  47  48.4841 N  63  22.7621 W   7.5        8.0        2.3        8.6      154.0 
090903  192823  47  48.4862 N  63  22.7616 W   7.5        8.0        2.3        8.6      154.0 
090903  192824  47  48.4884 N  63  22.7610 W   7.6        8.0        2.3        8.6      154.0 
090903  192825  47  48.4905 N  63  22.7604 W   7.6        8.0        2.3        8.6      154.0 
