"","date","time","hydrophone","value","signalpower"
"54136","2024-09-13","12:28:05:00",0,3.714286,56
"54137","2024-09-13","12:28:15:00",0,4.22449,62
"54138","2024-09-13","12:28:15:00",1,3.755102,74
"54139","2024-09-13","12:28:20:00",1,4.612245,64
"54140","2024-09-13","12:28:20:00",0,4,60
"54141","2024-09-13","12:28:25:00",1,6.265306,72
"54142","2024-09-13","12:28:25:00",0,4.632653,76
"54143","2024-09-13","12:28:30:00",0,4.102041,76
"54144","2024-09-13","12:28:30:00",1,2.326531,78
"54145","2024-09-13","12:28:35:00",0,3.510204,93
"54146","2024-09-13","12:28:35:00",1,3.612245,92
"54147","2024-09-13","12:28:40:00",0,4.428571,87
"54148","2024-09-13","12:28:40:00",1,4.44898,80
"54149","2024-09-13","12:28:45:00",1,6.265306,93
"54150","2024-09-13","12:28:45:00",0,6.22449,98
"54151","2024-09-13","12:28:50:00",0,6.44898,87
"54152","2024-09-13","12:28:50:00",1,6.55102,78
"54153","2024-09-13","12:28:55:00",0,4.897959,81
"54154","2024-09-13","12:28:55:00",1,4.795918,77
"54155","2024-09-13","12:29:00:00",1,3.632653,81
"54156","2024-09-13","12:29:00:00",0,3.693878,80
"54157","2024-09-13","12:29:05:00",1,4.673469,77
"54158","2024-09-13","12:29:05:00",0,4.857143,85
"54159","2024-09-13","12:29:10:00",0,4.632653,95
"54160","2024-09-13","12:29:10:00",1,4.918367,82
"54161","2024-09-13","12:29:15:00",1,3.367347,73
"54162","2024-09-13","12:29:16:00",0,3.408163,97
"54163","2024-09-13","12:29:21:00",1,3.163265,86
"54164","2024-09-13","12:29:21:00",0,3.408163,85
"54165","2024-09-13","12:29:26:00",1,3.367347,83
"54166","2024-09-13","12:29:26:00",0,3.142857,95
"54167","2024-09-13","12:29:31:00",0,2.77551,95
"54168","2024-09-13","12:29:31:00",1,2.734694,92
"54169","2024-09-13","12:29:36:00",1,2.571429,100
"54170","2024-09-13","12:29:36:00",0,2.673469,100
"54171","2024-09-13","12:29:41:00",0,2.612245,83
"54172","2024-09-13","12:29:41:00",1,2.734694,83
"54173","2024-09-13","12:29:46:00",0,2.897959,96
"54174","2024-09-13","12:29:46:00",1,2.918367,95
"54175","2024-09-13","12:29:51:00",1,3,91
"54176","2024-09-13","12:29:51:00",0,3.020408,93
"54177","2024-09-13","12:29:56:00",0,3.387755,102
"54178","2024-09-13","12:29:56:00",1,3.367347,100
"54179","2024-09-13","12:30:01:00",0,2.979592,109
"54180","2024-09-13","12:30:01:00",1,3.142857,93
"54181","2024-09-13","12:30:06:00",0,2.77551,115
"54182","2024-09-13","12:30:06:00",1,2.755102,104
"54183","2024-09-13","12:30:11:00",1,3.081633,99
"54184","2024-09-13","12:30:11:00",0,3.142857,109
"54185","2024-09-13","12:30:16:00",1,3.061224,98
"54186","2024-09-13","12:30:16:00",0,3.061224,111
"54187","2024-09-13","12:30:21:00",0,3.040816,114
"54188","2024-09-13","12:30:21:00",1,3.020408,98
"54189","2024-09-13","12:30:26:00",1,2.877551,99
"54190","2024-09-13","12:30:26:00",0,2.857143,113
"54191","2024-09-13","12:30:31:00",0,3.122449,116
"54192","2024-09-13","12:30:31:00",1,3.040816,103
"54193","2024-09-13","12:30:36:00",1,3.040816,101
"54194","2024-09-13","12:30:36:00",0,2.959184,116
"54195","2024-09-13","12:30:41:00",0,2.918367,115
"54196","2024-09-13","12:30:41:00",1,2.836735,101
"54197","2024-09-13","12:30:46:00",1,2.734694,101
"54198","2024-09-13","12:30:46:00",0,2.55102,115
"54199","2024-09-13","12:30:51:00",1,2.673469,99
"54200","2024-09-13","12:30:51:00",0,2.959184,112
"54201","2024-09-13","12:30:56:00",0,2.816327,112
"54202","2024-09-13","12:30:56:00",1,2.959184,101
"54203","2024-09-13","12:31:02:00",1,3.040816,99
"54204","2024-09-13","12:31:02:00",0,2.938776,108
"54205","2024-09-13","12:31:07:00",1,3.285714,98
"54206","2024-09-13","12:31:07:00",0,3.326531,110
"54207","2024-09-13","12:31:12:00",0,2.959184,109
"54208","2024-09-13","12:31:12:00",1,3,96
"54209","2024-09-13","12:31:17:00",0,3.469388,108
"54210","2024-09-13","12:31:17:00",1,3.265306,99
"54211","2024-09-13","12:31:22:00",0,2.816327,111
"54212","2024-09-13","12:31:22:00",1,2.918367,100
"54213","2024-09-13","12:31:27:00",0,3.061224,108
"54214","2024-09-13","12:31:27:00",1,2.938776,99
"54215","2024-09-13","12:31:32:00",1,2.795918,99
"54216","2024-09-13","12:31:32:00",0,2.734694,109
"54217","2024-09-13","12:31:37:00",1,2.979592,95
"54218","2024-09-13","12:31:37:00",0,2.877551,104
"54219","2024-09-13","12:31:42:00",0,2.77551,106
"54220","2024-09-13","12:31:42:00",1,2.795918,98
"54221","2024-09-13","12:31:47:00",1,2.755102,92
"54222","2024-09-13","12:31:47:00",0,2.918367,102
"54223","2024-09-13","12:31:52:00",1,2.734694,94
"54224","2024-09-13","12:31:52:00",0,2.632653,106
"54225","2024-09-13","12:31:57:00",1,2.714286,93
"54226","2024-09-13","12:31:57:00",0,2.673469,106
"54227","2024-09-13","12:32:02:00",1,2.367347,94
"54228","2024-09-13","12:32:02:00",0,2.408163,108
"54229","2024-09-13","12:32:07:00",1,2.408163,91
"54230","2024-09-13","12:32:07:00",0,2.530612,104
"54231","2024-09-13","12:32:12:00",1,2.346939,93
"54232","2024-09-13","12:32:12:00",0,2.22449,106
"54233","2024-09-13","12:32:17:00",1,2.346939,96
"54234","2024-09-13","12:32:17:00",0,2.326531,101
"54235","2024-09-13","12:32:22:00",0,2.428571,98
"54236","2024-09-13","12:32:22:00",1,2.428571,91
"54237","2024-09-13","12:32:27:00",1,2.489796,91
"54238","2024-09-13","12:32:27:00",0,2.530612,99
"54239","2024-09-13","12:32:32:00",1,2.795918,86
"54240","2024-09-13","12:32:32:00",0,2.571429,95
