FileName: C:\TRAWLS~3\GP002F
Local Time: Tue Aug 21 07:29:25 2012

Ship: August 21, 2012 Trip: GP002F Tow: tow 2
Comments: Zone 12 baie des chaleurs
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120821  102927  47  53.9392 N  65  28.4658 W   4.6        2.5*       0.0        0.0      260.8*
120821  102950  47  53.9581 N  65  28.4785 W   3.0        2.5        0.0        3.0      260.8 
120821  102951  47  53.9588 N  65  28.4790 W   3.0        2.5        0.0        3.0      260.8 
120821  102952  47  53.9595 N  65  28.4795 W   3.0        2.1*       0.0        3.0      260.8 
120821  102953  47  53.9602 N  65  28.4799 W   2.9        2.1        0.0        2.3*     260.8 
120821  102954  47  53.9608 N  65  28.4804 W   2.9        2.1        0.0        2.3      260.8 
120821  102955  47  53.9615 N  65  28.4809 W   2.8        2.1        0.0        2.3      260.8 
120821  102956  47  53.9622 N  65  28.4814 W   2.8        2.1        0.0        2.3      260.8 
120821  102957  47  53.9629 N  65  28.4819 W   2.8        2.1        0.0        2.3      260.8 
120821  102958  47  53.9635 N  65  28.4823 W   2.7        2.1        0.0        2.3      260.8 
120821  102959  47  53.9642 N  65  28.4828 W   2.7        2.1        0.0        2.9*     260.8 
120821  103000  47  53.9649 N  65  28.4833 W   2.7        2.1        0.0        2.9      260.8 
120821  103001  47  53.9656 N  65  28.4839 W   2.7        2.1        0.0        2.9      260.8 
120821  103002  47  53.9663 N  65  28.4845 W   2.7        2.1        0.0        2.9      260.8 
120821  103003  47  53.9671 N  65  28.4852 W   2.8        2.1        0.0        2.9      260.8 
120821  103004  47  53.9680 N  65  28.4859 W   2.9        2.1        0.0        4.2*     260.8 
120821  103005  47  53.9689 N  65  28.4868 W   3.0        2.7*       0.0        4.2      260.8 
120821  103006  47  53.9697 N  65  28.4875 W   3.2        2.7        0.0        4.2      260.8 
120821  103007  47  53.9706 N  65  28.4885 W   3.4        2.7        0.0        4.2      260.8 
120821  103008  47  53.9716 N  65  28.4895 W   3.5        2.7        0.0        4.2      260.8 
120821  103009  47  53.9727 N  65  28.4906 W   3.7        2.7        0.0        6.9*     260.8 
120821  103010  47  53.9738 N  65  28.4918 W   3.9        2.7        0.0        6.9      260.8 
120821  103011  47  53.9749 N  65  28.4930 W   4.1        2.7        0.0        6.9      260.8 
120821  103012  47  53.9761 N  65  28.4944 W   4.3        2.7        0.0        6.9      260.8 
120821  103013  47  53.9773 N  65  28.4958 W   4.5        2.7        0.0        6.9      260.8 
120821  103014  47  53.9785 N  65  28.4973 W   4.7        2.7        0.0        6.9      260.8 
120821  103015  47  53.9798 N  65  28.4988 W   4.9        2.7        0.0        6.9      260.8 
120821  103016  47  53.9810 N  65  28.5004 W   5.1        2.7        0.0        6.9      260.8 
120821  103017  47  53.9823 N  65  28.5020 W   5.3        2.7        0.0        6.9      260.8 
120821  103018  47  53.9837 N  65  28.5037 W   5.4        2.7        0.0        6.9      260.8 
120821  103019  47  53.9850 N  65  28.5055 W   5.6        2.7        0.0       10.0*     260.8 
120821  103020  47  53.9864 N  65  28.5072 W   5.7        2.7        0.0       10.0      260.8 
120821  103021  47  53.9877 N  65  28.5091 W   5.8        2.7        0.0       10.0      260.8 
120821  103022  47  53.9891 N  65  28.5110 W   6.0        2.7        0.0       10.0      260.8 
120821  103023  47  53.9905 N  65  28.5128 W   6.1        2.7        0.0       10.0      260.8 
120821  103024  47  53.9920 N  65  28.5148 W   6.2        2.7        0.0       10.0      260.8 
120821  103025  47  53.9934 N  65  28.5167 W   6.3        2.7        0.0       49.3*     260.8 
120821  103026  47  53.9949 N  65  28.5187 W   6.4        2.7        0.0       49.3      260.8 
120821  103027  47  53.9964 N  65  28.5207 W   6.5        2.7        0.0       49.3      260.8 
120821  103028  47  53.9979 N  65  28.5227 W   6.6        2.7        0.0       49.3      260.8 
120821  103029  47  53.9994 N  65  28.5247 W   6.7        2.7        0.0       49.3      260.8 
120821  103030  47  54.0009 N  65  28.5267 W   6.8        2.7        0.0       34.9*     260.8 
120821  103031  47  54.0024 N  65  28.5288 W   6.9        2.7        0.0       34.9      260.8 
120821  103032  47  54.0039 N  65  28.5308 W   6.9        2.7        0.0       34.9      260.8 
120821  103033  47  54.0054 N  65  28.5328 W   7.0        2.7        0.0       34.9      260.8 
120821  103034  47  54.0070 N  65  28.5349 W   7.0        2.7        0.0       34.9      260.8 
120821  103035  47  54.0086 N  65  28.5370 W   7.1        2.7        0.0       34.9      260.8 
120821  103036  47  54.0101 N  65  28.5391 W   7.1        2.7        0.0       34.9      260.8 
120821  103037  47  54.0116 N  65  28.5412 W   7.2        2.7        0.0       34.9      260.8 
120821  103038  47  54.0132 N  65  28.5433 W   7.2        2.7        0.0       34.9      260.8 
120821  103039  47  54.0148 N  65  28.5454 W   7.2        2.7        0.0       34.9      260.8 
120821  103040  47  54.0163 N  65  28.5475 W   7.3        2.7        0.0       34.9      260.8 
120821  103041  47  54.0179 N  65  28.5496 W   7.3        2.7        0.0       34.9      260.8 
120821  103042  47  54.0194 N  65  28.5517 W   7.3        2.7        0.0       34.9      260.8 
120821  103043  47  54.0210 N  65  28.5538 W   7.3        2.7        0.0       34.9      260.8 
120821  103044  47  54.0226 N  65  28.5560 W   7.3        2.7        0.0       34.9      260.8 
120821  103045  47  54.0241 N  65  28.5581 W   7.4        2.7        0.0       34.9      260.8 
120821  103046  47  54.0257 N  65  28.5602 W   7.4        2.7        0.0       34.9      260.8 
120821  103047  47  54.0272 N  65  28.5624 W   7.4        2.7        0.0       34.9      260.8 
120821  103048  47  54.0286 N  65  28.5645 W   7.4        2.7        0.0       34.9      260.8 
120821  103049  47  54.0300 N  65  28.5666 W   7.3        2.7        0.0       34.9      260.8 
120821  103050  47  54.0315 N  65  28.5687 W   7.3        2.7        0.0       34.9      260.8 
120821  103051  47  54.0330 N  65  28.5708 W   7.3        2.7        0.0       34.9      260.8 
120821  103052  47  54.0344 N  65  28.5728 W   7.3        2.7        0.0       34.9      260.8 
120821  103053  47  54.0359 N  65  28.5749 W   7.3        2.7        0.0       34.9      260.8 
120821  103054  47  54.0374 N  65  28.5771 W   7.3        2.7        0.0       34.9      260.8 
120821  103055  47  54.0388 N  65  28.5792 W   7.3        2.7        0.0       34.9      260.8 
120821  103056  47  54.0403 N  65  28.5813 W   7.3        2.7        0.0       34.9      260.8 
120821  103057  47  54.0417 N  65  28.5834 W   7.3        2.7        0.0       89.3*     260.8 
120821  103058  47  54.0432 N  65  28.5856 W   7.3        2.7        0.0       89.3      260.8 
120821  103059  47  54.0446 N  65  28.5877 W   7.3        2.7        0.0       89.3      260.8 
120821  103100  47  54.0461 N  65  28.5898 W   7.3        2.7        0.0       89.3      260.8 
120821  103101  47  54.0475 N  65  28.5919 W   7.3        2.7        0.0       89.3      260.8 
120821  103102  47  54.0490 N  65  28.5940 W   7.3        2.7        0.0       89.3      260.8 
120821  103103  47  54.0505 N  65  28.5961 W   7.3        2.7        0.0       89.3      260.8 
120821  103104  47  54.0520 N  65  28.5982 W   7.3        2.7        0.0       89.3      260.8 
120821  103105  47  54.0534 N  65  28.6004 W   7.3        2.7        0.0       89.3      260.8 
120821  103106  47  54.0548 N  65  28.6025 W   7.3        2.7        0.0       89.3      260.8 
120821  103107  47  54.0563 N  65  28.6047 W   7.3        2.7        0.0       89.3      260.8 
120821  103108  47  54.0577 N  65  28.6069 W   7.3        2.7        0.0       89.3      260.8 
120821  103109  47  54.0591 N  65  28.6091 W   7.3        2.7        0.0       89.3      260.8 
120821  103110  47  54.0604 N  65  28.6112 W   7.3        2.7        0.0       89.3      260.8 
120821  103111  47  54.0618 N  65  28.6134 W   7.3        2.7        0.0       89.3      260.8 
120821  103112  47  54.0633 N  65  28.6156 W   7.3        2.7        0.0       89.3      260.8 
120821  103113  47  54.0647 N  65  28.6177 W   7.3        2.7        0.0       89.3      260.8 
120821  103114  47  54.0661 N  65  28.6197 W   7.3        2.7        0.0       89.3      260.8 
120821  103115  47  54.0676 N  65  28.6219 W   7.3        2.7        0.0       89.3      260.8 
120821  103116  47  54.0691 N  65  28.6240 W   7.3        2.7        0.0       89.3      260.8 
120821  103117  47  54.0705 N  65  28.6260 W   7.2        2.7        0.0       89.3      260.8 
120821  103118  47  54.0720 N  65  28.6281 W   7.2        2.7        0.0       89.3      260.8 
120821  103119  47  54.0735 N  65  28.6301 W   7.2        2.7        0.0       89.3      260.8 
120821  103120  47  54.0749 N  65  28.6321 W   7.2        2.7        0.0       89.3      260.8 
120821  103121  47  54.0764 N  65  28.6342 W   7.2        2.7        0.0       89.3      260.8 
120821  103122  47  54.0778 N  65  28.6362 W   7.1        2.7        0.0       89.3      260.8 
120821  103123  47  54.0792 N  65  28.6382 W   7.1        2.7        0.0       89.3      260.8 
120821  103124  47  54.0806 N  65  28.6401 W   7.1        2.7        0.0       89.3      260.8 
120821  103125  47  54.0820 N  65  28.6421 W   7.1        2.7        0.0       89.3      260.8 
120821  103126  47  54.0832 N  65  28.6439 W   7.0        2.7        0.0       89.3      260.8 
120821  103127  47  54.0845 N  65  28.6458 W   7.0        2.7        0.0       89.3      260.8 
120821  103128  47  54.0858 N  65  28.6477 W   6.9        2.7        0.0       89.3      260.8 
120821  103129  47  54.0872 N  65  28.6497 W   6.9        2.7        0.0       89.3      260.8 
120821  103130  47  54.0885 N  65  28.6515 W   6.8        2.7        0.0       89.3      260.8 
120821  103131  47  54.0897 N  65  28.6534 W   6.8        2.7        0.0       89.3      260.8 
120821  103132  47  54.0910 N  65  28.6552 W   6.7        2.7        0.0       89.3      260.8 
120821  103133  47  54.0922 N  65  28.6571 W   6.6        2.7        0.0       89.3      260.8 
120821  103134  47  54.0934 N  65  28.6588 W   6.5        2.7        0.0       89.3      260.8 
120821  103135  47  54.0946 N  65  28.6606 W   6.5        2.7        0.0       89.3      260.8 
120821  103136  47  54.0958 N  65  28.6623 W   6.4        2.7        0.0       73.3*     260.8 
120821  103137  47  54.0970 N  65  28.6640 W   6.3        2.7        0.0       73.3      260.8 
120821  103138  47  54.0981 N  65  28.6656 W   6.2        2.7        0.0       73.3      260.8 
120821  103139  47  54.0993 N  65  28.6672 W   6.2        2.7        0.0       73.3      260.8 
120821  103140  47  54.1005 N  65  28.6688 W   6.1        2.7        0.0       73.3      260.8 
120821  103141  47  54.1017 N  65  28.6704 W   6.0        2.7        0.0        8.9*     260.8 
120821  103142  47  54.1029 N  65  28.6719 W   6.0        2.7       12.8*       8.9      260.8 
120821  103143  47  54.1040 N  65  28.6734 W   5.9        2.7       12.8        8.9      587.2*
120821  103144  47  54.1052 N  65  28.6750 W   5.9        2.7       12.8        8.9      587.2 
120821  103145  47  54.1063 N  65  28.6765 W   5.8        2.7       12.8        8.9      587.2 
120821  103146  47  54.1075 N  65  28.6781 W   5.8        2.7       12.8        8.9      587.2 
120821  103147  47  54.1087 N  65  28.6796 W   5.8        2.7       12.8        8.9      587.2 
120821  103148  47  54.1098 N  65  28.6811 W   5.7        2.7       12.8        8.9      587.2 
120821  103149  47  54.1110 N  65  28.6826 W   5.7        2.7       12.8        8.9      625.9*
120821  103150  47  54.1121 N  65  28.6840 W   5.6        2.7       12.8        8.9      625.9 
120821  103151  47  54.1132 N  65  28.6855 W   5.6        2.7       12.8        8.9      625.9 
120821  103152  47  54.1143 N  65  28.6869 W   5.6        2.7       12.8        8.9      625.9 
120821  103153  47  54.1153 N  65  28.6882 W   5.6        2.7       12.8        8.9      625.9 
120821  103154  47  54.1164 N  65  28.6897 W   5.5        2.7       12.8        8.9      625.9 
120821  103155  47  54.1175 N  65  28.6912 W   5.5        2.7       12.8        8.9      625.9 
120821  103156  47  54.1187 N  65  28.6927 W   5.5        2.7       12.8        8.9      625.9 
120821  103157  47  54.1198 N  65  28.6942 W   5.5        2.7       12.8        8.9      625.9 
120821  103158  47  54.1210 N  65  28.6956 W   5.5        2.7       12.8        8.9      625.9 
120821  103159  47  54.1221 N  65  28.6970 W   5.4        2.7       12.8        8.9      625.9 
120821  103200  47  54.1233 N  65  28.6985 W   5.4        2.7       12.8        8.9      625.9 
120821  103201  47  54.1244 N  65  28.6999 W   5.4        2.7       12.8        8.9      625.9 
120821  103202  47  54.1255 N  65  28.7013 W   5.4        2.7       12.8        8.9      625.9 
120821  103203  47  54.1266 N  65  28.7027 W   5.4        2.7       12.8        8.9      625.9 
120821  103204  47  54.1277 N  65  28.7041 W   5.3        2.7       12.8        8.9      625.9 
120821  103205  47  54.1288 N  65  28.7055 W   5.3        2.7       12.8        8.9      424.9*
120821  103206  47  54.1299 N  65  28.7069 W   5.3        2.7       12.8        8.9      424.9 
120821  103207  47  54.1310 N  65  28.7083 W   5.3        2.7       12.8        8.9      424.9 
120821  103208  47  54.1321 N  65  28.7097 W   5.3        2.7       12.8        8.9      424.9 
120821  103209  47  54.1332 N  65  28.7111 W   5.3        2.7       12.8        8.9      424.9 
120821  103210  47  54.1342 N  65  28.7123 W   5.2        2.7       12.8        8.9      424.9 
120821  103211  47  54.1351 N  65  28.7134 W   5.1        2.7       12.8        8.9      424.9 
120821  103212  47  54.1360 N  65  28.7145 W   5.0        2.7       12.8        8.9      424.9 
120821  103213  47  54.1369 N  65  28.7154 W   4.8        2.7       12.8        8.9      424.9 
120821  103214  47  54.1376 N  65  28.7164 W   4.6        2.7       12.8        8.6*     424.9 
120821  103215  47  54.1384 N  65  28.7173 W   4.5        2.2*      12.8        8.6      424.9 
120821  103216  47  54.1392 N  65  28.7180 W   4.3        2.2       12.8        8.6      424.9 
120821  103217  47  54.1399 N  65  28.7188 W   4.1        2.2       12.8        8.6      424.9 
120821  103218  47  54.1406 N  65  28.7195 W   4.0        2.2       12.8        8.6      424.9 
120821  103219  47  54.1413 N  65  28.7202 W   3.8        2.2       12.8        8.6       28.6*
120821  103220  47  54.1419 N  65  28.7208 W   3.7        2.2       12.8       23.3*      28.6 
120821  103221  47  54.1426 N  65  28.7213 W   3.5        2.2       12.8       23.3       28.6 
120821  103222  47  54.1432 N  65  28.7220 W   3.4        2.2       12.8       23.3       28.6 
120821  103223  47  54.1438 N  65  28.7224 W   3.3        2.2       12.8       23.3       28.6 
120821  103224  47  54.1444 N  65  28.7230 W   3.2        2.2       12.8       23.3       12.3*
120821  103225  47  54.1449 N  65  28.7234 W   3.0        2.2       12.8       23.3       12.3 
120821  103226  47  54.1455 N  65  28.7239 W   2.9        2.2       12.8       23.3       12.3 
120821  103227  47  54.1460 N  65  28.7244 W   2.8        2.2       12.8       23.3       12.3 
120821  103228  47  54.1466 N  65  28.7248 W   2.8        2.2*      12.8       23.3       12.3 
120821  103229  47  54.1471 N  65  28.7252 W   2.7        2.2       12.8       23.3       32.6*
120821  103230  47  54.1476 N  65  28.7256 W   2.6        2.2       12.8        9.4*      32.6 
120821  103231  47  54.1481 N  65  28.7260 W   2.5        2.2       12.8        9.4       32.6 
120821  103232  47  54.1486 N  65  28.7264 W   2.5        2.2       12.8        9.4       32.6 
120821  103233  47  54.1491 N  65  28.7267 W   2.4        2.2       12.8        9.4       32.6 
120821  103234  47  54.1495 N  65  28.7271 W   2.3        2.2       12.8        9.4       11.0*
120821  103235  47  54.1500 N  65  28.7275 W   2.3        2.2       12.8        9.4       11.0 
120821  103236  47  54.1505 N  65  28.7279 W   2.2        2.2       12.8        6.9*      11.0 
120821  103237  47  54.1509 N  65  28.7282 W   2.2        2.2       12.8        6.9       11.0 
120821  103238  47  54.1513 N  65  28.7286 W   2.1        2.2       12.8        6.9       11.0 
120821  103239  47  54.1518 N  65  28.7290 W   2.1        2.2       12.8        6.9       11.0 
120821  103240  47  54.1522 N  65  28.7293 W   2.1        2.2       12.8        6.9       24.2*
120821  103241  47  54.1527 N  65  28.7297 W   2.0        2.2*      12.8        6.0*      24.2 
120821  103242  47  54.1531 N  65  28.7300 W   2.0        2.2       12.8        6.0       24.2 
120821  103243  47  54.1536 N  65  28.7304 W   2.0        2.2       12.8        6.0       24.2 
120821  103244  47  54.1540 N  65  28.7308 W   2.0        2.2       12.8        6.0       24.2 
120821  103245  47  54.1544 N  65  28.7312 W   1.9        2.2       12.8        6.0       24.6*
120821  103246  47  54.1549 N  65  28.7315 W   1.9        2.2       12.8        5.4*      24.6 
120821  103247  47  54.1553 N  65  28.7319 W   1.9        2.2       12.8        5.4       24.6 
120821  103248  47  54.1558 N  65  28.7323 W   1.9        2.2       12.8        5.4       24.6 
120821  103249  47  54.1562 N  65  28.7327 W   1.8        2.2       12.8        5.4       24.6 
120821  103250  47  54.1567 N  65  28.7331 W   1.8        2.2       12.8        5.4       27.7*
120821  103251  47  54.1571 N  65  28.7335 W   1.8        2.2       12.8        7.7*      27.7 
120821  103252  47  54.1576 N  65  28.7338 W   1.8        2.2       12.8        7.7       27.7 
120821  103253  47  54.1580 N  65  28.7342 W   1.8        2.2       12.8        7.7       27.7 
120821  103254  47  54.1584 N  65  28.7347 W   1.8        2.3*      12.8        7.7       27.7 
120821  103255  47  54.1588 N  65  28.7350 W   1.8        2.3       12.8        7.7       29.9*
120821  103256  47  54.1592 N  65  28.7354 W   1.8        2.3       12.8        7.7       29.9 
120821  103257  47  54.1596 N  65  28.7358 W   1.8        2.3       12.8        7.1*      29.9 
120821  103258  47  54.1600 N  65  28.7362 W   1.8        2.3       12.8        7.1       29.9 
120821  103259  47  54.1604 N  65  28.7366 W   1.8        2.3       12.8        7.1       29.9 
120821  103300  47  54.1608 N  65  28.7370 W   1.8        2.3       12.8        7.1       29.9 
120821  103301  47  54.1613 N  65  28.7374 W   1.8        2.3       12.8        7.1       34.3*
120821  103302  47  54.1617 N  65  28.7378 W   1.8        2.3       12.8        5.8*      34.3 
120821  103303  47  54.1622 N  65  28.7383 W   1.8        2.3       12.8        5.8       34.3 
120821  103304  47  54.1625 N  65  28.7386 W   1.8        2.3       12.8        5.8       34.3 
120821  103305  47  54.1628 N  65  28.7389 W   1.8        2.3       12.8        5.8       34.3 
120821  103306  47  54.1632 N  65  28.7393 W   1.8        2.2*      12.8        5.8       36.5*
120821  103307  47  54.1637 N  65  28.7397 W   1.8        2.2       12.8       16.3*      36.5 
120821  103308  47  54.1641 N  65  28.7402 W   1.8        2.2       12.8       16.3       36.5 
120821  103309  47  54.1644 N  65  28.7405 W   1.8        2.2       12.8       16.3       36.5 
120821  103310  47  54.1650 N  65  28.7410 W   1.9        2.2       12.8       16.3       36.5 
120821  103311  47  54.1654 N  65  28.7414 W   1.9        2.2       12.8       16.3       32.6*
120821  103312  47  54.1660 N  65  28.7419 W   1.9        2.2       12.8       16.3       32.6 
120821  103313  47  54.1665 N  65  28.7423 W   1.9        2.2       12.8       16.3       32.6 
120821  103314  47  54.1669 N  65  28.7428 W   1.9        2.2       12.8       16.3       32.6 
120821  103315  47  54.1674 N  65  28.7432 W   1.9        2.2       12.8       16.3       32.6 
120821  103316  47  54.1680 N  65  28.7437 W   1.9        2.2       12.8       16.3       39.1*
120821  103317  47  54.1684 N  65  28.7442 W   1.9        2.2       12.8       16.3       39.1 
120821  103318  47  54.1688 N  65  28.7446 W   1.9        2.2       12.8        7.0*      39.1 
120821  103319  47  54.1693 N  65  28.7451 W   1.9        2.3*      12.8        7.0       39.1 
120821  103320  47  54.1697 N  65  28.7455 W   1.9        2.3       12.8        7.0       39.1 
120821  103321  47  54.1702 N  65  28.7460 W   1.9        2.3       12.8        7.0       39.1 
120821  103322  47  54.1707 N  65  28.7465 W   1.9        2.3       12.8        7.0       39.1 
120821  103323  47  54.1711 N  65  28.7469 W   1.9        2.3       12.8        7.0       39.1 
120821  103324  47  54.1716 N  65  28.7474 W   2.0        2.3       12.8        7.0       39.1 
120821  103325  47  54.1720 N  65  28.7479 W   2.0        2.3       12.8        7.0       39.1 
120821  103326  47  54.1725 N  65  28.7483 W   2.0        2.3       12.8        7.0       39.1 
120821  103327  47  54.1730 N  65  28.7488 W   2.0        2.3       12.8        7.0      115.2*
120821  103328  47  54.1734 N  65  28.7493 W   2.0        2.3       12.8       13.1*     115.2 
120821  103329  47  54.1739 N  65  28.7497 W   2.0        2.3       12.8       13.1      115.2 
120821  103330  47  54.1743 N  65  28.7502 W   2.0        2.3       12.8       13.1      115.2 
120821  103331  47  54.1748 N  65  28.7507 W   2.0        2.3       12.8       13.1      115.2 
120821  103332  47  54.1752 N  65  28.7511 W   2.0        2.3        4.3*      13.1       47.1*
120821  103333  47  54.1757 N  65  28.7516 W   2.0        2.3        4.3       13.1       47.1 
120821  103334  47  54.1761 N  65  28.7521 W   2.0        2.3        4.3       22.7*      47.1 
120821  103335  47  54.1766 N  65  28.7525 W   2.0        2.3        4.3       22.7       47.1 
120821  103336  47  54.1770 N  65  28.7530 W   2.0        2.3        4.3       22.7       47.1 
120821  103337  47  54.1775 N  65  28.7534 W   2.0        2.3        4.3       22.7       47.1 
120821  103338  47  54.1780 N  65  28.7539 W   2.0        2.3       11.2*      22.7       47.1 
120821  103339  47  54.1784 N  65  28.7543 W   2.0        2.3       11.2       22.7       47.1 
120821  103340  47  54.1789 N  65  28.7548 W   2.0        2.3       11.2       22.7       47.1 
120821  103341  47  54.1793 N  65  28.7553 W   2.0        2.3       11.2       22.7       47.1 
120821  103342  47  54.1798 N  65  28.7558 W   2.0        2.3       11.2       22.7       47.1 
120821  103343  47  54.1803 N  65  28.7563 W   2.0        2.3       11.2       22.7       99.0*
120821  103344  47  54.1807 N  65  28.7568 W   2.0        2.3       11.2       22.7       99.0 
120821  103345  47  54.1812 N  65  28.7572 W   2.0        2.3       11.2       22.7       99.0 
120821  103346  47  54.1816 N  65  28.7575 W   2.0        2.3       11.2       22.7       99.0 
120821  103347  47  54.1820 N  65  28.7579 W   2.0        2.3       11.2       22.7       99.0 
120821  103348  47  54.1824 N  65  28.7584 W   2.0        2.3       11.2       22.7       46.6*
120821  103349  47  54.1829 N  65  28.7589 W   2.0        2.3       11.2        9.9*      46.6 
120821  103350  47  54.1833 N  65  28.7593 W   2.0        2.3       11.2        9.9       46.6 
120821  103351  47  54.1838 N  65  28.7596 W   2.0        2.3       11.2        9.9       46.6 
120821  103352  47  54.1842 N  65  28.7600 W   2.0        2.3       11.2        9.9       46.6 
120821  103353  47  54.1846 N  65  28.7604 W   2.0        2.3       11.2        9.9       46.6 
120821  103354  47  54.1850 N  65  28.7609 W   2.0        2.3       11.2        7.1*      50.6*
120821  103355  47  54.1855 N  65  28.7613 W   2.0        2.3       11.2        7.1       50.6 
120821  103356  47  54.1859 N  65  28.7616 W   2.0        2.3       11.2        7.1       50.6 
120821  103357  47  54.1864 N  65  28.7620 W   2.0        2.3       11.2        7.1       50.6 
120821  103358  47  54.1868 N  65  28.7624 W   2.0        2.1*      11.2        7.1       50.6 
120821  103359  47  54.1873 N  65  28.7628 W   2.0        2.1       11.2        7.1       46.2*
120821  103400  47  54.1877 N  65  28.7631 W   2.0        2.1       11.2        7.1       46.2 
120821  103401  47  54.1882 N  65  28.7635 W   2.0        2.1       11.2        7.1       46.2 
120821  103402  47  54.1887 N  65  28.7639 W   2.0        2.1       11.2        7.1       46.2 
120821  103403  47  54.1891 N  65  28.7643 W   2.0        2.1       11.2        7.1       46.2 
120821  103404  47  54.1896 N  65  28.7647 W   2.0        2.1       11.2        7.1       74.3*
120821  103405  47  54.1900 N  65  28.7651 W   2.0        2.1       11.2        7.1       74.3 
120821  103406  47  54.1905 N  65  28.7655 W   2.0        2.1       11.2        7.1       74.3 
120821  103407  47  54.1910 N  65  28.7658 W   2.0        2.1       11.2        7.1       74.3 
120821  103408  47  54.1914 N  65  28.7662 W   2.0        2.1       11.2        7.1       74.3 
120821  103409  47  54.1919 N  65  28.7666 W   2.0        2.1       11.2        7.1       74.3 
120821  103410  47  54.1924 N  65  28.7670 W   2.1        2.1       11.2        7.1       18.5*
120821  103411  47  54.1929 N  65  28.7675 W   2.1        2.3*      11.2        7.1       18.5 
120821  103412  47  54.1934 N  65  28.7678 W   2.1        2.3       11.2        7.1       18.5 
120821  103413  47  54.1939 N  65  28.7682 W   2.1        2.3       11.2        7.1       18.5 
120821  103414  47  54.1943 N  65  28.7686 W   2.1        2.3       11.2        7.1       18.5 
120821  103415  47  54.1948 N  65  28.7690 W   2.1        2.3       11.2        7.1       51.0*
120821  103416  47  54.1953 N  65  28.7693 W   2.1        2.3       11.2       52.5*      51.0 
120821  103417  47  54.1958 N  65  28.7697 W   2.1        2.3       11.2       52.5       51.0 
120821  103418  47  54.1963 N  65  28.7701 W   2.0        2.3       11.2       52.5       51.0 
120821  103419  47  54.1968 N  65  28.7705 W   2.0        2.3       11.2       52.5       51.0 
120821  103420  47  54.1972 N  65  28.7709 W   2.0        2.3       11.2       52.5       47.1*
120821  103421  47  54.1977 N  65  28.7713 W   2.1        2.3       11.2       15.0*      47.1 
120821  103422  47  54.1982 N  65  28.7717 W   2.1        2.3       11.2       15.0       47.1 
120821  103423  47  54.1987 N  65  28.7721 W   2.0        2.3       11.2       15.0       47.1 
120821  103424  47  54.1992 N  65  28.7725 W   2.0        2.1*      11.2       15.0       47.1 
120821  103425  47  54.1997 N  65  28.7729 W   2.0        2.1       11.2       15.0       47.1 
120821  103426  47  54.2001 N  65  28.7733 W   2.0        2.1       11.2       11.7*      47.5*
120821  103427  47  54.2007 N  65  28.7737 W   2.0        2.1       11.2       11.7       47.5 
120821  103428  47  54.2012 N  65  28.7741 W   2.0        2.1       11.2       11.7       47.5 
120821  103429  47  54.2016 N  65  28.7746 W   2.0        2.1       11.2       11.7       47.5 
