FileName: C:\WINDOWS\DESKTOP\MARCEL~1\POS102.TXT
Local Time: Sun Aug 13 05:56:52 2000

Ship: Den C Martin Trip: August 13, 00 Tow: POS102
Comments: Sud de la Vallee de Shediac
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
000813  085306  47  21.8100 N  64  25.0600 W   1.9        2.5*       2.3*       5.2*       0.0 
000813  085307  47  21.8100 N  64  25.0600 W   1.9        2.5        2.3        5.2        0.0 
000813  085308  47  21.8100 N  64  25.0600 W   1.9        2.5        2.3        5.2        0.0 
000813  085309  47  21.8100 N  64  25.0600 W   1.9        2.5        2.3        5.2        0.0 
000813  085310  47  21.8100 N  64  25.0600 W   1.9        2.5        2.3        5.2        0.0 
000813  085311  47  21.8100 N  64  25.0600 W   1.9        2.5        2.3        5.2        0.0 
000813  085312  47  21.8100 N  64  25.0600 W   1.9        2.5        2.3        5.2        0.0 
000813  085313  47  21.8100 N  64  25.0600 W   1.9        2.5        2.3        6.5*       0.0 
000813  085314  47  21.8100 N  64  25.0600 W   1.9        2.5        2.3        6.5        0.0 
000813  085315  47  21.8000 N  64  25.0600 W   1.9        2.5        2.3        6.5        0.0 
000813  085316  47  21.8000 N  64  25.0600 W   1.9        2.5        2.3        6.5        0.0 
000813  085317  47  21.8000 N  64  25.0600 W   1.9        2.7*       2.3        6.5        0.0 
000813  085318  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.5*       0.0 
000813  085319  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.5        0.0 
000813  085320  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.5        0.0 
000813  085321  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.5        0.0 
000813  085322  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.5        0.0 
000813  085323  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.5        0.0 
000813  085324  47  21.8000 N  64  25.0600 W   2.0        2.7        2.3        6.9*       0.0 
000813  085325  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.9        0.0 
000813  085326  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.9        0.0 
000813  085327  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.9        0.0 
000813  085328  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        6.9        0.0 
000813  085329  47  21.8000 N  64  25.0600 W   1.9        2.7        2.3        7.7*       0.0 
000813  085330  47  21.8000 N  64  25.0600 W   1.9        2.2*       2.3        7.7        0.0 
000813  085331  47  21.8000 N  64  25.0600 W   1.9        2.2        2.3        7.7        0.0 
000813  085332  47  21.8000 N  64  25.0600 W   1.9        2.2        2.3        7.7        0.0 
000813  085333  47  21.8000 N  64  25.0600 W   1.9        2.2        2.3        7.7        0.0 
000813  085334  47  21.7900 N  64  25.0600 W   2.0        2.2        2.3        7.7*       0.0 
000813  085335  47  21.7900 N  64  25.0600 W   1.9        2.2        2.3        7.7        0.0 
000813  085336  47  21.7900 N  64  25.0600 W   1.9        2.2        2.4*       7.7        0.0 
000813  085337  47  21.7900 N  64  25.0600 W   1.9        2.2        2.4        7.7        0.0 
000813  085338  47  21.7900 N  64  25.0600 W   1.9        2.2        2.4        7.7        0.0 
000813  085339  47  21.7900 N  64  25.0600 W   1.9        2.2        2.4        8.1*       0.0 
000813  085340  47  21.7900 N  64  25.0600 W   1.9        2.2        2.4        8.1        0.0 
000813  085341  47  21.7900 N  64  25.0600 W   1.9        2.2        2.4        8.1        0.0 
000813  085342  47  21.7900 N  64  25.0600 W   1.9        2.2        2.4        8.1        0.0 
000813  085343  47  21.7900 N  64  25.0600 W   1.9        2.6*       2.4        8.1        0.0 
000813  085344  47  21.7900 N  64  25.0600 W   1.9        2.6        2.4        8.1        0.0 
000813  085345  47  21.7900 N  64  25.0600 W   1.9        2.6        2.4        8.8*       0.0 
000813  085346  47  21.7900 N  64  25.0600 W   1.9        2.6        2.4        8.8        0.0 
000813  085347  47  21.7900 N  64  25.0600 W   1.9        2.6        2.4        8.8        0.0 
000813  085348  47  21.7900 N  64  25.0600 W   1.9        2.6        2.4        8.8        0.0 
000813  085349  47  21.7900 N  64  25.0600 W   2.0        2.6        2.3*       8.8        0.0 
000813  085350  47  21.7900 N  64  25.0600 W   1.9        2.6        2.3        8.6*       0.0 
000813  085351  47  21.7900 N  64  25.0600 W   1.9        2.6        2.3        8.6        0.0 
000813  085352  47  21.7900 N  64  25.0600 W   1.9        2.6        2.3        8.6        0.0 
000813  085353  47  21.7800 N  64  25.0600 W   1.9        2.6        2.3        8.6        0.0 
000813  085354  47  21.7800 N  64  25.0600 W   1.9        2.6        2.3        8.6        0.0 
000813  085355  47  21.7800 N  64  25.0600 W   1.9        2.6        2.3        9.9*       0.0 
000813  085356  47  21.7800 N  64  25.0600 W   1.9        3.1*       2.3        9.9        0.0 
000813  085357  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        9.9        0.0 
000813  085358  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        9.9        0.0 
000813  085359  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        9.9        0.0 
000813  085400  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        9.9        0.0 
000813  085401  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        8.9*       0.0 
000813  085402  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3*       8.9        0.0 
000813  085403  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        8.9        0.0 
000813  085404  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        8.9        0.0 
000813  085405  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        8.9        0.0 
000813  085406  47  21.7800 N  64  25.0600 W   1.9        3.1        2.3        8.8*       0.0 
000813  085407  47  21.7800 N  64  25.0700 W   1.9        3.1        2.3        8.8        0.0 
000813  085408  47  21.7800 N  64  25.0700 W   1.9        3.1        2.3        8.8        0.0 
000813  085409  47  21.7800 N  64  25.0600 W   1.9        3.0*       2.3        8.8        0.0 
000813  085410  47  21.7800 N  64  25.0600 W   1.9        3.0        2.3        8.8        0.0 
000813  085411  47  21.7800 N  64  25.0600 W   1.9        3.0        2.3        8.8*       0.0 
