FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP167.TXT
Local Time: Sat Jul 27 20:39:48 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP167
Comments: L'ETOILE ZONE 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary      Depth 
020727  230952  47  33.0320 N  63  16.5610 W   0.4        3.8        2.3*       9.2*
020727  233951  47  29.3760 N  63  18.3740 W   2.5        3.8        2.3        9.2 
020727  233951  47  29.3760 N  63  18.3740 W   2.5        3.8        2.3        9.2 
020727  233951  47  29.3760 N  63  18.3740 W   2.5        3.8        2.3        9.2 
020727  233951  47  29.3760 N  63  18.3740 W   2.5        3.8        2.3        9.2 
020727  233951  47  29.3760 N  63  18.3740 W   2.5        3.8        2.3        9.2 
020727  233951  47  29.3760 N  63  18.3740 W   2.5        2.7*       2.3        9.2 
020727  233951  47  29.3760 N  63  18.3740 W   2.5        2.7        2.3        9.2 
020727  233951  47  29.3760 N  63  18.3740 W   2.5        2.7        2.3        9.2 
020727  233951  47  29.3760 N  63  18.3740 W   2.5        2.7        2.3        9.2 
020727  233953  47  29.3760 N  63  18.3720 W   2.5        2.7        2.3        9.2 
020727  233953  47  29.3760 N  63  18.3720 W   2.5        2.7        2.3        9.2 
020727  233953  47  29.3760 N  63  18.3720 W   2.5        2.7        2.3        9.2 
020727  233953  47  29.3760 N  63  18.3720 W   2.5        2.7        2.3        9.2 
020727  233953  47  29.3760 N  63  18.3720 W   2.5        2.7        2.3        9.2 
020727  233955  47  29.3750 N  63  18.3700 W   2.8        2.7        2.3        9.2 
020727  233955  47  29.3750 N  63  18.3700 W   2.8        2.7        2.3        9.2 
020727  233955  47  29.3750 N  63  18.3700 W   2.8        2.7        2.3        9.2 
020727  233955  47  29.3750 N  63  18.3700 W   2.8        2.7        2.3        9.2 
020727  233955  47  29.3750 N  63  18.3700 W   2.8        2.7        2.3        9.2 
020727  233955  47  29.3750 N  63  18.3700 W   2.8        2.7        2.3        9.2 
020727  233957  47  29.3750 N  63  18.3680 W   2.6        2.7        2.3        9.2 
020727  233957  47  29.3750 N  63  18.3680 W   2.6        2.7        2.3        9.2 
020727  233957  47  29.3750 N  63  18.3680 W   2.6        2.7        2.4*       9.2 
020727  233957  47  29.3750 N  63  18.3680 W   2.6        2.7        2.4        9.2 
020727  233957  47  29.3750 N  63  18.3680 W   2.6        2.7        2.4        9.2 
020727  233959  47  29.3740 N  63  18.3660 W   2.5        2.7        2.4        9.2 
020727  233959  47  29.3740 N  63  18.3660 W   2.5        2.7        2.4        9.2 
020727  233959  47  29.3740 N  63  18.3660 W   2.5        2.7        2.4        9.2 
020727  233959  47  29.3740 N  63  18.3660 W   2.5        2.7        2.4        9.2 
020727  233959  47  29.3740 N  63  18.3660 W   2.5        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234001  47  29.3740 N  63  18.3640 W   2.4        2.7        2.4        9.2 
020727  234003  47  29.3730 N  63  18.3620 W   2.5        2.7        2.4        9.2 
020727  234003  47  29.3730 N  63  18.3620 W   2.5        2.7        2.4        9.2 
020727  234003  47  29.3730 N  63  18.3620 W   2.5        2.7        2.4        9.2 
020727  234003  47  29.3730 N  63  18.3620 W   2.5        2.7        2.4        8.8*
020727  234003  47  29.3730 N  63  18.3620 W   2.5        2.5*       2.4        8.8 
020727  234005  47  29.3730 N  63  18.3600 W   2.5        2.5        2.4        8.8 
020727  234005  47  29.3730 N  63  18.3600 W   2.5        2.5        2.4        8.8 
020727  234005  47  29.3730 N  63  18.3600 W   2.5        2.5        2.4        8.8 
020727  234005  47  29.3730 N  63  18.3600 W   2.5        2.5        2.4        8.8 
