FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP142.TXT
Local Time: Fri Jul 26 10:34:13 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP142
Comments: ZONE PEI NORD DE LA POINTE DE L'EST
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary      Depth 
020726  133440  46  48.2600 N  62   1.1800 W   2.2        2.7        2.2        0.9 
020726  133440  46  48.2600 N  62   1.1800 W   2.2        2.7        2.2        0.9 
020726  133440  46  48.2600 N  62   1.1800 W   2.2        2.7        2.2        0.9 
020726  133440  46  48.2600 N  62   1.1800 W   2.2        2.7        2.2        0.9 
020726  133442  46  48.2600 N  62   1.1820 W   2.0        2.7        2.2        0.9 
020726  133442  46  48.2600 N  62   1.1820 W   2.0        2.7        2.2        0.9 
020726  133442  46  48.2600 N  62   1.1820 W   2.0        2.7        2.2        0.9 
020726  133442  46  48.2600 N  62   1.1820 W   2.0        2.7        2.2        0.9 
020726  133442  46  48.2600 N  62   1.1820 W   2.0        2.7        2.2        0.9 
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2        0.9 
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2        0.9 
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2        0.9 
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2      114.8*
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2      114.8 
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2      114.8 
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2      114.8 
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2      114.8 
020726  133444  46  48.2610 N  62   1.1830 W   1.8        2.7        2.2      114.8 
020726  133446  46  48.2610 N  62   1.1850 W   1.9        2.7        2.2      114.8 
020726  133446  46  48.2610 N  62   1.1850 W   1.9        2.7        2.2      114.8 
020726  133446  46  48.2610 N  62   1.1850 W   1.9        2.7        2.2      114.8 
020726  133446  46  48.2610 N  62   1.1850 W   1.9        2.7        2.2      114.8 
020726  133446  46  48.2610 N  62   1.1850 W   1.9        2.7        2.2      114.8 
020726  133448  46  48.2610 N  62   1.1860 W   1.8        2.7        2.2      114.8 
020726  133448  46  48.2610 N  62   1.1860 W   1.8        2.7        2.2      114.8 
020726  133448  46  48.2610 N  62   1.1860 W   1.8        2.7        2.2      114.8 
020726  133448  46  48.2610 N  62   1.1860 W   1.8        2.7        2.2      114.8 
020726  133448  46  48.2610 N  62   1.1860 W   1.8        2.7        2.2      114.8 
020726  133448  46  48.2610 N  62   1.1860 W   1.8        2.7        2.2      114.8 
