FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP158.TXT
Local Time: Sat Jul 27 10:54:38 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP158
Comments: SUD DE L'ETOILE ZONE 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary      Depth 
020727  131413  47  12.9630 N  63   5.8170 W   1.4        5.5*       2.4*      18.5*
020727  131413  47  12.9630 N  63   5.8170 W   1.4        5.5        2.4       18.5 
020727  135442  47  12.8860 N  63  12.5600 W   1.2        5.5        2.4       18.5 
020727  135442  47  12.8860 N  63  12.5600 W   1.2        5.5        2.4       18.5 
020727  135442  47  12.8860 N  63  12.5600 W   1.2        5.5        2.4       18.5 
020727  135442  47  12.8860 N  63  12.5600 W   1.2        5.5        2.4       18.5 
020727  135442  47  12.8860 N  63  12.5600 W   1.2        5.5        2.4       18.5 
020727  135442  47  12.8860 N  63  12.5600 W   1.2        5.5        2.4       18.5 
020727  135444  47  12.8850 N  63  12.5600 W   2.1        5.5        2.4       18.5 
020727  135444  47  12.8850 N  63  12.5600 W   2.1        5.5        2.4       18.5 
020727  135444  47  12.8850 N  63  12.5600 W   2.1        5.5        2.4       18.5 
020727  135444  47  12.8850 N  63  12.5600 W   2.1        6.3*       2.4      202.3*
020727  135444  47  12.8850 N  63  12.5600 W   2.1        6.3        2.4      202.3 
020727  135446  47  12.8840 N  63  12.5600 W   1.3        6.3        2.4      202.3 
020727  135446  47  12.8840 N  63  12.5600 W   1.3        6.3        2.4      202.3 
020727  135446  47  12.8840 N  63  12.5600 W   1.3        6.3        2.4      202.3 
020727  135446  47  12.8840 N  63  12.5600 W   1.3        6.3        2.4      202.3 
020727  135446  47  12.8840 N  63  12.5600 W   1.3        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135448  47  12.8830 N  63  12.5590 W   1.6        6.3        2.4      202.3 
020727  135450  47  12.8820 N  63  12.5590 W   1.9        6.3        2.4      202.3 
020727  135450  47  12.8820 N  63  12.5590 W   1.9        6.3        2.4      202.3 
020727  135450  47  12.8820 N  63  12.5590 W   1.9        6.3        2.4      202.3 
020727  135450  47  12.8820 N  63  12.5590 W   1.9        6.3        2.6*     202.3 
020727  135450  47  12.8820 N  63  12.5590 W   1.9        6.3        2.6      202.3 
020727  135452  47  12.8810 N  63  12.5590 W   1.1        6.3        2.6      202.3 
020727  135452  47  12.8810 N  63  12.5590 W   1.1        6.3        2.6      202.3 
020727  135452  47  12.8810 N  63  12.5590 W   1.1        6.3        2.6      202.3 
020727  135452  47  12.8810 N  63  12.5590 W   1.1        6.3        2.6      202.3 
020727  135452  47  12.8810 N  63  12.5590 W   1.1        6.3        2.6      202.3 
020727  135452  47  12.8810 N  63  12.5590 W   1.1        6.3        2.6      202.3 
020727  135454  47  12.8800 N  63  12.5590 W   2.0        6.3        2.6      202.3 
020727  135454  47  12.8800 N  63  12.5590 W   2.0        6.3        2.6      202.3 
020727  135454  47  12.8800 N  63  12.5590 W   2.0        6.3        2.6      202.3 
020727  135454  47  12.8800 N  63  12.5590 W   2.0        6.3        2.6       22.0*
020727  135454  47  12.8800 N  63  12.5590 W   2.0        6.3        2.6       22.0 
020727  135456  47  12.8790 N  63  12.5580 W   2.1        6.3        2.6       22.0 
020727  135456  47  12.8790 N  63  12.5580 W   2.1        6.3        2.6       22.0 
020727  135456  47  12.8790 N  63  12.5580 W   2.1        6.3        2.6       22.0 
020727  135456  47  12.8790 N  63  12.5580 W   2.1        6.3        2.6       22.0 
020727  135456  47  12.8790 N  63  12.5580 W   2.1        6.3        2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        6.3        2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        5.6*       2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        5.6        2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        5.6        2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        5.6        2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        5.6        2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        5.6        2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        5.6        2.6       22.0 
020727  135458  47  12.8780 N  63  12.5580 W   2.9        5.6        2.6       22.0 
020727  135500  47  12.8760 N  63  12.5580 W   3.7        5.6        2.6       22.0 
020727  135500  47  12.8760 N  63  12.5580 W   3.7        5.6        2.6       22.0 
020727  135500  47  12.8760 N  63  12.5580 W   3.7        5.6        2.6       22.0 
020727  135500  47  12.8760 N  63  12.5580 W   3.7        5.6        2.6       24.2*
020727  135500  47  12.8760 N  63  12.5580 W   3.7        5.6        2.6       24.2 
020727  135502  47  12.8740 N  63  12.5580 W   3.9        5.6        2.6       24.2 
020727  135502  47  12.8740 N  63  12.5580 W   3.9        5.6        2.6       24.2 
020727  135502  47  12.8740 N  63  12.5580 W   3.9        5.6        2.6       24.2 
020727  135502  47  12.8740 N  63  12.5580 W   3.9        5.6        2.6       24.2 
020727  135502  47  12.8740 N  63  12.5580 W   3.9        5.6        2.6       24.2 
020727  135502  47  12.8740 N  63  12.5580 W   3.9        5.6        2.6       24.2 
020727  135504  47  12.8710 N  63  12.5580 W   4.6        5.6        2.6       24.2 
020727  135504  47  12.8710 N  63  12.5580 W   4.6        5.6        2.6       24.2 
020727  135504  47  12.8710 N  63  12.5580 W   4.6        5.6        2.6       24.2 
020727  135504  47  12.8710 N  63  12.5580 W   4.6        5.6        2.6       24.2 
020727  135504  47  12.8710 N  63  12.5580 W   4.6        5.6        2.6       24.2 
020727  135506  47  12.8680 N  63  12.5570 W   5.4        5.6        2.6       24.2 
020727  135506  47  12.8680 N  63  12.5570 W   5.4        5.6        2.6       24.2 
020727  135506  47  12.8680 N  63  12.5570 W   5.4        5.6        2.6       57.2*
020727  135506  47  12.8680 N  63  12.5570 W   5.4        5.6        2.6       57.2 
020727  135506  47  12.8680 N  63  12.5570 W   5.4        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135508  47  12.8650 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135510  47  12.8620 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135510  47  12.8620 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135510  47  12.8620 N  63  12.5570 W   6.0        5.6        2.6       57.2 
020727  135510  47  12.8620 N  63  12.5570 W   6.0        5.6        2.6       19.8*
020727  135510  47  12.8620 N  63  12.5570 W   6.0        5.6        2.6       19.8 
020727  135512  47  12.8580 N  63  12.5570 W   6.2        5.6        2.6       19.8 
020727  135512  47  12.8580 N  63  12.5570 W   6.2        5.6        2.6       19.8 
020727  135512  47  12.8580 N  63  12.5570 W   6.2        5.6        2.6       19.8 
020727  135512  47  12.8580 N  63  12.5570 W   6.2        5.6        2.6       19.8 
020727  135512  47  12.8580 N  63  12.5570 W   6.2        5.6        2.6       19.8 
020727  135512  47  12.8580 N  63  12.5570 W   6.2        5.6        2.6       19.8 
020727  135514  47  12.8550 N  63  12.5570 W   6.7        5.6        2.6       19.8 
020727  135514  47  12.8550 N  63  12.5570 W   6.7        5.6        2.6       19.8 
020727  135514  47  12.8550 N  63  12.5570 W   6.7        5.6        2.6       19.8 
020727  135514  47  12.8550 N  63  12.5570 W   6.7        5.6        2.6       19.8 
020727  135514  47  12.8550 N  63  12.5570 W   6.7        5.6        2.6       19.8 
020727  135516  47  12.8510 N  63  12.5570 W   7.0        5.6        2.6       19.8 
020727  135516  47  12.8510 N  63  12.5570 W   7.0        5.6        2.6       19.8 
020727  135516  47  12.8510 N  63  12.5570 W   7.0        5.6        2.6       19.8 
020727  135516  47  12.8510 N  63  12.5570 W   7.0        5.6        2.6       19.8 
020727  135516  47  12.8510 N  63  12.5570 W   7.0        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135518  47  12.8470 N  63  12.5570 W   7.3        5.6        2.6       19.8 
020727  135520  47  12.8430 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135520  47  12.8430 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135520  47  12.8430 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135520  47  12.8430 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135520  47  12.8430 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135522  47  12.8380 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135522  47  12.8380 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135522  47  12.8380 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135522  47  12.8380 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135522  47  12.8380 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135522  47  12.8380 N  63  12.5570 W   7.6        5.6        2.6       19.8 
020727  135524  47  12.8340 N  63  12.5580 W   7.6        5.6        2.6       19.8 
020727  135524  47  12.8340 N  63  12.5580 W   7.6        5.6        2.6       19.8 
020727  135524  47  12.8340 N  63  12.5580 W   7.6        5.6        2.6       19.8 
020727  135524  47  12.8340 N  63  12.5580 W   7.6        5.6        2.6       19.8 
020727  135524  47  12.8340 N  63  12.5580 W   7.6        5.6        2.6       19.8 
020727  135526  47  12.8300 N  63  12.5580 W   7.3        5.6        2.6       19.8 
020727  135526  47  12.8300 N  63  12.5580 W   7.3        5.6        2.6       19.8 
020727  135526  47  12.8300 N  63  12.5580 W   7.3        5.6        2.6       19.8 
020727  135526  47  12.8300 N  63  12.5580 W   7.3        5.6        2.6       19.8 
020727  135526  47  12.8300 N  63  12.5580 W   7.3        5.6        2.6       19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        2.6       19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        2.6       19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        2.6       19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        2.6       19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        2.6       19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        2.6       19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        2.6       19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        3.0*      19.8 
020727  135528  47  12.8260 N  63  12.5580 W   7.1        5.6        3.0       19.8 
020727  135530  47  12.8220 N  63  12.5580 W   7.1        5.6        3.0       19.8 
020727  135530  47  12.8220 N  63  12.5580 W   7.1        5.6        3.0       19.8 
020727  135530  47  12.8220 N  63  12.5580 W   7.1        5.6        3.0       19.8 
020727  135530  47  12.8220 N  63  12.5580 W   7.1        5.6        3.0       19.8 
020727  135530  47  12.8220 N  63  12.5580 W   7.1        5.6        3.0       19.8 
020727  135532  47  12.8180 N  63  12.5580 W   7.3        5.6        3.0       19.8 
020727  135532  47  12.8180 N  63  12.5580 W   7.3        5.6        3.0       19.8 
020727  135532  47  12.8180 N  63  12.5580 W   7.3        5.6        3.0       19.8 
020727  135532  47  12.8180 N  63  12.5580 W   7.3        5.6        3.0       19.8 
020727  135532  47  12.8180 N  63  12.5580 W   7.3        5.6        3.0       19.8 
020727  135532  47  12.8180 N  63  12.5580 W   7.3        5.6        3.0       19.8 
020727  135534  47  12.8140 N  63  12.5580 W   6.8        5.6        3.0       19.8 
020727  135534  47  12.8140 N  63  12.5580 W   6.8        5.6        3.0       19.8 
020727  135534  47  12.8140 N  63  12.5580 W   6.8        5.6        3.0       19.8 
020727  135534  47  12.8140 N  63  12.5580 W   6.8        5.6        3.0       19.8 
020727  135534  47  12.8140 N  63  12.5580 W   6.8        5.6        3.0       19.8 
020727  135536  47  12.8100 N  63  12.5580 W   6.5        5.6        3.0       19.8 
020727  135536  47  12.8100 N  63  12.5580 W   6.5        5.6        3.0       19.8 
020727  135536  47  12.8100 N  63  12.5580 W   6.5        5.6        3.0       19.8 
020727  135536  47  12.8100 N  63  12.5580 W   6.5        5.6        3.0       19.8 
020727  135536  47  12.8100 N  63  12.5580 W   6.5        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135538  47  12.8070 N  63  12.5580 W   6.2        5.6        3.0       19.8 
020727  135540  47  12.8030 N  63  12.5580 W   6.3        5.6        3.0       19.8 
020727  135540  47  12.8030 N  63  12.5580 W   6.3        5.6        3.0       19.8 
020727  135540  47  12.8030 N  63  12.5580 W   6.3        5.6        3.0       19.8 
020727  135540  47  12.8030 N  63  12.5580 W   6.3        5.6        3.0       19.8 
020727  135540  47  12.8030 N  63  12.5580 W   6.3        5.6        3.0       19.8 
020727  135542  47  12.7990 N  63  12.5580 W   6.4        5.6        3.0       19.8 
020727  135542  47  12.7990 N  63  12.5580 W   6.4        5.6        3.0       19.8 
020727  135542  47  12.7990 N  63  12.5580 W   6.4        5.6        3.0       19.8 
020727  135542  47  12.7990 N  63  12.5580 W   6.4        5.6        3.0       19.8 
