FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP114.TXT
Local Time: Wed Jul 24 10:16:05 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP114
Comments: ZONE 12 SHEDIAC VALLEY
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary      Depth 
020724  120653  47  28.1490 N  64  33.1770 W   1.7        4.0*       2.7*      16.3*
020724  120653  47  28.1490 N  64  33.1770 W   1.7        4.0        2.7       16.3 
020724  131607  47  21.8600 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131607  47  21.8600 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131607  47  21.8600 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131607  47  21.8600 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131607  47  21.8600 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131609  47  21.8560 N  64  25.1600 W   6.6        4.0        2.7       16.3 
020724  131611  47  21.8530 N  64  25.1600 W   6.3        4.0        2.7       16.3 
020724  131611  47  21.8530 N  64  25.1600 W   6.3        4.0        2.7       16.3 
020724  131611  47  21.8530 N  64  25.1600 W   6.3        4.0        2.7       16.3 
020724  131611  47  21.8530 N  64  25.1600 W   6.3        4.0        2.7       16.3 
020724  131611  47  21.8530 N  64  25.1600 W   6.3        4.0        2.7       16.3 
020724  131611  47  21.8530 N  64  25.1600 W   6.3        4.0        2.7       16.3 
020724  131613  47  21.8490 N  64  25.1600 W   6.2        4.0        2.7       16.3 
020724  131613  47  21.8490 N  64  25.1600 W   6.2        4.0        2.7       16.3 
020724  131613  47  21.8490 N  64  25.1600 W   6.2        4.0        2.7       16.3 
020724  131613  47  21.8490 N  64  25.1600 W   6.2        4.0        2.7       16.3 
020724  131613  47  21.8490 N  64  25.1600 W   6.2        4.0        2.7       16.3 
020724  131615  47  21.8460 N  64  25.1610 W   6.0        4.0        2.7       16.3 
020724  131615  47  21.8460 N  64  25.1610 W   6.0        4.0        2.7       16.3 
020724  131615  47  21.8460 N  64  25.1610 W   6.0        4.0        2.7       16.3 
020724  131615  47  21.8460 N  64  25.1610 W   6.0        4.0        2.7       16.3 
020724  131615  47  21.8460 N  64  25.1610 W   6.0        4.0        2.7       16.3 
020724  131617  47  21.8420 N  64  25.1600 W   5.5        4.0        2.7       16.3 
020724  131617  47  21.8420 N  64  25.1600 W   5.5        4.0        2.7       16.3 
020724  131617  47  21.8420 N  64  25.1600 W   5.5        4.0        2.7       16.3 
020724  131617  47  21.8420 N  64  25.1600 W   5.5        4.0        2.7       28.6*
020724  131617  47  21.8420 N  64  25.1600 W   5.5        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131619  47  21.8390 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131621  47  21.8360 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131621  47  21.8360 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131621  47  21.8360 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131621  47  21.8360 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131621  47  21.8360 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131621  47  21.8360 N  64  25.1600 W   5.3        4.0        2.7       28.6 
020724  131623  47  21.8330 N  64  25.1610 W   4.9        4.0        2.7       28.6 
020724  131623  47  21.8330 N  64  25.1610 W   4.9        4.0        2.7       28.6 
020724  131623  47  21.8330 N  64  25.1610 W   4.9        4.0        2.7       28.6 
020724  131623  47  21.8330 N  64  25.1610 W   4.9        4.0        2.7       28.6 
020724  131623  47  21.8330 N  64  25.1610 W   4.9        4.0        2.7       28.6 
020724  131625  47  21.8300 N  64  25.1610 W   5.0        4.0        2.7       28.6 
020724  131625  47  21.8300 N  64  25.1610 W   5.0        4.0        2.7       28.6 
020724  131625  47  21.8300 N  64  25.1610 W   5.0        4.0        2.7       28.6 
020724  131625  47  21.8300 N  64  25.1610 W   5.0        4.0        2.7       28.6 
020724  131625  47  21.8300 N  64  25.1610 W   5.0        4.0        2.7       28.6 
020724  131627  47  21.8280 N  64  25.1610 W   4.4        4.0        2.7       28.6 
020724  131627  47  21.8280 N  64  25.1610 W   4.4        4.0        2.7       28.6 
020724  131627  47  21.8280 N  64  25.1610 W   4.4        4.0        2.7       28.6 
020724  131627  47  21.8280 N  64  25.1610 W   4.4        4.0        2.7       26.0*
020724  131627  47  21.8280 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131629  47  21.8250 N  64  25.1610 W   4.4        4.0        2.7       26.0 
020724  131631  47  21.8230 N  64  25.1610 W   4.3        4.0        2.7       26.0 
020724  131631  47  21.8230 N  64  25.1610 W   4.3        4.0        2.7       26.0 
020724  131631  47  21.8230 N  64  25.1610 W   4.3        4.0        2.7       26.0 
020724  131631  47  21.8230 N  64  25.1610 W   4.3        4.0        2.7       26.0 
