FileName: C:\2005CA~1\CTY0302.TXT
Local Time: Thu Oct 06 18:20:47 2005

Ship: Marco Michel Trip: 01 Tow: cty0302
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  212137  47  26.0710 N  62  32.7620 W   7.1        2.9        2.5        4.0       37.5       14.1 
051006  212139  47  26.0680 N  62  32.7660 W   7.3        2.9        2.5        2.9*      37.5       14.1 
051006  212141  47  26.0650 N  62  32.7690 W   7.3        2.9        2.5        2.9       37.5       14.1 
051006  212143  47  26.0620 N  62  32.7720 W   6.9        2.9        2.5        2.9        5.6*      14.1 
051006  212145  47  26.0590 N  62  32.7760 W   7.1        2.9        2.5        2.9        5.6       14.1 
051006  212147  47  26.0560 N  62  32.7790 W   7.3        2.9        2.5        2.9        5.6       14.1 
051006  212149  47  26.0520 N  62  32.7830 W   7.1        2.9        2.5        2.9        5.6       14.1 
051006  212151  47  26.0490 N  62  32.7860 W   7.1        2.9        2.5        2.9        5.6       14.1 
051006  212153  47  26.0460 N  62  32.7890 W   6.7        2.9        2.5        2.9        5.6       14.1 
051006  212155  47  26.0430 N  62  32.7920 W   7.3        2.9        2.5        2.9        5.6       14.1 
051006  212157  47  26.0400 N  62  32.7950 W   7.2        2.9        2.5        2.9        5.6       14.1 
051006  212159  47  26.0360 N  62  32.7990 W   6.9        2.9        2.5        3.1*       2.1*      14.1 
051006  212201  47  26.0330 N  62  32.8010 W   6.8        2.9        2.5        3.1        2.1       14.1 
051006  212203  47  26.0300 N  62  32.8040 W   7.1        2.9        2.5        3.1        2.1       14.1 
051006  212205  47  26.0270 N  62  32.8080 W   7.1        2.9        2.5        3.1        8.4*      14.1 
051006  212207  47  26.0230 N  62  32.8110 W   7.1        2.9        2.5        3.1        8.4       14.1 
051006  212209  47  26.0200 N  62  32.8140 W   6.8        2.9        2.5        3.1        8.4       14.1 
051006  212211  47  26.0160 N  62  32.8160 W   7.0        2.9        2.5        3.1        8.4       14.1 
051006  212213  47  26.0130 N  62  32.8190 W   7.3        2.9        2.5        3.1        8.4       14.1 
051006  212215  47  26.0090 N  62  32.8220 W   7.3        2.9        2.5        3.1        8.4       14.1 
051006  212217  47  26.0060 N  62  32.8250 W   6.6        2.9        2.5        3.1        8.4       14.1 
051006  212219  47  26.0020 N  62  32.8270 W   6.9        2.9        2.5        3.1        8.4       14.1 
051006  212221  47  25.9990 N  62  32.8300 W   7.4        2.9        2.5        3.1        6.2*      14.1 
051006  212223  47  25.9950 N  62  32.8330 W   6.9        2.9        2.5        3.1        6.2       14.1 
051006  212225  47  25.9910 N  62  32.8360 W   6.8        2.9        2.5        3.1        3.9*      14.1 
051006  212227  47  25.9880 N  62  32.8380 W   6.5        2.9        2.5        3.1        3.9       14.1 
051006  212229  47  25.9850 N  62  32.8400 W   7.1        2.9        2.5        3.1        3.9       14.1 
051006  212231  47  25.9810 N  62  32.8430 W   7.6        2.9        2.5        3.1        6.2*      14.1 
051006  212233  47  25.9780 N  62  32.8460 W   6.9        2.9        2.5        3.1        6.2       43.9*
051006  212235  47  25.9740 N  62  32.8480 W   6.7        2.9        2.5        3.1        6.2       43.9 
051006  212237  47  25.9710 N  62  32.8500 W   6.8        2.9        2.5        3.1        3.2*      43.9 
051006  212239  47  25.9680 N  62  32.8530 W   7.0        2.9        2.5        3.1        3.2       43.9 
051006  212241  47  25.9640 N  62  32.8560 W   7.0        2.9        2.5        3.1        4.0*      43.9 
051006  212243  47  25.9600 N  62  32.8590 W   6.8        2.9        2.5        3.1        4.0       43.9 
051006  212245  47  25.9570 N  62  32.8620 W   6.9        2.9        2.5        3.1        4.0       43.9 
051006  212247  47  25.9540 N  62  32.8640 W   6.8        2.9        2.5        3.1        4.0       43.9 
051006  212249  47  25.9510 N  62  32.8670 W   6.8        2.9        2.5        3.1        4.0       43.9 
051006  212251  47  25.9480 N  62  32.8700 W   6.1        2.9        2.5        3.1        4.0       43.9 
051006  212253  47  25.9450 N  62  32.8720 W   5.1        2.9        2.5        3.1        4.0       35.6*
051006  212255  47  25.9430 N  62  32.8740 W   4.2        2.9        2.5        3.1        4.0       35.6 
051006  212257  47  25.9410 N  62  32.8760 W   4.1        2.9        2.5        2.2*       1.3*      35.6 
051006  212259  47  25.9390 N  62  32.8780 W   3.5        2.9        2.5        2.2        1.3       17.6*
051006  212301  47  25.9380 N  62  32.8790 W   2.3        2.9        2.5        2.2        1.3       17.6 
051006  212303  47  25.9370 N  62  32.8810 W   3.2        2.9        2.5        7.1*       6.4*      38.2*
051006  212305  47  25.9350 N  62  32.8820 W   2.4        2.9        2.5        7.1        6.4       38.2 
051006  212307  47  25.9350 N  62  32.8830 W   2.2        2.9        2.3*       7.1        5.7*      38.2 
051006  212309  47  25.9340 N  62  32.8840 W   2.1        2.9        2.3        7.1        5.7       40.4*
051006  212311  47  25.9330 N  62  32.8850 W   2.1        2.9        2.3        7.1        5.7       40.4 
051006  212313  47  25.9320 N  62  32.8860 W   1.9        2.9        2.3       11.0*       5.0*      40.4 
051006  212315  47  25.9310 N  62  32.8870 W   1.7        3.5*       2.3       11.0        5.0       75.1*
051006  212317  47  25.9310 N  62  32.8880 W   2.1        3.5        2.3        2.8*       4.4*      75.1 
051006  212319  47  25.9300 N  62  32.8890 W   1.6        3.5        2.3        2.8        4.4       10.1*
051006  212321  47  25.9290 N  62  32.8910 W   1.7        3.5        2.5*       2.8        4.4       10.1 
051006  212323  47  25.9290 N  62  32.8920 W   1.9        3.5        2.5        1.6*       4.4       10.1 
051006  212325  47  25.9280 N  62  32.8930 W   1.6        3.5        2.5        1.6        4.4       46.1*
051006  212327  47  25.9280 N  62  32.8940 W   1.9        3.5        2.5        1.6        4.4       46.1 
051006  212329  47  25.9270 N  62  32.8950 W   1.7        3.5*       2.5        8.3*       4.4       54.0*
051006  212331  47  25.9260 N  62  32.8960 W   1.6        3.5        2.5        8.3        4.4       54.0 
051006  212333  47  25.9250 N  62  32.8970 W   2.0        3.5        2.5        4.2*       4.2*      54.0 
051006  212335  47  25.9250 N  62  32.8990 W   1.5        3.5        2.4*       4.2        4.2       49.6*
051006  212337  47  25.9240 N  62  32.9000 W   2.0        3.5        2.4        4.2        4.2       49.6 
051006  212339  47  25.9230 N  62  32.9010 W   1.9        3.5        2.4        4.0*       4.7*      49.6 
051006  212341  47  25.9220 N  62  32.9020 W   1.7        4.2*       2.4        4.0        4.7       50.1*
051006  212343  47  25.9220 N  62  32.9030 W   2.0        4.2        2.4        4.0        4.7       50.1 
051006  212345  47  25.9210 N  62  32.9040 W   1.9        4.2        2.4        5.0*       3.9*      50.1 
051006  212347  47  25.9200 N  62  32.9050 W   1.9        4.2        3.0*       5.0        3.9       52.7*
051006  212349  47  25.9190 N  62  32.9060 W   1.9        4.2        3.0        3.4*       3.9*      52.7 
051006  212351  47  25.9190 N  62  32.9070 W   1.9        4.2        3.0        3.4        3.9       56.7*
051006  212353  47  25.9180 N  62  32.9080 W   1.9        4.2        3.0        3.4        3.9       56.7 
051006  212355  47  25.9170 N  62  32.9100 W   2.0        4.0*       3.0        3.5*       4.8*      56.7 
051006  212357  47  25.9170 N  62  32.9110 W   1.6        4.0        3.0        3.5        4.8       58.9*
051006  212359  47  25.9160 N  62  32.9120 W   2.1        4.0        3.0        3.5        4.7*      58.9 
051006  212401  47  25.9150 N  62  32.9130 W   1.7        4.0        2.3*       3.5        4.7       58.9 
051006  212403  47  25.9140 N  62  32.9140 W   2.2        4.0        2.3        3.5        4.7       60.2*
051006  212405  47  25.9140 N  62  32.9150 W   1.4        4.0        2.3        3.5        4.1*      60.2 
051006  212407  47  25.9130 N  62  32.9160 W   2.5        4.2*       2.3        3.5        4.1       59.3*
051006  212409  47  25.9120 N  62  32.9170 W   1.5        4.2        2.3        3.5        4.1       59.3 
051006  212411  47  25.9110 N  62  32.9180 W   1.8        4.2        2.3        1.9*       3.8*      59.3 
051006  212413  47  25.9110 N  62  32.9200 W   2.3        4.2        2.7*       1.9        3.8       68.5*
051006  212415  47  25.9100 N  62  32.9210 W   1.5        4.2        2.7        1.9        5.7*      68.5 
051006  212417  47  25.9090 N  62  32.9220 W   2.3        4.2        2.7        1.9        5.7       61.5*
051006  212419  47  25.9080 N  62  32.9230 W   1.6        4.2        2.7        1.9        5.7       61.5 
051006  212421  47  25.9080 N  62  32.9240 W   2.1        4.2*       2.7        1.9        3.2*      61.5 
051006  212423  47  25.9070 N  62  32.9250 W   1.5        4.2        2.7        1.9        3.2       66.3*
051006  212425  47  25.9060 N  62  32.9260 W   2.2        4.2        2.7        4.1*       3.2       66.3 
051006  212427  47  25.9050 N  62  32.9270 W   1.9        4.2        2.7        4.1        4.6*      66.3 
051006  212429  47  25.9040 N  62  32.9280 W   2.1        4.2        2.7        4.1        4.6       75.1*
051006  212431  47  25.9040 N  62  32.9290 W   1.7        4.2        2.7        4.0*       4.1*      75.1 
051006  212433  47  25.9030 N  62  32.9300 W   2.1        4.2        2.7        4.0        4.1       75.1 
