FileName: C:\2005CA~1\CTY0111.TXT
Local Time: Wed Oct 05 19:56:01 2005

Ship: Marco Michel Trip: 01 Tow: cty0111
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051005  225807  47  31.2230 N  62  46.8780 W   5.6        2.5       12.5        2.6        8.0        8.3 
051005  225808  47  31.2220 N  62  46.8810 W   5.4        2.5       12.5        2.6        8.0        8.3 
051005  225810  47  31.2210 N  62  46.8840 W   5.2        2.5       12.5        2.6        8.0        8.3 
051005  225812  47  31.2200 N  62  46.8890 W   5.4        2.5       12.5        5.0*       8.0        8.3 
051005  225814  47  31.2180 N  62  46.8930 W   5.0        2.5       12.5        5.0        8.0        8.3 
051005  225816  47  31.2170 N  62  46.8960 W   5.0        2.5       12.5        5.6*       8.0        8.3 
051005  225819  47  31.2150 N  62  46.9010 W   5.1        2.5       12.5        5.6        8.0        8.3 
051005  225820  47  31.2140 N  62  46.9030 W   5.1        2.5       12.5        5.6        8.0        8.3 
051005  225822  47  31.2130 N  62  46.9060 W   5.0        2.5       12.5        5.5*       8.0        8.3 
051005  225825  47  31.2120 N  62  46.9110 W   4.7        2.5       12.5        5.5        8.0      409.5*
051005  225826  47  31.2110 N  62  46.9130 W   4.7        2.5       12.5        5.6*       8.0      409.5 
051005  225828  47  31.2100 N  62  46.9170 W   4.9        2.5       12.5        5.6        8.0      409.5 
051005  225831  47  31.2080 N  62  46.9220 W   4.9        2.5       12.5        5.6        8.0       39.1*
051005  225832  47  31.2070 N  62  46.9240 W   4.8        2.5       12.5        8.0*       8.0       39.1 
051005  225834  47  31.2060 N  62  46.9280 W   4.8        2.5       12.5        8.0        8.0       39.1 
051005  225837  47  31.2040 N  62  46.9330 W   4.9        2.5       12.5        8.0        8.0       39.1*
051005  225838  47  31.2040 N  62  46.9350 W   4.9        2.5       12.5        3.6*       8.0       39.1 
051005  225840  47  31.2020 N  62  46.9390 W   4.7        2.5        4.5*       3.6        8.0       40.4*
051005  225843  47  31.2010 N  62  46.9440 W   4.8        2.5        4.5        4.7*       8.0       40.4 
051005  225844  47  31.2000 N  62  46.9460 W   4.9        2.5        4.5        4.7        8.0       40.4 
051005  225846  47  31.1980 N  62  46.9490 W   4.6        2.5        4.5        4.7        8.0       48.8*
051005  225849  47  31.1970 N  62  46.9550 W   4.5        2.5*       4.5        5.0*       8.0       48.8 
051005  225850  47  31.1960 N  62  46.9560 W   3.9        2.5        4.5        5.0        8.0       30.3*
