FileName: C:\2005CA~1\CTY0092.TXT
Local Time: Wed Oct 05 17:20:56 2005

Ship: Marco Michel Trip: 01 Tow: cty0092
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051005  202301  47  39.0150 N  62  32.6860 W   6.7        2.9        2.3        1.1       10.6       33.8 
051005  202303  47  39.0180 N  62  32.6820 W   6.8        2.9        2.3        1.1       10.6       33.8 
051005  202305  47  39.0210 N  62  32.6780 W   6.6        2.9        2.3        1.1       10.6       33.8 
051005  202307  47  39.0230 N  62  32.6740 W   6.8        2.9        2.3        1.1       10.6       33.8 
051005  202309  47  39.0260 N  62  32.6700 W   7.2        2.9        2.3        1.1       10.6       33.8 
051005  202311  47  39.0290 N  62  32.6660 W   6.7        2.9        2.3        1.1       10.6       33.8 
051005  202313  47  39.0310 N  62  32.6610 W   7.2        2.9        2.3        1.1        4.7*      33.8 
051005  202315  47  39.0340 N  62  32.6570 W   6.9        2.9        2.3        1.1        4.7       33.8 
051005  202317  47  39.0370 N  62  32.6530 W   6.3        2.9        2.3        1.1        4.7       33.8 
051005  202319  47  39.0390 N  62  32.6500 W   7.6        2.9        2.3        1.1        7.0*      33.8 
051005  202321  47  39.0420 N  62  32.6450 W   6.2        2.9        2.3        1.1        7.0       33.8 
051005  202323  47  39.0440 N  62  32.6410 W   7.6        2.9        2.3        1.1        6.8*      33.8 
051005  202325  47  39.0470 N  62  32.6370 W   6.6        2.9        2.3        1.1        6.8       33.8 
051005  202327  47  39.0500 N  62  32.6330 W   6.6        2.9        2.3        1.1        6.8       33.8 
051005  202329  47  39.0530 N  62  32.6290 W   7.1        2.9        2.3        1.1        6.8       33.8 
051005  202331  47  39.0550 N  62  32.6250 W   6.6        2.9        2.3        1.1        6.8       33.8 
051005  202333  47  39.0580 N  62  32.6210 W   6.6        2.9        2.3        1.1        6.8       33.8 
051005  202335  47  39.0610 N  62  32.6170 W   6.9        2.9        2.3        1.1        6.8       33.8 
051005  202337  47  39.0630 N  62  32.6130 W   5.5        2.9        2.3        1.1        6.8       60.2*
051005  202339  47  39.0640 N  62  32.6100 W   5.1        2.9       13.4*       1.1       21.3*      60.2 
051005  202341  47  39.0660 N  62  32.6070 W   4.3        2.9       13.4        1.1       21.3       29.4*
051005  202343  47  39.0670 N  62  32.6050 W   3.2        2.9       13.4        1.1       21.3       29.4 
051005  202345  47  39.0690 N  62  32.6020 W   3.9        2.9       13.4        5.5*       6.0*      29.4 
051005  202347  47  39.0700 N  62  32.6000 W   2.3        2.9       13.4        5.5        6.0       47.9*
051005  202349  47  39.0700 N  62  32.5990 W   3.4        2.9       13.4        4.7*       6.0       47.9 
051005  202351  47  39.0710 N  62  32.5970 W   2.1        2.9       11.4*       4.7        5.6*      47.9 
051005  202353  47  39.0720 N  62  32.5960 W   2.3        2.9       11.4        4.7        5.6       48.3*
051005  202355  47  39.0730 N  62  32.5950 W   2.4        2.9       11.4        6.8*       5.6       48.3 
051005  202357  47  39.0740 N  62  32.5940 W   1.9        2.9       11.4        6.8        5.6       58.4*
051005  202359  47  39.0740 N  62  32.5920 W   2.4        2.9       11.4        6.8        5.6       58.4 
051005  202401  47  39.0750 N  62  32.5900 W   1.7        2.9       11.4        6.8        5.6       58.4 
051005  202403  47  39.0760 N  62  32.5890 W   2.7        2.9       11.4        6.8        5.6       44.8*
051005  202405  47  39.0770 N  62  32.5880 W   2.0        2.9       11.4       23.4*       7.5*      44.8 
051005  202407  47  39.0780 N  62  32.5870 W   2.3        2.9       11.4       23.4        7.5       44.8 
051005  202409  47  39.0790 N  62  32.5860 W   2.4        2.9        2.6*      23.4        7.5       60.2*
051005  202411  47  39.0800 N  62  32.5850 W   2.1        2.9        2.6        4.9*       5.0*      60.2 
051005  202413  47  39.0810 N  62  32.5830 W   2.4        2.9        2.6        4.9        5.0       54.0*
051005  202415  47  39.0810 N  62  32.5820 W   2.1        3.6*       2.6        4.9        5.0       54.0 
051005  202417  47  39.0830 N  62  32.5800 W   2.4        3.6        2.6        6.3*       4.8*      54.0 
051005  202419  47  39.0830 N  62  32.5790 W   1.9        3.6        2.6        6.3        4.8       56.2*
051005  202421  47  39.0840 N  62  32.5780 W   2.9        3.6        2.2*       2.3*      11.0*      56.2 
051005  202423  47  39.0850 N  62  32.5770 W   1.0        3.6        2.2        2.3       11.0       53.2*
051005  202425  47  39.0860 N  62  32.5760 W   3.3        3.6        2.2        2.3       11.0       53.2 
051005  202427  47  39.0870 N  62  32.5750 W   0.6        3.6        2.2        5.9*       2.1*      53.2 
051005  202430  47  39.0880 N  62  32.5730 W   1.0        3.6        2.2        5.9        2.1       89.6*
