FileName: C:\2005CA~1\CTY0371.TXT
Local Time: Thu Oct 06 23:38:51 2005

Ship: Marco Michel Trip: 01 Tow: cty0371
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051007  023853  47  19.1310 N  62  34.3050 W   2.3        3.4       13.2*       3.1*      62.1*      13.2*
051007  023855  47  19.1300 N  62  34.3070 W   2.3        3.4       13.2        3.1       62.1       13.2 
051007  023857  47  19.1300 N  62  34.3080 W   1.9        3.4       13.2        3.1       62.1       13.2 
051007  023859  47  19.1290 N  62  34.3100 W   2.4        3.4       13.2        6.6*      38.9*      13.2 
051007  023901  47  19.1280 N  62  34.3110 W   2.6        3.4       13.2        6.6       38.9       13.2 
051007  023903  47  19.1270 N  62  34.3130 W   3.2        3.4       13.2        5.7*      38.9       13.2 
051007  023905  47  19.1260 N  62  34.3160 W   4.2        3.4       13.2        5.7       38.9       13.2 
051007  023907  47  19.1240 N  62  34.3190 W   4.9        3.4       13.2        5.7       38.9       13.2 
051007  023909  47  19.1230 N  62  34.3220 W   5.2        3.4       13.2        5.7       38.9       13.2 
051007  023911  47  19.1210 N  62  34.3260 W   5.5        3.4       13.2        5.7       38.9       13.2 
051007  023913  47  19.1180 N  62  34.3290 W   6.3        3.4       13.2        5.7       38.9       13.2 
051007  023915  47  19.1150 N  62  34.3330 W   6.4        3.4       13.2        5.7       38.9       13.2 
051007  023917  47  19.1120 N  62  34.3360 W   6.0        3.4       13.2        5.7       38.9       13.2 
051007  023919  47  19.1090 N  62  34.3390 W   6.3        3.4       13.2        5.7       38.9       13.2 
051007  023921  47  19.1060 N  62  34.3420 W   7.1        3.4       13.2        5.7       38.9       13.2 
051007  023923  47  19.1020 N  62  34.3450 W   7.0        3.4       13.2        5.7       38.9       13.2 
051007  023925  47  19.0990 N  62  34.3470 W   6.4        3.4       13.2        5.7       38.9       13.2 
051007  023927  47  19.0960 N  62  34.3490 W   6.7        3.4       13.2        5.7       38.9       13.2 
051007  023929  47  19.0920 N  62  34.3520 W   6.8        3.4       13.2        5.7       38.9       13.2 
051007  023931  47  19.0890 N  62  34.3530 W   7.1        3.4       13.2        5.7       38.9       13.2 
051007  023933  47  19.0850 N  62  34.3550 W   7.1        3.4       13.2        5.7       38.9       13.2 
051007  023935  47  19.0810 N  62  34.3580 W   6.9        3.4       13.2        5.7        7.5*      13.2 
051007  023937  47  19.0780 N  62  34.3600 W   6.5        3.4       13.2        5.7        7.5       13.2 
051007  023939  47  19.0740 N  62  34.3620 W   7.3        3.4       13.2        5.7        7.5       13.2 
051007  023941  47  19.0700 N  62  34.3640 W   7.7        3.4       13.2        5.7        5.6*      13.2 
051007  023943  47  19.0660 N  62  34.3670 W   6.9        3.4       13.2        5.7        5.6       13.2 
051007  023945  47  19.0630 N  62  34.3680 W   6.3        3.4       13.2        5.7        5.6       13.2 
051007  023947  47  19.0590 N  62  34.3700 W   7.0        3.4       13.2        5.7       77.3*      13.2 
051007  023949  47  19.0560 N  62  34.3720 W   7.5        3.4       13.2        5.7       77.3       13.2 
051007  023951  47  19.0520 N  62  34.3740 W   6.8        3.4       13.2        5.7       77.3       13.2 
051007  023953  47  19.0480 N  62  34.3760 W   6.2        3.4       13.2        5.7       77.3       13.2 
051007  023955  47  19.0450 N  62  34.3780 W   6.8        3.4       13.2        5.7       77.3       13.2 
051007  023957  47  19.0410 N  62  34.3800 W   7.2        3.4       13.2        5.7        7.0*      13.2 
051007  023959  47  19.0380 N  62  34.3820 W   6.9        3.4       13.2        5.7        7.0       13.2 
051007  024001  47  19.0340 N  62  34.3840 W   6.7        3.4       13.2        5.7        7.0       13.2 
051007  024003  47  19.0310 N  62  34.3860 W   6.5        2.4*      13.2        5.7        7.0       13.2 
051007  024005  47  19.0270 N  62  34.3880 W   6.6        2.4       13.2        5.7        7.0       13.2 
051007  024007  47  19.0240 N  62  34.3900 W   7.0        2.4       13.2       13.7*       7.0       13.2 
051007  024009  47  19.0210 N  62  34.3920 W   6.6        2.4       13.2       13.7        7.0       13.2 
051007  024011  47  19.0170 N  62  34.3940 W   6.9        2.4       13.2       13.7        7.0*      36.0*
