FileName: C:\2005CA~1\CTY0291.TXT
Local Time: Thu Oct 06 17:46:11 2005

Ship: Marco Michel Trip: 01 Tow: cty0291
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  204613  47  26.2420 N  62  32.1850 W   2.8        4.0       10.7*       2.6*       9.2*      13.2*
051006  204615  47  26.2410 N  62  32.1870 W   2.4        4.0       10.4*      59.6*       9.2       13.2 
051006  204617  47  26.2410 N  62  32.1890 W   2.5        4.0       10.4       59.6        9.2       13.2 
051006  204619  47  26.2400 N  62  32.1910 W   2.5        4.0       10.4       59.6        8.5*      13.2*
051006  204621  47  26.2400 N  62  32.1930 W   2.7        4.0       10.4        7.5*       8.5       13.2 
051006  204623  47  26.2390 N  62  32.1960 W   3.3        4.0       10.4        7.5        8.5       13.2 
051006  204625  47  26.2390 N  62  32.1980 W   3.8        4.0       10.4        7.5        8.5       34.7*
051006  204627  47  26.2370 N  62  32.2020 W   4.4        4.0       10.4        7.5        8.5       34.7 
051006  204629  47  26.2360 N  62  32.2050 W   4.8        4.0       10.4        7.5        8.5       34.7 
051006  204631  47  26.2360 N  62  32.2090 W   5.2        4.0       10.4        7.5        8.5       34.7 
051006  204633  47  26.2340 N  62  32.2130 W   5.6        4.0       10.4        7.5        8.5       34.7 
051006  204635  47  26.2330 N  62  32.2180 W   6.0        4.0       10.4        3.3*       8.5       34.7 
051006  204637  47  26.2320 N  62  32.2220 W   5.8        4.0       10.4        3.3        8.5       34.7 
051006  204639  47  26.2310 N  62  32.2270 W   6.3        4.0       10.4        3.3        8.5       34.7 
051006  204641  47  26.2300 N  62  32.2330 W   6.8        4.0       10.4        3.3        8.5       34.7 
051006  204643  47  26.2290 N  62  32.2380 W   6.6        4.0       10.4        3.3        8.5       34.7 
051006  204645  47  26.2270 N  62  32.2430 W   6.6        4.0       10.4        3.3        5.0*      34.7 
051006  204647  47  26.2270 N  62  32.2480 W   6.7        4.0       10.4        3.3        5.0       34.7 
051006  204649  47  26.2250 N  62  32.2540 W   7.2        4.0       10.4        3.3        5.0       34.7 
051006  204651  47  26.2230 N  62  32.2590 W   7.1        4.0       10.4        3.3       56.0*      34.7 
051006  204653  47  26.2220 N  62  32.2640 W   6.9        4.0       10.4      135.2*      56.0       34.7 
051006  204655  47  26.2210 N  62  32.2700 W   7.0        4.0       10.4      135.2       56.0       34.7 
051006  204657  47  26.2200 N  62  32.2760 W   7.3        4.0       10.4      135.2        4.7*      34.7 
051006  204659  47  26.2180 N  62  32.2810 W   6.8        4.0       10.4      135.2        4.7       34.7 
051006  204701  47  26.2170 N  62  32.2870 W   6.7        4.0       10.4      135.2        4.7       34.7 
051006  204703  47  26.2160 N  62  32.2920 W   6.9        4.0       10.4      135.2        4.7       34.7 
051006  204705  47  26.2150 N  62  32.2970 W   7.2        4.0       10.4      135.2        4.7       34.7 
051006  204707  47  26.2130 N  62  32.3030 W   7.1        4.0       10.4      135.2        4.7       34.7 
051006  204709  47  26.2120 N  62  32.3090 W   6.9        4.0       10.4      135.2        4.7       34.7 
051006  204711  47  26.2100 N  62  32.3140 W   7.0        4.0       10.4      135.2        4.7       34.7 
051006  204713  47  26.2090 N  62  32.3190 W   7.2        4.0       10.4      135.2        4.7       34.7 
051006  204715  47  26.2070 N  62  32.3250 W   7.3        4.0       10.4      135.2        4.7       34.7 
051006  204717  47  26.2060 N  62  32.3300 W   7.1        4.0       10.4      135.2        7.6*      34.7 
