FileName: C:\2005CA~1\CTY0242.TXT
Local Time: Thu Oct 06 14:39:26 2005

Ship: Marco Michel Trip: 01 Tow: cty0242
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  174356  47  25.8550 N  62  32.6000 W   1.4        3.9        2.9        4.4        6.1*      79.5*
051006  174358  47  25.8550 N  62  32.6010 W   2.8        3.9        2.9        4.4        6.1       79.5 
051006  174400  47  25.8540 N  62  32.6020 W   1.7        3.9        2.9        5.5*       6.1       79.5 
051006  174402  47  25.8530 N  62  32.6040 W   2.0        3.9        2.9        5.5        6.1       82.2*
051006  174404  47  25.8520 N  62  32.6050 W   2.4        3.9        2.9        5.5        6.1       82.2 
051006  174406  47  25.8510 N  62  32.6060 W   1.8        3.9        2.9        5.0*       6.1       77.8*
051006  174408  47  25.8500 N  62  32.6080 W   2.5        3.9        2.9        5.0        6.1       77.8 
051006  174410  47  25.8500 N  62  32.6090 W   1.7        3.9        2.9        5.9*       6.1       77.8 
051006  174412  47  25.8490 N  62  32.6100 W   2.2        3.9        2.9        5.9       38.9*      83.0*
051006  174414  47  25.8480 N  62  32.6110 W   2.2        3.9        2.9        5.9       38.9       83.0 
051006  174416  47  25.8470 N  62  32.6130 W   2.1        3.9        2.9        5.2*      38.9       83.0 
051006  174418  47  25.8470 N  62  32.6140 W   2.1        3.9        2.9        5.2       38.9       80.0*
051006  174420  47  25.8460 N  62  32.6150 W   2.1        3.9        2.9        6.2*      38.9       80.0 
051006  174422  47  25.8460 N  62  32.6170 W   1.8        3.9        2.9        6.2        2.4*      80.8*
051006  174424  47  25.8450 N  62  32.6180 W   1.9        3.9        2.9        6.2        2.4       80.8 
051006  174426  47  25.8450 N  62  32.6190 W   2.0        3.9        2.9        5.8*      13.4*      80.8 
051006  174428  47  25.8440 N  62  32.6200 W   1.8        3.9        2.9        5.8       13.4       81.7*
051006  174430  47  25.8430 N  62  32.6210 W   2.2        3.9        2.9        5.8       13.4       81.7 
051006  174432  47  25.8430 N  62  32.6230 W   1.7        3.9        2.9        6.2*      15.2*      81.7 
051006  174434  47  25.8420 N  62  32.6240 W   2.2        3.9        2.9        6.2       15.2       81.7*
051006  174436  47  25.8410 N  62  32.6260 W   1.7        3.9        2.9        6.4*       5.1*      81.7 
051006  174438  47  25.8400 N  62  32.6270 W   1.9        3.9       11.4*       6.4        5.1       80.8*
051006  174440  47  25.8400 N  62  32.6280 W   2.1        3.9       11.4        6.4        5.1       80.8 
051006  174442  47  25.8390 N  62  32.6290 W   1.4        3.9       11.4        7.0*      31.1*      80.8 
051006  174444  47  25.8380 N  62  32.6310 W   2.3        3.9       11.4        7.0       31.1       80.8*
051006  174446  47  25.8380 N  62  32.6320 W   1.2        3.9       11.4        7.0       31.1       80.8 
051006  174448  47  25.8370 N  62  32.6330 W   2.2        3.9       11.4        6.2*       8.0*      80.8 
051006  174450  47  25.8370 N  62  32.6350 W   1.8        3.9       11.4        6.2        8.0       82.6*
051006  174452  47  25.8360 N  62  32.6360 W   1.8        3.9       11.4        7.2*       8.0       82.6 
051006  174454  47  25.8350 N  62  32.6380 W   2.1        3.9       11.4        7.2       11.4*      80.4*
051006  174456  47  25.8350 N  62  32.6390 W   1.7        3.9       11.4        7.2       11.4       80.4 
051006  174458  47  25.8350 N  62  32.6390 W   1.7        3.9       11.4        6.8*      11.4       80.4 
051006  174500  47  25.8340 N  62  32.6400 W   1.9        3.9       11.4        6.8       11.4       80.8*
051006  174502  47  25.8330 N  62  32.6420 W   2.3        3.9       11.4        6.8       11.4       80.8 
051006  174504  47  25.8320 N  62  32.6430 W   1.3        3.9       11.4        7.1*      11.4       80.8 
051006  174506  47  25.8320 N  62  32.6450 W   2.9        3.9       11.4        7.1       11.4       82.6*
051006  174508  47  25.8310 N  62  32.6470 W   1.1        3.9       11.4        9.5*       4.0*      82.6 
051006  174510  47  25.8310 N  62  32.6470 W   2.8        3.9       11.4        9.5        4.0       81.3*
051006  174512  47  25.8300 N  62  32.6480 W   1.2        3.9       11.4        9.5        4.0       81.3 
051006  174514  47  25.8290 N  62  32.6490 W   2.6        3.9       11.4        4.8*      56.1*      81.3 
051006  174516  47  25.8280 N  62  32.6510 W   1.5        3.9       11.4        4.8       56.1       85.2*
051006  174518  47  25.8270 N  62  32.6520 W   2.5        3.9       11.4        6.2*      56.1       85.2 
051006  174520  47  25.8260 N  62  32.6540 W   1.6        3.9       11.4        6.2        8.0*      85.2 
051006  174522  47  25.8260 N  62  32.6550 W   2.1        3.9       11.4        6.2        8.0       83.0*
051006  174524  47  25.8250 N  62  32.6560 W   2.2        3.9       11.4        6.5*       8.0       83.0 
051006  174526  47  25.8250 N  62  32.6580 W   1.7        3.9       11.4        6.5        8.0       83.0 
051006  174528  47  25.8240 N  62  32.6590 W   2.2        3.9       11.4        6.5        8.0       77.3*
051006  174530  47  25.8240 N  62  32.6600 W   2.0        3.9       11.4        7.4*       0.2*      77.3 
051006  174532  47  25.8230 N  62  32.6620 W   1.8        3.9       11.4        7.4        0.2       79.1*
051006  174534  47  25.8220 N  62  32.6630 W   2.0        3.9       11.4        6.5*       0.2       79.1 
051006  174536  47  25.8210 N  62  32.6640 W   2.1        3.9       11.4        6.5       63.2*      79.1 
051006  174538  47  25.8210 N  62  32.6660 W   1.8        3.9       11.4*       6.5       63.2       82.6*
051006  174540  47  25.8200 N  62  32.6670 W   2.2        3.9       11.4        6.5*       3.5*      82.6 
051006  174542  47  25.8190 N  62  32.6690 W   2.0        3.9       11.4        6.5        3.5       82.6 
051006  174544  47  25.8190 N  62  32.6700 W   1.7        3.9       11.4        6.7*       3.5       80.0*
051006  174546  47  25.8180 N  62  32.6710 W   2.1        3.9       11.4        6.7        7.7*      80.0 
051006  174548  47  25.8170 N  62  32.6720 W   1.4        3.9       11.4        6.7        7.7       81.7*
051006  174550  47  25.8170 N  62  32.6730 W   2.4        3.9       11.1*       6.3*       7.7       81.7 
051006  174552  47  25.8160 N  62  32.6750 W   1.7        3.9       11.1        6.3        9.4*      81.7 
051006  174554  47  25.8160 N  62  32.6760 W   2.1        3.9       11.1        6.3        9.4       80.0*
051006  174556  47  25.8150 N  62  32.6770 W   1.7        3.9       11.1        6.9*       9.4       80.0 
051006  174558  47  25.8140 N  62  32.6780 W   2.1        3.9       11.1        6.9        9.4       80.0 
051006  174600  47  25.8130 N  62  32.6790 W   1.7        3.9       11.1        6.8*       9.4       80.4*
051006  174602  47  25.8130 N  62  32.6800 W   2.0        3.9       11.1        6.8       64.5*      80.4 
051006  174604  47  25.8120 N  62  32.6820 W   1.9        3.9       11.1        6.8       64.5       79.5*
051006  174606  47  25.8110 N  62  32.6830 W   2.1        3.9       11.1        7.3*       7.9*      79.5 
051006  174608  47  25.8100 N  62  32.6840 W   1.9        3.9       11.1        7.3        7.9       79.5 
051006  174610  47  25.8100 N  62  32.6860 W   1.8        3.9       11.1        7.3        7.9       80.4*
051006  174612  47  25.8090 N  62  32.6860 W   1.8        3.9       11.1        6.8*       9.2*      80.4 
051006  174614  47  25.8090 N  62  32.6880 W   2.2        3.9       11.1        6.8        9.2       80.4 
051006  174616  47  25.8080 N  62  32.6890 W   1.7        3.9       11.1        7.2*       9.2       80.8*
051006  174618  47  25.8070 N  62  32.6910 W   2.1        3.9       11.1        7.2       12.3*      80.8 
051006  174620  47  25.8060 N  62  32.6920 W   2.0        3.9       11.1        7.2       12.3       78.6*
051006  174622  47  25.8050 N  62  32.6940 W   1.8        3.9       11.1        8.6*       4.1*      78.6 
051006  174624  47  25.8050 N  62  32.6950 W   1.8        3.9       11.1        8.6        4.1       78.6 
051006  174626  47  25.8040 N  62  32.6970 W   2.5        3.9       11.1        8.6        4.1       83.0*
051006  174628  47  25.8030 N  62  32.6980 W   2.0        3.9       11.1        4.7*      12.8*      83.0 
051006  174630  47  25.8020 N  62  32.7000 W   2.8        3.9       11.1        4.7       12.8       83.0 
051006  174632  47  25.8010 N  62  32.7010 W   1.8        3.9       11.1        6.2*      12.8       79.1*
051006  174634  47  25.8010 N  62  32.7020 W   2.2        3.9       11.1        6.2       12.8       79.1 
051006  174636  47  25.8000 N  62  32.7040 W   2.0        3.9       11.1        6.2       12.8       81.3*
051006  174638  47  25.7990 N  62  32.7050 W   2.3        3.9       11.1        6.1*       7.6*      81.3 
051006  174640  47  25.7990 N  62  32.7060 W   1.9        3.9       11.1        6.1        7.6       81.3 
051006  174642  47  25.7980 N  62  32.7080 W   2.3        3.9       11.1        6.2*       7.6       87.0*
051006  174644  47  25.7970 N  62  32.7090 W   1.5        3.9       11.1        6.2        7.6       87.0 
051006  174646  47  25.7970 N  62  32.7100 W   2.5        3.9       11.1        6.2        7.6       87.0 
051006  174648  47  25.7960 N  62  32.7120 W   1.3        3.9       11.1        6.4*       7.6       74.7*
051006  174650  47  25.7960 N  62  32.7130 W   2.7        3.9       11.1        6.4       77.3*      74.7 
051006  174652  47  25.7950 N  62  32.7150 W   1.5        3.9       11.1        6.4       77.3       74.7 
051006  174654  47  25.7940 N  62  32.7160 W   2.3        3.9       11.1        7.1*       7.7*      79.5*
051006  174656  47  25.7930 N  62  32.7180 W   1.5        3.9       11.1        7.1        7.7       79.5 
051006  174658  47  25.7930 N  62  32.7180 W   1.8        3.9       11.1       12.4*       7.7       79.5*
051006  174700  47  25.7920 N  62  32.7190 W   1.8        3.9       11.1       12.4        8.8*      79.5 
051006  174702  47  25.7920 N  62  32.7210 W   1.8        3.9       11.1       12.4        8.8       79.5 
051006  174704  47  25.7910 N  62  32.7220 W   1.8        3.9       11.1        4.5*       8.8       80.4*
051006  174706  47  25.7900 N  62  32.7230 W   1.3        3.9       11.1        4.5       16.4*      80.4 
051006  174708  47  25.7900 N  62  32.7240 W   1.3        3.9       11.1        4.5       16.4       80.4 
051006  174710  47  25.7900 N  62  32.7250 W   0.7        3.9       11.1        4.1*       0.3*      82.6*
051006  174712  47  25.7900 N  62  32.7250 W   0.7        3.9       11.1        4.1        0.3       82.6 
051006  174714  47  25.7910 N  62  32.7260 W   0.6        3.9       11.1        5.9*       0.3       80.4*
051006  174716  47  25.7910 N  62  32.7260 W   0.4        3.9       11.1        5.9        0.3       80.4 
051006  174718  47  25.7910 N  62  32.7260 W   0.9        3.9       11.1        5.9        0.3       80.4 
051006  174720  47  25.7920 N  62  32.7270 W   0.4        3.9        2.6*       4.2*       0.3       75.6*
051006  174722  47  25.7920 N  62  32.7260 W   1.0        3.9        2.6        4.2        0.3       75.6 
051006  174724  47  25.7920 N  62  32.7270 W   0.6        3.9        2.6        4.4*       0.3       75.6 
051006  174726  47  25.7920 N  62  32.7270 W   0.4        6.6*       2.6        4.4       83.1*      83.5*
051006  174728  47  25.7920 N  62  32.7280 W   0.8        6.6        2.6        4.4       83.1       83.5 
051006  174730  47  25.7920 N  62  32.7290 W   0.5        6.6        2.6        3.5*      83.1       72.5*
051006  174732  47  25.7930 N  62  32.7290 W   1.2        6.6        2.1*       3.5        3.6*      72.5 
051006  174734  47  25.7920 N  62  32.7310 W   1.1        6.6        2.1        3.5        3.6       72.5 
051006  174736  47  25.7920 N  62  32.7310 W   1.0        6.6        2.1        3.4*       3.6       98.0*
051006  174738  47  25.7920 N  62  32.7330 W   1.8        6.6        2.1        3.4        3.6       98.0 
051006  174740  47  25.7920 N  62  32.7330 W   0.6        9.3*       2.1        3.4        3.6       98.0 
051006  174742  47  25.7910 N  62  32.7350 W   2.9        9.3        2.1        3.4        3.6       56.2*
051006  174744  47  25.7910 N  62  32.7360 W   0.8        9.3        2.1        3.4        3.6       56.2 
051006  174746  47  25.7910 N  62  32.7370 W   2.8        9.3        2.3*      47.9*       3.6       76.4*
051006  174748  47  25.7910 N  62  32.7390 W   1.2        9.3        2.3       47.9        3.6       76.4 
051006  174750  47  25.7900 N  62  32.7400 W   2.8        9.3        2.3       47.9        3.6       76.4 
051006  174752  47  25.7890 N  62  32.7420 W   1.2        9.3        2.3       47.9        8.3*     188.9*
051006  174754  47  25.7880 N  62  32.7440 W   3.2        2.7*       2.3       47.9        8.3      188.9 
051006  174756  47  25.7870 N  62  32.7460 W   1.5        2.7        2.3        3.7*       8.3      188.9 
051006  174758  47  25.7870 N  62  32.7470 W   2.7        2.7        2.3        3.7        8.3      188.9 
051006  174800  47  25.7860 N  62  32.7490 W   1.7        2.7        2.5*       3.7        8.3      188.9 
051006  174802  47  25.7860 N  62  32.7500 W   2.5        2.7        2.5        4.3*      14.1*      77.8*
051006  174804  47  25.7850 N  62  32.7510 W   1.8        2.7        2.5        4.3       14.1       77.8 
051006  174806  47  25.7840 N  62  32.7520 W   2.3        3.7*       2.5        3.5*      14.1       77.8 
