FileName: C:\2005CA~1\CTY0232.TXT
Local Time: Thu Oct 06 13:51:41 2005

Ship: Marco Michel Trip: 01 Tow: cty0232
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  165141  47  25.8020 N  62  32.7210 W   2.0        3.2*       2.5*       7.4*       3.9*      21.1*
051006  165143  47  25.8010 N  62  32.7220 W   2.6        3.2        2.5        7.4        6.4*      21.1 
051006  165145  47  25.8000 N  62  32.7240 W   1.9        3.2        2.5        7.4        6.4       21.1 
051006  165147  47  25.7990 N  62  32.7240 W   2.9        3.2        9.2*       7.4        2.1*      21.1 
051006  165149  47  25.7980 N  62  32.7260 W   1.9        3.2        9.2        7.4        2.1       21.1 
051006  165151  47  25.7970 N  62  32.7270 W   2.6        3.2        9.2        7.4        2.1        0.0*
051006  165153  47  25.7950 N  62  32.7280 W   2.8       10.7*       9.2        7.4        2.0*       0.0 
051006  165155  47  25.7940 N  62  32.7290 W   2.0       10.7        9.2        9.5*       2.0       22.4*
051006  165157  47  25.7930 N  62  32.7310 W   3.8       10.7        9.2        9.5        2.0       22.4 
051006  165159  47  25.7910 N  62  32.7330 W   3.7       10.7        9.2        0.5*       2.0       22.4 
051006  165201  47  25.7890 N  62  32.7350 W   4.3       10.7        9.2        0.5        2.0       30.8*
051006  165203  47  25.7870 N  62  32.7360 W   4.4       10.7        9.2        0.5        2.0       30.8 
051006  165205  47  25.7850 N  62  32.7390 W   5.3       10.7        9.2        6.0*       2.0       30.8 
051006  165207  47  25.7820 N  62  32.7410 W   5.9       10.7        9.2        6.0        2.0       30.8 
051006  165209  47  25.7790 N  62  32.7430 W   5.5       10.7        9.2        6.0        2.0       30.8 
051006  165211  47  25.7760 N  62  32.7450 W   5.7       10.7        9.2        6.0        2.0       30.8 
051006  165213  47  25.7730 N  62  32.7470 W   6.2       10.7        9.2        6.0        2.0       30.8 
051006  165215  47  25.7690 N  62  32.7480 W   6.7       10.7        9.2        6.0        2.0       30.8 
051006  165217  47  25.7660 N  62  32.7500 W   6.0       10.7        9.2        6.0        2.0       30.8 
051006  165219  47  25.7630 N  62  32.7510 W   6.3       10.7        9.2        6.0        2.0       30.8 
051006  165221  47  25.7590 N  62  32.7520 W   6.8       10.7        9.2        6.0        2.0       30.8 
