FileName: C:\2005CA~1\CTY0172.TXT
Local Time: Thu Oct 06 07:30:56 2005

Ship: Marco Michel Trip: 01 Tow: cty0172
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  103058  47  29.2340 N  62  46.9080 W   1.7        2.2*      13.2*       5.6*       1.2*       7.0*
051006  103100  47  29.2340 N  62  46.9070 W   2.2        2.2       13.2        0.3*       1.2        7.0 
051006  103102  47  29.2330 N  62  46.9060 W   2.2        2.2       13.2        0.3        1.2        7.0 
051006  103104  47  29.2330 N  62  46.9050 W   2.5        2.2       13.2        0.3        1.2        7.0 
051006  103106  47  29.2320 N  62  46.9040 W   0.9        2.2       13.2        5.5*       1.2        7.0 
051006  103108  47  29.2310 N  62  46.9030 W   3.1        2.2       13.2        5.5        1.2        7.0 
051006  103110  47  29.2300 N  62  46.9020 W   2.1        2.2       13.2        1.4*       1.2        7.0 
051006  103112  47  29.2290 N  62  46.9000 W   3.7        2.2       13.2        1.4        1.2        7.0 
051006  103114  47  29.2270 N  62  46.8990 W   4.1        2.2       13.2        1.4        7.0*       7.0 
051006  103116  47  29.2260 N  62  46.8960 W   4.4        2.2       13.2        2.4*       7.0        7.0 
051006  103118  47  29.2240 N  62  46.8930 W   5.1        2.2       13.2        2.4        7.0        7.9*
051006  103120  47  29.2220 N  62  46.8900 W   5.2        2.2       13.2        2.4        3.5*       7.9 
051006  103122  47  29.2200 N  62  46.8870 W   6.2        2.2       13.2       12.6*       3.5        7.9 
051006  103124  47  29.2180 N  62  46.8840 W   5.4        2.2       13.2       12.6        3.5       14.9*
051006  103126  47  29.2150 N  62  46.8800 W   5.8        2.2       13.2        1.4*       3.5       14.9 
051006  103128  47  29.2130 N  62  46.8770 W   6.5        2.2       13.2        1.4        3.5       14.9 
051006  103130  47  29.2100 N  62  46.8740 W   6.1        2.2       13.2        1.4        3.5       14.9 
051006  103132  47  29.2090 N  62  46.8690 W   7.0        2.2       13.2        1.4        3.5       14.9 
051006  103134  47  29.2060 N  62  46.8660 W   6.3        2.2       13.2        1.4        3.5       14.9 
051006  103136  47  29.2030 N  62  46.8610 W   6.9        2.2       13.2        1.4        3.5       14.9 
051006  103138  47  29.2010 N  62  46.8560 W   6.5        2.2       13.2        1.4        3.5       14.9 
051006  103140  47  29.1990 N  62  46.8530 W   6.7        2.2       13.2        1.4        3.5       14.9 
051006  103142  47  29.1970 N  62  46.8480 W   6.3        2.2       13.2        1.4        4.0*      14.9 
051006  103144  47  29.1940 N  62  46.8440 W   7.7        2.2       13.2        1.4        4.0       14.9 
051006  103146  47  29.1920 N  62  46.8400 W   5.6        2.2       13.2        1.4        4.0       14.9 
051006  103148  47  29.1890 N  62  46.8360 W   8.0        2.2       13.2        1.4        4.0       14.9 
051006  103150  47  29.1870 N  62  46.8320 W   5.8        2.2       13.2        1.4        4.0       14.9 
051006  103152  47  29.1850 N  62  46.8270 W   7.3        2.2       13.2        1.4        4.0       14.9 
051006  103154  47  29.1830 N  62  46.8230 W   7.0        2.2       13.2        1.4        4.0       14.9 
051006  103156  47  29.1800 N  62  46.8180 W   6.8        2.2       13.2        1.4        4.0       14.9 
051006  103158  47  29.1780 N  62  46.8150 W   7.1        2.2       13.2        1.4        4.0       14.9 
051006  103200  47  29.1760 N  62  46.8090 W   6.7        2.2       13.2        1.4        4.0       14.9 
051006  103202  47  29.1730 N  62  46.8050 W   7.3        2.2       13.2        1.4        4.0       14.9 
051006  103204  47  29.1700 N  62  46.8010 W   7.7        2.2       13.2        1.4        4.0       14.9 
051006  103206  47  29.1690 N  62  46.7960 W   6.6        2.2       13.2        1.4        4.0       14.9 
051006  103208  47  29.1660 N  62  46.7920 W   7.4        2.2       13.2        1.4        4.0       14.9 
051006  103210  47  29.1640 N  62  46.7880 W   6.6        2.2       13.2        1.4        4.0       14.9 
051006  103212  47  29.1610 N  62  46.7820 W   7.4        2.2       13.2        1.4        4.0       14.9 
051006  103214  47  29.1590 N  62  46.7790 W   7.1        2.2       13.2        1.4        5.9*      14.9 
051006  103216  47  29.1560 N  62  46.7740 W   6.9        2.2       13.2        1.4        5.9       14.9 
051006  103218  47  29.1550 N  62  46.7680 W   6.8        2.2       13.2        1.4        5.9       14.9 
051006  103220  47  29.1520 N  62  46.7650 W   7.7        2.2       13.2        1.4        5.9       14.9 
051006  103222  47  29.1500 N  62  46.7600 W   6.5        2.2       13.2        1.4        5.9       14.9 
051006  103224  47  29.1480 N  62  46.7550 W   7.7        2.2       13.2        1.4        5.9       14.9 
051006  103226  47  29.1450 N  62  46.7500 W   6.8        2.2       13.2        1.4        5.9       14.9 
051006  103228  47  29.1420 N  62  46.7470 W   7.8        2.2       13.2        1.4        5.6*      14.9 
051006  103230  47  29.1400 N  62  46.7420 W   5.9        2.2       13.2        1.4        5.6       14.9 
051006  103232  47  29.1370 N  62  46.7380 W   8.2        2.2       13.2        1.4        5.6       14.9 
051006  103234  47  29.1340 N  62  46.7330 W   6.1        2.2       13.2        1.4        5.6       14.9 
051006  103236  47  29.1330 N  62  46.7280 W   7.2        2.2       13.2        1.4        5.6       14.9 
051006  103238  47  29.1300 N  62  46.7240 W   7.2        2.2       13.2        1.4        5.6       14.9 
051006  103240  47  29.1280 N  62  46.7190 W   7.3        2.2       13.2        1.4        5.6       14.9 
051006  103242  47  29.1250 N  62  46.7150 W   6.9        2.2       13.2        1.4        5.6       14.9 
051006  103244  47  29.1230 N  62  46.7110 W   7.5        2.2       13.2        1.4        5.6       14.9 
051006  103246  47  29.1210 N  62  46.7060 W   7.1        2.2       13.2        1.4        5.6       14.9 
051006  103248  47  29.1180 N  62  46.7020 W   7.2        2.2       13.2        1.4        5.6       14.9 
051006  103250  47  29.1150 N  62  46.6970 W   7.5        2.2       13.2        1.4        5.6       14.9 
051006  103252  47  29.1130 N  62  46.6920 W   7.4        2.2       13.2        1.4        5.6       14.9 
051006  103254  47  29.1110 N  62  46.6880 W   7.4        2.2       13.2        1.4        5.6       14.9 
051006  103256  47  29.1080 N  62  46.6830 W   6.3        2.2       13.2        1.4        7.1*      14.9 
051006  103258  47  29.1060 N  62  46.6790 W   8.8        2.2       13.2        1.4        7.1       14.9 
051006  103300  47  29.1040 N  62  46.6740 W   5.7        2.2       13.2        1.4        7.1       14.9 
051006  103302  47  29.1020 N  62  46.6690 W   7.7        2.2       13.2        1.4        7.1       14.9 
051006  103304  47  29.0990 N  62  46.6650 W   6.4        2.2       13.2        1.4        7.1       14.9 
051006  103306  47  29.0970 N  62  46.6600 W   7.0        2.2       13.2        1.4        7.1       14.9 
051006  103308  47  29.0960 N  62  46.6560 W   5.3        2.2       13.2        1.4        7.1       14.9 
051006  103310  47  29.0930 N  62  46.6530 W   5.8        2.2       13.2        1.4        7.1       14.9 
051006  103312  47  29.0920 N  62  46.6490 W   5.4        2.2       13.2        1.4        7.1       14.9 
051006  103314  47  29.0900 N  62  46.6460 W   5.4        2.2       13.2        1.4        7.1       14.9 
051006  103316  47  29.0880 N  62  46.6420 W   5.3        2.2       13.2      112.8*       7.1       14.9 
051006  103318  47  29.0870 N  62  46.6390 W   5.3        2.2       13.2      112.8        7.1       14.9 
051006  103320  47  29.0850 N  62  46.6360 W   3.3        2.2       13.2      112.8        3.6*      14.9 
051006  103322  47  29.0830 N  62  46.6340 W   4.7        2.2       13.2      112.8        3.6       14.9 
051006  103324  47  29.0820 N  62  46.6330 W   2.1        2.2       13.2      112.8        3.6       65.5*
051006  103326  47  29.0810 N  62  46.6310 W   4.3        2.2       13.2      112.8        7.8*      65.5 
051006  103328  47  29.0800 N  62  46.6300 W   1.9        2.2       13.2      112.8        7.8       65.5 
051006  103330  47  29.0790 N  62  46.6290 W   4.1        2.2       13.2      112.8        7.3*      46.6*
051006  103332  47  29.0780 N  62  46.6280 W   0.6        2.2       13.2        7.4*       7.3       46.6 
051006  103334  47  29.0770 N  62  46.6270 W   3.2        2.2       13.2        7.4        7.3       46.6 
051006  103336  47  29.0770 N  62  46.6260 W   1.0        2.2       13.2        7.4        7.3       46.6 
051006  103338  47  29.0760 N  62  46.6250 W   2.3        2.2       13.2        7.4        7.3       46.6 
051006  103340  47  29.0750 N  62  46.6240 W   1.5        2.2       13.2        7.4        7.3       46.6 
051006  103342  47  29.0750 N  62  46.6230 W   1.8        2.2       13.2        7.4        7.3       46.6 
051006  103344  47  29.0740 N  62  46.6230 W   2.5        2.2       13.2        7.4        7.3       46.6 
051006  103346  47  29.0730 N  62  46.6210 W   1.4        2.2       13.2        7.4        7.3       46.6 
051006  103348  47  29.0730 N  62  46.6210 W   1.9        2.2       13.2        7.4        7.3       46.6 
051006  103350  47  29.0720 N  62  46.6190 W   1.7        2.2       13.2        7.4        7.3       46.6 
051006  103352  47  29.0720 N  62  46.6180 W   2.1        2.2       13.2        7.4        7.3       46.6 
051006  103354  47  29.0710 N  62  46.6170 W   1.6        2.2       13.2        7.4        7.3       46.6 
051006  103356  47  29.0700 N  62  46.6170 W   2.0        2.2       13.2        7.4        7.3       46.6 
051006  103358  47  29.0700 N  62  46.6160 W   2.1        2.2       13.2        9.8*       7.3       46.6 
051006  103400  47  29.0680 N  62  46.6150 W   1.3        4.0*      13.2        9.8        7.3       46.6 
051006  103402  47  29.0680 N  62  46.6140 W   2.2        4.0       13.2        9.8        7.3       46.6 
051006  103404  47  29.0670 N  62  46.6130 W   1.3        4.0       13.2        9.8        7.3       46.6 
051006  103406  47  29.0660 N  62  46.6130 W   2.5        4.0        2.6*       9.8        7.3       46.6 
051006  103408  47  29.0660 N  62  46.6120 W   2.0        4.0        2.6       14.7*       7.3       34.7*
051006  103410  47  29.0650 N  62  46.6110 W   2.9        4.0        2.6       14.7        7.3       34.7 
051006  103412  47  29.0640 N  62  46.6100 W   2.9        4.0        2.6       14.7        5.9*      59.3*
051006  103414  47  29.0640 N  62  46.6080 W   1.1        4.3*       2.6       14.7        5.9       59.3 
051006  103416  47  29.0620 N  62  46.6080 W   3.3        4.3        2.6       14.7        5.9       59.3 
051006  103418  47  29.0620 N  62  46.6060 W   1.7        4.3        2.6       14.7        5.2*      71.2*
051006  103420  47  29.0610 N  62  46.6050 W   2.5        4.3        2.6       14.7        5.2       71.2 
051006  103422  47  29.0600 N  62  46.6040 W   2.5        4.3        2.6       14.7        7.4*      71.2 
051006  103424  47  29.0590 N  62  46.6030 W   2.3        4.3        2.6        4.6*       7.4       47.9*
051006  103426  47  29.0590 N  62  46.6010 W   2.5        4.0*       2.6        4.6        7.4       47.9 
051006  103428  47  29.0560 N  62  46.6030 W   2.7        4.0        2.6        4.6        3.5*      61.5*
051006  103430  47  29.0550 N  62  46.6010 W   3.0        4.0        2.6        6.0*       3.5       61.5 
051006  103432  47  29.0550 N  62  46.5990 W   2.8        4.0        2.6        6.0        3.5       61.5 
051006  103434  47  29.0530 N  62  46.6000 W   2.8        4.0        2.6        3.3*       5.6*      61.9*
051006  103436  47  29.0530 N  62  46.5970 W   2.8        4.0        2.6        3.3        5.6       61.9 
