FileName: C:\2005CA~1\CTY0352.TXT
Local Time: Thu Oct 06 22:28:16 2005

Ship: Marco Michel Trip: 01 Tow: cty0352
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051007  012819  47  19.1680 N  62  34.5340 W   2.3        2.5*      10.7        2.3*       5.8*       9.2*
051007  012821  47  19.1670 N  62  34.5360 W   2.1        2.5       10.7        2.3        3.0*       9.2 
051007  012823  47  19.1660 N  62  34.5370 W   2.3        2.5       10.7        2.9*       3.0        9.2 
051007  012825  47  19.1660 N  62  34.5390 W   2.1        2.5       10.7        2.9        3.0        4.0*
051007  012827  47  19.1650 N  62  34.5400 W   2.3        2.5       10.7        2.9        3.0        4.0 
051007  012829  47  19.1640 N  62  34.5410 W   2.8        2.5       10.7        2.9        3.0       14.9*
051007  012831  47  19.1630 N  62  34.5420 W   3.1        2.5       10.7        2.9        3.0       14.9 
051007  012833  47  19.1620 N  62  34.5440 W   3.7        2.5       10.7        2.9        3.0       14.9 
051007  012835  47  19.1600 N  62  34.5460 W   4.4        2.5       10.7        2.9        3.0       14.9 
051007  012837  47  19.1580 N  62  34.5500 W   5.3        2.5       10.7       54.7*       3.0       14.9 
051007  012839  47  19.1560 N  62  34.5540 W   5.4        2.5       10.7       54.7      101.6*      14.9 
051007  012841  47  19.1530 N  62  34.5580 W   5.6        2.5       10.7       54.7      101.6       14.9 
051007  012843  47  19.1510 N  62  34.5610 W   6.0        2.5       10.7       54.7      101.6       14.9 
051007  012845  47  19.1490 N  62  34.5650 W   6.4        2.5       10.7       54.7      101.6       14.9 
051007  012847  47  19.1470 N  62  34.5700 W   6.4        2.5       10.7       54.7      101.6       14.9 
051007  012849  47  19.1450 N  62  34.5740 W   6.7        2.5       10.7       54.7      101.6       14.9 
051007  012851  47  19.1420 N  62  34.5780 W   6.6        2.5       10.7       54.7      101.6       14.9 
051007  012853  47  19.1400 N  62  34.5830 W   7.1        2.5       10.7       54.7      101.6       14.9 
051007  012855  47  19.1370 N  62  34.5870 W   7.2        2.5       10.7       54.7      101.6       14.9 
051007  012857  47  19.1340 N  62  34.5910 W   6.8        2.5       10.7       54.7      101.6       14.9 
051007  012859  47  19.1310 N  62  34.5950 W   6.8        2.5       10.7       54.7      101.6       14.9 
051007  012901  47  19.1290 N  62  34.5990 W   7.1        2.5       10.7       54.7      101.6       14.9 
051007  012903  47  19.1260 N  62  34.6040 W   7.2        2.5       10.7       54.7      101.6       14.9 
051007  012905  47  19.1230 N  62  34.6090 W   7.3        2.5       10.7       54.7       14.4*      14.9 
051007  012907  47  19.1210 N  62  34.6130 W   6.9        2.5       10.7       54.7       14.4       14.9 
051007  012909  47  19.1180 N  62  34.6170 W   6.9        2.5       10.7       54.7       14.4       14.9 
051007  012911  47  19.1160 N  62  34.6220 W   7.1        2.5       10.7       54.7        8.6*      14.9 
051007  012913  47  19.1130 N  62  34.6260 W   7.3        2.5       10.7       54.7        8.6       14.9 
051007  012915  47  19.1100 N  62  34.6310 W   7.0        2.5       10.7       54.7        8.6       14.9 
051007  012917  47  19.1070 N  62  34.6350 W   6.8        2.5       10.7       54.7        8.6       14.9 
051007  012919  47  19.1050 N  62  34.6400 W   6.7        2.5       10.7       54.7        8.6       14.9 
051007  012921  47  19.1030 N  62  34.6440 W   7.0        2.5       10.7       54.7        8.6       15.8*
051007  012923  47  19.1000 N  62  34.6480 W   7.0        2.5       10.7       54.7        8.6       15.8 
051007  012925  47  19.0970 N  62  34.6520 W   6.9        2.5       10.7        2.2*       8.6       15.8 
051007  012927  47  19.0950 N  62  34.6570 W   6.7        2.5       10.7        2.2        8.6        5.7*
051007  012929  47  19.0920 N  62  34.6610 W   7.0        2.5       10.7        2.2        8.6        5.7 
051007  012931  47  19.0900 N  62  34.6660 W   7.0        2.5       10.7        2.2        9.4*       5.7 
051007  012933  47  19.0870 N  62  34.6700 W   6.8        3.1*      10.7        2.2        9.4        5.7 
051007  012935  47  19.0850 N  62  34.6740 W   6.9        3.1       10.7        2.2        9.4        5.7 
051007  012937  47  19.0820 N  62  34.6790 W   6.7        3.1       10.7        2.2        2.4*       5.7 
051007  012939  47  19.0800 N  62  34.6830 W   7.3        3.1       10.7        2.2        2.4        5.7 
051007  012941  47  19.0770 N  62  34.6880 W   7.1        3.1       10.7        2.2        5.0*       5.7 
051007  012943  47  19.0740 N  62  34.6920 W   6.7        3.1       10.7        2.2        5.0        5.7 
051007  012945  47  19.0720 N  62  34.6960 W   6.7        3.1       10.7        2.2        5.0        5.7 
051007  012947  47  19.0690 N  62  34.7000 W   6.9        3.1       10.7        2.2        5.0        5.7 
051007  012949  47  19.0670 N  62  34.7040 W   7.3        3.1       10.7        2.2        5.0        5.7 
051007  012951  47  19.0640 N  62  34.7090 W   6.9        3.1       10.7        2.2        5.0        5.7 
051007  012953  47  19.0620 N  62  34.7130 W   6.9        3.1       10.7        2.2        5.0        5.7 
051007  012955  47  19.0590 N  62  34.7170 W   6.9        3.1       10.7        2.2        5.0        5.7 
051007  012957  47  19.0570 N  62  34.7220 W   7.0        3.1       10.7        2.2        5.0        5.7 
051007  012959  47  19.0540 N  62  34.7260 W   6.7        3.1       10.7        2.2        5.0        5.7 
051007  013001  47  19.0520 N  62  34.7300 W   6.9        3.1       10.7        2.2        5.0        5.7 
051007  013003  47  19.0480 N  62  34.7340 W   7.0        3.1       10.7        2.2        5.9*       5.7 
051007  013005  47  19.0460 N  62  34.7390 W   6.9        3.1       10.7        2.2        5.9        5.7 
051007  013007  47  19.0440 N  62  34.7430 W   6.8        3.1       10.7        2.2        5.4*       5.7 
051007  013009  47  19.0410 N  62  34.7470 W   6.7        3.1       10.7        2.2        5.4        5.7 
051007  013011  47  19.0390 N  62  34.7510 W   7.0        3.1       10.7        2.2        5.4        5.7 
051007  013013  47  19.0360 N  62  34.7550 W   6.9        3.1       10.7        2.2        8.3*       5.7 
051007  013015  47  19.0330 N  62  34.7600 W   6.8        3.1       10.7        2.2        8.3        5.7 
051007  013017  47  19.0310 N  62  34.7630 W   6.5        3.1       10.7        2.2        2.0*       5.7 
051007  013019  47  19.0280 N  62  34.7680 W   6.9        3.1       10.7        2.2        2.0        5.7 
051007  013021  47  19.0260 N  62  34.7720 W   6.7        3.1       10.7        2.2        2.0        5.7 
051007  013023  47  19.0230 N  62  34.7770 W   6.9        3.1       10.7        2.2        6.5*       5.7 
051007  013025  47  19.0210 N  62  34.7810 W   6.7        3.1       10.7        2.2        6.5        5.7 
051007  013027  47  19.0180 N  62  34.7850 W   6.6        3.1       10.7        2.2        6.5        5.7 
051007  013029  47  19.0150 N  62  34.7890 W   7.1        3.1       10.7       46.5*       6.5      187.2*
051007  013031  47  19.0130 N  62  34.7940 W   7.0        3.1       10.7       46.5        6.5      187.2 
051007  013033  47  19.0100 N  62  34.7980 W   6.4        3.1       10.7        2.2*      22.1*     187.2 
051007  013035  47  19.0090 N  62  34.8010 W   5.4        3.1       10.7        2.2       22.1       40.0*
051007  013037  47  19.0060 N  62  34.8040 W   5.3        3.1       10.7        2.2       22.1       40.0 
051007  013039  47  19.0040 N  62  34.8070 W   4.5        3.1       10.7        2.2       22.1       40.0 
051007  013041  47  19.0030 N  62  34.8100 W   3.7        3.1       10.7        2.2       22.1       29.4*
051007  013043  47  19.0020 N  62  34.8120 W   2.8        3.1       10.7        2.2       22.1       29.4 
051007  013045  47  19.0010 N  62  34.8130 W   3.4        3.1       10.7        2.2       22.1       28.1*
051007  013047  47  19.0000 N  62  34.8150 W   2.2        3.1       10.7        2.2       22.1       28.1 
051007  013049  47  18.9990 N  62  34.8160 W   3.0        2.9*      10.7        2.2        7.9*      28.1 
051007  013051  47  18.9980 N  62  34.8180 W   1.8        2.9       10.7        2.2        7.9       43.9*
051007  013053  47  18.9970 N  62  34.8200 W   2.6        2.9       10.7        2.2        4.4*      43.9 
051007  013055  47  18.9960 N  62  34.8220 W   1.8        2.9        2.8*     102.7*       4.4       43.9 
051007  013057  47  18.9960 N  62  34.8230 W   1.9        2.9        2.8      102.7        4.4       31.6*
051007  013059  47  18.9950 N  62  34.8240 W   1.9        2.9        2.8        3.7*       4.8*      31.6 
051007  013101  47  18.9940 N  62  34.8260 W   1.9        2.9        2.8        3.7        4.8       39.1*
051007  013103  47  18.9940 N  62  34.8270 W   1.6        2.9*       2.8        3.7        6.0*      39.1 
051007  013105  47  18.9940 N  62  34.8280 W   1.6        2.9        2.8        4.7*       6.0       39.1 
051007  013107  47  18.9930 N  62  34.8290 W   2.0        2.9        2.8        4.7        6.0       50.1*
051007  013109  47  18.9920 N  62  34.8300 W   1.4        2.9        3.0*       4.7        4.2*      50.1 
051007  013111  47  18.9920 N  62  34.8310 W   1.9        2.9        3.0        3.4*       4.2       35.1*
051007  013113  47  18.9910 N  62  34.8320 W   1.3        2.9        3.0        3.4        4.2       35.1 
051007  013115  47  18.9910 N  62  34.8330 W   1.9        3.9*       3.0        5.1*       5.6*      35.1 
051007  013117  47  18.9900 N  62  34.8350 W   1.4        3.9        3.0        5.1        5.6       56.2*
051007  013119  47  18.9890 N  62  34.8360 W   1.6        3.9        3.0        5.1        3.8*      56.2 
051007  013121  47  18.9890 N  62  34.8370 W   1.6        3.9        2.4*       3.9*       3.8       56.2 
051007  013123  47  18.9880 N  62  34.8390 W   1.5        3.9        2.4        3.9        3.8      101.9*
051007  013125  47  18.9880 N  62  34.8400 W   1.6        3.9        2.4        3.9        5.0*     101.9 
051007  013127  47  18.9870 N  62  34.8410 W   1.4        3.9        2.4        3.7*       5.0      101.9 
051007  013129  47  18.9870 N  62  34.8420 W   1.8        4.0*       2.4        3.7        5.1*     101.9 
051007  013131  47  18.9870 N  62  34.8430 W   1.6        4.0        2.4        4.6*       5.1      101.9 
051007  013133  47  18.9860 N  62  34.8440 W   1.8        4.0        2.4        4.6        5.1       55.4*
051007  013135  47  18.9850 N  62  34.8460 W   1.4        4.0        2.2*       4.6        4.7*      55.4 
051007  013137  47  18.9850 N  62  34.8470 W   1.9        4.0        2.2        4.3*       4.7       55.4 
051007  013139  47  18.9840 N  62  34.8480 W   1.6        4.0        2.2        4.3        4.7       52.7*
051007  013141  47  18.9840 N  62  34.8500 W   1.8        4.3*       2.2       11.6*       4.7*      52.7 
051007  013143  47  18.9830 N  62  34.8510 W   1.8        4.3        2.2       11.6        4.7       55.8*
051007  013145  47  18.9830 N  62  34.8520 W   1.6        4.3        2.2       11.6        5.0*      55.8 
051007  013147  47  18.9820 N  62  34.8530 W   2.0        4.3        2.2*      11.6        5.0       55.8 
051007  013149  47  18.9810 N  62  34.8530 W   1.4        4.3        2.2       11.6        5.0       60.6*
051007  013151  47  18.9810 N  62  34.8550 W   2.0        4.3        2.2       11.6        4.4*      60.6 
051007  013153  47  18.9800 N  62  34.8560 W   1.6        4.3        2.2        4.1*       4.4       60.6 
051007  013155  47  18.9800 N  62  34.8570 W   1.9        4.0*       2.2        4.1        4.4       64.1*
051007  013157  47  18.9790 N  62  34.8590 W   1.6        4.0        2.2        4.1       14.0*      64.1 
051007  013159  47  18.9780 N  62  34.8610 W   1.7        4.0        2.2        4.1       14.0       64.1*
051007  013201  47  18.9780 N  62  34.8620 W   1.7        4.0        2.9*       4.1       14.0       64.1 
051007  013203  47  18.9770 N  62  34.8630 W   1.7        4.0        2.9        4.1       14.0       64.1 
051007  013205  47  18.9770 N  62  34.8640 W   1.7        4.0        2.9        4.1       14.0       66.3*
051007  013207  47  18.9760 N  62  34.8650 W   1.9        4.0        2.9        4.8*       4.5*      66.3 
051007  013209  47  18.9760 N  62  34.8660 W   1.7        4.0*       2.9        4.8        4.5       66.3 
051007  013211  47  18.9750 N  62  34.8680 W   1.8        4.0        2.9        4.8        4.8*      69.9*
051007  013213  47  18.9740 N  62  34.8690 W   1.8        4.0        2.9        4.4*       4.8       69.9 
051007  013215  47  18.9740 N  62  34.8700 W   2.0        4.0        2.2*       4.4        4.8       70.7*
051007  013217  47  18.9730 N  62  34.8710 W   1.9        4.0        2.2        4.4        4.7*      70.7 
051007  013219  47  18.9730 N  62  34.8740 W   1.6        4.0        2.2        4.5*       4.7       70.7 
051007  013221  47  18.9720 N  62  34.8750 W   2.2        4.0*       2.2        4.5        4.7       74.2*
051007  013223  47  18.9720 N  62  34.8760 W   1.6        4.0        2.2        4.5*       4.7       74.2 
051007  013225  47  18.9710 N  62  34.8780 W   2.2        4.0        2.2        4.5        4.7       74.2 
051007  013227  47  18.9700 N  62  34.8790 W   1.5        4.0        2.4*       4.5        4.7       73.8*
051007  013229  47  18.9700 N  62  34.8800 W   2.2        4.0        2.4        4.5        4.7       73.8 
051007  013231  47  18.9690 N  62  34.8810 W   1.6        4.0        2.4        4.5        4.7       73.8 
051007  013233  47  18.9690 N  62  34.8820 W   1.9        4.0        2.4        4.5        5.3*      74.2*
051007  013235  47  18.9680 N  62  34.8840 W   1.7        4.0*       2.4        4.5        5.3       74.2 
051007  013237  47  18.9680 N  62  34.8850 W   1.9        4.0        2.4        4.5        5.3       77.8*
051007  013239  47  18.9670 N  62  34.8860 W   1.7        4.0        2.4        5.8*       5.7*      77.8 
051007  013241  47  18.9660 N  62  34.8880 W   2.0        4.0        2.4        5.8        5.7       77.8 
051007  013243  47  18.9660 N  62  34.8890 W   1.7        4.0        2.4        5.8        6.2*      76.9*
051007  013245  47  18.9650 N  62  34.8900 W   2.0        4.0        2.4        5.8        6.2       76.9 
051007  013247  47  18.9650 N  62  34.8910 W   1.7        4.0        2.4        5.8        6.2       76.4*
051007  013249  47  18.9640 N  62  34.8930 W   2.0        4.0        2.4       83.4*       6.6*      76.4 
051007  013251  47  18.9630 N  62  34.8940 W   1.8        4.0        2.4       83.4        6.6       76.4 
051007  013253  47  18.9630 N  62  34.8950 W   1.9        4.0        2.4       83.4        6.6*      76.9*
051007  013255  47  18.9620 N  62  34.8970 W   1.9        4.0        2.4        6.1*       6.6       76.9 
051007  013257  47  18.9620 N  62  34.8980 W   1.8        4.0        2.4        6.1        6.6       76.9 
051007  013259  47  18.9610 N  62  34.9000 W   2.0        4.0        2.4        6.1        6.6       76.0*
051007  013301  47  18.9600 N  62  34.9000 W   1.7        4.0        2.4        5.9*       6.6       76.0 
051007  013303  47  18.9600 N  62  34.9020 W   2.1        4.0        2.4        5.9        6.6       76.0 
051007  013305  47  18.9590 N  62  34.9040 W   2.2        4.0        2.4        5.9       70.8*      75.6*
