FileName: C:\2005CA~1\CTY0161.TXT
Local Time: Thu Oct 06 06:50:36 2005

Ship: Marco Michel Trip: 01 Tow: cty0161
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  095037  47  28.5990 N  62  46.0200 W   2.6        0.0       11.7*      19.5*       2.5*      11.4*
051006  095039  47  28.5990 N  62  46.0220 W   2.8        0.0       11.0*       2.2*       2.5       12.7*
051006  095042  47  28.6010 N  62  46.0250 W   2.6        0.0       11.0        2.2        6.6*      12.7 
051006  095043  47  28.6010 N  62  46.0260 W   2.7        0.0       11.0        2.2        6.6       11.0*
051006  095045  47  28.6020 N  62  46.0280 W   2.7        0.0       11.0        2.7*       6.6       11.0 
051006  095048  47  28.6030 N  62  46.0310 W   4.1        0.0       11.0        2.7        6.6       11.0 
051006  095049  47  28.6040 N  62  46.0330 W   3.6        0.0       11.0        2.9*       6.6       11.0 
051006  095051  47  28.6050 N  62  46.0350 W   4.6        0.0       11.0        2.9        3.4*      11.0 
051006  095054  47  28.6070 N  62  46.0400 W   4.9        0.0       11.0        2.9        3.4       11.0 
051006  095055  47  28.6080 N  62  46.0420 W   5.5        0.0       11.0        2.9        3.4      161.7*
051006  095057  47  28.6100 N  62  46.0460 W   5.0        0.0       11.0      124.5*       3.4      161.7 
051006  095100  47  28.6130 N  62  46.0520 W   5.9        0.0       11.0      124.5        3.4      161.7 
051006  095101  47  28.6140 N  62  46.0540 W   6.3        0.0       11.0      124.5       41.5*     161.7 
051006  095103  47  28.6160 N  62  46.0580 W   6.1        0.0       11.0      124.5       41.5      161.7 
051006  095106  47  28.6180 N  62  46.0650 W   6.5        0.0       11.0      124.5       41.5      161.7 
051006  095107  47  28.6200 N  62  46.0670 W   6.9        0.0       11.0      124.5       41.5      161.7 
051006  095109  47  28.6220 N  62  46.0720 W   6.8        0.0       11.0      124.5        2.2*      38.2*
051006  095112  47  28.6250 N  62  46.0790 W   6.2        0.0       11.0      124.5        2.2       38.2 
051006  095113  47  28.6260 N  62  46.0810 W   7.2        0.0       11.0      124.5        2.2       38.2 
051006  095115  47  28.6290 N  62  46.0860 W   6.6        0.0       11.0      124.5        2.2       38.2 
051006  095118  47  28.6330 N  62  46.0930 W   7.3        0.0       11.0       96.1*       2.2       38.2 
051006  095119  47  28.6340 N  62  46.0950 W   6.6        0.0       11.0       96.1        2.2       38.2 
051006  095121  47  28.6360 N  62  46.1000 W   7.4        0.0       11.0       96.1        9.4*      84.4*
051006  095124  47  28.6400 N  62  46.1060 W   7.7        0.0       11.0       96.1        9.4       84.4 
051006  095125  47  28.6410 N  62  46.1090 W   7.2        0.0       11.0       96.1       13.1*      29.0*
051006  095127  47  28.6440 N  62  46.1130 W   7.4        0.0       11.0       96.1       13.1       29.0 
