FileName: C:\2005CA~1\CTY0222.TXT
Local Time: Thu Oct 06 13:08:41 2005

Ship: Marco Michel Trip: 01 Tow: cty0222
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  160843  47  25.9170 N  62  32.7210 W   2.9        6.1        7.8*       0.2*       0.6*      20.6*
051006  160845  47  25.9160 N  62  32.7220 W   2.1        6.1        7.8        0.2        0.6       20.6 
051006  160847  47  25.9140 N  62  32.7240 W   2.8        6.1        7.8        0.2        0.6       20.6 
051006  160849  47  25.9140 N  62  32.7250 W   1.9        6.1        7.8        3.0*       0.6       20.6 
051006  160851  47  25.9130 N  62  32.7260 W   2.9        6.1        7.8        3.0        0.6       20.6 
051006  160853  47  25.9120 N  62  32.7280 W   2.8        6.1        7.8        3.0        0.6       20.6 
051006  160855  47  25.9100 N  62  32.7290 W   3.6        6.1        7.8        3.0        0.6       20.6 
051006  160857  47  25.9080 N  62  32.7300 W   4.2        6.1        7.8        3.0        0.6       20.6 
051006  160859  47  25.9050 N  62  32.7320 W   4.5        6.1        7.8        3.0        0.6       20.6 
051006  160901  47  25.9030 N  62  32.7340 W   4.9        6.1        7.8        3.0        0.6       20.6 
051006  160903  47  25.9000 N  62  32.7360 W   5.4        6.1        7.8        3.0        0.6       20.6 
051006  160905  47  25.8970 N  62  32.7380 W   6.2        6.1        7.8        3.0        0.6       20.6 
051006  160907  47  25.8940 N  62  32.7400 W   5.7        6.1        7.8        3.0        0.6       20.6 
051006  160909  47  25.8910 N  62  32.7420 W   6.5        6.1        7.8        3.0        0.6       20.6 
051006  160911  47  25.8870 N  62  32.7450 W   6.3        6.1        7.8        3.0        0.6       20.6 
051006  160913  47  25.8830 N  62  32.7470 W   6.8        6.1        7.8        3.0        0.6       20.6 
051006  160915  47  25.8800 N  62  32.7500 W   6.9        6.1        7.8        3.0        0.6       20.6 
051006  160917  47  25.8770 N  62  32.7530 W   7.2        6.1        7.8        3.0        0.6       20.6 
