"date","time","tow.id","tow.number","loran.x","loran.y","wing.spread","door.spread","headline.height"
"1988-08-05","        ","GP002",2,NA,NA,NA,20.4,NA
"1988-08-05","        ","GP002",2,NA,NA,NA,20.8,NA
"1988-08-09","        ","GP024",7,NA,NA,7.5,NA,NA
"1988-08-09","        ","GP025",8,NA,NA,6.4,NA,NA
"1988-08-09","        ","GP025",8,NA,NA,9.2,NA,NA
"1988-08-09","        ","GP026",9,NA,NA,5.9,NA,NA
"1988-08-09","        ","GP026",9,NA,NA,7,NA,NA
"1988-08-09","        ","GP027",10,NA,NA,5.7,NA,2.3
"1988-08-09","        ","GP027",10,NA,NA,7,NA,NA
"1988-08-10","        ","GP033",2,NA,NA,5.4,NA,NA
"1988-08-10","        ","GP033",2,NA,NA,6,NA,NA
"1988-08-10","        ","GP033",2,NA,NA,6.4,NA,NA
"1988-08-10","        ","GP034",3,NA,NA,5.4,NA,1.9
"1988-08-10","        ","GP034",3,NA,NA,5.5,NA,2
"1988-08-10","        ","GP034",3,NA,NA,6.1,NA,NA
"1988-08-11","        ","GP036",1,NA,NA,6,NA,2
"1988-08-11","        ","GP036",1,NA,NA,8,NA,NA
"1988-08-11","        ","GP036",1,NA,NA,8.3,NA,NA
"1988-08-11","        ","GP038",3,NA,NA,6,NA,NA
"1988-08-11","        ","GP038",3,NA,NA,9.3,NA,NA
"1988-08-11","        ","GP039",4,NA,NA,5.3,NA,1.8
"1988-08-11","        ","GP039",4,NA,NA,8.2,NA,NA
"1988-08-11","        ","GP039",4,NA,NA,9,NA,NA
"1988-08-11","        ","GP040",5,NA,NA,4,NA,NA
"1988-08-11","        ","GP040",5,NA,NA,9.2,NA,NA
"1988-08-11","        ","GP040",5,NA,NA,10,NA,NA
"1988-08-17","        ","GP042",2,NA,NA,5,NA,3.3
"1988-08-17","        ","GP042",2,NA,NA,6.3,NA,NA
"1988-08-17","        ","GP042",2,NA,NA,7.6,NA,NA
"1988-08-17","        ","GP042",2,NA,NA,9.3,NA,NA
"1988-10-08","        ","GP145",1,NA,NA,7.4,NA,NA
"1988-11-05","09:29:00","GP194",1,15103.7,30778.4,3.8,NA,NA
"1988-11-05","09:30:00","GP194",1,15103.5,30778.5,4.8,NA,NA
"1988-11-05","09:31:00","GP194",1,15103.4,30778.8,5.1,NA,NA
"1988-11-05","09:32:00","GP194",1,15103.3,30778.8,5.6,NA,NA
"1988-11-05","09:33:00","GP194",1,15103.2,30778.7,5.6,NA,NA
"1988-11-05","09:34:00","GP194",1,15103,30778.7,5.6,NA,NA
"1988-11-05","09:50:00","GP195",2,15102.6,30778.1,4.3,NA,NA
"1988-11-05","09:51:00","GP195",2,15102.4,30778.2,4.6,NA,NA
"1988-11-05","09:52:00","GP195",2,15102.3,30778.3,5.8,NA,NA
"1988-11-05","09:53:00","GP195",2,15102.1,30778.4,5.5,NA,NA
"1988-11-05","09:54:00","GP195",2,15102,30778.4,5.5,NA,NA
"1988-11-05","09:55:00","GP195",2,15101.9,30778.5,6,NA,NA
"1988-11-05","10:19:00","GP196",3,15101.4,30778.6,3.8,NA,NA
"1988-11-05","10:20:00","GP196",3,15101.2,30778.6,8.2,NA,NA
"1988-11-05","10:21:00","GP196",3,15101,30778.6,5.1,NA,NA
"1988-11-05","10:22:00","GP196",3,15100.9,30778.7,5.9,NA,NA
"1988-11-05","10:23:00","GP196",3,15100.8,30778.9,7.3,NA,NA
"1988-11-05","10:24:00","GP196",3,15100.7,30779.2,6.8,NA,NA
"1988-11-05","10:45:00","GP197",4,15100.1,30779.8,4,NA,NA
"1988-11-05","10:46:00","GP197",4,15100,30779.8,4.7,NA,NA
"1988-11-05","10:47:00","GP197",4,15099.9,30779.8,4.9,NA,NA
"1988-11-05","10:48:00","GP197",4,15099.7,30779.8,5.5,NA,NA
"1988-11-05","10:49:00","GP197",4,15099.6,30779.8,4.8,NA,NA
"1988-11-05","10:50:00","GP197",4,15099.4,30779.8,5.1,NA,NA
"1988-11-05","11:11:00","GP198",5,15098.7,30779.9,4.4,NA,NA
"1988-11-05","11:12:00","GP198",5,15098.6,30779.9,5.1,NA,NA
