FileName: C:\GULFNE~1\GP152.TXT
Local Time: Fri Sep 19 12:25:06 2003

Ship: MarcoMichel Trip: 002gulf Tow: gp152
Comments: Zone 12, vallee de shediac
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
030919  152725  47  51.2910 N  63  47.1880 W   7.2        2.1        2.6        3.4        4.4 
030919  152727  47  51.2940 N  63  47.1850 W   7.3        2.1        2.6        3.4        4.4 
030919  152730  47  51.2990 N  63  47.1800 W   7.3        2.1        2.6        3.4        4.4 
030919  152731  47  51.3010 N  63  47.1790 W   7.2        2.1        2.6        3.4        4.4 
030919  152733  47  51.3050 N  63  47.1750 W   7.4        2.1        2.6        3.4        4.4 
030919  152736  47  51.3100 N  63  47.1710 W   7.5        2.1        2.6        3.4        4.4 
030919  152737  47  51.3120 N  63  47.1690 W   7.1        2.1        2.6        3.4        4.4 
030919  152739  47  51.3160 N  63  47.1660 W   7.4        2.1        2.6        3.4        4.4 
030919  152742  47  51.3210 N  63  47.1620 W   7.3        2.1        2.6        3.4        4.4 
030919  152743  47  51.3220 N  63  47.1600 W   7.2        2.1        2.6        3.4        4.4 
030919  152745  47  51.3260 N  63  47.1570 W   7.2        2.1        2.6        3.4        4.4 
030919  152748  47  51.3310 N  63  47.1530 W   7.2        2.1        2.6        3.4        4.4 
030919  152749  47  51.3320 N  63  47.1520 W   7.2        2.1        2.6        3.4        4.4 
030919  152751  47  51.3360 N  63  47.1480 W   7.3        2.1        2.6        3.4        4.4 
030919  152754  47  51.3410 N  63  47.1430 W   7.3        2.1        2.6        3.4        4.4 
030919  152755  47  51.3430 N  63  47.1420 W   7.2        2.1        2.6        3.4        4.4 
030919  152757  47  51.3460 N  63  47.1380 W   7.2        2.1        2.6        3.4        4.4 
030919  152800  47  51.3520 N  63  47.1320 W   7.2        2.1        2.6        3.4        4.4 
030919  152801  47  51.3530 N  63  47.1300 W   7.3        2.1        2.6        3.4        4.4 
030919  152803  47  51.3560 N  63  47.1270 W   7.3        2.1        2.6        3.4        4.4 
030919  152806  47  51.3610 N  63  47.1230 W   7.3        2.1        2.6        3.4        4.4 
030919  152807  47  51.3620 N  63  47.1210 W   7.2        2.1        2.6        3.4        4.4 
030919  152809  47  51.3650 N  63  47.1170 W   7.3        2.1        2.6        3.4        4.4 
030919  152812  47  51.3710 N  63  47.1130 W   7.3        2.1        2.6        3.4        4.4 
030919  152813  47  51.3730 N  63  47.1110 W   7.2        2.1        2.6        3.4        4.4 
030919  152815  47  51.3760 N  63  47.1080 W   7.2        2.1        2.6        3.4        4.4 
030919  152818  47  51.3820 N  63  47.1020 W   7.2        2.1        2.6        3.4        4.4 
030919  152819  47  51.3840 N  63  47.1010 W   7.4        2.1        2.6        3.4        4.4 
